ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
ECL.N0000,2016-01-03,10.5,10.5,10.4,10.4,105634.7,10150,7
ECL.N0000,2016-01-04,10.2,10.6,10.0,10.6,165302.2,16401,12
ECL.N0000,2016-01-05,10.1,10.1,10.0,10.1,791710.0,79109,9
ECL.N0000,2016-01-06,10.1,10.1,10.1,10.1,90.9,9,1
ECL.N0000,2016-01-07,10.0,10.0,10.0,10.0,66200.0,6620,7
ECL.N0000,2016-01-10,9.7,9.7,9.6,9.6,52833.8,5498,5
ECL.N0000,2016-01-11,9.6,9.6,8.4,8.6,137156.4,15810,14
ECL.N0000,2016-01-12,8.9,9.7,8.2,9.0,97895.7,10861,13
ECL.N0000,2016-01-13,8.7,8.8,8.7,8.8,19675.0,2250,6
ECL.N0000,2016-01-17,8.4,8.4,8.0,8.0,325685.2,40673,12
ECL.N0000,2016-01-18,8.2,8.3,7.8,8.0,228107.4,28567,18
ECL.N0000,2016-01-19,8.0,8.3,8.0,8.0,20808.3,2601,5
ECL.N0000,2016-01-20,8.3,9.9,8.1,8.2,156183.7,16680,20
ECL.N0000,2016-01-21,9.5,9.5,9.4,9.4,12670.4,1341,8
ECL.N0000,2016-01-24,9.0,9.0,9.0,9.0,2340.0,260,4
ECL.N0000,2016-01-25,8.4,8.7,8.3,8.6,610683.6,73167,19
ECL.N0000,2016-01-26,9.0,9.0,8.4,8.5,69540.0,8220,9
ECL.N0000,2016-01-27,8.9,8.9,8.9,8.9,1869.0,210,1
ECL.N0000,2016-01-31,8.8,8.8,8.8,8.8,9671.2,1099,4
ECL.N0000,2016-02-01,8.9,8.9,8.5,8.6,22978.3,2701,5
ECL.N0000,2016-02-02,8.8,9.3,8.6,8.7,379048.4,42728,36
ECL.N0000,2016-02-04,9.1,9.1,8.6,9.0,2879.4,329,5
ECL.N0000,2016-02-07,9.1,9.1,8.6,8.8,104062.3,11835,27
ECL.N0000,2016-02-08,8.9,8.9,8.5,8.5,860.9,101,3
ECL.N0000,2016-02-09,8.9,8.9,8.7,8.7,10557.7,1202,5
ECL.N0000,2016-02-10,8.7,8.7,8.2,8.5,117075.6,13831,12
ECL.N0000,2016-02-11,8.6,8.6,8.3,8.3,12922.5,1555,3
ECL.N0000,2016-02-14,8.3,8.8,8.3,8.4,16106.4,1909,9
ECL.N0000,2016-02-15,8.2,9.1,8.2,8.8,10500.9,1199,5
ECL.N0000,2016-02-16,8.8,8.8,8.8,8.8,8.8,1,1
ECL.N0000,2016-02-17,8.8,9.0,8.5,8.8,9781.9,1109,10
ECL.N0000,2016-02-18,8.9,8.9,8.3,8.3,1716.0,206,4
ECL.N0000,2016-02-22,9.0,9.0,8.8,8.3,61.9,7,3
ECL.N0000,2016-02-24,8.4,8.6,8.4,8.3,563.0,67,3
ECL.N0000,2016-02-25,8.3,8.6,8.3,8.3,54755.4,6597,5
ECL.N0000,2016-02-28,8.6,8.6,8.3,8.3,11977.8,1443,3
ECL.N0000,2016-02-29,8.2,8.6,8.0,8.1,194552.0,24122,18
ECL.N0000,2016-03-01,8.0,8.0,8.0,8.0,8800.0,1100,2
ECL.N0000,2016-03-02,8.0,8.0,8.0,8.0,24000.0,3000,3
ECL.N0000,2016-03-03,8.0,8.0,8.0,8.0,26384.0,3298,5
ECL.N0000,2016-03-07,7.9,8.0,7.5,7.9,86412.5,10951,10
ECL.N0000,2016-03-08,7.5,8.0,7.5,8.0,83950.0,10600,6
ECL.N0000,2016-03-09,8.0,9.0,8.0,8.8,90940.1,10400,12
ECL.N0000,2016-03-10,9.0,9.0,8.8,8.9,101850.0,11500,5
ECL.N0000,2016-03-13,8.3,8.3,8.2,8.3,36790.0,4450,5
ECL.N0000,2016-03-14,8.3,8.3,8.0,8.0,209182.0,25959,15
ECL.N0000,2016-03-15,8.0,8.0,8.0,8.0,8000.0,1000,2
ECL.N0000,2016-03-16,8.1,8.5,8.0,8.0,176224.0,22008,14
ECL.N0000,2016-03-22,8.5,8.5,8.5,8.0,85.0,10,1
ECL.N0000,2016-03-23,8.1,8.1,8.1,8.1,5670.0,700,1
ECL.N0000,2016-03-27,8.2,8.2,8.2,8.2,16400.0,2000,2
ECL.N0000,2016-03-28,8.1,8.1,8.0,8.1,36724.0,4578,8
ECL.N0000,2016-03-29,8.2,8.2,8.0,8.0,114460.0,14250,11
ECL.N0000,2016-03-31,8.1,8.1,8.0,8.0,79500.0,9900,11
ECL.N0000,2016-04-03,8.0,8.3,8.0,8.0,56008.3,7001,11
ECL.N0000,2016-04-04,8.0,9.1,8.0,8.3,105520.8,12700,5
ECL.N0000,2016-04-06,8.3,8.5,8.1,8.5,197725.8,23950,20
