ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
ELPL.N0000,2016-01-03,20.5,20.6,20.5,21.3,102.9,5,2
ELPL.N0000,2016-01-04,20.2,20.2,20.2,20.2,30300.0,1500,1
ELPL.N0000,2016-01-05,20.1,20.1,20.1,20.2,1005.0,50,1
ELPL.N0000,2016-01-06,21.4,21.4,20.0,20.0,300036.4,15001,4
ELPL.N0000,2016-01-07,19.0,19.0,19.0,20.0,380.0,20,1
ELPL.N0000,2016-01-10,19.1,19.1,19.0,19.0,103575.0,5450,6
ELPL.N0000,2016-01-11,18.0,18.0,18.0,18.0,90000.0,5000,1
ELPL.N0000,2016-01-12,18.5,18.5,18.1,18.1,118018.6,6506,6
ELPL.N0000,2016-01-17,18.2,18.2,18.0,18.0,70608.0,3916,5
ELPL.N0000,2016-01-18,17.5,17.6,17.5,17.5,82172.5,4695,5
ELPL.N0000,2016-01-19,17.3,20.6,17.0,17.1,170650.8,10002,6
ELPL.N0000,2016-01-20,17.1,17.1,17.0,17.0,180305.0,10602,7
ELPL.N0000,2016-01-24,17.5,17.5,17.5,17.0,612.5,35,1
ELPL.N0000,2016-01-26,19.5,19.5,19.5,17.0,19.5,1,1
ELPL.N0000,2016-01-28,19.5,19.5,19.5,19.5,9048.0,464,3
ELPL.N0000,2016-01-31,19.9,19.9,17.9,17.9,14825.2,828,4
ELPL.N0000,2016-02-01,19.9,19.9,19.0,17.9,209.9,11,2
ELPL.N0000,2016-02-02,19.5,22.0,19.4,22.0,44153664.2,2007616,10
ELPL.N0000,2016-02-04,21.9,21.9,19.5,19.5,54960.0,2800,5
ELPL.N0000,2016-02-07,19.5,20.0,19.0,19.0,10433977.0,549110,17
ELPL.N0000,2016-02-08,19.2,20.8,19.2,19.2,3860.8,201,3
ELPL.N0000,2016-02-09,20.4,20.4,19.0,19.1,14148.4,741,7
ELPL.N0000,2016-02-10,18.9,20.0,18.9,19.0,57300.0,3021,4
ELPL.N0000,2016-02-11,19.0,19.0,19.0,19.0,9500.0,500,2
ELPL.N0000,2016-02-14,19.0,19.0,17.5,17.6,72856.0,4053,11
ELPL.N0000,2016-02-15,17.5,18.8,17.5,18.0,27006.2,1527,10
ELPL.N0000,2016-02-16,19.0,20.0,17.5,19.6,322503.6,16441,42
ELPL.N0000,2016-02-18,20.0,20.0,19.9,20.0,72580.0,3634,6
ELPL.N0000,2016-02-22,19.9,20.0,19.5,19.5,2057660.0,105400,6
ELPL.N0000,2016-02-23,20.0,20.0,20.0,20.0,161000.0,8050,20
ELPL.N0000,2016-02-24,19.5,20.0,19.5,19.6,88769.5,4501,6
ELPL.N0000,2016-02-25,20.0,20.0,20.0,20.0,20000.0,1000,2
ELPL.N0000,2016-02-28,19.1,19.1,19.1,19.1,11460.0,600,4
ELPL.N0000,2016-02-29,19.2,20.0,19.2,20.0,1022490.0,51130,21
ELPL.N0000,2016-03-01,20.2,20.2,20.0,20.0,121919.0,6095,3
ELPL.N0000,2016-03-02,19.9,19.9,19.0,19.1,41980.0,2200,2
ELPL.N0000,2016-03-03,18.2,18.2,18.2,18.2,3640.0,200,1
ELPL.N0000,2016-03-07,17.3,17.3,16.1,16.8,8944.6,531,5
ELPL.N0000,2016-03-08,16.6,18.0,16.6,17.5,105360.0,6050,7
ELPL.N0000,2016-03-09,17.5,17.5,17.5,17.5,14000.0,800,1
ELPL.N0000,2016-03-10,19.4,19.4,17.5,17.5,26397.0,1505,3
ELPL.N0000,2016-03-13,17.7,17.7,17.5,17.5,119090.5,6800,5
ELPL.N0000,2016-03-14,17.6,18.5,17.5,17.5,224644.0,12800,9
ELPL.N0000,2016-03-15,17.6,21.0,17.5,20.5,917856.5,45706,36
ELPL.N0000,2016-03-16,21.0,21.0,21.0,21.0,258300.0,12300,5
ELPL.N0000,2016-03-17,20.9,22.0,20.9,21.3,371570.0,17450,10
ELPL.N0000,2016-03-23,20.6,21.0,20.6,20.6,361550.0,17550,2
ELPL.N0000,2016-03-27,20.8,20.8,19.2,19.6,2544.0,130,3
ELPL.N0000,2016-03-28,19.1,19.3,19.1,19.3,21575.0,1122,3
ELPL.N0000,2016-03-29,19.2,19.2,19.2,19.2,1996.8,104,1
ELPL.N0000,2016-03-30,20.0,20.0,20.0,19.2,1000.0,50,1
ELPL.N0000,2016-04-04,20.4,22.5,20.4,21.1,181309.0,8574,8
ELPL.N0000,2016-04-07,18.9,18.9,18.9,21.1,18.9,1,1
ELPL.N0000,2016-04-10,19.2,19.2,19.2,21.1,96.0,5,1
ELPL.N0000,2016-04-11,19.3,19.3,19.3,19.3,1930.0,100,2
ELPL.N0000,2016-04-17,22.3,22.3,22.3,22.3,2363.8,106,3
ELPL.N0000,2016-04-18,20.6,22.5,20.6,22.3,1760.5,85,2
ELPL.N0000,2016-04-19,22.0,22.0,22.0,22.0,5280.0,240,5
ELPL.N0000,2016-04-21,22.0,22.5,22.0,22.5,68527.5,3050,5
ELPL.N0000,2016-04-26,21.2,21.5,21.0,21.5,312128.2,14694,7
ELPL.N0000,2016-04-27,21.1,22.0,21.1,22.0,11232.5,512,2
ELPL.N0000,2016-04-28,21.5,21.5,21.5,22.0,129.0,6,2
ELPL.N0000,2016-05-02,21.6,21.6,21.5,21.5,19282.5,895,5
ELPL.N0000,2016-05-03,21.2,21.2,21.2,21.2,10684.8,504,4
ELPL.N0000,2016-05-04,19.8,21.7,19.8,21.7,32630.0,1504,3
ELPL.N0000,2016-05-09,21.8,24.4,21.8,23.0,6432484.1,279749,14
ELPL.N0000,2016-05-10,22.0,22.0,22.0,22.0,44000.0,2000,2
ELPL.N0000,2016-05-11,22.9,22.9,22.9,22.0,45.8,2,1
ELPL.N0000,2016-05-12,22.9,22.9,22.9,22.0,2244.2,98,1
ELPL.N0000,2016-05-15,21.7,21.8,21.7,21.7,58923.8,2714,6
ELPL.N0000,2016-05-16,21.7,21.7,21.7,21.7,1085.0,50,1
ELPL.N0000,2016-05-17,21.8,23.0,21.8,21.7,153.8,7,2
ELPL.N0000,2016-05-18,23.9,23.9,23.9,21.7,1195.0,50,1
ELPL.N0000,2016-05-19,21.7,21.7,21.7,21.7,2061.5,95,2
ELPL.N0000,2016-05-23,21.0,21.1,21.0,21.1,85985.0,4090,8
ELPL.N0000,2016-05-24,21.1,22.0,21.1,21.2,14815.0,700,3
ELPL.N0000,2016-05-25,21.5,21.5,21.5,21.2,21.5,1,1
ELPL.N0000,2016-05-29,22.0,22.0,21.5,22.0,54265.5,2467,2
ELPL.N0000,2016-05-30,21.6,22.9,21.6,22.7,2658.5,117,4
ELPL.N0000,2016-05-31,22.9,22.9,22.0,22.0,110410.0,4900,4
ELPL.N0000,2016-06-01,22.0,22.0,22.0,22.0,88000.0,4000,1
ELPL.N0000,2016-06-02,21.6,21.6,21.6,21.6,2181.6,101,4
ELPL.N0000,2016-06-05,22.0,22.0,22.0,22.0,25146.0,1143,3
ELPL.N0000,2016-06-06,22.2,22.4,22.0,22.3,36570.0,1650,8
ELPL.N0000,2016-06-07,22.0,22.4,22.0,22.4,4440.0,200,2
ELPL.N0000,2016-06-08,22.0,22.0,21.0,21.1,397531.2,18789,18
ELPL.N0000,2016-06-09,21.0,21.5,21.0,21.0,222590.0,10587,9
ELPL.N0000,2016-06-12,21.0,21.0,20.7,21.0,130170.0,6200,5
ELPL.N0000,2016-06-13,20.1,20.1,20.1,21.0,20.1,1,1
ELPL.N0000,2016-06-14,21.0,21.0,21.0,21.0,147.0,7,1
ELPL.N0000,2016-06-15,20.0,20.0,20.0,21.0,200.0,10,1
ELPL.N0000,2016-06-16,20.2,20.9,19.9,19.9,110351.0,5526,9
ELPL.N0000,2016-06-19,21.0,21.0,21.0,19.9,21.0,1,1
ELPL.N0000,2016-06-21,20.5,20.5,20.5,20.5,63509.0,3098,3
ELPL.N0000,2016-06-23,22.0,22.0,22.0,20.5,22.0,1,1
ELPL.N0000,2016-06-29,21.9,21.9,20.0,20.0,8152.5,407,5
ELPL.N0000,2016-06-30,19.1,21.4,19.1,19.3,2124.0,110,4
ELPL.N0000,2016-07-03,19.5,19.5,19.5,19.5,58500.0,3000,2
ELPL.N0000,2016-07-04,19.3,20.8,19.0,19.2,100083.6,5248,8
ELPL.N0000,2016-07-06,19.4,19.4,19.1,19.1,4843.2,253,5
ELPL.N0000,2016-07-07,19.5,19.6,19.5,19.5,63942.8,3279,4
ELPL.N0000,2016-07-10,20.8,20.8,19.3,19.5,195292.7,10015,6
ELPL.N0000,2016-07-12,19.3,19.3,19.3,19.3,11580.0,600,3
ELPL.N0000,2016-07-14,19.7,19.7,19.7,19.3,788.0,40,1
ELPL.N0000,2016-07-17,19.7,19.7,19.7,19.3,19.7,1,1
ELPL.N0000,2016-07-19,19.7,19.7,19.6,19.6,11770.0,600,2
ELPL.N0000,2016-07-20,19.5,19.5,19.1,19.5,19595.5,1005,4
ELPL.N0000,2016-07-21,19.7,19.7,19.7,19.7,1970.0,100,1
ELPL.N0000,2016-07-24,19.7,19.7,19.7,19.7,1004.7,51,2
ELPL.N0000,2016-07-25,19.7,20.0,19.7,20.0,37284.2,1870,5
ELPL.N0000,2016-07-26,20.0,20.0,19.7,20.0,59865.0,3000,6
ELPL.N0000,2016-07-27,19.7,19.7,19.7,19.7,3940.0,200,2
ELPL.N0000,2016-07-28,19.9,20.0,19.9,20.0,28039.8,1402,3
ELPL.N0000,2016-07-31,19.7,19.7,19.7,20.0,19.7,1,1
ELPL.N0000,2016-08-01,19.7,20.4,19.7,20.0,60.5,3,2
ELPL.N0000,2016-08-02,20.5,20.5,19.6,19.7,9949.8,500,4
ELPL.N0000,2016-08-03,20.9,21.0,20.9,20.9,22322.0,1066,3
ELPL.N0000,2016-08-04,21.9,21.9,20.1,20.4,8468.3,397,4
ELPL.N0000,2016-08-08,21.0,21.0,19.5,19.6,29443.4,1501,5
ELPL.N0000,2016-08-09,19.6,19.9,19.6,19.9,71836.0,3610,4
ELPL.N0000,2016-08-10,20.9,20.9,20.9,20.9,2612.5,125,2
ELPL.N0000,2016-08-11,19.9,19.9,19.9,19.9,2089.5,105,1
ELPL.N0000,2016-08-14,19.8,19.8,19.6,19.8,31032.0,1570,4
ELPL.N0000,2016-08-15,20.0,20.3,20.0,20.3,34883.6,1725,8
ELPL.N0000,2016-08-17,20.1,20.1,20.1,20.1,20100.0,1000,1
ELPL.N0000,2016-08-18,20.0,20.0,20.0,20.1,980.0,49,1
ELPL.N0000,2016-08-21,20.0,20.0,19.6,19.8,33736.7,1703,5
ELPL.N0000,2016-08-23,20.1,20.1,19.7,20.0,107569.9,5397,8
ELPL.N0000,2016-08-24,20.0,20.0,20.0,20.0,4000.0,200,1
ELPL.N0000,2016-08-25,20.0,21.0,20.0,20.8,86501.0,4166,5
ELPL.N0000,2016-08-28,22.9,22.9,21.3,21.7,100799.4,4516,14
ELPL.N0000,2016-08-29,20.5,20.5,20.5,20.5,9225.0,450,1
ELPL.N0000,2016-08-30,21.5,21.5,20.0,20.2,60830.0,3001,8
ELPL.N0000,2016-08-31,20.0,21.4,20.0,20.0,96684.8,4832,5
ELPL.N0000,2016-09-04,20.6,21.9,20.5,21.0,25505.8,1218,6
ELPL.N0000,2016-09-05,20.5,21.9,20.5,21.1,14763.4,714,5
ELPL.N0000,2016-09-08,21.4,21.4,21.0,21.0,10878.4,518,3
ELPL.N0000,2016-09-13,21.7,21.7,21.7,21.0,455.7,21,2
ELPL.N0000,2016-09-14,21.7,21.7,21.7,21.0,21.7,1,1
ELPL.N0000,2016-09-18,21.7,21.7,21.7,21.0,217.0,10,1
ELPL.N0000,2016-09-19,21.0,21.0,20.5,20.5,165260.0,8060,3
ELPL.N0000,2016-09-20,20.6,20.6,20.6,20.5,41.2,2,1
ELPL.N0000,2016-09-21,20.6,20.6,20.5,20.5,129056.5,6293,7
ELPL.N0000,2016-09-22,20.0,20.0,19.8,19.8,70587.2,3564,3
ELPL.N0000,2016-09-25,19.7,21.0,19.7,20.9,457556.4,21921,13
ELPL.N0000,2016-09-26,20.0,20.0,20.0,20.0,8560.0,428,1
ELPL.N0000,2016-09-27,20.0,20.0,20.0,20.0,200000.0,10000,1
ELPL.N0000,2016-10-03,21.0,21.0,21.0,21.0,107100.0,5100,3
ELPL.N0000,2016-10-05,20.1,20.1,20.1,21.0,261.3,13,3
ELPL.N0000,2016-10-06,20.8,20.8,20.5,20.6,13808.9,668,4
ELPL.N0000,2016-10-09,20.2,20.2,20.2,20.2,10100.0,500,1
ELPL.N0000,2016-10-10,20.1,20.1,20.1,20.2,402.0,20,1
ELPL.N0000,2016-10-11,20.1,20.1,20.1,20.1,30150.0,1500,1
