ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
EXT.N0000,2022-03-29,6.0,6.0,4.5,5.4,7937297.8,1452163,337
EXT.N0000,2022-03-30,5.7,5.7,5.0,5.2,1323705.4,253332,42
EXT.N0000,2022-04-03,5.2,5.6,4.7,5.3,613838.4,115251,38
EXT.N0000,2022-04-04,5.2,5.3,4.8,5.1,506878.1,100169,64
EXT.N0000,2022-04-05,5.3,5.3,4.7,5.2,813371.5,156590,37
EXT.N0000,2022-04-06,5.2,5.2,4.9,4.9,40222.2,7970,11
EXT.N0000,2022-04-07,5.0,5.7,5.0,5.0,1626692.3,309261,62
EXT.N0000,2022-04-24,4.8,4.8,4.7,4.8,19003.1,3959,3
EXT.N0000,2022-04-25,4.7,4.7,4.5,4.5,18419.0,4082,5
EXT.N0000,2022-04-26,4.5,5.6,4.2,5.6,1372701.6,250384,105
EXT.N0000,2022-04-27,5.0,5.7,4.7,5.3,201372.2,38617,36
EXT.N0000,2022-04-28,5.0,6.0,4.9,5.2,179668.0,33656,37
EXT.N0000,2022-05-03,5.8,5.9,5.1,5.3,76880.0,13350,15
EXT.N0000,2022-05-04,5.0,5.8,5.0,5.0,36246.0,7220,12
EXT.N0000,2022-05-05,5.6,5.6,5.0,5.3,28170.6,5565,11
EXT.N0000,2022-05-08,5.6,5.6,5.0,5.1,64877.6,12321,14
EXT.N0000,2022-05-11,5.5,5.5,4.9,5.2,319636.2,59845,33
EXT.N0000,2022-05-12,5.5,5.6,5.4,5.5,1272535.0,231350,49
EXT.N0000,2022-05-16,5.8,5.8,5.2,5.3,172442.8,31346,21
EXT.N0000,2022-05-17,5.5,6.0,5.5,5.6,463442.0,82459,30
EXT.N0000,2022-05-18,5.7,5.7,5.0,5.0,485053.7,94992,44
EXT.N0000,2022-05-19,5.5,5.5,4.6,5.3,40663.0,7960,7
EXT.N0000,2022-05-22,5.6,5.6,5.0,5.0,559507.2,110893,38
EXT.N0000,2022-05-23,5.0,5.9,5.0,5.0,686158.0,133564,103
EXT.N0000,2022-05-24,5.4,5.5,5.2,5.3,116517.0,21882,21
EXT.N0000,2022-05-25,5.5,5.5,5.2,5.2,236311.7,44723,21
EXT.N0000,2022-05-26,5.5,5.5,5.1,5.3,145933.9,27423,30
EXT.N0000,2022-05-29,5.5,5.5,4.9,5.0,94159.7,18728,33
EXT.N0000,2022-05-30,5.2,5.6,4.9,5.1,186685.4,35624,46
EXT.N0000,2022-05-31,5.4,5.4,5.0,5.0,211277.0,42120,18
EXT.N0000,2022-06-01,5.0,5.2,4.8,5.0,731372.3,146406,26
EXT.N0000,2022-06-02,5.3,5.5,5.3,5.3,36919.1,6947,15
EXT.N0000,2022-06-05,5.3,5.3,4.8,4.8,180167.9,37314,16
EXT.N0000,2022-06-06,5.0,5.0,4.8,4.8,71852.2,14894,21
EXT.N0000,2022-06-07,5.0,5.3,4.9,5.0,207483.7,41613,11
EXT.N0000,2022-06-08,5.1,5.3,4.8,5.1,40760.0,7954,12
EXT.N0000,2022-06-09,5.3,5.4,4.7,5.3,208693.5,40349,50
EXT.N0000,2022-06-12,5.4,5.5,4.8,4.9,135708.3,27011,51
EXT.N0000,2022-06-14,5.2,5.2,5.0,5.0,6560.0,1270,7
EXT.N0000,2022-06-15,5.2,5.2,5.1,5.2,2510.0,485,4
EXT.N0000,2022-06-16,5.0,5.2,4.9,5.0,11665.6,2329,10
EXT.N0000,2022-06-19,5.0,5.2,4.8,5.2,25220.0,5000,6
EXT.N0000,2022-06-20,5.1,5.2,4.9,4.9,45200.5,8910,21
EXT.N0000,2022-06-21,5.1,5.1,5.1,5.1,1377.0,270,2
EXT.N0000,2022-06-22,4.9,4.9,4.9,4.9,7399.0,1510,7
EXT.N0000,2022-06-23,5.1,5.1,4.8,4.8,21507.6,4462,11
EXT.N0000,2022-06-26,5.0,5.0,5.0,5.0,845.0,169,2
EXT.N0000,2022-06-27,4.8,6.0,4.6,5.5,540533.2,98398,26
EXT.N0000,2022-06-29,5.2,5.2,5.0,5.2,10525.2,2101,4
EXT.N0000,2022-06-30,5.0,5.0,5.0,5.0,24735.0,4947,2
EXT.N0000,2022-07-03,5.0,5.0,5.0,5.0,265.0,53,1
EXT.N0000,2022-07-04,5.1,5.1,5.0,5.1,6047.1,1191,12
EXT.N0000,2022-07-05,4.8,4.8,4.5,4.5,375561.7,82953,42
EXT.N0000,2022-07-06,4.9,4.9,4.4,4.7,9931.9,2129,5
EXT.N0000,2022-07-07,5.0,5.0,4.6,4.6,5590.8,1198,4
EXT.N0000,2022-07-10,5.0,5.0,4.4,4.7,30290.8,6452,20
EXT.N0000,2022-07-11,4.7,5.0,4.7,5.0,54933.8,11106,17
EXT.N0000,2022-07-13,5.0,5.0,5.0,5.0,1565.0,313,5
EXT.N0000,2022-07-14,5.0,5.0,4.7,4.9,18310.0,3742,8
EXT.N0000,2022-07-17,5.0,5.0,4.7,4.7,5121.6,1060,6
EXT.N0000,2022-07-18,5.0,5.0,4.8,4.8,31860.5,6615,11
EXT.N0000,2022-07-19,5.0,5.0,5.0,5.0,685.0,137,1
EXT.N0000,2022-07-20,4.9,4.9,4.8,4.8,4661.9,966,16
EXT.N0000,2022-07-21,4.9,4.9,4.7,4.7,16675.6,3522,8
EXT.N0000,2022-07-25,4.7,4.7,4.6,4.6,74504.4,16195,21
EXT.N0000,2022-07-25,4.8,4.9,4.5,4.7,47991.7,10599,22
EXT.N0000,2022-07-26,4.7,4.7,4.5,4.6,16214.2,3536,8
EXT.N0000,2022-07-26,4.7,4.7,4.5,4.6,16214.2,3536,8
EXT.N0000,2022-07-27,4.6,4.7,4.5,4.7,56881.5,12315,25
EXT.N0000,2022-07-28,4.7,5.2,4.5,5.0,501943.7,101779,100
EXT.N0000,2022-07-31,5.0,5.0,4.6,4.6,607217.6,131898,31
EXT.N0000,2022-08-01,4.9,5.7,4.8,5.1,778633.6,153014,112
EXT.N0000,2022-08-02,5.0,5.5,5.0,5.0,2160557.5,431212,131
EXT.N0000,2022-08-03,5.4,5.5,5.0,5.1,79135.0,14787,21
EXT.N0000,2022-08-04,5.3,5.5,5.0,5.0,226241.8,44205,28
EXT.N0000,2022-08-07,5.4,5.4,5.0,5.0,235803.2,46791,27
EXT.N0000,2022-08-08,5.0,5.2,5.0,5.0,841891.2,168321,7
EXT.N0000,2022-08-09,5.2,5.8,5.2,5.3,801337.2,144700,70
EXT.N0000,2022-08-11,5.5,6.4,5.5,6.1,2739199.3,452648,130
EXT.N0000,2022-08-14,6.1,6.2,5.1,5.8,523854.1,87516,54
EXT.N0000,2022-08-15,6.0,6.1,5.5,5.9,403909.7,68176,33
EXT.N0000,2022-08-16,6.0,6.0,5.5,5.5,255698.5,45329,27
EXT.N0000,2022-08-17,6.0,6.1,5.6,6.1,444387.5,73771,42
EXT.N0000,2022-08-18,6.1,7.3,6.0,6.9,8202807.6,1215677,359
EXT.N0000,2022-08-21,7.0,7.2,6.1,6.7,1755819.6,253783,82
EXT.N0000,2022-08-22,7.0,7.0,6.2,6.8,1059286.1,155439,41
EXT.N0000,2022-08-23,6.6,6.9,6.2,6.4,358194.4,55932,24
EXT.N0000,2022-08-24,6.5,7.0,6.0,6.1,743874.8,112535,49
EXT.N0000,2022-08-25,6.4,6.9,6.4,6.7,156811.2,23653,27
EXT.N0000,2022-08-28,6.8,7.5,6.6,7.2,3669087.6,513263,113
EXT.N0000,2022-08-29,7.4,7.4,6.7,7.0,233326.8,33221,24
