ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
FCT.N0000,2021-12-22,47.4,47.4,39.0,40.1,141656201.3,3432978,1937
FCT.N0000,2021-12-23,41.5,41.5,40.3,40.9,10941429.5,266946,171
FCT.N0000,2021-12-26,41.0,43.2,40.5,42.9,49168461.1,1173230,533
FCT.N0000,2021-12-27,42.5,42.9,40.6,41.0,7080540.0,171513,136
FCT.N0000,2021-12-28,41.5,44.2,40.9,42.0,32840257.8,763732,277
FCT.N0000,2021-12-29,40.7,42.9,40.5,40.6,1908068.0,46905,47
FCT.N0000,2021-12-30,40.6,41.0,39.9,40.3,3230129.9,80230,64
FCT.N0000,2022-01-02,40.5,43.0,40.0,41.6,9781206.5,236543,94
FCT.N0000,2022-01-03,42.0,47.0,42.0,45.1,69101080.3,1547131,422
FCT.N0000,2022-01-04,46.2,46.2,43.0,43.8,13743767.0,307492,98
FCT.N0000,2022-01-05,43.8,46.0,42.5,45.0,3918541.1,87852,49
FCT.N0000,2022-01-06,42.7,44.5,42.7,43.6,14510026.3,330430,38
FCT.N0000,2022-01-09,42.6,44.4,42.6,43.1,2667563.0,61913,33
FCT.N0000,2022-01-10,42.6,51.0,42.6,48.6,53307753.6,1115387,379
FCT.N0000,2022-01-11,50.4,60.7,50.4,58.5,107295899.8,1938364,857
FCT.N0000,2022-01-12,61.0,65.1,59.5,60.3,55229580.9,890630,663
FCT.N0000,2022-01-17,58.0,60.3,55.0,55.4,7795954.1,138356,129
FCT.N0000,2022-01-18,51.0,58.0,51.0,55.0,5885526.8,109178,110
FCT.N0000,2022-01-19,55.9,55.9,51.3,53.7,4291143.5,81771,69
FCT.N0000,2022-01-20,52.3,53.9,52.0,52.5,1597154.9,30300,53
FCT.N0000,2022-01-23,52.1,53.9,51.6,52.0,6544729.0,125695,52
FCT.N0000,2022-01-24,52.0,53.4,51.6,51.6,4679913.3,90639,43
FCT.N0000,2022-01-25,51.5,52.8,51.0,51.7,1801175.1,34924,37
