ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
GLAS.N0000,2016-01-03,6.2,6.3,6.2,6.2,347149.7,55989,11
GLAS.N0000,2016-01-04,6.2,6.2,6.1,6.1,779989.0,127595,28
GLAS.N0000,2016-01-05,6.1,6.2,6.1,6.1,115511.5,18935,18
GLAS.N0000,2016-01-06,6.1,6.1,6.0,6.0,1155591.0,192538,55
GLAS.N0000,2016-01-07,6.0,6.0,5.9,5.9,687368.0,115117,57
GLAS.N0000,2016-01-10,5.9,5.9,5.7,5.8,1030093.8,177280,61
GLAS.N0000,2016-01-11,5.8,5.8,5.6,5.7,695050.3,121963,48
GLAS.N0000,2016-01-12,5.7,6.0,5.7,5.8,2683966.2,462385,74
GLAS.N0000,2016-01-13,5.9,5.9,5.7,5.7,951163.6,164567,26
GLAS.N0000,2016-01-17,5.8,5.8,5.6,5.7,1627045.1,286271,49
GLAS.N0000,2016-01-18,5.6,5.7,5.5,5.6,1204758.5,217440,48
GLAS.N0000,2016-01-19,5.7,5.7,5.3,5.4,1206436.6,221653,73
GLAS.N0000,2016-01-20,5.7,5.7,5.4,5.7,2809367.5,496971,45
GLAS.N0000,2016-01-21,5.6,5.8,5.6,5.6,852149.8,152014,54
GLAS.N0000,2016-01-24,5.6,5.7,5.5,5.5,196076.0,35610,18
GLAS.N0000,2016-01-25,5.6,5.6,5.4,5.5,932642.0,169070,43
GLAS.N0000,2016-01-26,5.7,5.7,5.4,5.5,427371.8,78166,23
GLAS.N0000,2016-01-27,5.4,5.6,5.4,5.5,152290.0,27470,11
GLAS.N0000,2016-01-28,5.6,5.7,5.6,5.7,26944.3,4799,8
GLAS.N0000,2016-01-31,5.7,5.7,5.6,5.7,51205.7,9001,4
GLAS.N0000,2016-02-01,5.8,5.9,5.7,5.8,14808159.9,2552781,157
GLAS.N0000,2016-02-02,5.8,5.8,5.7,5.8,1296669.7,223581,36
GLAS.N0000,2016-02-04,5.8,5.9,5.7,5.8,1494492.9,257498,41
GLAS.N0000,2016-02-07,5.8,5.9,5.7,5.7,97374.0,16960,16
GLAS.N0000,2016-02-08,5.7,5.8,5.7,5.8,17527.0,3065,5
GLAS.N0000,2016-02-09,5.8,5.8,5.7,5.8,436260.0,75600,4
GLAS.N0000,2016-02-10,5.8,5.8,5.7,5.7,129400.0,22700,15
GLAS.N0000,2016-02-11,5.7,5.7,5.5,5.5,1069318.4,191138,26
GLAS.N0000,2016-02-14,5.5,5.6,5.5,5.5,901973.0,163986,30
GLAS.N0000,2016-02-15,5.5,5.6,5.5,5.5,387838.0,70430,24
GLAS.N0000,2016-02-16,5.5,5.5,5.5,5.5,595375.0,108250,14
GLAS.N0000,2016-02-17,5.5,5.5,5.4,5.4,472312.1,86829,29
GLAS.N0000,2016-02-18,5.4,5.6,5.4,5.5,54672.5,10049,11
GLAS.N0000,2016-02-22,5.5,5.5,5.4,5.4,700365.1,129437,49
GLAS.N0000,2016-02-23,5.5,5.5,5.3,5.3,402006.7,74659,32
GLAS.N0000,2016-02-24,5.4,5.5,5.4,5.5,444869.0,82160,19
GLAS.N0000,2016-02-25,5.5,5.5,5.4,5.4,598857.1,110839,19
GLAS.N0000,2016-02-28,5.3,5.4,5.3,5.3,1103000.0,208000,29
GLAS.N0000,2016-02-29,5.3,5.3,5.2,5.3,826410.0,158130,41
GLAS.N0000,2016-03-01,5.3,5.4,5.2,5.2,87121.7,16472,14
GLAS.N0000,2016-03-02,5.2,5.3,5.2,5.2,1088141.1,208087,30
GLAS.N0000,2016-03-03,5.2,5.2,5.1,5.2,710165.2,138362,42
GLAS.N0000,2016-03-07,5.2,5.2,5.0,5.0,2573800.9,513570,65
GLAS.N0000,2016-03-08,5.0,5.0,4.7,5.0,14047607.0,2897271,94
GLAS.N0000,2016-03-09,5.0,5.0,4.8,5.0,29957295.8,6216435,139
GLAS.N0000,2016-03-10,5.1,5.1,5.0,5.1,675360.0,134756,26
GLAS.N0000,2016-03-13,5.0,5.0,4.9,4.9,1400324.2,285715,32
GLAS.N0000,2016-03-14,5.0,5.0,4.9,5.0,2725720.0,545364,51
GLAS.N0000,2016-03-15,5.0,5.1,5.0,5.0,2332135.0,466367,41
GLAS.N0000,2016-03-16,5.1,5.1,5.0,5.0,919364.6,183631,38
GLAS.N0000,2016-03-17,5.1,5.1,5.0,5.1,2140030.0,425886,59
GLAS.N0000,2016-03-20,5.1,5.1,5.1,5.1,1020.0,200,1
GLAS.N0000,2016-03-22,5.1,5.2,5.1,5.2,128358.0,25165,13
GLAS.N0000,2016-03-23,5.1,5.2,5.1,5.2,273228.4,52917,22
GLAS.N0000,2016-03-27,5.2,5.2,5.1,5.1,164431.6,32143,8
GLAS.N0000,2016-03-28,5.1,5.1,5.0,5.0,1462360.5,289382,45
GLAS.N0000,2016-03-29,5.2,5.2,5.0,5.0,1286210.4,257222,26
GLAS.N0000,2016-03-30,5.0,5.2,5.0,5.1,2099773.8,411728,44
GLAS.N0000,2016-03-31,5.2,5.3,5.2,5.2,1343556.3,258281,26
GLAS.N0000,2016-04-03,5.3,5.5,5.3,5.4,1878133.9,350658,76
