ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
GUAR.N0000,2016-01-03,171.1,171.1,171.0,171.0,136801.0,800,6
GUAR.N0000,2016-01-04,170.0,170.0,170.0,170.0,255000.0,1500,2
GUAR.N0000,2016-01-05,166.1,166.1,166.1,170.0,8471.1,51,1
GUAR.N0000,2016-01-06,166.1,166.1,166.1,170.0,1993.2,12,2
GUAR.N0000,2016-01-07,166.1,166.1,160.0,160.0,8985425.7,56146,10
GUAR.N0000,2016-01-10,160.0,160.0,156.0,159.9,8257560.0,51611,4
GUAR.N0000,2016-01-11,166.2,166.3,156.0,156.3,33063980.0,211490,15
GUAR.N0000,2016-01-12,165.0,166.3,160.0,164.0,20999.0,128,3
GUAR.N0000,2016-01-13,160.0,160.0,160.0,164.0,2880.0,18,1
GUAR.N0000,2016-01-17,156.1,156.1,153.0,155.5,52465.8,337,11
GUAR.N0000,2016-01-18,153.0,153.0,140.0,150.1,188351.0,1245,9
GUAR.N0000,2016-01-19,147.0,159.0,147.0,158.8,45149.0,291,3
GUAR.N0000,2016-01-21,160.0,160.0,160.0,160.0,16000.0,100,1
GUAR.N0000,2016-01-25,150.1,150.1,150.0,150.0,47260.0,315,6
GUAR.N0000,2016-01-27,150.0,150.0,150.0,150.0,30000.0,200,1
GUAR.N0000,2016-01-28,148.1,148.1,148.1,150.0,1184.8,8,1
GUAR.N0000,2016-01-31,151.0,151.0,151.0,150.0,3171.0,21,1
GUAR.N0000,2016-02-02,153.0,153.0,152.0,152.0,304003.0,2000,6
GUAR.N0000,2016-02-04,152.0,152.0,152.0,152.0,135888.0,894,7
GUAR.N0000,2016-02-07,152.0,152.0,150.1,151.5,21665.7,143,4
GUAR.N0000,2016-02-08,150.0,150.0,140.5,140.5,334835.6,2365,9
GUAR.N0000,2016-02-09,140.6,141.2,140.6,140.5,2255.6,16,2
GUAR.N0000,2016-02-10,141.2,141.2,141.2,141.2,28240.0,200,1
GUAR.N0000,2016-02-11,141.2,141.2,141.1,141.1,31044.0,220,9
GUAR.N0000,2016-02-14,141.2,141.2,141.2,141.2,28240.0,200,2
GUAR.N0000,2016-02-15,145.0,145.0,140.1,140.3,197330.0,1406,6
GUAR.N0000,2016-02-16,140.3,140.5,140.3,140.5,83578.5,595,3
GUAR.N0000,2016-02-17,140.4,140.4,138.0,138.0,576642.0,4109,8
GUAR.N0000,2016-02-18,138.0,140.0,138.0,138.0,6250.0,45,2
GUAR.N0000,2016-02-22,138.5,138.5,138.5,138.5,25622.5,185,2
GUAR.N0000,2016-02-23,137.0,137.0,136.1,136.2,50821.8,372,9
GUAR.N0000,2016-02-24,139.0,139.0,139.0,136.2,695.0,5,1
GUAR.N0000,2016-02-25,134.1,135.0,134.0,134.3,182726.0,1361,7
GUAR.N0000,2016-02-28,133.0,136.0,130.0,130.3,52462.1,402,15
GUAR.N0000,2016-02-29,136.0,136.0,136.0,130.3,136.0,1,1
GUAR.N0000,2016-03-01,130.1,136.0,130.0,134.3,387351.9,2885,9
GUAR.N0000,2016-03-02,130.0,130.0,128.1,128.1,15410.0,120,2
GUAR.N0000,2016-03-03,128.1,128.1,128.1,128.1,128100.0,1000,6
GUAR.N0000,2016-03-07,125.1,125.1,125.0,125.0,35510.0,284,7
GUAR.N0000,2016-03-08,122.1,122.1,122.1,122.1,29426.1,241,3
GUAR.N0000,2016-03-09,122.1,128.9,122.1,128.1,1235092.0,9679,14
GUAR.N0000,2016-03-10,128.9,128.9,128.0,128.5,47668.0,371,4
GUAR.N0000,2016-03-13,128.9,128.9,120.0,120.6,221993.8,1809,13
GUAR.N0000,2016-03-14,125.0,125.0,125.0,120.6,125.0,1,1
GUAR.N0000,2016-03-15,120.0,120.0,119.0,119.2,604181.0,5053,15
GUAR.N0000,2016-03-16,120.0,120.0,119.0,119.1,136399.0,1145,10
GUAR.N0000,2016-03-17,125.0,125.0,120.0,120.0,35905.0,299,9
GUAR.N0000,2016-03-20,119.0,119.0,118.5,118.5,53503.5,451,8
GUAR.N0000,2016-03-22,118.5,120.1,118.5,120.0,132060.5,1108,7
GUAR.N0000,2016-03-23,128.0,128.0,128.0,120.0,1280.0,10,1
GUAR.N0000,2016-03-27,120.5,130.0,120.5,120.5,1316335.0,10920,3
GUAR.N0000,2016-03-28,120.5,120.5,120.5,120.5,12170.5,101,3
GUAR.N0000,2016-03-29,120.5,120.5,120.0,120.0,84210.8,701,8
GUAR.N0000,2016-03-30,120.0,128.0,119.0,119.7,22499.0,188,3
GUAR.N0000,2016-04-04,125.0,128.0,119.2,127.9,1515521.0,11847,8
GUAR.N0000,2016-04-06,128.0,130.0,128.0,129.9,5640298.0,43623,22
GUAR.N0000,2016-04-07,131.0,135.0,131.0,133.9,3835784.5,29030,21
GUAR.N0000,2016-04-10,132.1,132.1,132.0,132.0,1553293.0,11767,26
