ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
HAPU.N0000,2016-01-05,26.9,26.9,22.0,25.1,4039.0,160,4
HAPU.N0000,2016-01-06,26.8,26.8,26.7,25.1,80.2,3,2
HAPU.N0000,2016-01-10,22.0,22.0,21.7,21.7,17366.9,800,2
HAPU.N0000,2016-01-17,21.8,21.8,21.6,21.6,14743.0,680,6
HAPU.N0000,2016-01-19,20.1,20.1,20.1,21.6,100.5,5,1
HAPU.N0000,2016-01-21,22.0,22.0,22.0,22.0,4400.0,200,1
HAPU.N0000,2016-01-26,22.1,22.1,22.0,22.0,2203.3,100,2
HAPU.N0000,2016-01-31,24.0,24.0,24.0,22.0,504.0,21,2
HAPU.N0000,2016-02-04,27.5,27.5,27.5,22.0,27.5,1,1
HAPU.N0000,2016-02-09,21.2,21.5,21.2,22.0,128.7,6,2
HAPU.N0000,2016-02-10,21.2,21.2,20.8,20.9,2301.4,110,5
HAPU.N0000,2016-02-14,20.8,20.8,20.8,20.8,2080.0,100,1
HAPU.N0000,2016-02-15,16.2,18.2,16.2,17.0,2912.2,171,2
HAPU.N0000,2016-02-16,21.2,21.2,21.2,17.0,212.0,10,1
HAPU.N0000,2016-02-17,18.2,18.2,18.1,18.1,20619.8,1139,4
HAPU.N0000,2016-02-18,17.4,17.4,17.4,17.4,1740.0,100,2
HAPU.N0000,2016-02-22,17.6,17.6,17.5,17.5,2630.0,150,2
HAPU.N0000,2016-02-23,17.5,20.0,17.4,17.5,22639.0,1294,12
HAPU.N0000,2016-02-25,17.5,17.5,17.5,17.5,3710.0,212,3
HAPU.N0000,2016-03-07,17.4,17.4,17.4,17.5,17.4,1,1
HAPU.N0000,2016-03-09,17.4,17.4,17.0,17.2,1719.6,100,3
HAPU.N0000,2016-03-10,19.8,19.8,15.3,15.3,1690.2,109,3
HAPU.N0000,2016-03-13,16.3,16.3,16.3,16.3,1630.0,100,1
HAPU.N0000,2016-03-20,19.4,19.4,19.4,16.3,77.6,4,1
HAPU.N0000,2016-03-22,20.3,20.3,20.3,16.3,1015.0,50,1
HAPU.N0000,2016-03-23,20.2,20.2,16.5,16.5,31595.4,1898,12
HAPU.N0000,2016-03-27,16.5,16.5,16.5,16.5,1650.0,100,1
HAPU.N0000,2016-03-29,16.6,16.6,16.6,16.5,66.4,4,1
HAPU.N0000,2016-03-30,17.5,17.5,17.5,17.5,8750.0,500,3
HAPU.N0000,2016-04-03,18.8,18.8,18.8,17.5,18.8,1,1
HAPU.N0000,2016-04-04,21.4,21.4,21.4,21.4,2140.0,100,1
HAPU.N0000,2016-04-06,20.9,20.9,20.9,21.4,250.8,12,2
HAPU.N0000,2016-04-07,20.0,20.0,19.9,20.0,24989.4,1250,11
HAPU.N0000,2016-04-10,20.0,20.0,18.5,20.0,1125.0,60,2
HAPU.N0000,2016-04-11,20.0,21.7,20.0,20.1,9137.0,456,5
HAPU.N0000,2016-04-18,18.0,18.0,18.0,20.1,306.0,17,1
HAPU.N0000,2016-04-21,20.0,20.0,20.0,20.0,2000.0,100,1
HAPU.N0000,2016-04-24,21.5,22.0,21.5,21.8,63745.5,2918,11
HAPU.N0000,2016-04-25,22.4,22.4,22.4,22.4,2240.0,100,1
HAPU.N0000,2016-04-26,20.1,20.1,20.0,20.1,4010.0,200,2
HAPU.N0000,2016-04-27,21.9,21.9,21.9,20.1,1095.0,50,1
HAPU.N0000,2016-05-02,22.0,22.0,21.9,20.1,700.9,32,6
HAPU.N0000,2016-05-03,21.7,21.7,21.7,20.1,108.5,5,1
HAPU.N0000,2016-05-04,20.3,21.0,20.3,20.1,145.6,7,3
HAPU.N0000,2016-05-05,21.0,21.7,21.0,21.5,9025.8,419,4
