ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
HASU.N0000,2016-01-04,72.5,72.5,70.1,70.2,96256.7,1372,4
HASU.N0000,2016-01-05,70.5,70.5,70.0,70.0,2268393.5,32400,35
HASU.N0000,2016-01-06,72.9,72.9,69.3,70.0,372239.0,5310,5
HASU.N0000,2016-01-07,69.8,69.8,69.0,69.2,34612.4,500,6
HASU.N0000,2016-01-10,70.0,70.0,69.2,69.4,31369.2,451,3
HASU.N0000,2016-01-11,69.0,69.0,67.0,67.0,1156083.0,17197,13
HASU.N0000,2016-01-12,67.0,69.5,67.0,69.4,503748.0,7299,11
HASU.N0000,2016-01-13,69.1,69.1,67.0,69.1,1403911.0,20327,7
HASU.N0000,2016-01-17,67.0,67.0,65.2,65.9,52740.4,795,10
HASU.N0000,2016-01-18,65.2,65.2,64.0,64.0,292481.6,4510,11
HASU.N0000,2016-01-19,64.1,64.1,63.0,63.5,111048.0,1750,9
HASU.N0000,2016-01-21,65.0,65.1,65.0,65.0,247115.0,3801,7
HASU.N0000,2016-01-24,67.0,67.0,67.0,65.0,67.0,1,1
HASU.N0000,2016-01-26,64.0,64.1,64.0,64.1,12884.0,201,2
HASU.N0000,2016-01-27,65.7,65.8,65.7,64.1,2037.3,31,3
HASU.N0000,2016-01-28,65.8,65.8,65.7,65.7,13144.5,200,3
HASU.N0000,2016-01-31,65.0,65.0,65.0,65.0,113750.0,1750,1
HASU.N0000,2016-02-01,67.1,67.1,67.1,65.0,1677.5,25,1
HASU.N0000,2016-02-02,65.1,65.1,65.0,65.0,145082.0,2232,10
HASU.N0000,2016-02-04,65.0,65.0,65.0,65.0,1733290.0,26666,3
HASU.N0000,2016-02-07,65.1,65.1,65.1,65.1,26886.3,413,2
HASU.N0000,2016-02-08,65.1,65.1,65.1,65.1,6510.0,100,1
HASU.N0000,2016-02-09,69.0,69.0,65.8,67.6,8382.1,124,3
HASU.N0000,2016-02-10,65.5,65.5,65.0,65.0,596604.2,9172,14
HASU.N0000,2016-02-11,64.5,65.0,64.5,65.0,707463.0,10885,12
HASU.N0000,2016-02-14,65.0,65.0,64.9,65.0,374550.0,5763,9
HASU.N0000,2016-02-15,62.2,62.2,62.1,62.2,43510.0,700,3
HASU.N0000,2016-02-16,62.1,62.1,62.1,62.1,24840.0,400,2
HASU.N0000,2016-02-18,63.0,63.1,62.2,62.6,25907105.4,410654,11
HASU.N0000,2016-02-22,62.2,62.2,62.0,62.2,7957.4,128,8
HASU.N0000,2016-02-23,61.0,61.0,61.0,61.0,67344.0,1104,5
HASU.N0000,2016-02-24,60.5,60.5,60.0,60.0,1132920.0,18872,6
HASU.N0000,2016-02-25,62.2,62.2,62.0,62.0,8314.8,134,2
HASU.N0000,2016-02-28,60.0,60.0,58.0,58.3,301875.1,5148,17
HASU.N0000,2016-02-29,58.0,58.0,58.0,58.0,160834.0,2773,9
HASU.N0000,2016-03-01,57.0,57.0,57.0,57.0,34200.0,600,2
HASU.N0000,2016-03-02,57.0,57.0,57.0,57.0,8550.0,150,2
HASU.N0000,2016-03-03,57.0,57.0,56.5,56.5,156781.5,2773,8
HASU.N0000,2016-03-07,56.6,56.6,55.1,55.1,15555.1,282,4
HASU.N0000,2016-03-08,55.1,55.5,55.0,55.1,84543.0,1534,6
HASU.N0000,2016-03-09,55.0,55.0,54.0,55.0,2910650.0,52930,43
HASU.N0000,2016-03-10,55.5,59.6,55.0,58.0,119146.0,2140,12
HASU.N0000,2016-03-13,59.0,59.0,55.1,58.0,2991.0,54,2
HASU.N0000,2016-03-14,59.0,59.9,57.0,57.2,64359.0,1096,8
HASU.N0000,2016-03-15,57.0,57.0,56.5,56.5,1734900.0,30700,5
HASU.N0000,2016-03-16,56.5,56.5,56.5,56.5,565000.0,10000,7
HASU.N0000,2016-03-17,56.6,56.6,56.5,56.5,7121.5,126,3
HASU.N0000,2016-03-20,57.0,57.0,57.0,57.0,27018.0,474,1
HASU.N0000,2016-03-22,57.8,57.8,55.2,57.0,1945.0,35,2
HASU.N0000,2016-03-23,55.5,57.0,55.0,55.1,214004.5,3882,13
HASU.N0000,2016-03-27,57.0,57.0,56.5,56.8,162912.6,2865,9
HASU.N0000,2016-03-28,55.2,55.5,55.0,55.5,496235.0,9001,12
HASU.N0000,2016-03-29,55.0,55.0,54.0,54.0,98855.0,1815,11
HASU.N0000,2016-03-31,53.0,53.1,53.0,53.0,212020.0,4000,13
HASU.N0000,2016-04-03,53.9,55.0,53.9,53.9,70125.0,1300,6
HASU.N0000,2016-04-04,54.9,56.0,54.9,55.9,299617.5,5358,10
HASU.N0000,2016-04-05,55.0,57.0,55.0,56.8,495942.2,8733,9
HASU.N0000,2016-04-06,58.0,59.0,57.9,58.7,524480.0,9000,14
HASU.N0000,2016-04-07,59.0,60.0,59.0,60.0,199426.0,3325,11
HASU.N0000,2016-04-10,59.5,60.0,59.4,60.0,2856080.0,47687,18
HASU.N0000,2016-04-11,60.0,64.5,59.4,61.2,736383.1,12040,21
HASU.N0000,2016-04-14,63.5,63.5,63.5,61.2,63.5,1,1
HASU.N0000,2016-04-17,63.0,63.0,59.1,59.2,110052.8,1853,10
HASU.N0000,2016-04-19,59.1,59.1,59.1,59.2,5614.5,95,1
HASU.N0000,2016-04-21,60.0,60.1,60.0,60.0,86105.0,1435,4
HASU.N0000,2016-04-24,59.0,59.0,59.0,59.0,191514.0,3246,8
HASU.N0000,2016-04-25,58.0,62.0,58.0,59.0,802.0,13,4
HASU.N0000,2016-04-26,62.0,62.0,61.0,61.0,61062.0,1001,2
HASU.N0000,2016-04-28,61.0,61.0,61.0,61.0,122000.0,2000,2
HASU.N0000,2016-05-02,61.0,61.2,61.0,61.2,3803889.0,62349,41
HASU.N0000,2016-05-03,61.9,61.9,60.3,61.0,2995815.6,49234,40
HASU.N0000,2016-05-04,61.0,61.5,61.0,61.5,156660.0,2560,10
HASU.N0000,2016-05-05,61.5,61.5,61.5,61.5,75645.0,1230,2
HASU.N0000,2016-05-08,62.4,62.4,62.4,62.4,12480.0,200,1
HASU.N0000,2016-05-09,62.5,66.8,62.5,65.3,3083219.5,47692,30
HASU.N0000,2016-05-10,63.0,66.9,63.0,66.3,2526688.4,38768,24
HASU.N0000,2016-05-11,66.3,68.0,66.0,67.0,2788222.4,41635,19
HASU.N0000,2016-05-12,66.5,67.9,66.5,67.9,380731.9,5617,12
HASU.N0000,2016-05-15,68.0,68.8,68.0,68.8,231768.8,3395,11
HASU.N0000,2016-05-16,67.7,67.7,66.5,67.0,2507783.0,37500,20
HASU.N0000,2016-05-17,66.5,67.9,65.0,65.0,1184790.4,18224,11
HASU.N0000,2016-05-18,65.0,65.0,65.0,65.0,910.0,14,1
HASU.N0000,2016-05-19,65.0,65.0,64.0,64.0,630714.5,9851,11
HASU.N0000,2016-05-23,63.0,63.0,61.0,61.5,210736.0,3415,13
HASU.N0000,2016-05-24,63.5,65.0,63.5,63.9,202200.5,3163,10
HASU.N0000,2016-05-25,65.0,65.0,64.9,63.9,194.8,3,2
