ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
HEXP.N0000,2016-01-03,58.5,60.5,58.5,60.0,26579.0,443,7
HEXP.N0000,2016-01-04,59.0,60.4,58.5,58.8,123888.5,2105,13
HEXP.N0000,2016-01-05,58.5,58.5,56.0,56.2,52709.2,924,14
HEXP.N0000,2016-01-06,58.9,58.9,56.5,56.6,50094.4,881,8
HEXP.N0000,2016-01-07,56.0,58.0,56.0,56.1,682944.0,12187,21
HEXP.N0000,2016-01-10,56.1,56.7,55.5,56.0,14882517.5,265744,131
HEXP.N0000,2016-01-11,56.1,57.5,56.0,56.1,1020770.6,18198,33
HEXP.N0000,2016-01-12,57.0,59.9,57.0,59.4,342665.5,5811,21
HEXP.N0000,2016-01-13,56.1,56.1,56.0,56.0,1040254.0,18574,10
HEXP.N0000,2016-01-17,56.0,57.0,53.0,54.0,834863.5,15151,41
HEXP.N0000,2016-01-18,53.0,54.8,53.0,53.8,466200.5,8660,14
HEXP.N0000,2016-01-19,54.5,54.5,52.0,53.9,266603.9,5001,10
HEXP.N0000,2016-01-20,54.0,60.5,54.0,57.8,5170141.2,89477,96
HEXP.N0000,2016-01-21,61.0,61.0,56.6,58.4,204384.2,3488,15
HEXP.N0000,2016-01-24,59.4,59.4,56.1,58.2,210906.8,3653,16
HEXP.N0000,2016-01-25,59.8,59.8,58.4,59.0,25153.4,427,6
HEXP.N0000,2016-01-26,58.4,58.4,58.4,58.4,45960.8,787,1
HEXP.N0000,2016-01-27,59.0,59.0,54.1,58.4,814651.2,14763,19
HEXP.N0000,2016-01-31,58.1,58.1,56.7,56.7,19903.1,351,4
HEXP.N0000,2016-02-01,57.5,58.3,57.5,58.3,157415.7,2718,12
HEXP.N0000,2016-02-02,58.4,58.4,58.4,58.3,58.4,1,1
HEXP.N0000,2016-02-04,58.0,58.4,55.5,56.7,344779.4,6061,21
HEXP.N0000,2016-02-07,59.5,59.8,59.0,59.0,6496.3,110,4
HEXP.N0000,2016-02-08,57.9,57.9,57.9,57.9,14532.9,251,1
HEXP.N0000,2016-02-09,59.0,59.0,56.5,57.5,265462.2,4647,24
HEXP.N0000,2016-02-10,56.5,57.5,55.0,55.5,197199.1,3549,15
