ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
HHL.N0000,2016-01-03,92.9,92.9,87.2,92.7,701081.6,7713,13
HHL.N0000,2016-01-04,92.8,92.9,90.0,91.9,626573.4,6800,10
HHL.N0000,2016-01-05,88.9,91.5,88.9,91.4,188235.1,2059,5
HHL.N0000,2016-01-06,90.0,91.0,90.0,90.3,279904.0,3100,4
HHL.N0000,2016-01-07,88.5,88.5,86.0,87.9,36354580.0,411853,37
HHL.N0000,2016-01-10,87.0,87.9,85.0,85.2,26436191.0,302511,27
HHL.N0000,2016-01-11,82.0,84.0,79.0,80.7,12944036.5,160479,61
HHL.N0000,2016-01-12,80.7,82.0,79.1,80.0,36808202.0,459662,100
HHL.N0000,2016-01-13,80.0,80.0,77.9,78.0,81251264.8,1041615,29
HHL.N0000,2016-01-17,78.1,79.9,75.0,77.0,28625715.5,376257,34
HHL.N0000,2016-01-18,76.0,77.0,72.0,76.6,3051082.0,40684,32
HHL.N0000,2016-01-19,77.8,79.0,76.3,78.8,4346194.5,56000,22
HHL.N0000,2016-01-20,77.5,84.0,77.5,81.1,2021333.0,25320,21
HHL.N0000,2016-01-21,80.1,82.9,80.0,82.0,2523660.0,30780,7
HHL.N0000,2016-01-24,82.8,82.8,79.0,80.4,1209574.5,15046,19
HHL.N0000,2016-01-25,80.0,80.0,80.0,80.0,659200.0,8240,7
HHL.N0000,2016-01-26,80.0,82.0,80.0,81.7,447691.0,5491,10
HHL.N0000,2016-01-27,79.4,82.0,79.3,80.5,407035.5,5060,5
HHL.N0000,2016-01-28,80.0,85.0,80.0,84.4,1032277.3,12250,14
HHL.N0000,2016-01-31,84.9,87.9,84.4,86.2,688729.8,8072,19
HHL.N0000,2016-02-01,87.9,87.9,86.0,87.0,1053594.7,12207,9
HHL.N0000,2016-02-02,87.0,87.0,85.0,85.0,4250087.0,50001,3
HHL.N0000,2016-02-04,85.0,87.0,85.0,86.9,5839155.8,68617,27
HHL.N0000,2016-02-07,83.1,85.0,80.0,84.9,133610601.6,1619676,32
HHL.N0000,2016-02-08,82.5,84.9,82.5,84.6,369722.5,4373,6
HHL.N0000,2016-02-09,83.9,83.9,83.9,83.9,83900.0,1000,1
HHL.N0000,2016-02-10,82.5,82.5,79.0,79.8,3744921.0,46786,52
HHL.N0000,2016-02-11,81.5,82.5,79.0,80.0,8710203.0,106203,19
HHL.N0000,2016-02-14,81.0,82.0,78.6,78.9,1571988.0,19730,27
HHL.N0000,2016-02-15,80.0,80.0,78.3,78.5,22022058.3,276290,32
HHL.N0000,2016-02-16,79.9,80.0,78.3,78.7,2391414.5,30192,15
HHL.N0000,2016-02-17,80.0,80.0,78.0,78.0,2301782.0,29447,18
HHL.N0000,2016-02-18,77.5,80.0,77.5,80.0,307190.0,3870,11
HHL.N0000,2016-02-22,78.6,79.9,78.6,79.9,42116022.6,526451,4
HHL.N0000,2016-02-23,79.9,80.0,78.0,80.0,406359.8,5109,17
HHL.N0000,2016-02-24,80.0,80.0,79.0,80.0,70924925.0,897715,8
HHL.N0000,2016-02-25,79.9,79.9,77.5,79.5,298195.4,3751,9
HHL.N0000,2016-02-28,77.5,79.9,77.5,79.7,99551.5,1251,7
HHL.N0000,2016-02-29,79.0,79.0,78.5,78.9,22654489.6,286793,36
HHL.N0000,2016-03-01,77.1,79.0,77.1,78.4,508343.5,6500,7
HHL.N0000,2016-03-02,77.1,79.9,76.0,77.6,1225737.0,15804,12
HHL.N0000,2016-03-03,77.6,79.9,77.6,78.9,21084872.0,271670,7
HHL.N0000,2016-03-07,77.6,77.6,74.2,75.9,60236366.9,792955,25
HHL.N0000,2016-03-08,75.0,75.0,72.0,73.5,634923.1,8612,15
HHL.N0000,2016-03-09,73.5,77.5,73.5,76.0,24439595.0,323051,34
HHL.N0000,2016-03-10,77.8,79.0,77.8,78.3,517172.7,6606,10
HHL.N0000,2016-03-13,77.0,81.0,77.0,79.9,1136255.3,14620,17
HHL.N0000,2016-03-14,79.9,80.0,79.0,79.1,11269700.0,142500,9
HHL.N0000,2016-03-15,79.8,82.8,78.0,80.8,646528.5,8005,16
HHL.N0000,2016-03-16,83.0,83.0,82.8,82.9,248633.0,3001,6
HHL.N0000,2016-03-17,80.0,85.0,79.2,83.2,820973.8,9926,25
HHL.N0000,2016-03-20,84.5,84.5,84.5,84.5,85936.5,1017,6
HHL.N0000,2016-03-22,80.0,84.0,80.0,84.0,2168356.0,25814,4
HHL.N0000,2016-03-23,83.7,83.7,81.0,81.0,3427284.5,42310,9
