ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
HNBF.N0000,2020-05-19,5.7,5.7,5.0,5.2,819825.6,151406,75
HNBF.N0000,2020-05-21,5.9,5.9,5.2,5.5,1718413.8,312447,86
HNBF.N0000,2020-05-22,5.4,5.5,5.4,5.5,1044056.5,192079,40
HNBF.N0000,2020-05-25,5.5,5.5,5.4,5.4,940976.8,174223,19
HNBF.N0000,2020-05-26,5.3,5.6,5.1,5.3,510781.5,97274,62
HNBF.N0000,2020-05-27,5.4,5.4,5.2,5.2,180385.2,34675,35
HNBF.N0000,2020-05-28,5.3,5.4,5.1,5.3,51596.1,9812,41
HNBF.N0000,2020-05-31,5.4,5.4,5.1,5.2,36923.0,7175,9
HNBF.N0000,2020-06-01,5.4,5.4,5.1,5.1,26786.6,5215,12
HNBF.N0000,2020-06-02,5.3,5.3,5.0,5.0,437177.8,86813,41
HNBF.N0000,2020-06-03,5.1,5.1,4.9,4.9,43486.0,8763,17
HNBF.N0000,2020-06-07,5.2,5.2,4.9,5.0,60170.0,12052,48
HNBF.N0000,2020-06-08,5.1,5.2,5.0,5.0,161393.6,32231,40
HNBF.N0000,2020-06-09,5.0,5.0,4.8,4.9,286517.3,58259,52
HNBF.N0000,2020-06-10,5.0,5.0,4.9,4.9,61696.7,12591,36
HNBF.N0000,2020-06-11,5.0,5.0,4.8,4.8,138623.5,28125,32
HNBF.N0000,2020-06-14,5.0,5.0,4.8,4.9,103843.4,21221,10
HNBF.N0000,2020-06-15,4.9,4.9,4.8,4.9,91539.6,18804,20
HNBF.N0000,2020-06-16,5.0,5.0,5.0,4.9,100.0,20,2
HNBF.N0000,2020-06-17,4.9,5.0,4.9,4.9,343282.5,69914,30
HNBF.N0000,2020-06-18,4.9,5.0,4.8,5.0,229279.6,46631,26
HNBF.N0000,2020-06-21,5.0,5.2,4.9,5.1,402653.7,80693,33
HNBF.N0000,2020-06-22,5.2,5.6,5.2,5.6,662929.8,122004,59
HNBF.N0000,2020-06-23,5.7,5.8,5.4,5.5,158397.3,28389,59
HNBF.N0000,2020-06-24,5.6,5.6,5.3,5.3,143524.8,26640,26
HNBF.N0000,2020-06-25,5.4,5.4,5.2,5.2,301280.2,57100,38
HNBF.N0000,2020-06-28,5.3,5.3,5.2,5.3,12330.8,2336,19
HNBF.N0000,2020-06-29,5.3,5.5,5.1,5.3,155043.0,29839,21
HNBF.N0000,2020-06-30,5.3,5.3,5.2,5.2,79546.1,15297,10
HNBF.N0000,2020-07-01,5.3,5.3,5.1,5.1,111311.5,21714,14
HNBF.N0000,2020-07-02,5.2,5.3,5.1,5.2,160633.3,31145,17
HNBF.N0000,2020-07-05,5.2,5.2,5.1,5.2,10821.8,2100,6
HNBF.N0000,2020-07-06,5.4,5.4,5.2,5.2,18006.2,3437,9
HNBF.N0000,2020-07-07,5.3,5.3,5.3,5.3,55120.0,10400,9
HNBF.N0000,2020-07-08,5.3,5.5,5.3,5.4,275876.0,51106,20
HNBF.N0000,2020-07-09,5.2,5.2,5.1,5.1,271571.5,52698,33
HNBF.N0000,2020-07-12,5.0,5.2,4.8,4.9,69090.0,13908,17
HNBF.N0000,2020-07-13,5.0,5.1,5.0,5.1,53060.0,10600,4
HNBF.N0000,2020-07-14,5.0,5.1,5.0,5.0,50510.0,10100,7
