ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
HOPL.N0000,2016-01-03,20.4,20.4,20.2,20.2,50525.0,2500,4
HOPL.N0000,2016-01-04,21.9,21.9,21.9,20.2,21.9,1,1
HOPL.N0000,2016-01-05,20.3,20.3,20.3,20.3,3004.4,148,3
HOPL.N0000,2016-01-06,20.0,20.0,20.0,20.3,1000.0,50,1
HOPL.N0000,2016-01-10,20.1,20.1,19.5,19.5,320535.1,16429,14
HOPL.N0000,2016-01-13,19.2,20.9,19.2,19.4,21340.9,1101,3
HOPL.N0000,2016-01-17,19.0,20.5,18.5,19.0,13235.0,705,10
HOPL.N0000,2016-01-19,18.4,20.9,18.4,19.6,1978.5,101,3
HOPL.N0000,2016-01-21,18.5,19.9,18.5,18.5,1869.9,101,2
HOPL.N0000,2016-01-26,18.6,20.3,18.6,18.6,9320.3,501,4
HOPL.N0000,2016-01-27,18.6,18.6,18.6,18.6,5580.0,300,2
HOPL.N0000,2016-01-28,18.6,18.6,18.6,18.6,3720.0,200,2
HOPL.N0000,2016-01-31,20.5,20.5,20.5,18.6,123.0,6,2
HOPL.N0000,2016-02-01,20.5,20.9,20.5,20.9,3545.9,171,3
HOPL.N0000,2016-02-02,20.9,21.8,18.8,18.8,10470.8,511,5
HOPL.N0000,2016-02-04,21.8,21.8,21.8,18.8,21.8,1,1
HOPL.N0000,2016-02-07,18.9,20.9,18.5,18.6,58434.9,3125,9
HOPL.N0000,2016-02-08,20.7,20.8,20.5,20.5,12340.8,601,4
HOPL.N0000,2016-02-09,20.8,20.8,20.8,20.5,20.8,1,1
HOPL.N0000,2016-02-10,20.5,20.5,18.6,18.6,18620.5,1001,3
HOPL.N0000,2016-02-14,19.8,19.8,18.6,18.6,1043.2,53,5
HOPL.N0000,2016-02-15,19.9,19.9,19.9,18.6,19.9,1,1
HOPL.N0000,2016-02-16,18.7,22.3,18.7,19.1,231328.4,12140,10
HOPL.N0000,2016-02-17,18.2,22.2,18.2,19.1,40.4,2,2
HOPL.N0000,2016-02-18,20.6,20.6,20.6,19.1,20.6,1,1
HOPL.N0000,2016-02-22,20.3,23.5,18.3,21.0,92231.1,4389,12
HOPL.N0000,2016-02-23,18.6,22.3,18.6,21.0,781.1,37,4
HOPL.N0000,2016-02-24,18.9,19.1,18.9,19.1,5824.5,305,5
HOPL.N0000,2016-02-28,18.9,18.9,18.9,19.1,1852.2,98,3
HOPL.N0000,2016-02-29,18.9,18.9,18.7,18.7,39252.0,2098,5
HOPL.N0000,2016-03-02,18.5,18.5,18.1,18.4,46176.7,2507,4
HOPL.N0000,2016-03-03,18.1,18.1,17.0,17.0,1446575.3,84919,9
HOPL.N0000,2016-03-07,17.2,17.2,17.2,17.2,25800.0,1500,6
HOPL.N0000,2016-03-08,16.0,16.0,14.0,15.0,345395.0,22983,8
HOPL.N0000,2016-03-10,18.0,18.0,15.0,15.0,3945.0,262,3
HOPL.N0000,2016-03-13,14.0,14.0,14.0,15.0,350.0,25,1
HOPL.N0000,2016-03-15,17.2,18.5,17.2,18.5,60166.9,3303,11
HOPL.N0000,2016-03-16,16.5,16.5,16.5,16.5,8250.0,500,1
HOPL.N0000,2016-03-22,16.7,20.0,16.7,16.5,53.4,3,2
HOPL.N0000,2016-03-27,17.0,17.0,16.6,16.8,168852.0,10054,14
HOPL.N0000,2016-03-28,16.4,16.6,16.4,16.5,2470.0,150,2
HOPL.N0000,2016-03-29,16.7,16.8,16.7,16.7,38924.0,2330,4
HOPL.N0000,2016-03-30,16.9,16.9,16.9,16.9,5070.0,300,1
HOPL.N0000,2016-03-31,16.6,16.6,16.6,16.6,28220.0,1700,2
HOPL.N0000,2016-04-03,17.2,17.2,17.2,16.6,17.2,1,1
HOPL.N0000,2016-04-04,17.2,17.5,17.2,17.4,38322.8,2199,3
HOPL.N0000,2016-04-05,17.1,17.1,17.0,17.0,12926.0,760,6
HOPL.N0000,2016-04-06,17.0,17.0,17.0,17.0,19550.0,1150,1
HOPL.N0000,2016-04-07,17.2,19.9,17.2,19.5,176748.6,9252,27
HOPL.N0000,2016-04-10,19.5,19.5,19.5,19.5,390.0,20,2
HOPL.N0000,2016-04-11,19.5,19.5,19.5,19.5,9886.5,507,12
HOPL.N0000,2016-04-14,19.8,20.8,19.8,20.7,40012.1,1939,22
HOPL.N0000,2016-04-17,20.0,20.0,20.0,20.7,940.0,47,1
HOPL.N0000,2016-04-21,20.0,20.8,20.0,20.5,13373.6,665,5
HOPL.N0000,2016-04-25,20.3,20.3,20.3,20.5,81.2,4,2
HOPL.N0000,2016-04-26,20.3,20.3,20.3,20.5,81.2,4,1
HOPL.N0000,2016-04-28,20.2,20.3,20.2,20.2,15520.1,767,3
HOPL.N0000,2016-05-04,18.7,20.4,18.7,19.0,19039.1,1002,3
HOPL.N0000,2016-05-08,19.0,21.0,19.0,20.9,17277.8,828,5
HOPL.N0000,2016-05-09,21.7,21.7,21.0,21.6,25900.0,1200,4
HOPL.N0000,2016-05-10,22.2,22.2,22.2,22.2,2819.4,127,2
HOPL.N0000,2016-05-11,22.0,22.9,22.0,22.3,156854.6,7040,16
HOPL.N0000,2016-05-12,22.0,22.0,22.0,22.3,440.0,20,2
HOPL.N0000,2016-05-15,22.5,22.5,21.5,21.7,32555.6,1500,7
HOPL.N0000,2016-05-16,21.7,21.7,21.7,21.7,56420.0,2600,3
HOPL.N0000,2016-05-17,21.7,22.0,21.7,21.7,26062.0,1201,5
HOPL.N0000,2016-05-18,22.0,22.0,22.0,22.0,43978.0,1999,3
HOPL.N0000,2016-05-23,21.6,22.0,21.6,21.6,33812.8,1564,3
HOPL.N0000,2016-05-25,21.5,21.5,21.5,21.5,7460.5,347,1
HOPL.N0000,2016-05-26,22.0,22.0,22.0,21.5,220.0,10,1
HOPL.N0000,2016-05-29,22.0,22.0,22.0,22.0,21076.0,958,1
HOPL.N0000,2016-05-30,22.0,22.0,22.0,22.0,17600.0,800,1
HOPL.N0000,2016-05-31,21.5,21.5,21.5,22.0,215.0,10,1
