ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
HPFL.N0000,2016-01-03,7.0,7.0,7.0,7.0,42000.0,6000,7
HPFL.N0000,2016-01-04,7.0,7.0,6.9,6.9,45357.0,6501,11
HPFL.N0000,2016-01-05,7.1,7.1,6.9,6.9,487.0,70,2
HPFL.N0000,2016-01-06,7.0,7.0,7.0,7.0,133693.0,19099,11
HPFL.N0000,2016-01-07,6.9,6.9,6.8,6.9,69680.0,10200,7
HPFL.N0000,2016-01-10,6.9,6.9,6.9,6.9,28000.2,4058,6
HPFL.N0000,2016-01-11,6.9,6.9,6.6,6.6,147367.4,22046,10
HPFL.N0000,2016-01-12,6.9,6.9,6.7,6.7,124707.9,18537,11
HPFL.N0000,2016-01-13,6.7,6.7,6.4,6.5,218002.0,33160,15
HPFL.N0000,2016-01-17,7.0,7.0,6.0,6.1,365857.0,60001,22
HPFL.N0000,2016-01-18,6.7,6.7,5.6,5.7,173713.1,31002,11
HPFL.N0000,2016-01-19,5.7,6.0,5.5,5.5,1170320.5,212273,39
HPFL.N0000,2016-01-20,5.7,6.2,5.7,6.0,882385.1,152498,58
HPFL.N0000,2016-01-21,6.0,6.3,5.9,5.9,770628.9,129778,27
HPFL.N0000,2016-01-24,6.0,6.3,5.9,5.9,312439.4,49988,11
HPFL.N0000,2016-01-25,6.0,6.3,5.9,6.2,17388.8,2903,7
HPFL.N0000,2016-01-26,6.2,6.2,5.9,5.9,222623.8,36999,7
HPFL.N0000,2016-01-27,6.3,6.3,6.0,6.0,19720.9,3284,11
HPFL.N0000,2016-01-28,5.8,6.1,5.8,6.0,432810.4,74604,22
HPFL.N0000,2016-01-31,6.1,6.9,6.0,6.0,482155.5,76933,29
HPFL.N0000,2016-02-01,6.5,6.5,6.0,6.0,150012.8,25002,8
HPFL.N0000,2016-02-02,6.2,6.2,6.0,6.0,1374.2,229,2
HPFL.N0000,2016-02-04,6.0,6.0,5.9,6.0,873.0,146,3
HPFL.N0000,2016-02-07,5.9,6.0,5.9,5.9,104800.0,17750,7
HPFL.N0000,2016-02-08,6.0,6.0,5.8,5.8,65218.5,11239,17
HPFL.N0000,2016-02-09,5.8,5.9,5.7,5.7,163513.0,28670,10
HPFL.N0000,2016-02-10,5.9,5.9,5.5,5.5,370842.1,67055,34
HPFL.N0000,2016-02-11,5.7,5.7,5.7,5.5,5.7,1,1
HPFL.N0000,2016-02-14,5.7,5.7,5.4,5.5,35109.0,6380,7
HPFL.N0000,2016-02-15,5.6,5.7,5.4,5.5,621766.5,113044,30
HPFL.N0000,2016-02-16,5.5,5.5,5.1,5.1,705291.1,135987,37
HPFL.N0000,2016-02-17,5.2,5.5,5.2,5.2,245809.7,47271,17
HPFL.N0000,2016-02-18,5.1,5.3,5.1,5.2,264489.7,51149,41
HPFL.N0000,2016-02-22,5.4,5.4,5.0,5.2,87506.2,17179,10
HPFL.N0000,2016-02-23,5.3,5.4,5.2,5.3,79199.0,14946,11
HPFL.N0000,2016-02-24,5.3,5.3,5.1,5.2,386520.0,74300,30
HPFL.N0000,2016-02-25,5.2,5.4,5.1,5.1,17325.0,3387,5
HPFL.N0000,2016-02-28,5.3,5.3,5.0,5.1,157228.9,31030,20
HPFL.N0000,2016-02-29,5.1,5.2,5.1,5.2,282423.1,54508,16
HPFL.N0000,2016-03-01,5.0,5.2,4.9,4.9,281951.2,56390,29
HPFL.N0000,2016-03-02,5.1,5.1,5.1,5.1,190230.0,37300,9
HPFL.N0000,2016-03-03,4.9,5.1,4.9,5.1,136770.0,27300,17
HPFL.N0000,2016-03-07,4.9,4.9,4.7,4.7,111394.3,23169,14
HPFL.N0000,2016-03-08,4.7,5.0,4.6,5.0,86830.3,18502,15
HPFL.N0000,2016-03-09,4.9,5.2,4.9,5.2,70950.0,13800,11
HPFL.N0000,2016-03-10,5.3,5.3,5.1,5.2,77909.0,14800,12
HPFL.N0000,2016-03-13,5.4,5.4,5.1,5.1,66223.8,12985,10
HPFL.N0000,2016-03-14,5.0,5.2,5.0,5.0,39575.0,7855,7
HPFL.N0000,2016-03-15,5.3,5.4,5.1,5.3,69968.9,13313,22
HPFL.N0000,2016-03-16,5.4,5.4,5.2,5.4,154157.0,29065,14
HPFL.N0000,2016-03-17,5.3,5.4,5.3,5.4,6327.5,1175,2
HPFL.N0000,2016-03-20,5.5,5.5,5.1,5.1,23734.5,4645,8
HPFL.N0000,2016-03-22,5.5,5.5,5.0,5.0,75005.5,14901,6
HPFL.N0000,2016-03-23,5.4,5.4,5.4,5.4,1085.4,201,2
HPFL.N0000,2016-03-28,5.3,5.3,5.0,5.1,20900.0,4100,5
HPFL.N0000,2016-03-29,5.4,5.4,5.0,5.2,41576.4,8070,12
HPFL.N0000,2016-03-30,5.4,5.4,5.4,5.2,54.0,10,1
HPFL.N0000,2016-03-31,5.3,5.3,5.3,5.3,10600.0,2000,2
HPFL.N0000,2016-04-03,5.3,5.6,5.3,5.4,33886.1,6348,8
HPFL.N0000,2016-04-04,5.5,5.9,5.5,5.7,75663.9,13421,14
HPFL.N0000,2016-04-05,5.6,5.7,5.5,5.5,136783.0,24822,23
HPFL.N0000,2016-04-06,5.8,6.3,5.6,5.8,586026.9,97708,44
HPFL.N0000,2016-04-07,6.3,6.3,6.0,6.2,140884.3,23004,17
HPFL.N0000,2016-04-10,6.3,6.3,6.1,6.2,41392.0,6620,10
HPFL.N0000,2016-04-11,6.3,6.7,6.3,6.5,218409.6,33541,25
HPFL.N0000,2016-04-14,6.5,6.6,6.5,6.5,32513.2,5002,6
HPFL.N0000,2016-04-17,6.5,6.5,6.3,6.4,60046.5,9317,7
HPFL.N0000,2016-04-18,6.6,6.9,6.5,6.7,397074.6,59704,40
HPFL.N0000,2016-04-19,6.8,7.2,6.7,7.2,1557393.5,222589,81
HPFL.N0000,2016-04-21,7.0,7.0,7.0,7.0,73850.0,10550,4
HPFL.N0000,2016-04-24,7.0,7.0,6.4,6.5,353839.8,54500,20
HPFL.N0000,2016-04-25,6.4,6.8,6.4,6.6,198985.6,30149,17
HPFL.N0000,2016-04-26,6.8,6.8,6.5,6.7,297670.4,45053,22
HPFL.N0000,2016-04-27,6.7,6.7,6.7,6.7,47570.0,7100,3
HPFL.N0000,2016-04-28,6.8,7.0,6.6,6.8,20970.0,3100,10
HPFL.N0000,2016-05-02,7.0,7.2,6.7,6.8,405904.0,59207,20
HPFL.N0000,2016-05-03,6.8,7.1,6.8,7.0,147584.8,21615,17
HPFL.N0000,2016-05-04,6.8,6.8,6.7,6.8,155089.1,23000,11
HPFL.N0000,2016-05-05,6.8,6.8,6.8,6.8,156100.8,22956,8
HPFL.N0000,2016-05-08,7.0,7.0,6.8,6.9,291958.0,41754,8
HPFL.N0000,2016-05-09,6.9,6.9,6.8,6.8,79030.0,11500,4
HPFL.N0000,2016-05-10,6.9,7.0,6.9,7.0,198786.2,28631,13
HPFL.N0000,2016-05-12,7.0,7.1,6.9,7.0,552318.7,78871,22
HPFL.N0000,2016-05-15,7.0,7.0,7.0,7.0,2800.0,400,2
HPFL.N0000,2016-05-16,7.0,7.0,6.8,7.0,138750.0,20000,6
HPFL.N0000,2016-05-17,7.1,7.1,7.1,7.0,71.0,10,1
HPFL.N0000,2016-05-18,6.9,7.0,6.7,7.0,83765.0,12050,9
HPFL.N0000,2016-05-19,7.0,7.1,6.9,6.9,220272.0,31500,10
HPFL.N0000,2016-05-23,6.9,6.9,6.9,6.9,113160.0,16400,9
HPFL.N0000,2016-05-24,6.9,7.0,6.9,6.9,5671.9,822,2
HPFL.N0000,2016-05-25,6.7,6.9,6.7,6.9,24518.5,3555,3
HPFL.N0000,2016-05-26,6.7,6.9,6.5,6.7,10316.4,1542,5
HPFL.N0000,2016-05-29,6.8,6.8,6.7,6.7,17054.0,2545,4
HPFL.N0000,2016-05-30,6.5,7.0,6.5,6.7,88265.5,12995,10
HPFL.N0000,2016-05-31,6.7,6.7,6.6,6.6,182657.9,27433,15
HPFL.N0000,2016-06-01,6.7,6.7,6.5,6.5,9052.4,1372,3
HPFL.N0000,2016-06-02,6.9,6.9,6.9,6.5,6.9,1,1
HPFL.N0000,2016-06-05,6.7,6.7,6.6,6.7,64838.1,9680,7
HPFL.N0000,2016-06-06,6.6,6.7,6.5,6.6,13058.1,1979,4
HPFL.N0000,2016-06-07,6.5,6.5,6.5,6.5,3250.0,500,1
HPFL.N0000,2016-06-08,6.6,6.6,6.6,6.6,75240.0,11400,7
HPFL.N0000,2016-06-09,6.5,6.7,6.4,6.7,83837.5,12688,11
HPFL.N0000,2016-06-12,6.2,6.2,6.2,6.7,6.2,1,1
HPFL.N0000,2016-06-13,6.5,6.5,6.5,6.5,2665.0,410,2
HPFL.N0000,2016-06-14,6.5,6.7,6.5,6.7,424345.0,63890,23
HPFL.N0000,2016-06-15,6.8,6.8,6.5,6.6,173418.5,26548,7
HPFL.N0000,2016-06-16,6.8,6.8,6.8,6.6,6.8,1,1
HPFL.N0000,2016-06-19,6.6,6.6,6.6,6.6,33000.0,5000,5
HPFL.N0000,2016-06-20,6.6,6.6,6.6,6.6,81180.0,12300,8
HPFL.N0000,2016-06-21,6.6,6.8,6.5,6.7,800594.3,120167,21
HPFL.N0000,2016-06-22,6.1,6.3,6.0,6.3,38491.9,6400,10
HPFL.N0000,2016-06-23,6.2,6.2,6.2,6.2,15549.6,2508,4
HPFL.N0000,2016-06-26,6.1,6.1,6.0,6.1,38390.0,6310,4
HPFL.N0000,2016-06-27,5.7,5.7,5.7,5.7,7410.0,1300,3
HPFL.N0000,2016-06-28,6.1,6.3,6.1,5.7,18.6,3,3
HPFL.N0000,2016-06-29,5.7,6.1,5.7,6.1,7037.0,1220,3
HPFL.N0000,2016-06-30,5.7,6.0,5.7,6.0,19171.7,3202,5
HPFL.N0000,2016-07-03,6.2,6.2,5.7,5.7,10774.3,1872,12
HPFL.N0000,2016-07-04,5.6,6.5,5.6,6.1,253051.1,39234,12
HPFL.N0000,2016-07-06,6.3,7.0,6.3,6.9,2220931.9,331523,51
HPFL.N0000,2016-07-07,6.7,7.0,6.7,6.9,597232.0,86141,20
HPFL.N0000,2016-07-10,7.1,7.1,6.9,7.0,83840.0,12040,16
HPFL.N0000,2016-07-11,6.3,6.7,6.3,6.7,301959.0,45730,11
HPFL.N0000,2016-07-12,6.7,7.2,6.7,7.0,552967193.9,78995050,63
HPFL.N0000,2016-07-13,7.0,7.4,6.8,7.1,11743248.8,1665428,105
HPFL.N0000,2016-07-14,7.1,7.1,7.0,7.0,698049.0,98807,25
HPFL.N0000,2016-07-17,7.1,7.2,6.8,6.9,400708.9,58240,25
HPFL.N0000,2016-07-19,7.2,7.2,6.9,7.0,379512.0,54480,14
HPFL.N0000,2016-07-20,6.9,7.1,6.9,7.0,1230809.4,176887,17
HPFL.N0000,2016-07-21,7.0,7.1,7.0,7.0,761784.8,108826,13
HPFL.N0000,2016-07-24,7.0,7.1,7.0,7.0,545812.0,77973,8
HPFL.N0000,2016-07-25,7.0,7.2,7.0,7.1,8482772.3,1195418,45
HPFL.N0000,2016-07-26,7.1,7.1,7.1,7.1,36217.1,5101,5
HPFL.N0000,2016-07-27,7.1,7.1,7.1,7.1,138315.1,19481,13
HPFL.N0000,2016-07-28,7.0,7.1,7.0,7.0,28347.9,4049,6
HPFL.N0000,2016-07-31,6.9,6.9,6.9,7.0,6.9,1,1
HPFL.N0000,2016-08-01,6.9,7.1,6.9,7.0,424.0,60,2
HPFL.N0000,2016-08-02,7.0,7.0,6.9,6.9,27624.1,3989,3
HPFL.N0000,2016-08-03,6.8,7.0,6.2,6.6,18891.0,2853,7
HPFL.N0000,2016-08-04,6.7,6.7,6.7,6.7,30840.1,4603,8
HPFL.N0000,2016-08-07,6.8,6.8,6.8,6.8,240176.0,35320,4
HPFL.N0000,2016-08-08,6.8,6.8,6.7,6.7,6060.1,903,2
HPFL.N0000,2016-08-09,6.8,7.1,6.8,7.1,2011351.0,286938,45
HPFL.N0000,2016-08-10,7.0,7.1,7.0,7.1,311900.0,44200,10
HPFL.N0000,2016-08-11,7.0,7.0,7.0,7.0,151837.0,21691,9
HPFL.N0000,2016-08-14,7.0,7.1,7.0,7.1,422430.8,60048,18
HPFL.N0000,2016-08-15,7.1,7.1,7.0,7.1,1502689.5,214345,23
HPFL.N0000,2016-08-17,7.0,7.1,7.0,7.1,3755.0,535,5
HPFL.N0000,2016-08-18,7.0,7.0,7.0,7.0,154000.0,22000,3
HPFL.N0000,2016-08-21,7.1,7.2,7.0,7.1,3901374.0,548940,39
HPFL.N0000,2016-08-22,7.0,7.2,7.0,7.0,53947.0,7701,6
HPFL.N0000,2016-08-23,7.1,7.2,7.1,7.1,96844.6,13626,10
HPFL.N0000,2016-08-24,7.1,7.1,7.0,7.0,272104.7,38557,12
HPFL.N0000,2016-08-25,7.0,7.0,6.8,6.9,725744.8,103986,20
HPFL.N0000,2016-08-28,7.0,7.0,6.9,7.0,911047.0,130271,15
HPFL.N0000,2016-08-29,6.9,7.1,6.8,7.0,250530.5,36400,17
HPFL.N0000,2016-08-30,7.0,7.0,7.0,7.0,150157.0,21451,7
HPFL.N0000,2016-08-31,7.1,7.1,7.0,7.0,80257.1,11332,7
HPFL.N0000,2016-09-01,6.9,7.0,6.9,7.0,330960.0,47300,8
HPFL.N0000,2016-09-04,7.0,7.0,6.9,7.0,6590.0,953,10
HPFL.N0000,2016-09-05,7.0,7.1,7.0,7.0,1707211.0,243887,40
HPFL.N0000,2016-09-06,7.2,7.2,7.0,7.0,371727.6,53103,22
HPFL.N0000,2016-09-07,7.0,7.0,7.0,7.0,38500.0,5500,2
HPFL.N0000,2016-09-12,7.0,7.4,7.0,7.2,605825.5,84631,23
HPFL.N0000,2016-09-13,7.3,7.4,7.1,7.3,143848.9,19704,20
HPFL.N0000,2016-09-14,7.2,7.2,7.2,7.2,61927.2,8601,4
HPFL.N0000,2016-09-18,7.3,7.3,7.1,7.1,19545.0,2750,8
HPFL.N0000,2016-09-19,6.9,7.3,6.8,7.3,571058.0,83880,6
HPFL.N0000,2016-09-21,7.0,7.2,7.0,7.1,92940.0,13200,12
HPFL.N0000,2016-09-22,7.1,7.1,7.1,7.1,36131.9,5089,3
HPFL.N0000,2016-09-25,7.1,7.1,7.1,7.1,142.0,20,1
HPFL.N0000,2016-09-26,6.8,7.1,6.8,7.1,52101.1,7641,6
HPFL.N0000,2016-09-27,7.1,7.1,7.1,7.1,14.2,2,2
HPFL.N0000,2016-09-28,6.9,6.9,6.8,6.8,98170.4,14400,7
HPFL.N0000,2016-09-29,7.1,7.1,7.1,7.1,21300.0,3000,1
HPFL.N0000,2016-10-02,6.9,6.9,6.9,6.9,10350.0,1500,2
HPFL.N0000,2016-10-03,6.9,6.9,6.9,6.9,6900.0,1000,2
HPFL.N0000,2016-10-04,7.1,7.1,7.1,7.1,745.5,105,3
HPFL.N0000,2016-10-06,6.9,6.9,6.8,6.8,1013566.8,148901,13
HPFL.N0000,2016-10-09,6.8,6.8,6.8,6.8,13600.0,2000,1
HPFL.N0000,2016-10-11,6.8,6.8,6.8,6.8,30600.0,4500,5
HPFL.N0000,2016-10-12,7.0,7.0,6.7,6.7,34847.0,5201,5
HPFL.N0000,2016-10-13,7.0,7.0,7.0,6.7,7.0,1,1
HPFL.N0000,2016-10-16,6.7,6.8,6.7,6.8,160460.0,23600,5
HPFL.N0000,2016-10-17,6.8,6.8,6.8,6.8,23120.0,3400,1
HPFL.N0000,2016-10-18,6.8,6.8,6.8,6.8,40800.0,6000,4
HPFL.N0000,2016-10-19,7.1,7.5,7.0,7.3,2933843.9,406218,123
HPFL.N0000,2016-10-20,7.4,7.6,7.4,7.4,1257862.5,168319,58
HPFL.N0000,2016-10-23,7.4,7.5,7.4,7.4,164436.2,22163,14
