ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
HPL.N0000,2018-02-01,7.9,9.0,6.7,8.6,1601220.9,213330,163
HPL.N0000,2018-02-05,9.0,10.7,9.0,10.7,1772290.6,169641,102
HPL.N0000,2018-02-06,10.7,10.7,8.8,8.9,8494113.7,876905,550
HPL.N0000,2018-02-07,9.1,9.6,8.7,9.4,1842225.6,194991,113
HPL.N0000,2018-02-08,9.5,9.5,8.8,8.9,870982.3,96716,96
HPL.N0000,2018-02-11,9.2,9.2,8.6,9.0,278683.3,31530,29
HPL.N0000,2018-02-13,8.8,9.0,8.6,8.6,261109.2,30143,34
HPL.N0000,2018-02-14,8.7,8.9,8.6,8.6,113762.3,13097,20
HPL.N0000,2018-02-15,8.6,8.6,8.2,8.3,742822.3,88489,46
HPL.N0000,2018-02-18,8.5,8.5,7.9,7.9,784413.5,97942,64
HPL.N0000,2018-02-19,7.9,7.9,7.7,7.8,217857.4,27933,19
HPL.N0000,2018-02-20,7.7,7.7,7.4,7.6,672617.8,89244,45
HPL.N0000,2018-02-21,7.6,7.6,7.5,7.6,289194.3,38063,13
HPL.N0000,2018-02-22,7.5,7.5,7.0,7.3,1686018.2,238470,83
HPL.N0000,2018-02-25,7.5,7.6,7.4,7.5,6063.5,809,9
HPL.N0000,2018-02-26,7.5,7.5,7.2,7.5,131857.2,17651,10
HPL.N0000,2018-02-27,7.2,7.5,7.2,7.4,323569.9,44886,26
HPL.N0000,2018-03-01,7.4,7.4,7.3,7.4,44726.7,6058,4
HPL.N0000,2018-03-04,7.5,8.1,7.5,7.9,320601.1,40613,52
HPL.N0000,2018-03-05,7.8,7.9,7.5,7.7,71031.0,9180,8
HPL.N0000,2018-03-06,7.6,7.7,7.4,7.4,297368.5,39805,16
HPL.N0000,2018-03-07,7.5,7.7,7.5,7.6,209790.3,27772,20
HPL.N0000,2018-03-08,7.8,7.8,7.5,7.7,156992.0,20780,9
HPL.N0000,2018-03-11,7.7,7.7,7.7,7.7,55440.0,7200,8
HPL.N0000,2018-03-12,7.5,7.6,7.5,7.5,430507.0,57373,21
HPL.N0000,2018-03-13,7.9,8.4,7.9,8.2,2836208.3,346723,144
HPL.N0000,2018-03-14,8.3,8.4,8.3,8.3,591074.0,70980,56
HPL.N0000,2018-03-15,8.3,8.6,8.2,8.5,1377408.4,162976,65
HPL.N0000,2018-03-18,8.7,8.9,8.3,8.5,1413970.7,163968,69
HPL.N0000,2018-03-19,8.4,8.5,8.4,8.4,207250.0,24672,11
HPL.N0000,2018-03-20,8.5,8.7,8.5,8.5,20757.2,2442,8
HPL.N0000,2018-03-21,8.4,8.5,8.3,8.3,448118.5,53435,23
HPL.N0000,2018-03-22,8.0,8.0,7.6,7.6,284879.0,37111,31
HPL.N0000,2018-03-25,7.6,7.8,7.6,7.8,16588.0,2180,3
HPL.N0000,2018-03-26,7.6,7.8,7.6,7.6,16804.0,2211,5
HPL.N0000,2018-03-27,7.8,7.8,7.7,7.6,392.8,51,2
HPL.N0000,2018-03-28,7.7,7.9,7.7,7.8,105835.2,13584,7
HPL.N0000,2018-04-01,7.8,7.8,7.6,7.8,13297.0,1710,4
HPL.N0000,2018-04-02,7.6,7.8,7.6,7.6,144590.0,19000,14
HPL.N0000,2018-04-03,7.8,8.1,7.8,8.0,120870.5,15145,8
HPL.N0000,2018-04-04,7.9,7.9,7.9,7.9,7900.0,1000,1
HPL.N0000,2018-04-05,7.7,7.8,7.7,7.8,28817.0,3710,2
HPL.N0000,2018-04-08,8.0,8.4,8.0,8.3,321587.5,38755,24
HPL.N0000,2018-04-09,8.2,8.3,8.2,8.3,34275.0,4150,15
HPL.N0000,2018-04-10,8.3,8.3,8.1,8.1,931440.7,113226,33
HPL.N0000,2018-04-11,8.5,8.5,8.0,8.1,19660.2,2428,12
HPL.N0000,2018-04-15,8.3,8.3,8.3,8.1,8.3,1,1
HPL.N0000,2018-04-16,8.2,8.3,8.0,8.1,1293361.1,159612,29
HPL.N0000,2018-04-17,8.1,8.2,8.1,8.1,80605.0,9950,8
HPL.N0000,2018-04-18,8.1,8.3,8.0,8.0,304097.7,38010,27
HPL.N0000,2018-04-19,8.2,8.7,8.2,8.4,8074673.3,962818,140
HPL.N0000,2018-04-22,8.4,8.4,8.3,8.3,377348.4,45401,12
HPL.N0000,2018-04-23,8.3,8.4,8.2,8.3,410063.4,49076,33
HPL.N0000,2018-04-24,8.2,8.2,8.1,8.1,147273.5,18100,18
HPL.N0000,2018-04-25,8.3,8.3,8.0,8.0,460329.0,57021,19
HPL.N0000,2018-04-26,8.4,8.5,8.1,8.4,343863.0,41830,34
HPL.N0000,2018-04-30,8.3,8.3,8.1,8.1,121141.6,14901,18
HPL.N0000,2018-05-01,8.3,8.3,8.3,8.3,22244.0,2680,4
HPL.N0000,2018-05-02,8.3,8.3,8.2,8.2,261007.8,31616,19
HPL.N0000,2018-05-03,8.2,8.3,8.1,8.2,114784.0,14070,12
HPL.N0000,2018-05-07,8.3,8.3,8.1,8.1,165731.4,20058,10
HPL.N0000,2018-05-08,8.1,8.1,7.9,7.9,454016.9,56754,20
HPL.N0000,2018-05-09,8.0,8.3,7.9,8.0,994599.0,124574,50
HPL.N0000,2018-05-10,8.3,8.3,7.9,8.0,95266.0,11932,11
HPL.N0000,2018-05-13,8.3,8.3,7.9,7.9,34280.0,4300,6
HPL.N0000,2018-05-14,7.9,8.0,7.9,8.0,54503.6,6834,4
HPL.N0000,2018-05-15,7.9,8.1,7.8,7.8,362244.6,46410,13
HPL.N0000,2018-05-16,8.1,8.1,7.9,8.0,552078.1,69829,18
HPL.N0000,2018-05-17,8.1,8.1,7.9,8.1,849.5,105,2
HPL.N0000,2018-05-20,7.9,8.0,7.9,7.9,226423.0,28661,12
HPL.N0000,2018-05-21,7.8,7.8,7.8,7.8,3837.6,492,2
HPL.N0000,2018-05-22,7.9,7.9,7.9,7.9,86426.0,10940,10
HPL.N0000,2018-05-23,7.8,8.0,7.8,7.9,203782.0,26063,14
HPL.N0000,2018-05-24,8.0,8.0,7.7,7.9,181598.8,23287,15
HPL.N0000,2018-05-27,8.5,8.5,8.0,8.1,941796.8,114471,36
HPL.N0000,2018-05-29,8.3,8.3,8.0,8.0,208451.1,26049,27
HPL.N0000,2018-05-30,8.0,8.0,7.9,8.0,33739.0,4243,16
HPL.N0000,2018-05-31,8.0,8.1,7.9,8.1,62860.0,7800,9
HPL.N0000,2018-06-03,8.0,8.0,8.0,8.1,8.0,1,1
HPL.N0000,2018-06-04,8.1,8.1,7.9,8.0,84610.1,10605,13
HPL.N0000,2018-06-05,7.9,8.0,7.8,7.8,43321.8,5475,8
HPL.N0000,2018-06-06,7.8,8.0,7.8,8.0,253327.2,31774,12
HPL.N0000,2018-06-07,7.9,8.0,7.9,7.9,134105.1,16950,21
HPL.N0000,2018-06-10,7.9,8.0,7.9,7.9,80652.5,10209,12
HPL.N0000,2018-06-11,7.8,8.0,7.8,7.8,83916.8,10756,11
HPL.N0000,2018-06-12,7.8,7.9,7.8,7.8,52310.0,6700,8
HPL.N0000,2018-06-13,7.9,8.0,7.8,7.9,129210.2,16300,12
HPL.N0000,2018-06-17,8.0,8.0,7.8,7.9,616217.8,77952,15
HPL.N0000,2018-06-18,8.0,8.0,7.9,7.9,22296.0,2822,5
HPL.N0000,2018-06-19,7.8,7.8,7.7,7.7,199196.3,25679,11
HPL.N0000,2018-06-20,7.7,7.9,7.7,7.7,42515.9,5521,8
HPL.N0000,2018-06-21,7.7,7.7,7.7,7.7,4620.0,600,3
HPL.N0000,2018-06-24,7.7,7.9,7.7,7.7,221839.0,28810,13
HPL.N0000,2018-06-25,7.9,7.9,7.7,7.7,19390.8,2518,9
HPL.N0000,2018-06-27,7.9,7.9,7.7,7.7,49680.2,6446,6
HPL.N0000,2018-06-28,7.6,7.6,7.5,7.5,33876.0,4500,5
HPL.N0000,2018-07-01,7.6,7.6,7.4,7.4,95598.5,12810,12
HPL.N0000,2018-07-02,7.5,7.5,7.5,7.5,19500.0,2600,2
HPL.N0000,2018-07-03,7.5,7.7,7.5,7.6,66387.5,8849,12
HPL.N0000,2018-07-04,7.6,7.6,7.5,7.5,9780.4,1304,3
HPL.N0000,2018-07-05,7.5,7.5,7.3,7.4,107470.0,14550,6
HPL.N0000,2018-07-08,7.3,7.4,7.1,7.1,471798.2,64810,17
HPL.N0000,2018-07-09,7.2,7.6,7.2,7.2,124441.6,17283,3
HPL.N0000,2018-07-10,7.2,7.2,7.0,7.1,10767.5,1520,8
HPL.N0000,2018-07-11,7.4,7.5,7.4,7.5,13760.0,1840,5
HPL.N0000,2018-07-12,7.5,7.5,7.5,7.5,15000.0,2000,1
HPL.N0000,2018-07-15,7.5,7.5,7.4,7.4,10524938.5,1403337,13
HPL.N0000,2018-07-16,7.6,7.7,7.5,7.6,46505.0,6150,10
HPL.N0000,2018-07-17,7.5,7.5,7.5,7.5,75704145.0,10093886,32
HPL.N0000,2018-07-18,7.5,7.5,7.5,7.5,510892.5,68119,26
HPL.N0000,2018-07-19,7.4,7.4,7.4,7.4,22200.0,3000,6
HPL.N0000,2018-07-22,7.5,7.7,7.4,7.7,120700.0,16104,5
HPL.N0000,2018-07-23,7.4,7.5,7.4,7.4,2515750.4,339966,25
HPL.N0000,2018-07-24,7.8,7.8,7.4,7.4,1961152.0,265020,6
HPL.N0000,2018-07-25,7.4,7.7,7.4,7.5,346732.0,46698,6
HPL.N0000,2018-07-29,7.5,7.8,7.5,7.6,323783.1,42685,13
HPL.N0000,2018-07-30,7.5,7.8,7.5,7.5,7578.0,1010,2
HPL.N0000,2018-07-31,7.5,7.8,7.5,7.5,133359.0,17780,10
HPL.N0000,2018-08-01,7.5,7.6,7.5,7.5,226000.0,30000,8
HPL.N0000,2018-08-02,7.5,7.5,7.5,7.5,7500.0,1000,1
HPL.N0000,2018-08-05,7.5,8.1,7.5,8.0,26837416.6,3369457,23
HPL.N0000,2018-08-06,8.1,8.1,7.6,7.8,35343.1,4601,6
HPL.N0000,2018-08-07,8.1,8.1,7.6,7.6,588882.9,77480,9
HPL.N0000,2018-08-08,7.5,8.0,7.5,7.7,1517277.5,196123,28
HPL.N0000,2018-08-09,7.7,8.0,7.7,7.9,31800.0,4050,5
HPL.N0000,2018-08-13,8.0,8.0,7.5,7.6,20716995.7,2761730,14
HPL.N0000,2018-08-14,7.9,7.9,7.5,7.6,60698.1,7959,10
HPL.N0000,2018-08-15,7.6,7.6,7.5,7.6,147726.5,19439,9
HPL.N0000,2018-08-19,7.5,7.5,7.5,7.5,411067.5,54809,8
HPL.N0000,2018-08-20,7.5,7.6,7.5,7.5,20705.0,2760,8
HPL.N0000,2018-08-23,7.3,7.3,7.3,7.3,36719.0,5030,5
HPL.N0000,2018-08-26,7.3,7.3,7.3,7.3,40814.3,5591,5
HPL.N0000,2018-08-27,7.2,7.2,7.2,7.2,48585.6,6748,11
HPL.N0000,2018-08-28,7.3,7.3,7.2,7.2,49252.3,6752,8
HPL.N0000,2018-08-29,7.1,7.1,7.1,7.1,152650.0,21500,26
HPL.N0000,2018-08-30,7.1,7.1,7.1,7.1,64027.8,9018,7
HPL.N0000,2018-09-02,7.1,7.3,7.0,7.3,43357244.0,6193852,16
HPL.N0000,2018-09-03,7.5,7.5,7.2,7.2,76447.4,10601,6
HPL.N0000,2018-09-04,7.2,7.2,7.2,7.2,97574.4,13552,4
HPL.N0000,2018-09-05,7.2,7.2,7.1,7.1,158720.0,22300,23
HPL.N0000,2018-09-06,7.1,7.1,7.1,7.1,106748.5,15035,8
HPL.N0000,2018-09-09,7.1,7.1,7.0,7.1,493564.2,70502,14
HPL.N0000,2018-09-10,7.1,7.1,7.1,7.1,90880.0,12800,9
HPL.N0000,2018-09-11,7.1,7.1,7.0,7.0,83032.0,11850,13
HPL.N0000,2018-09-12,7.0,7.1,6.9,6.9,9264.0,1335,7
HPL.N0000,2018-09-13,7.0,7.1,6.9,6.9,51858.9,7509,5
HPL.N0000,2018-09-16,7.0,7.0,6.8,6.8,188486.1,27369,16
HPL.N0000,2018-09-17,7.0,7.0,6.7,6.7,79178.5,11450,9
HPL.N0000,2018-09-18,7.0,7.0,7.0,7.0,48300.0,6900,1
HPL.N0000,2018-09-19,7.0,7.0,6.8,7.0,143.0,21,2
HPL.N0000,2018-09-20,6.9,6.9,6.9,6.9,5658.0,820,1
HPL.N0000,2018-09-24,6.9,6.9,6.6,6.6,330185.0,49550,29
HPL.N0000,2018-09-25,7.0,7.1,6.9,7.1,483763.0,68389,10
HPL.N0000,2018-09-26,7.1,7.1,7.1,7.1,7.1,1,1
HPL.N0000,2018-09-27,7.1,7.1,6.8,6.8,91810.1,13100,5
HPL.N0000,2018-09-30,6.8,6.8,6.8,6.8,292.4,43,1
HPL.N0000,2018-10-01,6.8,6.8,6.8,6.8,108793.2,15999,7
HPL.N0000,2018-10-02,6.9,6.9,6.9,6.9,2070.0,300,2
HPL.N0000,2018-10-03,6.9,7.0,7.0,6.9,56.0,8,1
HPL.N0000,2018-10-07,6.9,7.0,6.9,6.9,34540.0,5000,2
HPL.N0000,2018-10-08,6.9,6.9,6.9,6.9,17250.0,2500,2
HPL.N0000,2018-10-09,7.1,7.1,7.1,7.1,710.0,100,1
HPL.N0000,2018-10-11,7.0,7.0,7.0,7.0,28700.0,4100,3
HPL.N0000,2018-10-14,6.9,6.9,6.9,6.9,20700.0,3000,3
HPL.N0000,2018-10-17,7.0,7.1,7.0,7.0,14007.1,2001,2
HPL.N0000,2018-10-18,7.0,7.0,7.0,7.0,6300.0,900,3
HPL.N0000,2018-10-22,6.8,6.8,6.8,6.8,6800.0,1000,1
HPL.N0000,2018-10-25,6.8,6.8,6.8,6.8,34000.0,5000,2
HPL.N0000,2018-10-28,7.0,7.0,7.0,7.0,35707.0,5101,3
HPL.N0000,2018-10-29,6.7,7.0,6.7,6.7,75897.0,11281,6
HPL.N0000,2018-10-31,6.9,6.9,6.7,6.9,219140.0,32600,11
HPL.N0000,2018-11-01,7.0,7.0,7.0,7.0,125664.0,17952,9
HPL.N0000,2018-11-04,7.0,7.0,7.0,7.0,77.0,11,1
HPL.N0000,2018-11-06,7.0,7.0,7.0,7.0,294.0,42,1
HPL.N0000,2018-11-07,6.5,7.0,6.5,6.5,185330.0,28510,5
HPL.N0000,2018-11-08,6.8,6.9,6.8,6.8,7151.9,1051,3
HPL.N0000,2018-11-11,6.8,6.8,6.8,6.8,88740.0,13050,2
HPL.N0000,2018-11-12,6.6,6.7,6.5,6.6,33955.6,5162,8
HPL.N0000,2018-11-13,6.6,6.6,6.5,6.6,87025.5,13387,4
HPL.N0000,2018-11-15,6.8,6.8,6.8,6.8,680.0,100,1
HPL.N0000,2018-11-18,6.8,6.8,6.5,6.8,37276.0,5504,3
HPL.N0000,2018-11-22,6.8,6.5,6.5,6.8,65.0,10,1
HPL.N0000,2018-11-25,6.7,6.7,6.5,6.7,27125.0,4050,2
HPL.N0000,2018-11-27,6.7,6.7,6.7,6.7,67.0,10,1
HPL.N0000,2018-11-28,6.6,6.7,6.5,6.6,57053.5,8517,9
HPL.N0000,2018-12-02,6.6,7.1,6.7,6.6,148.2,22,3
HPL.N0000,2018-12-03,6.7,7.1,6.6,6.7,43772.3,6525,30
HPL.N0000,2018-12-04,6.7,7.1,7.1,6.7,35.5,5,4
HPL.N0000,2018-12-05,7.1,7.1,7.1,7.1,16670.8,2348,16
HPL.N0000,2018-12-06,7.1,7.1,7.0,7.1,14270.7,2010,11
HPL.N0000,2018-12-09,7.1,7.1,6.9,7.1,41.6,6,2
HPL.N0000,2018-12-10,6.8,7.1,6.8,6.8,5936.7,873,3
HPL.N0000,2018-12-11,6.8,7.0,7.0,6.8,35.0,5,1
HPL.N0000,2018-12-16,6.8,7.0,6.8,6.8,4433.8,652,4
HPL.N0000,2018-12-18,6.8,7.0,7.0,6.8,21.0,3,2
HPL.N0000,2018-12-19,6.7,7.0,6.7,6.7,2506.0,373,7
HPL.N0000,2018-12-20,6.7,6.7,6.7,6.7,1340.0,200,1
HPL.N0000,2018-12-23,6.6,6.6,6.6,6.6,55783.2,8452,1
HPL.N0000,2018-12-26,6.6,7.0,7.0,6.6,84.0,12,3
HPL.N0000,2018-12-27,6.6,6.6,6.6,6.6,151.8,23,1
HPL.N0000,2018-12-30,6.9,7.0,6.9,6.9,2176.6,315,9
HPL.N0000,2019-01-01,6.9,7.0,6.9,6.9,28073.0,4068,15
