ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
HPWR.N0000,2016-01-03,25.0,25.1,24.5,24.5,1757887.4,71423,42
HPWR.N0000,2016-01-04,24.5,24.9,24.5,24.8,331075.0,13350,7
HPWR.N0000,2016-01-05,24.5,24.5,24.5,24.5,282975.0,11550,14
HPWR.N0000,2016-01-06,24.5,24.5,24.1,24.1,280511.0,11550,34
HPWR.N0000,2016-01-07,24.1,24.3,24.0,24.0,3602119.0,149931,47
HPWR.N0000,2016-01-10,23.9,24.6,23.7,24.0,18428655.1,769238,136
HPWR.N0000,2016-01-11,23.8,24.0,23.8,23.8,1945103.0,81706,22
HPWR.N0000,2016-01-12,23.7,23.9,23.7,23.9,1332886.0,56199,11
HPWR.N0000,2016-01-13,23.8,23.8,23.4,23.5,4457488.4,189019,28
HPWR.N0000,2016-01-17,23.5,23.5,23.0,23.0,6809603.5,294414,31
HPWR.N0000,2016-01-18,23.0,23.2,23.0,23.0,2722300.0,118360,13
HPWR.N0000,2016-01-19,23.3,23.3,23.0,23.0,2832155.0,123100,17
HPWR.N0000,2016-01-20,23.4,23.4,23.1,23.2,55705.5,2405,5
HPWR.N0000,2016-01-21,23.3,23.5,23.2,23.5,2813595.0,120250,20
HPWR.N0000,2016-01-25,23.2,23.2,23.0,23.1,2335888.1,101551,9
HPWR.N0000,2016-01-26,22.9,24.0,22.9,23.9,2793307.1,116699,15
HPWR.N0000,2016-01-27,23.8,23.8,23.3,23.3,19817.5,850,4
HPWR.N0000,2016-01-28,23.8,23.8,23.3,23.3,14130.0,600,3
HPWR.N0000,2016-01-31,23.8,23.8,23.8,23.3,238.0,10,1
HPWR.N0000,2016-02-01,23.2,23.8,23.2,23.2,233978.0,10085,12
HPWR.N0000,2016-02-02,23.2,23.2,23.1,23.1,24833.0,1075,6
HPWR.N0000,2016-02-04,23.2,23.2,23.0,23.0,30653.6,1323,8
HPWR.N0000,2016-02-07,22.9,23.9,22.9,23.2,423656.8,18369,18
HPWR.N0000,2016-02-09,23.5,23.5,23.5,23.5,970996.5,41319,13
HPWR.N0000,2016-02-10,23.5,23.5,22.9,23.0,427060.0,18430,17
HPWR.N0000,2016-02-11,23.0,23.1,23.0,23.1,1297499.0,56233,12
HPWR.N0000,2016-02-14,23.1,23.1,22.9,22.9,373342.0,16223,11
HPWR.N0000,2016-02-15,23.0,23.0,22.6,22.7,271673.8,11888,17
HPWR.N0000,2016-02-16,22.0,22.0,22.0,22.0,440000.0,20000,2
HPWR.N0000,2016-02-17,22.0,22.0,22.0,22.0,11000.0,500,1
HPWR.N0000,2016-02-18,22.0,22.0,22.0,22.0,8800.0,400,1
HPWR.N0000,2016-02-22,21.9,22.0,21.9,22.0,123151.9,5621,3
HPWR.N0000,2016-02-23,21.9,21.9,21.9,21.9,109500.0,5000,2
HPWR.N0000,2016-02-25,22.0,22.3,22.0,22.0,14315.0,650,4
HPWR.N0000,2016-02-28,22.0,22.0,21.9,21.9,156463.6,7144,6
HPWR.N0000,2016-02-29,21.9,21.9,21.6,21.6,673470.2,31050,14
HPWR.N0000,2016-03-01,21.1,21.6,20.9,21.0,955644.4,45466,23
HPWR.N0000,2016-03-03,20.3,21.0,20.2,21.0,308492.5,14800,6
HPWR.N0000,2016-03-07,21.0,21.0,20.0,20.3,1976430.0,97852,20
HPWR.N0000,2016-03-08,20.2,20.5,20.1,20.5,802642.3,39661,12
HPWR.N0000,2016-03-09,21.0,21.5,21.0,21.2,93728.0,4420,10
HPWR.N0000,2016-03-10,21.0,21.5,21.0,21.5,1043746.0,49340,9
HPWR.N0000,2016-03-13,21.5,21.5,21.5,21.5,12900.0,600,1
HPWR.N0000,2016-03-14,21.5,21.5,21.5,21.5,178837.0,8318,3
HPWR.N0000,2016-03-15,21.6,21.6,21.5,21.6,107800.0,5000,3
HPWR.N0000,2016-03-16,21.7,23.6,21.7,22.1,282591.2,12829,8
HPWR.N0000,2016-03-17,22.1,22.5,22.0,22.5,755040.0,34182,12
HPWR.N0000,2016-03-23,22.1,22.5,22.1,22.5,104365.0,4674,5
HPWR.N0000,2016-03-27,22.5,22.5,22.5,22.5,67.5,3,1
HPWR.N0000,2016-03-28,22.2,22.2,22.2,22.2,6660.0,300,2
HPWR.N0000,2016-03-31,22.3,22.3,22.3,22.2,22.3,1,1
HPWR.N0000,2016-04-03,22.0,22.0,22.0,22.0,81400.0,3700,4
HPWR.N0000,2016-04-04,22.0,22.0,22.0,22.0,242000.0,11000,7
HPWR.N0000,2016-04-05,22.0,22.0,21.8,22.0,114200.0,5200,6
HPWR.N0000,2016-04-06,22.4,22.8,22.2,22.3,70420.0,3150,5
