ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
HUNA.N0000,2016-01-05,54.1,54.1,54.0,58.5,2700.3,50,3
HUNA.N0000,2016-01-07,59.9,60.0,59.9,60.0,72599.9,1210,2
HUNA.N0000,2016-01-11,67.5,67.5,55.2,60.0,122.7,2,2
HUNA.N0000,2016-01-13,60.0,60.0,60.0,60.0,540.0,9,1
HUNA.N0000,2016-01-17,62.0,62.0,52.0,60.0,114.0,2,2
HUNA.N0000,2016-01-20,61.4,61.4,61.4,60.0,61.4,1,1
HUNA.N0000,2016-01-26,60.0,60.0,60.0,60.0,12000.0,200,1
HUNA.N0000,2016-01-28,61.0,61.4,61.0,61.1,14656.0,240,3
HUNA.N0000,2016-02-07,56.8,57.0,55.1,55.6,22566.0,406,4
HUNA.N0000,2016-02-09,56.0,56.0,56.0,56.0,17080.0,305,2
HUNA.N0000,2016-02-14,55.2,60.0,55.2,56.0,1424.4,24,4
HUNA.N0000,2016-02-17,61.0,61.0,52.6,52.6,47462.0,902,2
HUNA.N0000,2016-02-22,56.0,56.0,56.0,52.6,56.0,1,1
HUNA.N0000,2016-02-28,52.7,52.7,52.7,52.6,52.7,1,1
HUNA.N0000,2016-03-02,59.3,59.3,50.0,51.1,77221.0,1510,6
HUNA.N0000,2016-03-09,50.3,50.3,50.3,50.3,50300.0,1000,4
HUNA.N0000,2016-03-10,50.4,50.4,50.4,50.3,50.4,1,1
HUNA.N0000,2016-03-13,50.6,50.6,50.6,50.3,50.6,1,1
HUNA.N0000,2016-03-15,50.6,50.6,50.6,50.6,10120.0,200,2
HUNA.N0000,2016-03-16,55.0,55.0,55.0,50.6,55.0,1,1
HUNA.N0000,2016-03-17,57.5,57.5,57.5,50.6,230.0,4,1
HUNA.N0000,2016-03-20,45.0,45.0,45.0,50.6,900.0,20,2
HUNA.N0000,2016-03-22,47.1,47.1,47.1,50.6,471.0,10,1
HUNA.N0000,2016-03-23,57.0,57.0,57.0,50.6,570.0,10,1
HUNA.N0000,2016-03-29,50.6,50.6,50.6,50.6,8045.4,159,1
HUNA.N0000,2016-04-05,51.5,53.0,51.0,53.0,45822.0,889,7
HUNA.N0000,2016-04-11,52.9,58.0,52.9,53.9,13786.5,256,4
HUNA.N0000,2016-04-17,59.0,59.0,59.0,53.9,885.0,15,1
