ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
INME.N0000,2025-11-30,553.0,6500.0,502.0,2892.0,20638944.5,17059,786
INME.N0000,2025-12-01,3000.0,3000.0,2001.0,2328.75,1744082.75,724,195
INME.N0000,2025-12-02,2350.0,2350.0,2100.0,2173.25,551004.25,251,42
INME.N0000,2025-12-04,2000.0,2000.0,1650.0,1752.0,668531.5,376,90
INME.N0000,2025-12-07,1799.0,1994.75,1799.0,1855.75,382271.0,206,26
INME.N0000,2025-12-08,1899.0,2300.0,1890.0,2289.75,998663.75,462,87
INME.N0000,2025-12-09,2350.0,2484.75,2336.0,2353.0,348239.25,148,30
INME.N0000,2025-12-10,2400.0,2440.0,2105.0,2353.0,119971.0,50,14
INME.N0000,2025-12-11,2353.0,2353.0,2150.0,2353.0,117631.75,51,19
INME.N0000,2025-12-14,2211.0,2350.0,2210.0,2353.0,27197.75,12,7
INME.N0000,2025-12-15,2203.0,2300.0,2000.0,2004.5,2420936.5,1200,78
INME.N0000,2025-12-16,2205.0,2205.0,2019.75,2004.5,45917.25,22,8
INME.N0000,2025-12-17,2150.0,2150.0,2000.0,2007.75,719460.0,358,23
INME.N0000,2025-12-18,1960.0,2001.0,1960.0,2007.75,102010.0,51,6
INME.N0000,2025-12-21,2001.0,2001.0,1850.0,1886.0,333220.5,176,18
INME.N0000,2025-12-22,1825.0,1889.0,1815.0,1886.0,27548.5,15,7
INME.N0000,2025-12-23,1820.0,1999.75,1820.0,1886.0,54635.25,29,14
INME.N0000,2025-12-25,1851.0,1990.0,1851.0,1886.0,7821.0,4,2
INME.N0000,2025-12-28,1999.0,1999.0,1853.0,1886.0,81955.5,43,11
INME.N0000,2025-12-29,1861.25,1975.0,1800.0,1815.25,515451.5,282,37
INME.N0000,2025-12-30,1929.0,1929.0,1920.0,1815.25,51912.0,27,8
