ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
JINS.N0000,2016-01-03,17.6,17.7,17.6,17.6,21349.3,1213,7
JINS.N0000,2016-01-04,17.6,17.9,17.3,17.9,644420.0,36705,29
JINS.N0000,2016-01-05,17.9,17.9,17.5,17.8,49042.9,2751,8
JINS.N0000,2016-01-06,17.8,17.8,17.5,17.5,223882.5,12759,10
JINS.N0000,2016-01-07,17.5,17.5,17.0,17.0,1007767.3,58881,60
JINS.N0000,2016-01-10,17.0,17.0,16.6,16.7,579671.7,34351,41
JINS.N0000,2016-01-11,16.7,16.7,16.0,16.2,1273089.4,78137,51
JINS.N0000,2016-01-12,16.1,16.5,16.0,16.2,4207972.6,260998,62
JINS.N0000,2016-01-13,16.3,16.5,16.0,16.1,3735360.3,229361,23
JINS.N0000,2016-01-17,16.0,16.0,15.0,15.0,4634412.0,306077,67
JINS.N0000,2016-01-18,15.0,15.9,14.9,15.3,3569327.4,237257,61
JINS.N0000,2016-01-19,16.0,16.0,15.1,15.1,576952.6,37722,31
JINS.N0000,2016-01-20,15.6,15.7,15.4,15.6,1673310.0,107700,51
JINS.N0000,2016-01-21,15.8,16.5,15.8,16.1,2070723.6,129322,67
JINS.N0000,2016-01-24,16.4,16.4,15.9,16.4,540249.0,33650,27
JINS.N0000,2016-01-25,16.0,16.4,16.0,16.0,2169782.5,134815,32
JINS.N0000,2016-01-26,16.3,16.3,15.9,16.3,282159.5,17546,14
JINS.N0000,2016-01-27,16.2,16.2,16.0,16.1,427269.8,26579,21
JINS.N0000,2016-01-28,16.2,16.2,16.0,16.0,959035.4,59684,20
JINS.N0000,2016-01-31,16.5,17.3,16.5,17.0,6794542.9,399391,186
JINS.N0000,2016-02-01,17.2,17.4,16.9,17.2,771867.4,45054,48
JINS.N0000,2016-02-02,17.3,17.3,16.7,16.8,1217072.8,71659,45
JINS.N0000,2016-02-04,17.0,17.1,17.0,17.0,981111.9,57705,41
JINS.N0000,2016-02-07,17.1,17.1,16.7,16.8,470405.8,27971,43
JINS.N0000,2016-02-08,16.8,16.8,16.7,16.7,1672286.8,99601,25
JINS.N0000,2016-02-09,16.8,17.1,16.7,16.9,1060507.9,62524,15
JINS.N0000,2016-02-10,17.0,17.0,16.5,16.6,1014645.0,61151,23
JINS.N0000,2016-02-11,16.5,16.6,16.4,16.4,537065.3,32600,27
JINS.N0000,2016-02-14,16.3,16.3,16.0,16.1,637771.5,39694,35
JINS.N0000,2016-02-15,16.1,16.1,15.8,15.9,923563.9,57934,37
JINS.N0000,2016-02-16,16.0,16.0,15.7,15.8,797556.0,50492,52
JINS.N0000,2016-02-17,15.8,15.8,15.5,15.6,18513328.5,1193438,72
JINS.N0000,2016-02-18,15.5,16.0,15.5,15.8,895950.4,57142,36
JINS.N0000,2016-02-22,15.8,16.0,15.7,15.9,338840.0,21379,24
JINS.N0000,2016-02-23,15.9,16.4,15.9,16.0,988664.9,61782,34
JINS.N0000,2016-02-24,16.3,16.3,15.8,16.0,626410.0,39150,23
JINS.N0000,2016-02-25,16.0,16.2,16.0,16.2,403553.8,25159,24
JINS.N0000,2016-02-28,16.1,16.4,16.0,16.3,1380579.5,85832,25
JINS.N0000,2016-02-29,16.4,16.4,15.8,15.9,261407.2,16415,21
JINS.N0000,2016-03-01,16.0,16.0,15.9,16.0,345660.0,21635,14
JINS.N0000,2016-03-02,16.1,16.4,15.8,15.9,1801694.5,112362,73
JINS.N0000,2016-03-03,15.9,15.9,15.7,15.9,1003436.4,63486,33
JINS.N0000,2016-03-07,15.9,15.9,14.7,14.8,5067758.0,337678,135
JINS.N0000,2016-03-08,15.0,15.0,14.2,15.0,2337391.0,159578,81
JINS.N0000,2016-03-09,15.0,15.5,15.0,15.4,1525099.8,100144,55
