ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
KAHA.N0000,2016-01-05,36.9,36.9,32.2,37.2,1979.0,60,3
KAHA.N0000,2016-01-06,36.9,36.9,36.9,37.2,36.9,1,1
KAHA.N0000,2016-01-07,32.2,34.9,32.2,34.9,14901.2,446,4
KAHA.N0000,2016-01-11,32.3,34.7,30.2,34.7,88652.3,2729,11
KAHA.N0000,2016-01-18,34.6,37.0,34.6,35.8,89545.5,2500,8
KAHA.N0000,2016-01-19,36.9,37.0,36.9,37.0,32851.4,888,2
KAHA.N0000,2016-01-20,36.0,37.7,36.0,37.7,7720.0,205,2
KAHA.N0000,2016-01-25,32.0,32.0,32.0,37.7,448.0,14,1
KAHA.N0000,2016-01-26,35.0,37.8,35.0,37.8,10778.5,300,3
KAHA.N0000,2016-02-08,35.5,39.0,35.5,38.8,18511.6,500,6
KAHA.N0000,2016-02-09,39.0,39.0,39.0,39.0,19500.0,500,2
KAHA.N0000,2016-02-17,30.2,39.0,30.2,38.6,36066.5,1000,8
KAHA.N0000,2016-02-18,31.1,38.9,31.1,38.5,37266.5,985,7
KAHA.N0000,2016-02-23,30.3,38.7,30.3,37.9,18493.7,506,8
KAHA.N0000,2016-02-24,38.5,38.5,38.5,38.5,3850.0,100,1
KAHA.N0000,2016-02-25,38.5,38.5,38.5,38.5,3311.0,86,1
KAHA.N0000,2016-02-28,38.5,39.0,38.5,38.6,148605.8,3853,7
KAHA.N0000,2016-02-29,38.5,38.5,38.5,38.5,3850.0,100,1
KAHA.N0000,2016-03-07,33.8,38.5,31.5,38.4,19084.0,569,5
KAHA.N0000,2016-03-08,32.0,38.4,31.7,36.0,29288.6,826,9
KAHA.N0000,2016-03-09,38.5,38.5,38.5,38.5,4004.0,104,2
KAHA.N0000,2016-03-10,33.3,37.8,33.2,35.1,41200.0,1174,8
KAHA.N0000,2016-03-13,32.1,37.9,32.1,37.9,20377.0,580,3
KAHA.N0000,2016-03-15,37.5,37.5,37.5,37.9,37.5,1,1
KAHA.N0000,2016-03-22,37.0,37.0,37.0,37.9,518.0,14,2
KAHA.N0000,2016-03-23,37.5,37.5,37.0,37.1,11532.5,311,7
KAHA.N0000,2016-03-27,34.7,35.2,34.7,35.1,25485.3,726,9
KAHA.N0000,2016-03-28,38.0,38.0,38.0,38.0,3800.0,100,1
KAHA.N0000,2016-03-30,37.0,38.5,37.0,37.7,33987.0,902,7
KAHA.N0000,2016-04-03,37.6,37.7,37.6,37.6,6316.9,168,2
KAHA.N0000,2016-04-04,33.2,37.7,33.2,37.7,87985.6,2349,5
KAHA.N0000,2016-04-10,37.9,37.9,35.1,37.7,402.9,11,2
KAHA.N0000,2016-04-17,38.0,39.8,38.0,39.7,7933.0,200,3
KAHA.N0000,2016-04-21,35.8,39.8,35.7,37.4,68539.7,1841,9
KAHA.N0000,2016-04-24,34.6,34.6,34.5,34.5,10049.5,291,2
KAHA.N0000,2016-04-25,35.7,38.9,35.0,38.4,51847.0,1395,12
KAHA.N0000,2016-04-26,36.0,36.0,35.2,35.2,7048.0,200,2
KAHA.N0000,2016-04-27,35.7,35.7,35.7,35.7,3570.0,100,1
KAHA.N0000,2016-04-28,35.7,35.8,35.7,35.8,75140.0,2100,5
KAHA.N0000,2016-05-02,36.1,36.1,36.1,36.1,3610.0,100,1
KAHA.N0000,2016-05-03,36.2,38.0,35.5,36.9,14884.8,404,5
KAHA.N0000,2016-05-05,36.1,38.1,35.0,36.4,132493.9,3763,9
KAHA.N0000,2016-05-10,34.0,37.5,34.0,37.5,14412.5,403,3
KAHA.N0000,2016-05-12,35.0,38.2,35.0,38.1,28940.0,800,3
KAHA.N0000,2016-05-15,34.9,38.4,34.9,38.3,165586.0,4725,8
KAHA.N0000,2016-05-17,34.9,34.9,34.9,38.3,139.6,4,1
KAHA.N0000,2016-05-18,36.0,36.0,35.1,35.2,11634.9,329,4
KAHA.N0000,2016-05-23,35.0,37.4,34.1,37.4,12655.6,361,5
KAHA.N0000,2016-05-25,34.4,35.4,34.4,35.4,6980.0,200,2
