ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
KDL.N0000,2016-01-05,62.9,62.9,62.9,62.9,51640.9,821,1
KDL.N0000,2016-01-06,61.0,61.7,61.0,61.7,61350.0,1000,4
KDL.N0000,2016-01-10,59.6,59.6,59.0,59.3,65924.4,1112,11
KDL.N0000,2016-01-13,59.5,60.0,57.5,59.9,168703.7,2848,21
KDL.N0000,2016-01-17,59.9,60.0,59.9,60.0,239830.5,4000,12
KDL.N0000,2016-01-19,59.9,60.0,58.7,59.9,324070.0,5410,11
KDL.N0000,2016-01-20,60.0,61.0,60.0,61.0,97750.0,1616,7
KDL.N0000,2016-01-21,64.9,64.9,61.0,62.6,187814.8,3001,6
KDL.N0000,2016-01-24,62.0,64.0,62.0,62.1,248227.2,4000,7
KDL.N0000,2016-01-25,62.0,64.0,62.0,63.2,189500.0,3000,8
KDL.N0000,2016-01-26,63.9,63.9,63.9,63.2,63.9,1,1
KDL.N0000,2016-01-27,63.7,63.7,63.0,63.0,63063.7,1001,2
KDL.N0000,2016-01-28,63.0,63.6,63.0,63.1,31686.0,502,4
KDL.N0000,2016-01-31,63.5,63.5,63.5,63.5,6350.0,100,1
KDL.N0000,2016-02-02,60.5,60.5,60.3,60.3,30150.4,500,2
KDL.N0000,2016-02-04,61.0,61.0,61.0,61.0,11407.0,187,4
KDL.N0000,2016-02-07,63.9,64.0,63.9,64.0,13754.6,215,6
KDL.N0000,2016-02-08,65.0,65.0,59.3,65.0,331619.4,5102,20
KDL.N0000,2016-02-09,66.0,66.0,66.0,65.0,132.0,2,1
KDL.N0000,2016-02-11,65.0,65.0,65.0,65.0,227500.0,3500,3
KDL.N0000,2016-02-15,61.0,65.0,61.0,65.0,161688.0,2500,4
KDL.N0000,2016-02-28,58.3,58.3,58.3,65.0,58.3,1,1
KDL.N0000,2016-02-29,64.0,64.0,64.0,64.0,320000.0,5000,3
KDL.N0000,2016-03-01,58.4,64.0,58.2,58.2,2038921.8,35030,8
KDL.N0000,2016-03-02,58.1,64.0,58.1,64.0,6457.9,101,3
KDL.N0000,2016-03-07,58.3,58.3,58.3,64.0,291.5,5,2
KDL.N0000,2016-03-08,58.4,61.8,58.2,60.6,63220.8,1049,9
KDL.N0000,2016-03-15,62.9,64.0,62.9,64.0,2557628.7,39963,5
KDL.N0000,2016-03-28,63.0,63.0,63.0,64.0,63.0,1,1
KDL.N0000,2016-03-30,63.0,63.0,55.5,64.0,4511.5,81,4
KDL.N0000,2016-03-31,63.0,63.0,63.0,64.0,63.0,1,1
KDL.N0000,2016-04-07,63.0,63.0,63.0,64.0,63.0,1,1
KDL.N0000,2016-04-10,61.0,61.0,61.0,64.0,305.0,5,1
KDL.N0000,2016-04-11,60.0,63.9,60.0,60.0,6063.9,101,3
KDL.N0000,2016-04-17,63.9,63.9,63.8,60.0,638.1,10,3
KDL.N0000,2016-04-24,58.7,58.7,58.0,58.0,108638.8,1872,6
KDL.N0000,2016-04-28,58.0,59.0,58.0,59.0,59057.0,1001,3
KDL.N0000,2016-05-02,59.0,62.0,59.0,59.0,100421.0,1702,2
KDL.N0000,2016-05-05,63.0,63.0,63.0,59.0,567.0,9,1
KDL.N0000,2016-05-09,63.9,63.9,58.0,58.0,5863.9,101,2
KDL.N0000,2016-05-12,55.1,64.0,55.1,63.9,2189571.6,34275,9
KDL.N0000,2016-05-15,56.2,58.8,56.2,58.4,217542.0,3799,9
KDL.N0000,2016-05-17,62.9,62.9,62.9,58.4,62.9,1,1
KDL.N0000,2016-05-25,59.9,59.9,59.9,59.9,31207.9,521,1
KDL.N0000,2016-05-29,60.0,60.0,60.0,60.0,30000.0,500,1
KDL.N0000,2016-06-02,55.0,55.0,55.0,55.0,27500.0,500,3
KDL.N0000,2016-06-05,60.0,60.0,55.0,55.0,165060.0,3001,10
KDL.N0000,2016-06-08,52.2,52.2,52.2,52.2,15660.0,300,1
KDL.N0000,2016-06-09,59.9,59.9,59.8,59.8,29959.9,501,3
KDL.N0000,2016-06-15,55.0,55.0,55.0,55.0,7590.0,138,2
KDL.N0000,2016-06-16,59.8,59.8,59.8,55.0,59.8,1,1
KDL.N0000,2016-06-29,50.3,50.3,50.3,55.0,251.5,5,1
KDL.N0000,2016-06-30,57.8,57.8,50.3,55.0,475.2,9,3
KDL.N0000,2016-07-07,55.0,60.9,55.0,60.9,116446.1,2009,4
KDL.N0000,2016-07-10,52.2,59.9,50.6,56.5,192220.4,3400,15
KDL.N0000,2016-07-11,55.0,56.0,55.0,55.0,27724.0,504,3
KDL.N0000,2016-07-13,52.4,52.4,52.4,52.4,52400.0,1000,2
KDL.N0000,2016-07-14,58.0,58.0,54.0,54.0,16373.0,303,3
KDL.N0000,2016-07-17,52.8,56.0,52.8,56.0,639200.0,12100,2
KDL.N0000,2016-07-19,58.0,60.0,56.0,58.5,948642.7,16173,24
KDL.N0000,2016-07-20,53.2,59.7,53.2,56.0,40097.9,716,7
KDL.N0000,2016-07-21,54.1,56.0,51.6,51.7,367694.5,7100,20
KDL.N0000,2016-07-24,55.0,55.0,55.0,51.7,1100.0,20,1
KDL.N0000,2016-07-25,55.0,57.0,54.0,54.0,16439.9,300,5
KDL.N0000,2016-07-26,54.0,54.0,54.0,54.0,5400.0,100,1
KDL.N0000,2016-08-01,55.9,55.9,55.9,54.0,55.9,1,1
KDL.N0000,2016-08-02,55.8,55.8,52.0,54.0,2711.6,52,3
KDL.N0000,2016-08-03,55.0,55.3,55.0,54.0,165.3,3,3
KDL.N0000,2016-08-07,55.0,55.0,55.0,54.0,110.0,2,1
KDL.N0000,2016-08-09,52.3,54.9,52.3,54.0,159.5,3,3
KDL.N0000,2016-08-10,49.5,57.4,49.5,56.0,46531.7,874,9
KDL.N0000,2016-08-11,55.9,56.0,55.9,56.0,279.9,5,2
KDL.N0000,2016-08-14,56.0,56.0,55.9,56.0,111.9,2,2
KDL.N0000,2016-08-15,55.9,55.9,55.8,56.0,223.4,4,4
KDL.N0000,2016-08-17,55.7,55.7,55.7,56.0,167.1,3,3
KDL.N0000,2016-08-21,51.0,55.4,51.0,56.0,2605.4,51,4
KDL.N0000,2016-08-22,55.3,55.3,55.3,56.0,55.3,1,1
KDL.N0000,2016-08-23,55.0,55.0,51.4,56.0,212.7,4,4
KDL.N0000,2016-08-24,54.8,54.8,51.2,56.0,3108.0,60,3
KDL.N0000,2016-08-25,52.5,56.7,52.5,55.6,598225.4,11327,26
KDL.N0000,2016-08-28,56.7,57.1,56.6,57.1,643659.4,11273,13
KDL.N0000,2016-08-29,56.4,56.4,56.4,57.1,225.6,4,2
KDL.N0000,2016-08-30,52.6,52.6,52.6,57.1,2840.4,54,3
KDL.N0000,2016-08-31,56.6,56.6,56.6,57.1,56.6,1,1
KDL.N0000,2016-09-05,50.8,56.6,50.8,50.8,20376.6,401,2
KDL.N0000,2016-09-06,56.3,56.3,46.1,47.3,167616.2,3536,15
KDL.N0000,2016-09-07,56.0,56.0,50.0,47.3,1846.0,36,4
