ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
KGAL.N0000,2016-01-03,67.2,67.2,65.0,65.2,199949.0,3046,16
KGAL.N0000,2016-01-04,67.0,67.0,65.1,65.7,34058.4,513,8
KGAL.N0000,2016-01-05,65.0,65.0,65.0,65.0,31200.0,480,3
KGAL.N0000,2016-01-06,64.0,65.0,64.0,65.0,27640.0,429,4
KGAL.N0000,2016-01-07,64.5,64.5,62.0,64.1,149200.0,2327,15
KGAL.N0000,2016-01-10,62.1,62.1,60.0,60.0,55210.2,918,18
KGAL.N0000,2016-01-11,58.6,60.0,58.5,60.0,19236.5,321,4
KGAL.N0000,2016-01-12,60.0,60.0,59.0,59.0,130005.0,2195,12
KGAL.N0000,2016-01-13,58.5,58.5,58.0,58.0,255034.5,4397,12
KGAL.N0000,2016-01-17,57.8,57.8,57.5,57.6,29373.4,510,7
KGAL.N0000,2016-01-18,56.6,56.6,55.0,55.4,387685.0,6990,18
KGAL.N0000,2016-01-19,55.0,57.0,54.1,56.0,16709.1,301,5
KGAL.N0000,2016-01-20,57.5,59.0,57.5,58.7,146869.0,2498,8
KGAL.N0000,2016-01-21,59.0,59.0,59.0,59.0,10797.0,183,1
KGAL.N0000,2016-01-24,59.8,59.8,59.8,59.0,478.4,8,2
KGAL.N0000,2016-01-26,57.6,57.6,57.6,57.6,5760.0,100,1
KGAL.N0000,2016-01-27,58.2,58.2,58.1,58.2,8144.0,140,4
KGAL.N0000,2016-01-28,58.2,64.0,58.2,60.0,75337.3,1259,10
KGAL.N0000,2016-01-31,60.0,60.0,60.0,60.0,660.0,11,1
KGAL.N0000,2016-02-01,60.0,60.0,60.0,60.0,360.0,6,2
KGAL.N0000,2016-02-02,59.1,59.1,59.1,59.1,10638.0,180,4
KGAL.N0000,2016-02-04,59.1,62.9,59.1,60.0,8945.5,149,5
KGAL.N0000,2016-02-07,59.1,63.9,59.0,59.5,45618.6,771,12
KGAL.N0000,2016-02-09,59.2,60.0,59.2,59.2,27438.0,462,11
KGAL.N0000,2016-02-10,59.2,65.0,59.1,59.5,32646.0,547,10
KGAL.N0000,2016-02-11,59.1,60.0,59.1,59.2,18870.9,319,3
KGAL.N0000,2016-02-14,59.0,59.0,58.0,58.0,198250.0,3411,7
KGAL.N0000,2016-02-15,58.0,58.0,56.0,56.1,42422.5,752,7
KGAL.N0000,2016-02-16,55.5,55.5,55.2,56.1,1988.7,36,2
KGAL.N0000,2016-02-17,55.2,58.0,55.2,58.0,6932.0,120,2
KGAL.N0000,2016-02-18,55.2,55.5,55.2,55.5,16590.0,300,3
KGAL.N0000,2016-02-22,55.6,55.6,55.6,55.6,12232.0,220,4
KGAL.N0000,2016-02-23,55.6,55.6,55.6,55.6,55600.0,1000,4
KGAL.N0000,2016-02-24,56.6,56.6,56.6,56.6,57732.0,1020,5
KGAL.N0000,2016-02-25,56.0,56.9,56.0,56.2,14605.0,260,2
KGAL.N0000,2016-02-28,56.9,56.9,53.0,54.5,80546.4,1479,11
KGAL.N0000,2016-02-29,54.0,54.0,53.0,53.0,56292.0,1060,9
KGAL.N0000,2016-03-01,53.0,53.0,51.2,51.3,54250.1,1057,10
KGAL.N0000,2016-03-02,53.0,53.0,50.0,50.3,290876.9,5779,19
KGAL.N0000,2016-03-03,50.0,52.9,50.0,52.9,174737.0,3464,7
KGAL.N0000,2016-03-07,50.5,50.9,50.0,50.1,214071.8,4268,11
KGAL.N0000,2016-03-08,49.2,52.9,49.2,49.2,8038.1,163,7
KGAL.N0000,2016-03-09,49.2,50.0,48.0,48.3,77931.5,1615,6
KGAL.N0000,2016-03-10,50.1,52.8,50.0,50.2,66066.0,1315,5
KGAL.N0000,2016-03-13,50.2,50.2,50.0,50.0,72031.0,1440,5
KGAL.N0000,2016-03-14,50.0,50.0,50.0,50.0,60000.0,1200,3
KGAL.N0000,2016-03-15,50.0,54.5,50.0,52.1,306739.3,5862,16
KGAL.N0000,2016-03-16,54.0,54.0,54.0,52.1,270.0,5,1
KGAL.N0000,2016-03-17,51.8,52.0,51.1,51.8,73889.8,1434,10
KGAL.N0000,2016-03-20,53.0,53.0,53.0,51.8,1060.0,20,2
KGAL.N0000,2016-03-22,53.0,53.0,53.0,53.0,29680.0,560,8
KGAL.N0000,2016-03-23,53.0,53.5,53.0,53.0,4377.0,82,4
KGAL.N0000,2016-03-27,53.0,53.4,53.0,53.2,9568.0,180,3
KGAL.N0000,2016-03-28,51.3,51.3,51.2,51.2,7683.3,150,2
KGAL.N0000,2016-03-29,51.2,52.0,50.5,51.0,124882.8,2447,9
KGAL.N0000,2016-03-30,51.0,52.0,50.5,50.7,81535.0,1575,7
KGAL.N0000,2016-03-31,52.4,52.5,51.0,52.1,57660.9,1107,3
KGAL.N0000,2016-04-03,52.5,52.5,52.5,52.1,1312.5,25,2
KGAL.N0000,2016-04-04,52.5,58.0,52.5,56.3,407915.0,7698,19
KGAL.N0000,2016-04-05,53.0,53.0,53.0,56.3,265.0,5,2
KGAL.N0000,2016-04-06,55.9,55.9,55.9,55.9,36838.1,659,10
KGAL.N0000,2016-04-07,56.0,59.8,56.0,59.3,44062.1,776,11
KGAL.N0000,2016-04-10,54.9,64.9,54.9,59.5,120258.8,2024,11
KGAL.N0000,2016-04-11,64.0,64.0,64.0,59.5,128.0,2,1
KGAL.N0000,2016-04-14,55.0,63.9,55.0,63.9,52215.5,845,9
KGAL.N0000,2016-04-18,62.0,70.0,62.0,62.5,93196.0,1499,5
