ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
KOTA.N0000,2016-01-03,17.8,18.0,17.8,17.9,8962.6,500,2
KOTA.N0000,2016-01-04,18.0,18.0,16.5,17.0,60642.5,3555,12
KOTA.N0000,2016-01-05,18.0,18.0,16.5,16.5,12556.0,760,7
KOTA.N0000,2016-01-06,18.0,18.0,18.0,16.5,90.0,5,2
KOTA.N0000,2016-01-10,17.0,17.9,16.5,16.5,28024.5,1645,9
KOTA.N0000,2016-01-11,16.4,17.5,16.1,17.0,173238.6,10702,11
KOTA.N0000,2016-01-12,17.5,17.5,17.5,17.5,1925.0,110,2
KOTA.N0000,2016-01-13,16.5,16.5,16.2,16.2,163680.1,10100,7
KOTA.N0000,2016-01-17,17.5,17.9,15.0,15.4,148786.6,9551,14
KOTA.N0000,2016-01-18,15.1,15.1,15.0,15.0,165002.0,11000,12
KOTA.N0000,2016-01-19,15.1,16.7,15.0,15.0,15485.7,1031,5
KOTA.N0000,2016-01-20,14.4,14.4,14.4,15.0,1080.0,75,1
KOTA.N0000,2016-01-21,16.7,16.7,16.7,15.0,16.7,1,1
KOTA.N0000,2016-01-25,16.5,16.5,15.0,16.5,9120.2,553,5
KOTA.N0000,2016-01-26,16.0,16.9,16.0,16.5,8194.9,501,6
KOTA.N0000,2016-01-27,16.0,16.0,16.0,16.0,25040.0,1565,2
KOTA.N0000,2016-01-28,16.8,16.8,16.8,16.0,890.4,53,1
KOTA.N0000,2016-01-31,16.8,16.8,16.8,16.8,3544.8,211,3
KOTA.N0000,2016-02-01,16.8,16.8,16.0,16.1,145212.2,9046,14
KOTA.N0000,2016-02-02,16.0,16.7,16.0,16.4,69983.7,4299,7
KOTA.N0000,2016-02-04,16.8,17.0,16.8,16.8,193044.4,11459,8
KOTA.N0000,2016-02-07,17.0,17.0,16.9,16.8,1470.4,87,3
KOTA.N0000,2016-02-08,16.8,17.0,16.6,16.6,16955.3,1021,5
KOTA.N0000,2016-02-09,16.1,17.0,16.1,16.6,33.1,2,2
KOTA.N0000,2016-02-10,17.0,17.0,16.1,16.1,26501.5,1646,5
KOTA.N0000,2016-02-14,17.0,17.0,14.2,15.2,50394.9,3312,8
KOTA.N0000,2016-02-15,14.4,15.0,13.8,13.8,109402.3,7853,17
KOTA.N0000,2016-02-16,15.8,15.8,15.6,15.8,17692.2,1120,7
KOTA.N0000,2016-02-17,15.9,15.9,14.2,14.7,22031.8,1502,5
KOTA.N0000,2016-02-18,15.9,17.9,15.2,15.3,274264.1,17358,14
KOTA.N0000,2016-02-22,17.0,18.5,15.5,16.3,1011317.6,61403,34
KOTA.N0000,2016-02-23,16.0,16.0,16.0,16.0,1600.0,100,1
KOTA.N0000,2016-02-24,16.9,17.0,16.0,16.4,42840.0,2605,7
KOTA.N0000,2016-02-25,17.0,17.0,16.9,16.9,177467.0,10501,5
KOTA.N0000,2016-02-28,16.1,16.1,16.0,16.0,31205.0,1944,7
KOTA.N0000,2016-03-02,15.5,15.5,15.0,15.0,325055.0,21629,9
KOTA.N0000,2016-03-07,14.0,14.0,13.4,13.4,9060.0,660,5
KOTA.N0000,2016-03-08,14.0,14.0,13.4,13.5,4094.9,300,4
KOTA.N0000,2016-03-09,13.8,13.9,13.8,13.8,455420.0,33000,11
KOTA.N0000,2016-03-10,13.9,13.9,13.6,13.6,55307.7,4044,9
KOTA.N0000,2016-03-13,13.9,14.3,13.7,13.8,151831.5,10825,14
KOTA.N0000,2016-03-15,13.8,15.0,13.8,15.0,720217.6,50952,8
KOTA.N0000,2016-03-16,15.0,16.4,15.0,16.2,346760.0,23100,6
KOTA.N0000,2016-03-17,13.8,16.4,13.8,16.4,7742.0,503,5
KOTA.N0000,2016-03-20,16.5,16.5,16.5,16.4,165.0,10,1
KOTA.N0000,2016-03-22,16.5,16.6,16.5,16.5,1667.6,101,3
KOTA.N0000,2016-03-23,16.6,16.6,16.6,16.5,166.0,10,2
KOTA.N0000,2016-03-27,17.0,19.0,17.0,17.1,3590.0,210,3
KOTA.N0000,2016-03-28,15.2,15.2,14.5,14.6,104210.0,7125,11
KOTA.N0000,2016-03-29,16.9,16.9,14.6,15.1,18534.0,1200,10
KOTA.N0000,2016-03-30,16.6,16.9,16.6,15.1,667.0,40,3
KOTA.N0000,2016-03-31,16.0,16.0,16.0,15.1,144.0,9,1
KOTA.N0000,2016-04-04,16.9,18.0,16.9,18.0,855850.0,49686,34
KOTA.N0000,2016-04-05,18.5,19.0,18.4,18.4,18485.0,1000,7
KOTA.N0000,2016-04-06,18.2,18.2,18.0,18.0,3620.0,200,2
KOTA.N0000,2016-04-07,17.9,18.0,17.9,18.0,56600.0,3150,5
KOTA.N0000,2016-04-10,18.0,18.0,16.5,18.0,34723.0,1930,9
KOTA.N0000,2016-04-11,18.0,20.0,18.0,19.2,99166.0,5438,17
KOTA.N0000,2016-04-14,19.2,19.7,19.2,19.6,71744.0,3670,11
KOTA.N0000,2016-04-17,19.7,19.7,18.1,18.1,79270.0,4375,10
KOTA.N0000,2016-04-18,18.3,19.7,18.0,18.4,31520.8,1705,10
KOTA.N0000,2016-04-19,19.5,19.7,19.5,19.5,64235.0,3294,4
KOTA.N0000,2016-04-21,19.0,19.5,19.0,19.5,955.0,50,3
KOTA.N0000,2016-04-24,19.5,19.5,18.5,19.4,253837.5,13055,10
KOTA.N0000,2016-04-25,19.6,21.0,19.6,20.2,321913.7,15937,27
KOTA.N0000,2016-04-26,21.8,23.0,20.1,20.1,807942.0,38469,37
KOTA.N0000,2016-04-27,20.9,23.0,20.9,22.4,50015.5,2300,9
KOTA.N0000,2016-04-28,22.0,22.0,20.0,20.1,259475.0,12884,25
KOTA.N0000,2016-05-02,21.1,21.1,21.0,21.0,21844.0,1040,5
KOTA.N0000,2016-05-03,20.1,21.0,20.1,20.5,24519.5,1196,8
KOTA.N0000,2016-05-04,21.0,21.0,20.2,20.2,41026.0,2030,6
KOTA.N0000,2016-05-05,20.8,20.8,20.2,20.3,39926.2,1940,7
KOTA.N0000,2016-05-08,20.6,20.6,20.1,20.1,16216.4,805,6
KOTA.N0000,2016-05-09,20.6,20.6,20.6,20.1,185.4,9,1
KOTA.N0000,2016-05-10,20.6,20.6,20.1,20.1,10200.0,500,10
KOTA.N0000,2016-05-11,20.6,20.6,20.6,20.1,206.0,10,1
KOTA.N0000,2016-05-12,21.3,21.3,21.0,21.0,2334.1,111,3
KOTA.N0000,2016-05-15,21.3,21.3,20.0,20.6,4682.7,231,6
KOTA.N0000,2016-05-16,21.2,21.2,20.1,20.8,113439.0,5620,7
KOTA.N0000,2016-05-17,21.2,21.2,21.1,20.8,570.2,27,4
KOTA.N0000,2016-05-18,21.2,21.8,20.8,21.0,84854.8,4013,15
KOTA.N0000,2016-05-23,21.1,21.1,19.6,20.0,13061.8,653,4
KOTA.N0000,2016-05-24,20.8,20.9,20.8,20.0,208.9,10,2
KOTA.N0000,2016-05-25,20.2,20.2,19.1,20.0,3652.5,185,5
KOTA.N0000,2016-05-26,20.0,20.0,19.2,19.2,10200.0,530,3
KOTA.N0000,2016-05-30,20.0,20.0,18.3,18.5,4812.0,260,5
KOTA.N0000,2016-05-31,19.9,19.9,18.2,18.6,10066.0,540,7
KOTA.N0000,2016-06-01,19.0,19.0,19.0,19.0,9690.0,510,2
KOTA.N0000,2016-06-02,19.0,20.0,19.0,19.9,50912.0,2671,4
KOTA.N0000,2016-06-05,20.0,20.0,18.5,19.3,177218.2,9185,16
KOTA.N0000,2016-06-06,20.0,20.0,20.0,19.3,500.0,25,1
KOTA.N0000,2016-06-07,18.5,18.5,18.5,18.5,3700.0,200,1
KOTA.N0000,2016-06-08,19.8,19.8,19.0,19.0,4967.8,261,4
KOTA.N0000,2016-06-09,18.8,19.0,18.8,19.0,1079.0,57,4
KOTA.N0000,2016-06-12,19.0,19.0,18.8,19.0,322.0,17,4
KOTA.N0000,2016-06-13,18.7,19.7,18.2,18.3,227996.6,12276,13
KOTA.N0000,2016-06-14,19.7,19.7,18.4,18.4,2014.5,109,4
KOTA.N0000,2016-06-15,19.0,19.0,19.0,19.0,3648.0,192,5
KOTA.N0000,2016-06-16,18.9,18.9,18.9,19.0,18.9,1,1
KOTA.N0000,2016-06-19,18.9,18.9,18.9,18.9,11340.0,600,3
KOTA.N0000,2016-06-20,19.0,19.5,18.5,19.0,93970.5,5025,10
KOTA.N0000,2016-06-21,19.9,20.0,18.2,19.0,19939.3,1048,6
KOTA.N0000,2016-06-22,19.5,19.5,19.0,19.0,252.0,13,4
KOTA.N0000,2016-06-23,19.5,19.5,18.0,18.1,18437.9,1020,9
KOTA.N0000,2016-06-26,19.5,19.5,19.1,19.4,2353.1,121,3
KOTA.N0000,2016-06-27,19.1,19.1,17.0,17.2,16675.0,959,10
KOTA.N0000,2016-06-28,18.9,18.9,16.6,16.6,7894.9,474,6
KOTA.N0000,2016-06-29,18.9,18.9,16.5,18.8,11547.3,617,6
KOTA.N0000,2016-06-30,18.9,18.9,16.7,18.8,127.9,7,2
KOTA.N0000,2016-07-03,18.9,18.9,18.9,18.8,94.5,5,1
KOTA.N0000,2016-07-04,18.0,18.0,16.5,16.6,35036.5,2116,10
KOTA.N0000,2016-07-06,17.8,17.8,17.0,17.0,1789.0,105,2
KOTA.N0000,2016-07-07,17.7,17.7,17.0,17.6,16286.7,926,9
KOTA.N0000,2016-07-10,17.6,17.6,17.6,17.6,88.0,5,1
KOTA.N0000,2016-07-11,17.6,17.6,17.1,17.1,51476.0,3010,5
KOTA.N0000,2016-07-12,17.6,17.6,17.0,17.0,5276.0,310,4
KOTA.N0000,2016-07-13,17.6,17.6,17.1,17.5,30709.7,1752,5
KOTA.N0000,2016-07-14,17.5,18.0,17.5,17.7,195849.0,11054,22
KOTA.N0000,2016-07-17,18.0,18.0,17.0,17.0,20276.0,1190,6
KOTA.N0000,2016-07-19,17.9,17.9,17.1,17.0,87.7,5,3
KOTA.N0000,2016-07-20,17.8,17.8,17.8,17.0,17.8,1,1
KOTA.N0000,2016-07-24,17.8,17.8,17.0,17.0,33723.9,1983,5
KOTA.N0000,2016-07-25,17.0,17.8,17.0,17.0,323.8,19,3
