ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
KPHL.N0000,2022-01-06,21.5,24.4,21.0,22.3,390473987.5,17128329,7510
KPHL.N0000,2022-01-09,23.0,23.1,20.5,20.7,42738937.4,1986172,958
KPHL.N0000,2022-01-10,20.7,20.7,20.0,20.1,23678871.1,1172738,481
KPHL.N0000,2022-01-11,20.1,20.7,20.0,20.1,13174160.5,653742,268
KPHL.N0000,2022-01-12,20.1,20.3,20.0,20.0,10489265.2,522571,220
KPHL.N0000,2022-01-17,20.3,20.3,19.1,20.0,54669513.4,2732593,341
KPHL.N0000,2022-01-18,19.1,19.3,18.6,18.8,11995500.3,638080,433
KPHL.N0000,2022-01-19,18.8,18.8,18.5,18.6,18434755.3,992843,202
KPHL.N0000,2022-01-20,18.6,18.9,18.5,18.6,3483878.2,186169,114
KPHL.N0000,2022-01-23,18.8,18.8,17.2,17.7,10327922.4,583776,279
KPHL.N0000,2022-01-24,17.3,17.6,17.2,17.2,3139034.7,181392,179
KPHL.N0000,2022-01-25,17.2,17.5,17.0,17.2,4890545.3,284686,118
KPHL.N0000,2022-01-26,17.1,18.8,17.0,17.2,9636443.4,554372,218
KPHL.N0000,2022-01-27,17.2,17.4,17.0,17.1,1607678.9,93837,93
KPHL.N0000,2022-01-30,17.2,17.3,16.6,16.7,3556357.6,209748,114
KPHL.N0000,2022-01-31,16.9,16.9,16.6,16.7,3235052.7,193922,140
KPHL.N0000,2022-02-01,16.9,17.0,16.5,16.6,2963621.2,175707,91
KPHL.N0000,2022-02-02,16.5,16.5,15.6,16.0,3640544.0,226517,133
KPHL.N0000,2022-02-06,16.3,16.3,15.4,15.6,2502112.7,160502,180
KPHL.N0000,2022-02-07,15.5,15.9,15.2,15.3,2023990.2,131947,107
KPHL.N0000,2022-02-08,15.6,16.2,15.0,15.3,4784955.6,304620,124
KPHL.N0000,2022-02-09,15.4,15.4,15.1,15.1,830669.0,54678,88
KPHL.N0000,2022-02-10,15.3,15.4,15.0,15.1,1207288.7,80221,88
KPHL.N0000,2022-02-13,15.3,15.3,15.1,15.1,1272787.9,84135,67
KPHL.N0000,2022-02-14,15.3,15.3,15.1,15.1,487647.3,32273,46
KPHL.N0000,2022-02-16,15.2,16.0,15.0,15.3,6663948.5,442942,79
KPHL.N0000,2022-02-17,15.3,15.5,15.0,15.0,7262014.0,482655,55
KPHL.N0000,2022-02-20,15.1,15.2,14.8,14.8,23092252.5,1539168,60
