ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
KVAL.N0000,2016-01-13,55.3,55.3,55.3,70.0,5253.5,95,1
KVAL.N0000,2016-01-19,64.0,64.0,64.0,70.0,64.0,1,1
KVAL.N0000,2016-01-28,60.0,70.0,60.0,67.4,75987.4,1127,7
KVAL.N0000,2016-01-31,68.0,68.0,68.0,67.4,612.0,9,1
KVAL.N0000,2016-02-04,60.1,60.1,60.1,67.4,2584.3,43,1
KVAL.N0000,2016-02-10,60.0,60.0,55.1,67.4,4366.5,79,4
KVAL.N0000,2016-02-14,55.1,55.1,55.1,67.4,110.2,2,1
KVAL.N0000,2016-02-15,60.0,60.0,60.0,67.4,60.0,1,1
KVAL.N0000,2016-03-07,53.0,53.0,53.0,67.4,53.0,1,1
KVAL.N0000,2016-03-17,65.0,65.0,65.0,65.0,39000.0,600,1
KVAL.N0000,2016-03-30,65.0,65.0,65.0,65.0,65000.0,1000,2
KVAL.N0000,2016-04-03,64.5,64.5,64.5,65.0,64.5,1,1
KVAL.N0000,2016-04-04,64.9,65.0,64.9,65.0,129989.1,2000,4
KVAL.N0000,2016-04-10,56.0,70.0,56.0,64.6,13559.0,210,6
KVAL.N0000,2016-04-17,68.0,68.0,68.0,64.6,1020.0,15,1
KVAL.N0000,2016-04-24,56.7,63.0,56.6,63.0,19355.5,325,3
KVAL.N0000,2016-04-26,68.0,69.0,68.0,69.0,34496.0,500,2
KVAL.N0000,2016-04-27,68.0,68.0,68.0,69.0,680.0,10,1
KVAL.N0000,2016-04-28,58.1,67.0,58.1,65.2,91922.9,1421,12
KVAL.N0000,2016-05-02,65.0,68.0,65.0,67.4,33690.0,500,3
KVAL.N0000,2016-05-05,67.0,67.0,67.0,67.4,1340.0,20,4
KVAL.N0000,2016-05-11,59.4,66.1,53.2,64.9,105583.6,1698,13
KVAL.N0000,2016-05-18,60.0,60.0,60.0,60.0,30000.0,500,1
KVAL.N0000,2016-05-26,57.1,60.0,57.0,58.6,123000.0,2100,4
KVAL.N0000,2016-05-29,57.5,57.5,57.5,57.5,28750.0,500,2
KVAL.N0000,2016-05-30,60.0,60.0,60.0,57.5,300.0,5,1
KVAL.N0000,2016-06-01,59.9,59.9,59.9,57.5,958.4,16,2
KVAL.N0000,2016-06-06,57.6,57.6,57.0,57.1,57059.1,1000,8
KVAL.N0000,2016-06-08,57.0,57.0,57.0,57.0,5700.0,100,2
KVAL.N0000,2016-06-12,65.9,65.9,57.1,57.0,767.0,12,3
KVAL.N0000,2016-06-13,65.4,65.4,62.9,63.0,6751.8,107,4
KVAL.N0000,2016-06-14,60.0,62.9,60.0,61.8,18047.8,292,4
KVAL.N0000,2016-06-20,55.5,55.5,55.5,61.8,2220.0,40,2
KVAL.N0000,2016-06-21,55.5,55.6,55.5,61.8,1111.0,20,3
KVAL.N0000,2016-06-23,55.6,55.6,55.6,61.8,2224.0,40,1
KVAL.N0000,2016-06-27,56.0,56.0,55.6,61.8,2786.0,50,2
KVAL.N0000,2016-06-29,61.6,61.8,55.1,61.6,81668.8,1326,9
KVAL.N0000,2016-06-30,61.5,61.5,61.5,61.6,61.5,1,1
KVAL.N0000,2016-07-03,55.2,55.2,55.2,61.6,55.2,1,1
KVAL.N0000,2016-07-04,61.5,61.5,61.5,61.5,12300.0,200,3
KVAL.N0000,2016-07-06,61.0,65.0,61.0,63.5,108029.5,1700,8
KVAL.N0000,2016-07-07,64.9,65.0,64.9,65.0,130129.8,2002,5
KVAL.N0000,2016-07-12,68.0,68.0,68.0,68.0,34000.0,500,1
KVAL.N0000,2016-07-20,67.5,67.5,61.0,68.0,459.5,7,2
KVAL.N0000,2016-07-24,61.3,61.3,61.0,61.0,11843.0,194,3
KVAL.N0000,2016-08-04,64.9,64.9,64.9,61.0,64.9,1,1
KVAL.N0000,2016-08-11,54.0,64.9,54.0,61.0,118.9,2,2
KVAL.N0000,2016-08-14,58.5,58.5,58.0,58.2,40850.0,700,5
KVAL.N0000,2016-08-15,60.0,60.0,60.0,60.0,9360.0,156,1
KVAL.N0000,2016-08-17,60.1,60.1,55.3,59.0,148096.8,2508,9
KVAL.N0000,2016-08-18,59.9,59.9,59.9,59.9,6469.2,108,2
