ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
LCBF.N0000,2021-11-15,8.0,8.0,4.0,4.4,345558492.6,69379919,5359
LCBF.N0000,2021-11-16,4.6,4.7,4.2,4.2,22771678.3,5220396,686
LCBF.N0000,2021-11-18,4.2,4.3,3.8,3.9,17028987.8,4270384,739
LCBF.N0000,2021-11-21,3.9,4.1,3.9,3.9,7008336.1,1753572,178
LCBF.N0000,2021-11-22,3.9,4.0,3.8,3.9,4447412.0,1140697,204
LCBF.N0000,2021-11-23,3.9,4.0,3.8,3.9,2258419.9,579796,124
LCBF.N0000,2021-11-24,3.9,3.9,3.8,3.8,3252797.9,847486,158
LCBF.N0000,2021-11-25,3.8,3.9,3.7,3.8,3582011.8,947697,188
LCBF.N0000,2021-11-28,3.8,3.9,3.7,3.7,6264966.0,1680398,328
LCBF.N0000,2021-11-29,3.8,3.9,3.6,3.7,5849976.9,1572005,213
LCBF.N0000,2021-11-30,3.8,3.8,3.6,3.7,2517804.2,680292,128
LCBF.N0000,2021-12-01,3.6,3.8,3.6,3.7,5056849.4,1383897,209
LCBF.N0000,2021-12-02,3.7,3.8,3.6,3.7,1636180.1,444825,81
LCBF.N0000,2021-12-05,3.7,3.7,3.6,3.6,1759243.2,486293,68
LCBF.N0000,2021-12-06,3.7,4.4,3.5,4.1,22210357.0,5518647,573
LCBF.N0000,2021-12-07,4.2,4.6,4.1,4.1,56505007.5,12925480,883
LCBF.N0000,2021-12-08,4.1,4.3,3.9,4.0,6221053.0,1533034,222
LCBF.N0000,2021-12-09,4.1,4.3,4.0,4.0,10447502.2,2555526,187
LCBF.N0000,2021-12-12,4.2,4.2,3.9,4.0,3502393.6,874340,89
LCBF.N0000,2021-12-13,4.0,4.0,3.8,3.9,7658389.9,1956911,144
LCBF.N0000,2021-12-14,4.0,4.0,3.8,3.9,1554006.6,400010,56
LCBF.N0000,2021-12-15,3.9,4.0,3.8,3.9,233586.5,60479,24
LCBF.N0000,2021-12-16,3.8,4.0,3.8,3.8,1768520.9,465234,90
LCBF.N0000,2021-12-19,3.8,3.9,3.7,3.7,1311585.3,347760,91
LCBF.N0000,2021-12-20,3.8,3.9,3.6,3.7,2223280.7,607184,128
LCBF.N0000,2021-12-21,3.7,3.9,3.7,3.7,4063070.1,1090837,100
LCBF.N0000,2021-12-22,3.7,3.9,3.6,3.8,4339214.2,1163334,190
LCBF.N0000,2021-12-23,3.9,4.0,3.6,3.8,2901022.3,787321,128
LCBF.N0000,2021-12-26,3.8,3.9,3.7,3.8,3244547.9,869206,152
LCBF.N0000,2021-12-27,3.7,3.8,3.6,3.7,6613973.7,1808006,174
LCBF.N0000,2021-12-28,3.7,3.9,3.6,3.8,868011.4,230731,68
LCBF.N0000,2021-12-29,3.8,3.8,3.7,3.7,600574.0,161977,93
LCBF.N0000,2021-12-30,3.8,4.3,3.7,3.9,29797980.8,7498835,585
LCBF.N0000,2022-01-02,3.9,4.1,3.8,4.0,35105391.0,8863986,354
LCBF.N0000,2022-01-03,4.1,4.3,3.9,4.1,42061580.6,10312274,420
LCBF.N0000,2022-01-04,4.2,4.2,3.9,3.9,8711391.4,2175998,196
LCBF.N0000,2022-01-05,3.9,4.0,3.8,3.9,3697446.7,952903,215
LCBF.N0000,2022-01-06,4.0,4.0,3.8,3.8,7118599.8,1852324,180
LCBF.N0000,2022-01-09,3.9,4.1,3.9,4.0,7032910.2,1768327,193
LCBF.N0000,2022-01-10,3.9,4.0,3.8,4.0,3247928.1,827727,148
LCBF.N0000,2022-01-11,4.0,4.0,3.8,3.9,2832960.2,728459,105
LCBF.N0000,2022-01-12,3.9,4.0,3.8,3.8,1656767.3,432770,103
LCBF.N0000,2022-01-17,3.9,4.0,3.8,3.8,2630452.2,682537,191
LCBF.N0000,2022-01-18,3.9,3.9,3.8,3.9,341263.9,88151,43
LCBF.N0000,2022-01-19,3.8,4.0,3.8,3.9,918760.5,236258,64
LCBF.N0000,2022-01-20,3.8,3.9,3.7,3.8,4350864.5,1145652,134
LCBF.N0000,2022-01-23,3.9,3.9,3.7,3.8,1597093.6,420265,67
LCBF.N0000,2022-01-24,3.9,3.9,3.7,3.7,2605886.2,701769,121
LCBF.N0000,2022-01-25,3.7,3.8,3.7,3.7,1196382.1,319890,100
LCBF.N0000,2022-01-26,3.7,3.9,3.7,3.7,3522262.1,949741,128
LCBF.N0000,2022-01-27,3.8,3.8,3.6,3.7,2336709.9,643268,159
LCBF.N0000,2022-01-30,3.8,3.8,3.7,3.7,470166.8,126787,31
LCBF.N0000,2022-01-31,3.8,3.9,3.7,3.7,1840555.3,493600,162
LCBF.N0000,2022-02-01,3.7,3.8,3.6,3.7,1874114.7,502997,111
LCBF.N0000,2022-02-02,3.7,3.7,3.5,3.6,2614878.0,723565,156
LCBF.N0000,2022-02-06,3.7,3.8,3.6,3.7,3104919.6,852220,169
LCBF.N0000,2022-02-07,3.8,3.8,3.6,3.6,1240376.8,343485,86
LCBF.N0000,2022-02-08,3.8,3.8,3.3,3.5,7426776.7,2131517,325
LCBF.N0000,2022-02-09,3.5,3.5,3.3,3.4,2261903.7,664537,120
LCBF.N0000,2022-02-10,3.4,3.5,3.3,3.4,1444585.0,428350,104
LCBF.N0000,2022-02-13,3.5,3.5,3.4,3.4,334646.3,98048,54
LCBF.N0000,2022-02-14,3.4,3.4,3.3,3.3,940327.5,283918,72
LCBF.N0000,2022-02-16,3.3,3.5,3.3,3.3,2147508.1,648024,129
LCBF.N0000,2022-02-17,3.3,3.4,3.2,3.3,969541.9,293704,81
LCBF.N0000,2022-02-20,3.3,3.3,3.0,3.1,1548175.9,501116,107
LCBF.N0000,2022-02-21,3.1,3.3,2.9,3.0,1931306.1,631858,104
LCBF.N0000,2022-02-22,3.0,3.0,2.7,2.9,1523715.8,532907,113
LCBF.N0000,2022-02-23,3.0,3.1,2.6,2.7,3123101.4,1151705,129
LCBF.N0000,2022-02-24,2.7,3.0,2.6,3.0,1555358.5,560723,126
LCBF.N0000,2022-02-27,3.0,3.3,2.9,3.2,1982580.1,620992,128
LCBF.N0000,2022-03-01,3.4,3.4,2.9,3.1,473666.8,157421,64
LCBF.N0000,2022-03-02,3.0,3.2,2.9,3.0,367240.5,123976,40
LCBF.N0000,2022-03-03,3.1,3.1,3.0,3.0,58247.0,19249,12
LCBF.N0000,2022-03-06,3.2,3.2,2.8,2.9,315241.8,106779,38
LCBF.N0000,2022-03-07,2.8,3.0,2.6,2.7,365390.0,132946,35
LCBF.N0000,2022-03-08,2.6,2.8,2.5,2.7,680426.2,260465,45
LCBF.N0000,2022-03-09,2.8,3.0,2.7,2.9,626533.9,224649,44
