ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
LGIL.N0000,2021-12-30,16.0,22.0,16.0,20.5,1631594614.0,85341171,17789
LGIL.N0000,2022-01-02,21.1,22.6,20.6,21.7,481903359.6,22251009,3860
LGIL.N0000,2022-01-03,21.9,22.2,20.4,20.6,217084657.4,10346267,1790
LGIL.N0000,2022-01-04,21.0,21.6,19.8,20.1,177242900.9,8690275,1784
LGIL.N0000,2022-01-05,20.0,20.5,19.2,19.7,65267471.6,3295865,965
LGIL.N0000,2022-01-06,19.6,19.9,19.1,19.4,39848931.4,2048674,701
LGIL.N0000,2022-01-09,19.5,19.6,17.9,18.2,40076330.7,2135081,797
LGIL.N0000,2022-01-10,18.0,19.1,17.4,18.6,39157786.2,2163573,761
LGIL.N0000,2022-01-11,18.8,20.6,18.3,18.8,60310178.7,3084599,796
LGIL.N0000,2022-01-12,18.9,18.9,18.1,18.3,16684287.1,907270,356
LGIL.N0000,2022-01-17,18.3,19.4,18.0,18.8,34801951.4,1890369,415
LGIL.N0000,2022-01-18,18.7,19.0,18.1,18.3,15217064.0,826892,227
LGIL.N0000,2022-01-19,18.3,18.6,17.9,18.1,26635027.9,1466119,346
LGIL.N0000,2022-01-20,18.0,18.9,18.0,18.3,30215740.1,1636202,341
LGIL.N0000,2022-01-23,18.4,18.4,17.9,18.1,11738917.1,649222,239
LGIL.N0000,2022-01-24,18.1,18.1,17.0,17.1,38286494.8,2197621,476
LGIL.N0000,2022-01-25,17.1,17.4,16.7,17.0,13018530.2,766543,263
LGIL.N0000,2022-01-26,16.0,17.5,15.0,16.3,20654824.7,1259477,416
LGIL.N0000,2022-01-27,16.0,16.9,14.9,15.8,18915722.0,1209575,361
LGIL.N0000,2022-01-30,15.8,17.2,15.8,16.6,23013488.5,1389527,437
LGIL.N0000,2022-01-31,16.4,16.4,15.7,15.8,10584536.7,660766,312
LGIL.N0000,2022-02-01,16.0,16.4,15.2,15.5,11520610.5,729888,307
LGIL.N0000,2022-02-02,15.2,15.9,15.0,15.2,13429907.6,874178,296
LGIL.N0000,2022-02-06,15.2,16.2,15.0,15.7,10059782.1,645076,307
LGIL.N0000,2022-02-07,15.8,15.8,14.5,14.9,10605573.4,714535,322
LGIL.N0000,2022-02-08,15.1,15.2,14.1,14.3,8108834.6,557705,200
LGIL.N0000,2022-02-09,14.2,15.1,13.6,14.3,13501583.9,934149,311
LGIL.N0000,2022-02-10,14.7,15.2,14.3,15.0,4677152.5,315821,170
LGIL.N0000,2022-02-13,15.2,15.2,14.3,14.5,3262384.7,224955,104
LGIL.N0000,2022-02-14,14.4,14.6,13.9,14.1,3114920.6,220632,132
LGIL.N0000,2022-02-16,14.1,14.1,13.6,13.7,7056303.8,515196,157
LGIL.N0000,2022-02-17,13.7,13.9,13.6,13.7,7272389.1,531442,124
LGIL.N0000,2022-02-20,14.0,14.0,13.6,13.6,7704341.5,566175,139
LGIL.N0000,2022-02-21,13.6,13.6,12.4,13.0,25001291.9,1989786,335
LGIL.N0000,2022-02-22,13.0,13.0,11.0,12.0,8511161.0,723220,227
LGIL.N0000,2022-02-23,11.5,12.3,10.6,10.8,3045495.6,272219,164
LGIL.N0000,2022-02-24,10.1,13.4,10.1,12.9,6343272.9,526235,268
LGIL.N0000,2022-02-27,13.0,13.4,12.1,13.2,3792901.9,292153,198
LGIL.N0000,2022-03-01,13.2,13.3,11.7,12.4,5562355.9,447755,154
LGIL.N0000,2022-03-02,13.0,13.0,11.9,12.0,1553136.0,128788,92
LGIL.N0000,2022-03-03,11.8,12.2,11.7,12.0,1216434.3,102219,70
LGIL.N0000,2022-03-06,11.9,12.2,11.5,11.5,1274925.5,109909,76
LGIL.N0000,2022-03-07,11.5,11.8,9.5,10.0,3558484.9,349304,160
LGIL.N0000,2022-03-08,10.1,10.5,9.6,9.8,1417011.4,142007,102
LGIL.N0000,2022-03-09,9.9,10.7,9.8,10.6,6700643.0,666745,191
LGIL.N0000,2022-03-10,10.9,10.9,10.0,10.0,1985340.3,190553,76
LGIL.N0000,2022-03-13,10.0,10.3,9.7,9.8,1310681.8,132354,72
LGIL.N0000,2022-03-14,9.6,10.4,9.6,9.8,11853220.1,1192124,113
LGIL.N0000,2022-03-15,9.8,9.9,9.0,9.5,4788630.6,502073,113
LGIL.N0000,2022-03-17,9.4,9.9,9.3,9.8,1059009.0,109430,60
LGIL.N0000,2022-03-20,9.9,10.0,9.3,9.7,886318.3,92249,80
LGIL.N0000,2022-03-21,9.7,10.2,9.7,9.9,1338699.5,133705,87
LGIL.N0000,2022-03-22,9.9,9.9,9.3,9.5,366137.3,38372,60
LGIL.N0000,2022-03-23,9.7,9.8,9.3,9.5,191482.8,20135,18
LGIL.N0000,2022-03-24,9.2,9.5,9.1,9.2,3696615.0,391031,79
LGIL.N0000,2022-03-27,9.1,9.1,8.5,8.7,1753657.6,200059,112
LGIL.N0000,2022-03-28,8.5,8.8,7.7,7.7,2653286.0,321754,112
LGIL.N0000,2022-03-29,8.0,8.0,6.0,6.9,4350832.5,641469,152
LGIL.N0000,2022-03-30,7.0,7.4,6.5,7.1,2745325.3,393626,89
LGIL.N0000,2022-03-31,6.5,6.5,6.5,6.5,17589.0,2706,2
LGIL.N0000,2022-04-03,6.6,7.4,6.5,6.9,3831906.0,556475,51
LGIL.N0000,2022-04-04,7.0,7.7,6.6,7.2,1591397.1,220221,49
LGIL.N0000,2022-04-05,7.3,7.5,6.7,6.9,1694585.2,243186,45
LGIL.N0000,2022-04-06,7.1,7.1,6.8,6.8,2801856.1,408075,44
LGIL.N0000,2022-04-07,6.8,6.8,6.2,6.3,810904.8,126171,60
LGIL.N0000,2022-04-24,5.8,5.8,5.2,5.5,608036.8,110731,16
LGIL.N0000,2022-04-25,4.9,5.0,4.5,4.7,198160.0,41500,20
LGIL.N0000,2022-04-26,4.5,5.7,4.5,5.3,637157.4,126541,65
LGIL.N0000,2022-04-27,5.8,6.6,5.6,6.1,1700215.2,282538,85
LGIL.N0000,2022-04-28,7.0,7.0,6.0,6.1,852073.2,135993,59
LGIL.N0000,2022-05-03,6.2,6.7,5.9,6.0,163157.6,27101,46
LGIL.N0000,2022-05-04,6.0,6.5,5.8,5.8,190685.2,32146,39
LGIL.N0000,2022-05-05,5.8,5.8,5.4,5.5,213782.8,38736,32
LGIL.N0000,2022-05-08,5.8,6.0,5.5,5.5,1235454.1,219270,52
LGIL.N0000,2022-05-11,5.5,6.3,5.5,6.1,490348.2,82284,47
LGIL.N0000,2022-05-12,6.2,7.1,6.2,6.8,801260.3,118368,85
LGIL.N0000,2022-05-16,7.1,8.5,7.1,8.0,5248640.7,669237,157
LGIL.N0000,2022-05-17,8.6,9.4,7.5,7.9,2946607.5,347930,142
LGIL.N0000,2022-05-18,8.1,8.3,7.6,7.6,441815.4,56041,36
LGIL.N0000,2022-05-19,7.7,8.4,7.5,8.2,1153909.2,142505,73
LGIL.N0000,2022-05-22,8.5,9.0,8.3,8.9,3695437.7,429112,141
LGIL.N0000,2022-05-23,9.0,9.0,8.0,8.4,1544525.6,183994,77
LGIL.N0000,2022-05-24,8.0,8.5,8.0,8.4,1519228.7,180291,65
LGIL.N0000,2022-05-25,8.6,8.7,8.4,8.5,219509.9,25907,37
LGIL.N0000,2022-05-26,8.2,8.7,7.9,8.2,1426202.7,174645,86
LGIL.N0000,2022-05-29,8.2,8.2,8.0,8.0,131011.0,16362,17
LGIL.N0000,2022-05-30,8.0,8.0,7.4,7.7,550460.0,71490,34
LGIL.N0000,2022-05-31,7.8,7.8,7.2,7.2,534526.1,72564,47
LGIL.N0000,2022-06-01,7.2,7.5,7.1,7.2,875762.5,121486,33
LGIL.N0000,2022-06-02,7.2,7.4,7.2,7.3,16796.5,2305,8
LGIL.N0000,2022-06-05,7.1,7.1,6.6,6.7,268256.2,39529,51
LGIL.N0000,2022-06-06,6.5,6.6,6.1,6.4,594266.8,94175,62
LGIL.N0000,2022-06-07,6.5,6.8,6.4,6.5,789751.9,121771,56
LGIL.N0000,2022-06-08,6.9,7.2,6.6,7.0,773183.6,111070,49
LGIL.N0000,2022-06-09,6.8,7.6,6.8,6.9,624909.8,88959,58
LGIL.N0000,2022-06-12,6.8,7.0,6.4,6.6,509011.6,76501,49
LGIL.N0000,2022-06-14,6.6,6.8,6.1,6.2,412637.3,66299,29
LGIL.N0000,2022-06-15,6.5,6.5,6.1,6.3,130247.6,20781,28
LGIL.N0000,2022-06-16,6.5,6.5,5.8,5.9,329855.9,55416,53
LGIL.N0000,2022-06-19,5.7,6.2,5.6,5.7,2542798.3,451342,60
LGIL.N0000,2022-06-20,6.0,6.0,5.6,5.8,1005618.2,173562,44
LGIL.N0000,2022-06-21,6.0,6.1,5.8,5.8,330358.0,56810,27
