ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
LGL.X0000,2016-01-03,38.0,38.9,37.9,38.2,198919.0,5210,11
LGL.X0000,2016-01-04,37.8,38.5,37.5,38.3,217230.6,5680,14
LGL.X0000,2016-01-05,38.4,38.7,37.4,38.4,194839.4,5075,16
LGL.X0000,2016-01-06,37.4,38.0,37.3,37.6,520137.8,13837,20
LGL.X0000,2016-01-07,37.4,37.4,36.5,36.9,1457773.3,39433,55
LGL.X0000,2016-01-10,37.0,37.0,35.5,37.0,775323.5,21464,51
LGL.X0000,2016-01-11,36.0,37.0,34.0,35.9,981247.3,27376,52
LGL.X0000,2016-01-12,35.0,36.9,35.0,36.6,1642622.9,45348,47
LGL.X0000,2016-01-13,36.6,36.6,35.8,36.2,1245555.8,34651,34
LGL.X0000,2016-01-17,36.5,36.9,35.0,36.4,1903717.9,53952,60
LGL.X0000,2016-01-18,35.0,36.5,34.4,36.0,2385381.1,67525,73
LGL.X0000,2016-01-19,35.5,36.5,34.7,36.4,510763.3,14404,42
LGL.X0000,2016-01-20,36.0,37.0,36.0,36.9,292839.1,7987,16
LGL.X0000,2016-01-21,37.0,37.9,36.5,37.7,837530.9,22526,34
LGL.X0000,2016-01-24,37.5,37.5,36.5,36.5,392479.3,10743,15
LGL.X0000,2016-01-25,37.0,37.0,36.2,36.2,303442.0,8339,17
LGL.X0000,2016-01-26,36.1,37.0,35.6,36.9,267593.4,7284,25
LGL.X0000,2016-01-27,36.5,37.0,35.8,36.4,454967.7,12501,23
LGL.X0000,2016-01-28,36.8,37.0,35.8,36.4,374893.9,10301,8
LGL.X0000,2016-01-31,37.0,37.8,36.0,37.2,902106.0,24416,34
LGL.X0000,2016-02-01,37.1,38.9,37.1,38.7,1156717.4,30434,45
LGL.X0000,2016-02-02,37.9,38.8,37.9,38.7,494405.6,12854,15
LGL.X0000,2016-02-04,38.1,38.8,37.9,38.4,334045.1,8707,14
LGL.X0000,2016-02-07,38.0,38.0,37.6,37.9,475383.3,12551,10
LGL.X0000,2016-02-08,37.5,38.0,37.3,37.9,460060.5,12150,16
LGL.X0000,2016-02-09,37.3,38.5,37.3,38.2,3237876.4,85221,29
LGL.X0000,2016-02-10,38.4,38.4,37.5,37.8,409438.8,10726,15
LGL.X0000,2016-02-11,37.6,37.6,37.1,37.3,529725.0,14170,12
LGL.X0000,2016-02-14,37.0,37.0,35.0,35.2,1166214.3,32875,52
LGL.X0000,2016-02-15,35.1,36.5,35.0,35.0,1556775.7,44461,43
LGL.X0000,2016-02-16,35.0,35.0,35.0,35.0,460670.0,13162,17
LGL.X0000,2016-02-17,35.0,35.0,35.0,35.0,7350.0,210,2
LGL.X0000,2016-02-18,35.0,36.0,34.5,35.9,877339.5,25015,31
LGL.X0000,2016-02-22,35.9,36.0,35.0,36.0,91980.0,2566,7
LGL.X0000,2016-02-23,35.1,36.5,34.5,36.4,712127.6,19977,39
LGL.X0000,2016-02-24,35.8,36.4,35.0,35.4,2104002.3,59955,57
LGL.X0000,2016-02-25,35.2,36.0,35.0,35.8,1464695.0,41808,27
LGL.X0000,2016-02-28,35.4,36.0,34.8,35.9,485435.5,13675,36
LGL.X0000,2016-02-29,34.9,35.4,34.3,34.9,469339.8,13520,43
LGL.X0000,2016-03-01,34.5,35.0,34.4,35.0,288080.0,8312,10
LGL.X0000,2016-03-02,34.7,35.3,34.7,35.0,144825.0,4130,8
LGL.X0000,2016-03-03,34.8,35.0,34.5,35.0,260071.0,7444,16
LGL.X0000,2016-03-07,34.9,34.9,33.5,34.4,672424.9,19735,38
LGL.X0000,2016-03-08,34.0,34.0,32.9,33.1,681408.3,20640,42
LGL.X0000,2016-03-09,33.0,33.5,32.9,33.0,451772.6,13687,28
LGL.X0000,2016-03-10,33.5,34.5,33.5,34.0,237396.9,6987,38
LGL.X0000,2016-03-13,34.0,34.0,33.0,33.4,608346.7,18191,40
LGL.X0000,2016-03-14,33.5,34.5,33.0,34.0,196895.1,5810,29
LGL.X0000,2016-03-15,33.5,35.0,33.5,34.9,231132.8,6705,15
LGL.X0000,2016-03-16,34.0,35.9,34.0,35.6,723871.3,20516,36
LGL.X0000,2016-03-17,35.8,36.3,35.2,35.9,2608394.1,73003,31
LGL.X0000,2016-03-20,36.0,36.0,34.2,34.6,2786555.6,80057,53
LGL.X0000,2016-03-22,34.1,35.0,34.1,35.0,230100.0,6600,8
LGL.X0000,2016-03-23,35.0,35.0,34.1,34.5,398498.0,11640,12
LGL.X0000,2016-03-27,34.2,35.8,34.0,35.4,1533932.1,44912,37
LGL.X0000,2016-03-28,33.9,34.8,33.7,33.9,213435.6,6299,13
LGL.X0000,2016-03-29,34.7,35.0,34.0,34.9,490390.6,14060,18
LGL.X0000,2016-03-30,35.0,36.0,34.0,35.4,544482.6,15500,46
LGL.X0000,2016-04-03,34.9,36.0,34.9,35.9,2725767.5,76021,27
LGL.X0000,2016-04-04,36.1,37.8,36.1,37.4,2538999.6,68743,82
LGL.X0000,2016-04-05,37.5,37.5,36.2,36.7,986665.9,26756,36
LGL.X0000,2016-04-06,36.8,37.1,36.8,37.0,4600742.5,124335,26
LGL.X0000,2016-04-07,37.0,37.9,37.0,37.8,1171970.3,31596,21
LGL.X0000,2016-04-11,37.7,38.9,37.1,38.4,1030275.4,26907,47
LGL.X0000,2016-04-14,38.5,39.4,38.5,39.1,2578931.5,66106,30
LGL.X0000,2016-04-17,39.0,39.0,38.4,38.5,2580808.2,66889,29
LGL.X0000,2016-04-18,39.0,39.1,38.5,38.5,1082284.9,27820,30
LGL.X0000,2016-04-19,39.3,39.3,38.5,38.5,1524831.4,39579,32
LGL.X0000,2016-04-21,38.5,38.6,38.4,38.5,1153247.1,29942,20
LGL.X0000,2016-04-24,38.4,39.0,38.0,38.0,1404808.6,36920,31
LGL.X0000,2016-04-25,38.0,38.4,37.4,38.3,222070.0,5835,11
LGL.X0000,2016-04-26,38.5,39.0,37.8,38.7,469368.9,12215,26
LGL.X0000,2016-04-27,38.5,38.7,38.5,38.6,158263.5,4105,9
