ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
LHCL.N0000,2016-01-03,60.5,61.0,60.3,60.3,1421021.8,23406,11
LHCL.N0000,2016-01-04,61.0,61.0,59.1,59.2,2188406.0,36486,34
LHCL.N0000,2016-01-05,59.1,59.9,58.7,58.7,229692.0,3900,15
LHCL.N0000,2016-01-06,59.0,59.0,58.0,58.0,2206100.0,37924,58
LHCL.N0000,2016-01-07,57.0,58.0,56.6,56.9,2923152.0,51261,49
LHCL.N0000,2016-01-10,58.4,58.4,55.0,55.1,4358007.5,78955,68
LHCL.N0000,2016-01-11,55.4,55.5,55.0,55.0,3347933.4,60858,42
LHCL.N0000,2016-01-12,55.0,57.0,54.5,55.5,296579.4,5272,17
LHCL.N0000,2016-01-13,56.0,56.0,55.0,55.0,1800980.0,32722,30
LHCL.N0000,2016-01-17,55.9,55.9,54.0,54.5,3676635.4,67361,43
LHCL.N0000,2016-01-18,54.5,54.5,51.0,52.9,4644795.4,87798,61
LHCL.N0000,2016-01-19,54.0,54.0,51.9,52.2,897393.0,17169,19
LHCL.N0000,2016-01-20,52.2,54.0,52.2,53.0,6001528.9,113152,61
LHCL.N0000,2016-01-21,53.8,56.5,52.6,52.9,4909640.4,92301,69
LHCL.N0000,2016-01-24,53.9,53.9,51.0,51.9,6195363.0,120094,59
LHCL.N0000,2016-01-25,52.0,53.5,51.2,51.6,2241157.5,43451,18
LHCL.N0000,2016-01-26,51.5,51.5,51.5,51.5,10300.0,200,1
LHCL.N0000,2016-01-27,53.0,54.9,52.1,54.2,2095294.1,38921,41
LHCL.N0000,2016-01-28,52.5,56.9,52.5,55.0,4200475.0,76149,81
LHCL.N0000,2016-01-31,55.0,55.8,54.1,54.3,1399655.7,25557,20
LHCL.N0000,2016-02-01,55.0,57.0,54.2,56.5,2604678.1,46439,54
LHCL.N0000,2016-02-02,57.0,57.5,56.5,56.6,1946167.0,34109,48
LHCL.N0000,2016-02-04,57.3,59.0,57.3,58.1,4154462.3,71739,67
LHCL.N0000,2016-02-07,58.3,59.0,58.0,58.8,2487802.6,42415,55
LHCL.N0000,2016-02-08,58.9,58.9,56.1,56.2,1055200.6,18670,24
LHCL.N0000,2016-02-09,57.5,57.5,55.7,56.6,29623.2,523,12
LHCL.N0000,2016-02-10,55.4,55.4,55.4,55.4,5540.0,100,1
LHCL.N0000,2016-02-11,55.4,55.4,54.0,55.0,395682.8,7280,14
LHCL.N0000,2016-02-14,54.0,55.0,54.0,55.0,16554.0,301,2
LHCL.N0000,2016-02-15,54.0,54.0,53.4,53.5,115770.0,2160,13
LHCL.N0000,2016-02-16,53.1,54.9,52.0,52.3,1969710.5,37320,28
LHCL.N0000,2016-02-17,52.0,52.7,52.0,52.1,3858521.5,74152,30
LHCL.N0000,2016-02-18,52.1,54.0,52.0,53.1,1530383.0,29252,20
LHCL.N0000,2016-02-22,52.5,52.5,51.6,51.8,1326059.0,25586,44
LHCL.N0000,2016-02-23,51.5,51.5,51.3,51.5,546255.0,10610,10
LHCL.N0000,2016-02-24,53.0,53.0,51.5,51.6,22589.5,438,4
LHCL.N0000,2016-02-25,52.0,52.9,51.5,52.5,2166395.2,41934,22
LHCL.N0000,2016-02-28,51.7,52.0,51.7,52.0,93510.0,1800,5
LHCL.N0000,2016-02-29,52.0,52.0,51.5,51.7,4227423.9,81784,40
LHCL.N0000,2016-03-01,51.0,52.0,51.0,51.5,3273571.6,63570,24
LHCL.N0000,2016-03-02,51.1,51.1,50.0,51.0,1853711.0,36505,22
LHCL.N0000,2016-03-03,49.0,51.4,49.0,49.0,61722.4,1259,7
LHCL.N0000,2016-03-07,49.5,49.5,48.0,48.0,1695221.5,35030,39
LHCL.N0000,2016-03-08,47.0,50.0,45.0,49.8,4078194.5,84892,65
LHCL.N0000,2016-03-09,51.2,52.0,50.1,51.1,1229216.7,24047,27
LHCL.N0000,2016-03-10,51.5,52.5,51.5,52.0,1409404.6,27057,24
LHCL.N0000,2016-03-13,51.6,51.6,48.6,50.0,1599914.2,31958,23
LHCL.N0000,2016-03-14,49.0,49.0,49.0,49.0,396900.0,8100,9
LHCL.N0000,2016-03-15,50.0,52.5,50.0,52.5,1621564.5,31702,17
LHCL.N0000,2016-03-16,52.5,53.0,52.3,52.4,462398.0,8820,11
