ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
LIOC.N0000,2016-01-03,37.0,37.5,37.0,37.0,1578239.8,42390,33
LIOC.N0000,2016-01-04,37.0,37.0,36.8,37.0,516223.0,13952,12
LIOC.N0000,2016-01-05,36.8,37.0,36.3,36.4,1263882.3,34666,21
LIOC.N0000,2016-01-06,37.0,37.0,35.9,36.0,1967539.0,54065,42
LIOC.N0000,2016-01-07,35.6,35.8,35.3,35.6,2404191.4,67651,48
LIOC.N0000,2016-01-10,35.3,35.3,34.8,34.9,1028070.5,29315,37
LIOC.N0000,2016-01-11,34.5,35.0,34.0,34.0,26212282.0,770410,92
LIOC.N0000,2016-01-12,34.3,34.8,33.8,34.1,11325526.8,332970,95
LIOC.N0000,2016-01-13,34.3,34.3,33.5,33.6,1267802.3,37535,38
LIOC.N0000,2016-01-17,33.5,34.3,32.1,33.0,6540564.0,195579,86
LIOC.N0000,2016-01-18,32.2,32.8,30.7,32.0,18246774.6,585441,113
LIOC.N0000,2016-01-19,33.0,33.0,31.8,32.3,3694992.5,114383,46
LIOC.N0000,2016-01-20,32.5,34.0,32.5,33.3,5677668.4,169981,71
LIOC.N0000,2016-01-21,33.3,34.0,32.5,32.6,2931391.0,88958,41
LIOC.N0000,2016-01-24,32.5,33.0,31.9,33.0,323836.4,10037,25
LIOC.N0000,2016-01-25,33.4,33.4,32.5,32.6,97402.4,2991,9
LIOC.N0000,2016-01-26,32.0,32.5,31.9,32.0,1248622.6,38922,35
LIOC.N0000,2016-01-27,32.0,32.5,31.5,31.5,795739.3,25244,36
LIOC.N0000,2016-01-28,32.4,33.0,31.4,32.0,3730355.2,115291,97
LIOC.N0000,2016-01-31,32.9,33.0,32.0,32.3,999908.5,31088,28
LIOC.N0000,2016-02-01,32.5,33.0,32.1,32.5,1776802.5,54655,64
LIOC.N0000,2016-02-02,32.7,32.7,31.0,31.9,6234950.5,199621,67
LIOC.N0000,2016-02-04,31.9,32.0,31.8,31.9,310972.0,9730,16
LIOC.N0000,2016-02-07,31.9,32.8,31.5,31.7,763255.1,23949,36
LIOC.N0000,2016-02-08,31.6,31.6,31.3,31.5,3755042.9,119321,52
LIOC.N0000,2016-02-09,31.5,32.4,31.3,31.9,3544991.9,111635,59
LIOC.N0000,2016-02-10,32.5,32.5,31.5,31.8,9554441.4,301591,95
LIOC.N0000,2016-02-11,32.0,32.6,31.9,32.0,6008079.5,187171,55
LIOC.N0000,2016-02-14,32.0,32.0,31.5,31.5,4656489.2,146735,44
LIOC.N0000,2016-02-15,32.5,32.6,31.5,32.0,5283072.8,164012,59
LIOC.N0000,2016-02-16,32.0,32.0,30.0,30.1,9537018.3,308396,89
LIOC.N0000,2016-02-17,30.5,31.0,30.2,31.0,1507257.1,49160,40
LIOC.N0000,2016-02-18,31.4,31.5,31.3,31.4,598502.5,19044,30
LIOC.N0000,2016-02-22,31.5,31.5,31.1,31.1,492707.6,15788,18
LIOC.N0000,2016-02-23,31.1,31.5,31.0,31.4,3064086.4,98427,33
LIOC.N0000,2016-02-24,31.5,31.5,31.0,31.0,779404.4,25109,16
LIOC.N0000,2016-02-25,31.5,31.5,31.0,31.0,1373789.5,44282,22
LIOC.N0000,2016-02-28,31.4,31.4,30.2,30.5,1358222.0,44278,52
LIOC.N0000,2016-02-29,30.2,30.7,30.0,30.5,9636725.3,317004,77
LIOC.N0000,2016-03-01,31.0,31.0,30.3,30.3,489755.5,16031,17
LIOC.N0000,2016-03-02,30.4,30.6,30.0,30.2,6969030.3,230870,55
LIOC.N0000,2016-03-03,30.6,30.6,30.0,30.1,908960.0,30030,11
LIOC.N0000,2016-03-07,30.3,30.5,30.0,30.4,9552238.9,316684,83
LIOC.N0000,2016-03-08,30.6,31.0,30.1,30.5,14899315.6,490205,108
LIOC.N0000,2016-03-09,31.0,31.8,31.0,31.5,4693779.9,149481,39
LIOC.N0000,2016-03-10,31.5,33.5,31.5,32.9,337823615.5,10240079,111
