ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
LION.N0000,2016-01-03,630.0,630.0,630.0,630.0,3150.0,5,1
LION.N0000,2016-01-05,610.0,610.0,610.0,610.0,1098000.0,1800,1
LION.N0000,2016-01-07,600.0,600.0,600.0,610.0,1800.0,3,3
LION.N0000,2016-01-10,550.0,630.0,550.0,610.0,306731.0,503,4
LION.N0000,2016-01-11,585.0,585.0,551.0,551.4,408250.5,730,7
LION.N0000,2016-01-13,560.0,560.0,540.0,548.3,263240.4,480,10
LION.N0000,2016-01-17,548.3,549.5,548.3,548.3,7677.4,14,2
LION.N0000,2016-01-18,542.0,542.0,540.0,548.3,1082.0,2,2
LION.N0000,2016-01-19,540.0,540.0,540.0,548.3,5400.0,10,2
LION.N0000,2016-01-20,548.5,548.5,548.5,548.3,1097.0,2,1
LION.N0000,2016-01-25,540.0,540.0,540.0,540.0,77760.0,144,4
LION.N0000,2016-01-26,530.1,530.1,530.0,530.0,53000.3,100,2
LION.N0000,2016-01-27,531.0,531.0,530.0,530.0,368895.0,696,10
LION.N0000,2016-01-31,529.9,530.0,525.0,529.9,13126368.8,24772,14
LION.N0000,2016-02-01,525.3,525.3,525.3,529.9,12081.9,23,1
LION.N0000,2016-02-02,525.3,525.3,525.3,525.3,105060.0,200,2
LION.N0000,2016-02-08,526.0,526.0,520.0,521.8,104356.6,200,15
LION.N0000,2016-02-11,520.0,520.0,520.0,521.8,1040.0,2,1
LION.N0000,2016-02-15,520.0,520.0,520.0,521.8,5200.0,10,1
LION.N0000,2016-02-16,520.0,520.0,520.0,520.0,260000.0,500,1
LION.N0000,2016-02-17,500.5,520.0,500.5,520.0,12226.5,24,5
LION.N0000,2016-02-22,502.0,502.0,502.0,520.0,5020.0,10,1
LION.N0000,2016-02-24,503.0,503.0,500.0,520.0,46664.0,93,4
LION.N0000,2016-02-25,490.0,500.0,490.0,520.0,4450.0,9,2
LION.N0000,2016-02-28,490.0,490.0,490.0,490.0,16915290.0,34521,3
LION.N0000,2016-02-29,500.0,500.0,470.0,500.0,77484560.0,154972,22
LION.N0000,2016-03-01,500.0,500.0,500.0,500.0,938500.0,1877,2
LION.N0000,2016-03-02,490.0,490.0,490.0,500.0,2450.0,5,1
LION.N0000,2016-03-03,490.0,490.0,490.0,500.0,3920.0,8,2
LION.N0000,2016-03-07,500.0,519.0,470.0,497.2,449830.0,882,7
LION.N0000,2016-03-10,475.0,475.0,475.0,497.2,39425.0,83,6
LION.N0000,2016-03-13,500.0,500.0,500.0,497.2,500.0,1,1
LION.N0000,2016-03-14,470.0,470.0,470.0,497.2,2820.0,6,3
LION.N0000,2016-03-16,480.0,485.0,480.0,497.2,10620.0,22,2
LION.N0000,2016-03-17,500.0,500.0,500.0,500.0,1635500.0,3271,2
LION.N0000,2016-03-20,460.0,460.0,458.0,500.0,25745.0,56,8
LION.N0000,2016-03-22,490.0,494.9,490.0,500.0,2454.9,5,2
LION.N0000,2016-03-23,494.9,500.0,494.9,500.0,131601869.9,263204,14
LION.N0000,2016-03-27,460.0,460.0,459.0,459.0,280920.0,612,6
LION.N0000,2016-03-28,460.0,460.0,459.0,459.0,38456890.0,76915,3
LION.N0000,2016-03-30,452.0,452.0,452.0,459.0,3616.0,8,1
LION.N0000,2016-03-31,450.0,450.0,450.0,450.0,45000.0,100,2
LION.N0000,2016-04-03,455.0,455.0,455.0,455.0,45500.0,100,1
LION.N0000,2016-04-04,458.0,458.0,458.0,455.0,3664.0,8,1
LION.N0000,2016-04-11,445.0,455.0,445.0,455.0,13309195.0,29251,5
LION.N0000,2016-04-14,500.0,500.0,500.0,455.0,500.0,1,1
LION.N0000,2016-04-17,450.0,450.0,450.0,450.0,45000.0,100,1
LION.N0000,2016-04-18,450.0,549.5,450.0,450.3,7505587.1,16673,7
LION.N0000,2016-04-21,453.0,453.0,453.0,450.3,4530.0,10,2
LION.N0000,2016-04-25,453.0,455.0,450.0,450.3,31573.6,70,7
LION.N0000,2016-04-26,450.0,500.0,450.0,450.1,14035840.0,31187,5
LION.N0000,2016-04-27,460.0,460.0,452.0,452.4,677346.4,1497,7
LION.N0000,2016-05-03,460.0,460.0,452.0,455.0,140170194.0,310109,18
LION.N0000,2016-05-04,455.0,455.0,451.0,454.6,53193.0,117,5
LION.N0000,2016-05-08,470.0,470.0,470.0,454.6,470.0,1,1
LION.N0000,2016-05-12,456.0,456.0,450.0,450.1,225058.5,500,6
LION.N0000,2016-05-15,452.0,452.0,450.0,450.0,161114.0,358,3
LION.N0000,2016-05-16,450.0,450.0,440.0,442.0,1545515.4,3496,17
LION.N0000,2016-05-17,442.0,442.0,440.0,441.9,64954.0,147,3
LION.N0000,2016-05-18,435.1,435.1,435.0,435.0,341042.5,784,20
LION.N0000,2016-05-19,435.0,435.0,420.0,420.0,1540658.2,3668,19
LION.N0000,2016-05-23,420.0,420.0,400.0,400.0,134866308.0,337150,21
LION.N0000,2016-05-24,410.0,410.1,400.0,400.0,24773872.0,61925,48
LION.N0000,2016-05-25,400.0,400.0,400.0,400.0,2000.0,5,2
LION.N0000,2016-05-29,419.9,419.9,400.0,400.9,194634.5,480,13
LION.N0000,2016-05-31,401.0,405.0,400.0,400.9,14035.0,35,5
LION.N0000,2016-06-01,400.0,405.0,400.0,400.0,8361731.0,20904,5
LION.N0000,2016-06-02,400.0,405.0,400.0,405.0,240875.0,595,8
LION.N0000,2016-06-05,400.0,400.0,380.0,381.3,1274376.2,3340,14
LION.N0000,2016-06-06,400.0,400.0,380.0,380.0,30998861.0,81560,28
LION.N0000,2016-06-08,380.1,400.0,380.1,394.7,44202.5,112,11
LION.N0000,2016-06-12,398.0,398.0,398.0,394.7,21890.0,55,2
LION.N0000,2016-06-13,398.0,398.0,398.0,394.7,1194.0,3,1
LION.N0000,2016-06-14,395.0,395.0,395.0,394.7,3160.0,8,2
LION.N0000,2016-06-15,385.0,385.5,385.0,394.7,5005.6,13,4
LION.N0000,2016-06-16,394.7,400.0,394.7,394.7,3967000.0,10050,3
LION.N0000,2016-06-19,390.0,390.0,390.0,394.7,1560.0,4,1
LION.N0000,2016-06-20,390.0,390.0,390.0,394.7,5460.0,14,3
LION.N0000,2016-06-21,390.0,390.0,390.0,394.7,780.0,2,1
LION.N0000,2016-06-22,387.0,387.0,387.0,394.7,3870.0,10,1
LION.N0000,2016-06-26,380.0,380.4,380.0,394.7,5702.0,15,2
LION.N0000,2016-06-27,380.0,380.1,380.0,380.0,12209400.2,32130,9
LION.N0000,2016-06-28,372.0,372.0,372.0,380.0,1860.0,5,2
LION.N0000,2016-06-29,375.0,378.0,375.0,380.0,2265.0,6,2
LION.N0000,2016-06-30,375.1,380.0,375.0,380.0,3400.3,9,3
LION.N0000,2016-07-04,390.0,390.0,375.0,380.0,2492170.0,6519,5
LION.N0000,2016-07-07,375.1,389.9,375.1,380.0,10521.4,28,4
LION.N0000,2016-07-10,388.0,388.0,388.0,380.0,9700.0,25,1
LION.N0000,2016-07-11,388.0,389.9,388.0,380.0,38122.8,98,6
LION.N0000,2016-07-12,398.9,400.0,389.9,380.0,5987.7,15,5
LION.N0000,2016-07-13,435.0,435.0,435.0,380.0,435.0,1,1
LION.N0000,2016-07-14,390.0,390.0,390.0,380.0,390.0,1,1
LION.N0000,2016-07-17,429.0,429.0,428.0,380.0,13298.0,31,2
LION.N0000,2016-07-19,425.0,425.0,380.0,380.1,2358578.6,6203,21
LION.N0000,2016-07-20,385.0,385.0,380.0,380.0,663570.0,1746,14
LION.N0000,2016-07-21,375.0,385.0,375.0,376.3,43275.0,115,3
LION.N0000,2016-07-25,385.0,385.0,385.0,385.0,80850.0,210,2
LION.N0000,2016-07-26,384.0,384.0,383.0,383.0,94994.0,248,2
LION.N0000,2016-07-27,383.0,383.0,383.0,383.0,766.0,2,2
LION.N0000,2016-07-28,375.5,379.0,372.1,375.0,2399636.0,6399,34
LION.N0000,2016-07-31,385.0,385.0,384.9,385.0,1058745.1,2750,27
LION.N0000,2016-08-01,380.0,390.0,380.0,390.0,79905.0,205,8
LION.N0000,2016-08-03,380.0,380.0,375.0,375.3,521793.8,1389,25
LION.N0000,2016-08-04,380.0,380.1,380.0,380.1,10436060.0,27462,5
LION.N0000,2016-08-07,385.0,410.0,380.0,380.0,20726805.0,54544,11
LION.N0000,2016-08-10,380.0,380.0,380.0,380.0,603820.0,1589,2
LION.N0000,2016-08-11,380.1,380.1,377.0,377.1,114041482.4,300110,6
LION.N0000,2016-08-14,385.0,395.0,370.0,374.4,6453898.8,17010,30
LION.N0000,2016-08-17,375.1,380.0,375.1,374.4,4891.0,13,3
LION.N0000,2016-08-18,389.0,389.0,389.0,374.4,389.0,1,1
LION.N0000,2016-08-21,380.0,380.0,380.0,380.0,380000.0,1000,1
LION.N0000,2016-08-24,380.2,380.2,380.0,380.0,4950480.6,13026,12
LION.N0000,2016-08-29,380.1,380.1,375.0,380.0,5494705.0,14460,7
LION.N0000,2016-08-30,385.0,385.0,380.0,380.1,6899203.2,18150,14
LION.N0000,2016-09-01,380.1,380.1,380.0,380.0,1201941.1,3163,20
LION.N0000,2016-09-04,376.0,376.0,376.0,380.0,3008.0,8,2
LION.N0000,2016-09-05,380.0,380.1,380.0,380.0,32407976.0,85284,16
LION.N0000,2016-09-06,380.0,380.0,380.0,380.0,11780000.0,31000,7
LION.N0000,2016-09-08,376.2,380.0,376.2,380.0,12473405.2,32825,3
LION.N0000,2016-09-12,380.0,380.0,380.0,380.0,760.0,2,1
LION.N0000,2016-09-13,380.0,380.0,380.0,380.0,475380.0,1251,9
LION.N0000,2016-09-14,380.0,380.0,379.9,379.9,26543793.9,69862,12
LION.N0000,2016-09-18,380.0,380.0,380.0,379.9,3800.0,10,1
LION.N0000,2016-09-19,380.0,380.0,380.0,380.0,4317560.0,11362,8
LION.N0000,2016-09-21,380.0,380.0,380.0,380.0,3800.0,10,1
LION.N0000,2016-09-22,380.1,380.2,380.1,380.0,19770.2,52,2
LION.N0000,2016-09-25,380.1,380.1,379.0,379.0,191007401.8,503977,8
LION.N0000,2016-09-26,380.0,380.0,380.0,380.0,26600380.0,70001,14
LION.N0000,2016-09-27,380.0,381.0,380.0,380.0,82081020.0,216001,15
LION.N0000,2016-09-28,380.0,380.0,380.0,380.0,92720.0,244,2
LION.N0000,2016-09-29,380.5,380.5,380.5,380.0,17122.5,45,2
LION.N0000,2016-10-02,381.0,431.0,380.0,427.0,19236414.9,50558,18
LION.N0000,2016-10-03,390.0,410.0,390.0,401.9,7004172.4,17442,23
LION.N0000,2016-10-04,403.0,405.0,402.0,403.0,660074.0,1633,11
LION.N0000,2016-10-05,405.0,410.0,396.1,405.1,212652.5,525,4
LION.N0000,2016-10-09,398.0,415.0,396.0,405.1,15483.0,39,3
LION.N0000,2016-10-10,410.0,410.0,409.0,410.0,250503.0,611,9
LION.N0000,2016-10-11,410.0,410.0,405.0,409.8,109420.0,267,2
LION.N0000,2016-10-12,414.0,414.0,400.0,413.9,212309.0,513,10
LION.N0000,2016-10-13,400.0,410.0,400.0,400.2,180971620.0,452416,12
LION.N0000,2016-10-16,400.1,400.2,400.0,400.1,660042.2,1650,7
LION.N0000,2016-10-17,400.0,400.0,400.0,400.0,644400.0,1611,2
LION.N0000,2016-10-18,399.0,399.0,397.0,400.0,5582.0,14,3
LION.N0000,2016-10-19,400.0,407.9,394.1,405.0,19751618.3,48809,18
LION.N0000,2016-10-20,408.0,408.0,408.0,408.0,40800.0,100,1
LION.N0000,2016-10-24,400.0,410.0,400.0,409.9,15810498.6,38573,10
LION.N0000,2016-10-25,410.0,413.9,410.0,410.0,27547908.9,67190,12
LION.N0000,2016-10-26,410.5,410.5,410.2,410.0,31588.4,77,4
LION.N0000,2016-10-27,410.1,410.1,410.1,410.0,8202.0,20,2
LION.N0000,2016-10-30,410.5,410.5,410.5,410.0,4105.0,10,1
LION.N0000,2016-10-31,412.0,412.0,412.0,410.0,2060.0,5,1
LION.N0000,2016-11-01,410.0,413.9,410.0,410.0,33213.9,81,3
LION.N0000,2016-11-02,410.0,410.0,410.0,410.0,82000.0,200,1
LION.N0000,2016-11-03,412.0,413.0,412.0,413.0,2156747.0,5233,5
LION.N0000,2016-11-06,420.0,420.0,413.1,413.1,54323.1,131,3
LION.N0000,2016-11-07,420.0,420.0,420.0,420.0,79800.0,190,4
LION.N0000,2016-11-08,416.0,417.0,415.0,415.4,136672.0,329,5
LION.N0000,2016-11-09,418.0,423.7,418.0,419.3,51994.8,124,3
LION.N0000,2016-11-10,418.0,424.0,418.0,420.8,586300.0,1400,6
LION.N0000,2016-11-14,424.0,439.9,424.0,424.0,1489602.0,3513,12
LION.N0000,2016-11-15,439.9,459.6,439.9,449.9,1017129.0,2269,51
LION.N0000,2016-11-16,459.0,489.9,459.0,485.0,2359310.0,4978,58
LION.N0000,2016-11-17,483.1,494.0,483.0,489.2,327256.5,669,22
LION.N0000,2016-11-20,490.9,490.9,480.0,489.2,3865.8,8,4
LION.N0000,2016-11-21,471.0,471.0,440.0,489.2,15731.0,35,3
LION.N0000,2016-11-22,440.0,485.0,440.0,455.9,170552.0,375,19
LION.N0000,2016-11-23,455.0,479.9,446.0,451.0,328393.9,728,22
LION.N0000,2016-11-24,475.0,475.0,447.0,451.0,37647.4,84,11
LION.N0000,2016-11-27,459.9,471.0,451.0,468.5,1936794.5,4164,18
LION.N0000,2016-11-28,451.0,470.0,451.0,451.0,922765.0,2046,8
