ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
LOLC.N0000,2016-01-03,94.5,94.5,91.8,91.8,1671360.9,18153,12
LOLC.N0000,2016-01-04,91.8,91.8,91.0,91.5,1134791.6,12400,11
LOLC.N0000,2016-01-05,91.5,92.0,91.0,91.0,2058309.0,22611,13
LOLC.N0000,2016-01-06,91.0,91.0,90.0,90.7,5304568.0,58431,34
LOLC.N0000,2016-01-07,91.0,91.0,90.0,90.0,65933.6,732,10
LOLC.N0000,2016-01-10,88.5,88.5,84.1,87.0,243136.7,2791,13
LOLC.N0000,2016-01-11,86.0,87.0,84.0,85.0,1248835.0,14673,20
LOLC.N0000,2016-01-12,84.0,85.5,83.0,83.1,4215423.2,50702,46
LOLC.N0000,2016-01-13,83.1,83.1,80.0,80.8,333091.0,4024,12
LOLC.N0000,2016-01-17,80.0,80.0,75.0,75.0,551897.9,7341,20
LOLC.N0000,2016-01-18,75.0,76.9,65.0,74.2,2475092.1,34550,76
LOLC.N0000,2016-01-19,77.9,78.0,70.0,71.0,328940.9,4340,16
LOLC.N0000,2016-01-20,71.1,78.0,71.1,77.0,100911.0,1310,4
LOLC.N0000,2016-01-21,77.0,78.9,77.0,78.5,10187433.9,131909,54
LOLC.N0000,2016-01-24,79.0,79.0,75.0,77.0,1067810.0,13801,12
LOLC.N0000,2016-01-25,76.0,78.2,76.0,76.1,15070.0,198,2
LOLC.N0000,2016-01-26,78.0,78.0,75.0,75.3,117609.0,1561,7
LOLC.N0000,2016-01-27,76.0,79.6,76.0,78.2,1010242.7,12924,16
LOLC.N0000,2016-01-28,80.0,80.0,79.9,79.9,636519.2,7959,20
LOLC.N0000,2016-01-31,79.7,82.0,79.1,79.9,1054342.9,13210,30
LOLC.N0000,2016-02-01,81.9,83.0,81.5,82.0,921538.6,11217,24
LOLC.N0000,2016-02-02,82.5,83.0,79.0,79.7,1453645.0,18120,22
LOLC.N0000,2016-02-04,80.0,80.1,78.0,78.6,1811282.0,23000,33
LOLC.N0000,2016-02-07,77.0,81.0,77.0,81.0,55910.0,710,4
LOLC.N0000,2016-02-09,77.5,80.5,77.5,79.2,13862.5,175,3
LOLC.N0000,2016-02-10,77.5,78.0,77.0,78.0,95604.0,1236,10
LOLC.N0000,2016-02-11,77.5,77.5,77.0,77.0,306317.0,3978,20
LOLC.N0000,2016-02-14,77.0,77.0,75.2,76.8,192000.0,2500,8
LOLC.N0000,2016-02-15,79.0,79.9,76.0,76.0,393922.3,5028,28
LOLC.N0000,2016-02-16,75.2,76.3,74.5,74.7,179980.6,2402,13
LOLC.N0000,2016-02-17,76.7,76.7,75.0,75.0,31143.5,415,9
LOLC.N0000,2016-02-18,75.5,77.0,74.5,75.5,216346.0,2865,10
LOLC.N0000,2016-02-22,76.0,76.0,73.0,73.3,422521.0,5726,24
LOLC.N0000,2016-02-23,72.1,74.0,72.0,74.0,43101.0,593,8
LOLC.N0000,2016-02-24,74.0,75.0,72.1,73.0,628615.0,8605,12
LOLC.N0000,2016-02-25,74.9,75.6,73.1,75.2,176937.5,2354,11
LOLC.N0000,2016-02-28,75.0,75.0,75.0,75.0,3744450.0,49926,29
LOLC.N0000,2016-02-29,77.0,77.0,73.5,73.5,75876.6,1032,8
LOLC.N0000,2016-03-01,73.5,73.5,72.1,72.1,373176.9,5131,13
LOLC.N0000,2016-03-02,72.1,72.1,70.0,70.6,60710.0,860,6
LOLC.N0000,2016-03-03,70.0,70.9,69.1,70.9,598260.0,8548,19
LOLC.N0000,2016-03-07,66.1,68.2,66.0,68.1,302881.6,4525,9
LOLC.N0000,2016-03-08,65.0,71.0,64.1,70.0,2183809.0,32045,25
LOLC.N0000,2016-03-09,69.9,72.0,69.0,70.0,3045520.0,43510,22
LOLC.N0000,2016-03-10,72.4,72.8,70.0,71.7,470776.0,6594,15
LOLC.N0000,2016-03-13,71.3,72.7,70.2,70.2,158784.4,2260,10
LOLC.N0000,2016-03-14,68.6,69.0,68.6,68.6,20237.4,295,3
LOLC.N0000,2016-03-15,69.0,75.0,69.0,73.0,275453.0,3861,13
LOLC.N0000,2016-03-16,75.0,77.7,75.0,76.4,569650.0,7500,17
LOLC.N0000,2016-03-17,74.0,76.7,74.0,74.3,41454.0,558,2
LOLC.N0000,2016-03-20,76.8,76.8,76.8,74.3,1536.0,20,1
LOLC.N0000,2016-03-22,75.0,76.7,75.0,76.6,45793.4,602,6
LOLC.N0000,2016-03-23,76.0,76.0,74.0,74.0,401920.0,5429,7
LOLC.N0000,2016-03-27,74.2,74.2,74.0,74.2,491427.0,6624,6
LOLC.N0000,2016-03-28,72.0,75.0,71.0,72.1,77785.0,1087,4
LOLC.N0000,2016-03-29,71.6,73.5,70.0,71.0,1569226.5,22303,11
LOLC.N0000,2016-03-30,72.0,72.5,72.0,72.0,112100.0,1550,4
LOLC.N0000,2016-03-31,74.0,74.0,73.9,74.0,45870.0,620,4
LOLC.N0000,2016-04-03,71.1,71.5,71.1,71.4,32135.0,450,3
LOLC.N0000,2016-04-04,71.5,76.0,71.5,75.3,335140.0,4480,12
LOLC.N0000,2016-04-05,74.0,74.0,74.0,74.0,61050.0,825,1
LOLC.N0000,2016-04-06,75.0,79.0,75.0,75.1,750906.9,9842,18
LOLC.N0000,2016-04-07,78.8,84.0,77.0,77.0,959909.7,12052,24
LOLC.N0000,2016-04-10,79.5,84.4,78.0,82.4,1293748.4,16007,31
LOLC.N0000,2016-04-11,84.9,88.5,82.4,85.0,1885473.9,22117,36
LOLC.N0000,2016-04-14,88.5,90.0,88.5,90.0,827358.0,9241,26
LOLC.N0000,2016-04-17,90.0,90.0,85.0,88.1,471879.1,5360,17
LOLC.N0000,2016-04-18,89.9,89.9,88.0,89.4,79571.4,895,6
LOLC.N0000,2016-04-19,89.9,90.0,88.0,89.8,485066.1,5400,14
LOLC.N0000,2016-04-21,86.5,90.9,86.5,86.6,1105809.4,12494,34
