ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
LPL.N0000,2019-10-29,8.8,8.8,5.6,6.1,16266943.1,2611859,971
LPL.N0000,2019-10-30,6.2,6.3,5.7,5.8,2886542.1,485583,257
LPL.N0000,2019-10-31,5.8,5.9,5.0,5.5,3497999.7,652683,345
LPL.N0000,2019-11-03,5.3,5.5,5.3,5.3,297317.6,55853,61
LPL.N0000,2019-11-04,5.4,5.7,5.3,5.5,4084097.8,740878,210
LPL.N0000,2019-11-05,5.5,5.7,5.4,5.4,534351.5,97547,67
LPL.N0000,2019-11-06,5.4,5.5,5.0,5.1,3221375.9,636520,163
LPL.N0000,2019-11-07,5.3,5.4,5.2,5.2,265543.4,50646,45
LPL.N0000,2019-11-12,5.3,5.4,5.1,5.2,453038.3,86905,67
LPL.N0000,2019-11-13,5.3,5.3,5.2,5.3,108551.7,20539,16
LPL.N0000,2019-11-14,5.2,5.4,5.1,5.3,436280.3,83018,42
LPL.N0000,2019-11-17,5.4,5.5,5.2,5.5,1005576.0,186406,110
LPL.N0000,2019-11-18,5.5,5.5,5.3,5.3,388985.9,72312,45
LPL.N0000,2019-11-19,5.4,5.8,5.3,5.6,1962607.0,350686,107
LPL.N0000,2019-11-20,5.7,5.7,5.5,5.6,270726.5,48597,35
LPL.N0000,2019-11-22,5.4,5.5,5.4,5.5,178096.8,32948,19
LPL.N0000,2019-11-24,5.4,5.4,5.2,5.3,301921.9,57301,39
LPL.N0000,2019-11-25,5.2,5.6,5.2,5.5,641729.3,117401,63
LPL.N0000,2019-11-26,5.3,5.6,5.3,5.4,105573.6,19819,27
LPL.N0000,2019-11-27,5.6,5.6,5.3,5.3,343121.0,63469,28
LPL.N0000,2019-11-28,5.4,5.4,5.2,5.2,389015.9,73580,31
LPL.N0000,2019-12-01,5.2,5.4,5.2,5.2,30224.8,5812,8
LPL.N0000,2019-12-02,5.2,5.3,5.1,5.1,533399.8,104108,52
LPL.N0000,2019-12-03,5.2,5.3,5.1,5.1,95739.0,18565,23
LPL.N0000,2019-12-04,5.1,5.2,5.0,5.2,160851.6,31516,25
LPL.N0000,2019-12-05,5.2,5.2,5.0,5.1,123266.8,24550,13
LPL.N0000,2019-12-08,5.2,5.2,5.0,5.0,127250.1,25251,11
LPL.N0000,2019-12-09,5.0,5.2,5.0,5.2,243112.4,48461,30
LPL.N0000,2019-12-11,5.2,5.2,5.1,5.1,21622.6,4220,10
LPL.N0000,2019-12-12,5.2,5.2,5.0,5.1,223102.2,44460,11
LPL.N0000,2019-12-16,5.2,5.2,5.1,5.1,32995.2,6451,11
LPL.N0000,2019-12-16,5.2,5.2,5.1,5.2,64900.0,12500,8
LPL.N0000,2019-12-17,5.0,5.2,5.0,5.0,237498.1,47453,21
LPL.N0000,2019-12-18,5.2,5.2,5.0,5.0,2761.1,552,6
LPL.N0000,2019-12-19,5.1,5.2,5.1,5.1,15315.4,3003,6
LPL.N0000,2019-12-22,5.2,5.2,5.0,5.0,54169.2,10671,14
LPL.N0000,2019-12-23,5.2,5.2,5.1,5.1,55655.5,10903,14
LPL.N0000,2019-12-25,5.2,5.2,5.2,5.1,5.2,1,1
LPL.N0000,2019-12-26,5.1,5.2,5.1,5.1,2499.1,490,4
LPL.N0000,2019-12-29,5.1,5.1,5.1,5.1,13897.5,2725,2
LPL.N0000,2019-12-30,5.0,5.1,5.0,5.0,201095.0,40189,21
LPL.N0000,2020-01-01,5.0,5.0,4.9,5.0,251082.6,50698,22
LPL.N0000,2020-01-02,5.0,5.0,4.9,5.0,149188.1,30169,11
LPL.N0000,2020-01-05,5.0,5.0,4.9,5.0,32110.0,6500,7
LPL.N0000,2020-01-06,4.9,5.0,4.9,4.9,80968.0,16522,20
LPL.N0000,2020-01-07,4.9,4.9,4.6,4.7,250475.4,52732,35
LPL.N0000,2020-01-08,5.0,5.0,4.7,4.9,29140.0,6086,15
LPL.N0000,2020-01-12,4.9,4.9,4.9,4.9,20232.1,4129,5
LPL.N0000,2020-01-13,4.8,4.9,4.8,4.8,2890.0,600,4
LPL.N0000,2020-01-15,4.8,4.8,4.8,4.8,4032.0,840,5
LPL.N0000,2020-01-16,4.7,4.9,4.7,4.7,47189.4,10002,22
LPL.N0000,2020-01-19,4.9,4.9,4.6,4.7,9759.5,2035,10
LPL.N0000,2020-01-20,4.8,4.8,4.6,4.6,38224.0,8250,12
LPL.N0000,2020-01-21,4.9,4.9,4.2,4.6,89023.7,19609,15
LPL.N0000,2020-01-22,4.9,4.9,4.5,4.5,244114.5,53980,21
LPL.N0000,2020-01-23,4.5,4.6,4.5,4.5,38728.4,8476,15
LPL.N0000,2020-01-26,4.5,4.7,4.4,4.4,236435.6,52904,13
LPL.N0000,2020-01-27,4.5,4.6,4.4,4.5,29484.9,6641,17
LPL.N0000,2020-01-28,4.5,4.6,4.5,4.6,14100.9,3098,6
LPL.N0000,2020-01-29,4.6,4.7,4.6,4.6,3684.7,801,3
LPL.N0000,2020-01-30,4.4,4.6,4.3,4.5,105170.7,23898,39
LPL.N0000,2020-02-02,4.5,4.5,4.5,4.5,47250.0,10500,6
LPL.N0000,2020-02-04,4.6,4.6,4.4,4.5,56227.2,12528,14
LPL.N0000,2020-02-05,4.5,4.6,4.4,4.5,37004.7,8251,10
LPL.N0000,2020-02-06,4.3,4.6,4.3,4.6,42360.0,9300,7
LPL.N0000,2020-02-09,4.4,4.6,4.3,4.4,111024.6,25801,9
LPL.N0000,2020-02-10,4.4,4.4,4.2,4.2,38632.5,9144,19
LPL.N0000,2020-02-11,4.3,4.4,4.3,4.3,21669.8,5037,11
LPL.N0000,2020-02-12,4.3,4.3,4.2,4.2,30475.7,7199,17
LPL.N0000,2020-02-13,4.2,4.4,4.2,4.2,33985.0,8044,14
LPL.N0000,2020-02-16,4.3,4.4,4.2,4.3,14122.9,3296,6
LPL.N0000,2020-02-17,4.4,4.4,4.4,4.4,444.4,101,2
LPL.N0000,2020-02-18,4.2,4.4,4.2,4.4,2506.0,580,6
LPL.N0000,2020-02-19,4.2,4.3,4.2,4.2,8405.0,2000,5
