ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
LPRT.N0000,2016-01-03,125.0,125.0,111.1,110.0,2680.3,24,2
LPRT.N0000,2016-01-04,111.4,111.4,110.5,110.0,6235.5,56,4
LPRT.N0000,2016-01-05,110.5,110.5,110.0,110.0,9368.1,85,4
LPRT.N0000,2016-01-10,110.0,110.0,110.0,110.0,66000.0,600,1
LPRT.N0000,2016-01-11,120.4,120.4,120.4,110.0,2167.2,18,1
LPRT.N0000,2016-01-21,110.0,110.0,110.0,110.0,220.0,2,1
LPRT.N0000,2016-02-17,109.0,109.0,109.0,110.0,1090.0,10,1
LPRT.N0000,2016-03-01,108.0,108.0,105.0,105.0,21108.0,201,2
LPRT.N0000,2016-03-02,105.0,105.0,105.0,105.0,84000.0,800,1
LPRT.N0000,2016-03-03,105.0,105.0,105.0,105.0,735.0,7,1
LPRT.N0000,2016-03-07,104.8,104.8,104.0,105.0,2289.6,22,2
LPRT.N0000,2016-03-08,101.0,101.0,100.5,100.5,25127.0,250,2
LPRT.N0000,2016-03-09,111.8,111.9,111.8,111.8,11403.8,102,3
LPRT.N0000,2016-03-17,101.1,111.3,101.1,111.8,2770.1,27,3
LPRT.N0000,2016-03-29,100.5,100.5,100.5,111.8,5025.0,50,1
LPRT.N0000,2016-04-04,112.3,112.3,112.3,111.8,112.3,1,1
LPRT.N0000,2016-04-11,118.0,118.0,118.0,111.8,236.0,2,1
LPRT.N0000,2016-04-17,120.0,120.0,120.0,111.8,600.0,5,1
LPRT.N0000,2016-04-18,112.0,112.0,112.0,111.8,896.0,8,1
LPRT.N0000,2016-04-28,102.0,102.0,102.0,111.8,204.0,2,1
LPRT.N0000,2016-05-04,104.0,104.0,104.0,104.0,10400.0,100,2
LPRT.N0000,2016-05-12,105.0,105.0,105.0,104.0,105.0,1,1
LPRT.N0000,2016-05-30,124.0,124.0,124.0,104.0,124.0,1,1
LPRT.N0000,2016-06-12,104.1,104.1,104.1,104.0,104.1,1,1
LPRT.N0000,2016-06-14,106.0,106.0,106.0,106.0,10600.0,100,1
LPRT.N0000,2016-06-15,105.0,105.0,105.0,106.0,420.0,4,4
LPRT.N0000,2016-06-19,118.2,118.2,118.2,106.0,591.0,5,1
LPRT.N0000,2016-06-22,106.0,106.0,106.0,106.0,530.0,5,1
LPRT.N0000,2016-06-23,120.0,120.0,120.0,106.0,1200.0,10,1
LPRT.N0000,2016-06-28,105.0,105.0,105.0,105.0,21000.0,200,2
LPRT.N0000,2016-07-13,120.0,120.0,119.9,105.0,359.9,3,2
LPRT.N0000,2016-07-21,118.0,118.0,118.0,105.0,590.0,5,1
LPRT.N0000,2016-07-31,120.0,120.0,120.0,105.0,360.0,3,3
LPRT.N0000,2016-08-01,120.0,120.0,120.0,105.0,960.0,8,2
LPRT.N0000,2016-08-07,122.0,122.0,122.0,105.0,122.0,1,1
LPRT.N0000,2016-08-11,110.0,110.0,110.0,105.0,220.0,2,2
LPRT.N0000,2016-08-22,120.0,125.0,120.0,124.6,14456.2,116,4
