ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
LUMX.N0000,2022-06-22,7.8,7.8,6.5,6.9,259048.1,37455,73
LUMX.N0000,2022-06-23,7.4,7.4,6.5,6.8,69605.1,10164,31
LUMX.N0000,2022-06-26,7.0,7.9,7.0,7.6,118138.0,15502,70
LUMX.N0000,2022-06-27,7.8,7.8,7.7,7.7,54995.8,7141,9
LUMX.N0000,2022-06-28,7.7,7.9,7.7,7.8,125120.0,16141,58
LUMX.N0000,2022-06-29,7.8,7.9,7.8,7.9,119766.5,15230,14
LUMX.N0000,2022-06-30,7.9,7.9,7.5,7.8,74812.5,9575,18
LUMX.N0000,2022-07-03,7.8,7.8,7.8,7.8,1263.6,162,1
LUMX.N0000,2022-07-04,7.8,7.8,7.3,7.6,14736.1,1951,10
LUMX.N0000,2022-07-06,7.3,7.3,7.3,7.3,1825.0,250,1
LUMX.N0000,2022-07-07,7.1,7.8,7.1,7.1,13430.6,1889,13
LUMX.N0000,2022-07-10,7.8,7.8,7.4,7.5,5220.0,700,2
LUMX.N0000,2022-07-11,7.7,7.8,7.7,7.5,392.8,51,2
LUMX.N0000,2022-07-13,7.5,7.5,7.0,7.2,3587.5,495,7
LUMX.N0000,2022-07-14,7.8,7.8,7.1,7.4,32877.1,4486,49
LUMX.N0000,2022-07-17,7.2,7.4,7.1,7.1,21325.5,2983,32
LUMX.N0000,2022-07-18,7.4,7.4,7.4,7.4,8147.4,1101,8
LUMX.N0000,2022-07-19,7.4,7.5,7.4,7.5,13008.6,1743,17
LUMX.N0000,2022-07-20,7.8,7.8,7.8,7.5,46.8,6,4
LUMX.N0000,2022-07-21,7.8,7.8,7.8,7.5,288.6,37,2
LUMX.N0000,2022-07-25,7.7,7.7,7.7,7.7,3080.0,400,2
LUMX.N0000,2022-07-25,7.9,7.9,7.9,7.5,31.6,4,2
LUMX.N0000,2022-07-26,7.8,7.8,7.8,7.7,7.8,1,1
LUMX.N0000,2022-07-26,7.8,7.8,7.8,7.7,7.8,1,1
LUMX.N0000,2022-07-27,7.5,7.5,7.5,7.5,1500.0,200,2
LUMX.N0000,2022-07-28,7.1,7.1,7.0,7.0,12680.0,1800,5
LUMX.N0000,2022-07-31,7.9,7.9,7.0,7.2,48605.4,6762,15
LUMX.N0000,2022-08-01,7.0,7.6,6.9,7.0,19297.6,2764,11
LUMX.N0000,2022-08-02,7.7,7.7,7.2,7.2,18369.0,2445,10
LUMX.N0000,2022-08-07,7.7,7.7,7.6,7.6,3807.7,501,2
LUMX.N0000,2022-08-08,7.0,7.6,7.0,7.2,90301.6,12679,19
