ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
LVEF.N0000,2018-01-08,10.5,10.5,10.0,10.1,3781662.5,372709,82
LVEF.N0000,2018-01-09,10.1,10.1,10.0,10.0,744254.9,74225,32
LVEF.N0000,2018-01-10,10.0,10.0,10.0,10.0,5200.0,520,3
LVEF.N0000,2018-01-11,10.0,10.0,10.0,10.0,343100.0,34310,5
LVEF.N0000,2018-01-15,9.9,9.9,9.7,9.9,130838.8,13452,17
LVEF.N0000,2018-01-16,9.9,10.0,9.9,9.9,386397.2,39029,21
LVEF.N0000,2018-01-17,9.8,9.8,9.7,9.8,4051.6,414,6
LVEF.N0000,2018-01-18,9.9,9.9,9.9,9.8,99.0,10,1
LVEF.N0000,2018-01-21,9.7,9.8,9.7,9.8,50675.6,5222,5
LVEF.N0000,2018-01-22,9.7,9.9,9.6,9.6,276358.9,28779,12
LVEF.N0000,2018-01-23,9.6,9.6,9.6,9.6,340800.0,35500,7
LVEF.N0000,2018-01-24,9.6,9.6,9.6,9.6,9600.0,1000,2
LVEF.N0000,2018-01-25,9.7,9.7,9.7,9.7,81674.0,8420,10
LVEF.N0000,2018-01-28,9.8,9.8,9.8,9.8,39307.8,4011,6
LVEF.N0000,2018-01-29,9.7,9.7,9.7,9.7,970.0,100,2
LVEF.N0000,2018-01-31,9.7,9.7,9.6,9.6,98585.8,10248,12
LVEF.N0000,2018-02-01,9.6,9.6,9.2,9.5,662767.5,69655,15
LVEF.N0000,2018-02-05,9.5,9.6,9.5,9.5,115195.0,12122,24
LVEF.N0000,2018-02-06,9.5,9.5,9.5,9.5,419168.5,44123,12
LVEF.N0000,2018-02-07,9.6,9.6,9.0,9.1,581744.6,62911,39
LVEF.N0000,2018-02-08,9.5,9.6,9.3,9.5,459723.8,48895,10
LVEF.N0000,2018-02-11,9.6,9.6,9.5,9.6,163814.4,17189,28
LVEF.N0000,2018-02-13,9.6,9.6,9.5,9.5,475022.5,50000,8
LVEF.N0000,2018-02-14,9.5,9.6,9.5,9.5,523172.0,55070,10
LVEF.N0000,2018-02-15,9.6,9.6,9.5,9.5,61327.0,6450,4
LVEF.N0000,2018-02-18,9.6,9.7,9.5,9.7,896590.9,93035,22
LVEF.N0000,2018-02-19,9.6,9.9,9.6,9.9,439128.5,44825,26
LVEF.N0000,2018-02-20,9.7,9.9,9.7,9.8,51577.9,5271,8
LVEF.N0000,2018-02-21,9.8,9.9,9.7,9.8,445237.1,45095,21
LVEF.N0000,2018-02-22,9.8,9.9,9.8,9.9,628443.5,63565,17
LVEF.N0000,2018-02-25,9.9,9.9,9.9,9.9,504395.1,50949,3
LVEF.N0000,2018-02-26,9.8,9.9,9.8,9.8,1062750.0,107500,6
LVEF.N0000,2018-02-27,9.9,9.9,9.8,9.8,15680.1,1600,3
LVEF.N0000,2018-03-01,9.8,9.9,9.8,9.9,59300.0,6000,2
LVEF.N0000,2018-03-04,9.8,9.9,9.8,9.8,25147.4,2566,2
LVEF.N0000,2018-03-05,9.9,9.9,9.8,9.8,59879.0,6110,5
LVEF.N0000,2018-03-06,9.8,9.8,9.8,9.8,84534.8,8626,6
LVEF.N0000,2018-03-07,9.8,9.8,9.8,9.8,102900.0,10500,5
LVEF.N0000,2018-03-08,9.9,9.9,9.9,9.9,1287.0,130,4
LVEF.N0000,2018-03-11,9.8,9.8,9.8,9.8,98000.0,10000,7
LVEF.N0000,2018-03-12,9.8,9.8,9.8,9.8,225204.0,22980,7
LVEF.N0000,2018-03-13,9.8,9.8,9.8,9.8,98049.0,10005,1
LVEF.N0000,2018-03-14,9.7,9.7,9.7,9.7,455900.0,47000,9
LVEF.N0000,2018-03-15,9.6,9.6,9.6,9.6,105600.0,11000,7
LVEF.N0000,2018-03-18,9.7,9.7,9.6,9.6,48962.0,5100,5
LVEF.N0000,2018-03-19,9.8,9.8,9.8,9.8,1078.0,110,2
