ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
MASK.N0000,2016-01-03,9.0,9.0,9.0,9.0,54000.0,6000,4
MASK.N0000,2016-01-04,9.5,10.0,9.5,9.9,125890.0,12689,4
MASK.N0000,2016-01-05,9.3,9.3,9.3,9.3,4650.0,500,2
MASK.N0000,2016-01-07,9.1,9.1,9.0,9.0,108012.0,11988,10
MASK.N0000,2016-01-10,8.7,8.7,8.2,8.3,14940.0,1800,4
MASK.N0000,2016-01-11,8.5,9.0,8.5,8.5,429259.0,50501,3
MASK.N0000,2016-01-12,8.7,9.0,8.5,8.7,6929.0,801,4
MASK.N0000,2016-01-17,8.4,8.9,8.1,8.2,12340.0,1500,6
MASK.N0000,2016-01-18,8.2,8.2,8.2,8.2,118080.0,14400,2
MASK.N0000,2016-01-19,8.9,8.9,8.9,8.9,890.0,100,1
MASK.N0000,2016-01-20,8.1,8.9,8.1,8.9,24750.1,2781,3
MASK.N0000,2016-01-25,9.4,9.4,8.9,9.2,7370.0,800,2
MASK.N0000,2016-01-26,8.0,8.0,7.9,7.9,2380.0,300,2
MASK.N0000,2016-01-27,7.9,8.0,7.9,8.0,4760.0,600,4
MASK.N0000,2016-01-28,9.0,9.0,8.2,8.2,9910.0,1110,4
MASK.N0000,2016-01-31,8.2,8.9,7.9,8.0,217626.1,27287,29
MASK.N0000,2016-02-02,8.3,8.5,8.3,8.3,10798.5,1301,5
MASK.N0000,2016-02-04,8.5,8.5,8.5,8.3,8.5,1,1
MASK.N0000,2016-02-07,8.5,8.5,8.5,8.3,8.5,1,1
MASK.N0000,2016-02-08,8.5,8.5,8.5,8.3,8.5,1,1
MASK.N0000,2016-02-09,8.3,9.1,8.3,8.4,74006.8,8824,14
MASK.N0000,2016-02-10,8.3,9.0,7.9,8.8,31078.4,3602,16
MASK.N0000,2016-02-11,8.4,8.4,8.4,8.4,16800.0,2000,2
MASK.N0000,2016-02-14,8.3,8.8,8.0,8.0,9976.0,1228,8
MASK.N0000,2016-02-15,8.0,8.6,8.0,8.4,8480.7,1010,5
MASK.N0000,2016-02-16,8.1,8.8,8.0,8.7,89028.1,10471,23
MASK.N0000,2016-02-17,8.0,8.6,8.0,8.5,17716.6,2202,10
MASK.N0000,2016-02-18,8.4,9.5,8.4,8.6,22546.4,2636,9
MASK.N0000,2016-02-22,9.0,9.0,9.0,8.6,9.0,1,1
MASK.N0000,2016-02-23,8.2,8.2,8.1,8.1,4051.0,500,2
MASK.N0000,2016-02-24,8.1,8.1,8.0,8.0,13643.0,1699,5
MASK.N0000,2016-02-29,8.2,8.2,8.1,8.1,26780.0,3300,5
MASK.N0000,2016-03-02,8.8,8.8,8.0,8.0,1416.0,174,2
MASK.N0000,2016-03-07,8.0,8.0,7.9,7.9,4272.1,535,5
MASK.N0000,2016-03-08,7.7,7.7,7.7,7.7,1540.0,200,1
MASK.N0000,2016-03-10,8.5,8.5,8.5,8.5,892.5,105,2
MASK.N0000,2016-03-13,8.5,8.5,8.5,8.5,8500.0,1000,3
MASK.N0000,2016-03-15,8.5,8.6,8.5,8.6,20600.0,2400,3
MASK.N0000,2016-03-23,8.1,8.1,8.0,8.0,127906.0,15942,8
MASK.N0000,2016-03-28,7.7,8.0,7.7,7.8,238770.0,30100,4
MASK.N0000,2016-03-29,7.7,7.7,7.7,7.7,5944.4,772,3
MASK.N0000,2016-03-30,7.7,7.7,7.7,7.7,8839.6,1148,2
MASK.N0000,2016-03-31,7.7,7.7,7.7,7.7,23.1,3,1
MASK.N0000,2016-04-04,9.0,9.5,9.0,9.1,25265.0,2770,3
MASK.N0000,2016-04-05,9.1,9.5,9.1,9.4,14878.7,1590,5
MASK.N0000,2016-04-07,9.8,9.8,9.8,9.4,98.0,10,1
MASK.N0000,2016-04-10,9.5,9.5,9.1,9.4,490.0,52,3
MASK.N0000,2016-04-11,9.6,9.6,9.6,9.4,153.6,16,1
MASK.N0000,2016-04-14,9.5,9.5,9.5,9.5,19000.0,2000,1
MASK.N0000,2016-04-17,9.5,9.6,9.5,9.5,99127.3,10382,4
MASK.N0000,2016-04-18,8.6,8.6,8.6,8.6,8600.0,1000,1
MASK.N0000,2016-04-21,9.4,9.4,8.9,8.9,1523.0,170,2
MASK.N0000,2016-04-26,9.3,9.6,8.8,8.8,27804.6,3151,5
MASK.N0000,2016-05-02,8.3,8.3,8.3,8.8,249.0,30,1
MASK.N0000,2016-05-04,8.4,8.4,8.4,8.8,8.4,1,1
MASK.N0000,2016-05-05,8.8,8.8,8.8,8.8,8.8,1,1
MASK.N0000,2016-05-08,8.4,8.4,8.4,8.4,840.0,100,1
MASK.N0000,2016-05-10,8.6,8.6,8.4,8.4,71754.0,8530,8
MASK.N0000,2016-05-11,8.3,9.0,8.3,8.3,37229.0,4485,4
MASK.N0000,2016-05-12,8.6,8.9,8.6,8.9,27733.0,3155,5
MASK.N0000,2016-05-15,9.0,9.5,8.6,9.0,82516.4,9079,22
MASK.N0000,2016-05-16,8.7,8.7,8.7,8.7,2610.0,300,1
MASK.N0000,2016-05-17,9.1,9.1,8.7,8.7,4359.1,501,3
MASK.N0000,2016-05-18,8.9,8.9,8.2,8.2,371938.0,45160,12
MASK.N0000,2016-05-19,8.5,8.5,8.5,8.5,211301.5,24859,6
MASK.N0000,2016-05-23,8.3,8.3,8.3,8.5,8.3,1,1
MASK.N0000,2016-05-24,8.3,8.3,8.2,8.2,90258.3,11001,6
MASK.N0000,2016-05-30,8.5,8.6,8.5,8.5,63800.0,7500,4
MASK.N0000,2016-05-31,8.7,8.7,8.7,8.7,47850.0,5500,7
MASK.N0000,2016-06-01,8.4,8.9,8.4,8.7,131693.5,15095,10
MASK.N0000,2016-06-02,8.5,9.2,8.5,8.5,70689.9,8212,8
MASK.N0000,2016-06-05,8.5,8.5,8.5,8.5,106250.0,12500,4
MASK.N0000,2016-06-06,8.5,8.5,8.5,8.5,17000.0,2000,1
MASK.N0000,2016-06-07,8.4,9.1,8.4,8.5,239037.3,27818,13
MASK.N0000,2016-06-08,8.2,8.5,8.2,8.5,5920.0,700,2
MASK.N0000,2016-06-12,8.5,8.5,8.5,8.5,17.0,2,2
MASK.N0000,2016-06-13,8.7,8.7,8.5,8.5,1024.0,120,2
MASK.N0000,2016-06-14,8.8,8.8,8.8,8.8,4576.0,520,3
MASK.N0000,2016-06-16,8.5,8.5,8.5,8.5,850.0,100,1
MASK.N0000,2016-06-19,8.2,8.2,8.2,8.2,820.0,100,2
MASK.N0000,2016-06-21,8.3,8.3,8.1,8.1,7322.8,899,4
MASK.N0000,2016-06-23,8.2,8.2,8.2,8.1,8.2,1,1
MASK.N0000,2016-06-26,8.2,8.2,8.2,8.2,78720.0,9600,4
MASK.N0000,2016-06-27,8.1,8.1,8.1,8.1,12312.0,1520,2
MASK.N0000,2016-06-28,7.9,7.9,6.5,7.3,17761.0,2390,6
MASK.N0000,2016-06-29,6.9,7.2,6.9,7.1,9930.0,1400,3
MASK.N0000,2016-07-06,7.5,8.0,7.5,8.0,13350.0,1700,3
MASK.N0000,2016-07-07,8.0,8.5,8.0,8.0,77700.0,9700,11
MASK.N0000,2016-07-10,8.5,8.5,8.0,8.4,82230.0,10000,6
MASK.N0000,2016-07-11,8.3,8.3,8.0,8.0,22408.3,2801,6
MASK.N0000,2016-07-12,7.9,7.9,7.8,7.8,100944.2,12939,8
MASK.N0000,2016-07-13,8.0,8.0,7.8,8.0,8839.4,1105,6
MASK.N0000,2016-07-14,7.9,8.4,7.8,8.2,211063.4,26591,14
MASK.N0000,2016-07-17,8.4,9.5,8.4,8.9,792223.1,86056,50
MASK.N0000,2016-07-19,8.1,9.2,8.1,9.2,928.1,101,2
MASK.N0000,2016-07-20,8.2,8.6,8.2,8.5,21216.4,2502,4
MASK.N0000,2016-07-21,9.1,9.1,9.1,9.1,910.0,100,1
MASK.N0000,2016-07-24,8.5,8.7,8.5,8.6,12040.0,1400,4
MASK.N0000,2016-07-25,9.0,9.0,8.5,8.5,62832.0,7306,8
MASK.N0000,2016-07-26,8.4,8.4,8.4,8.4,26880.0,3200,6
MASK.N0000,2016-07-27,8.3,8.9,8.3,8.6,28890.0,3300,5
MASK.N0000,2016-07-28,8.4,8.4,7.6,7.7,247870.0,31700,16
MASK.N0000,2016-07-31,7.9,7.9,7.8,7.8,67297.8,8601,7
MASK.N0000,2016-08-01,7.8,8.0,7.7,7.9,255861.4,32582,6
MASK.N0000,2016-08-02,7.7,7.9,7.7,7.9,55122.9,7090,10
MASK.N0000,2016-08-03,8.0,8.0,8.0,8.0,52792.0,6599,2
MASK.N0000,2016-08-04,8.0,8.3,8.0,8.3,106109.5,13006,11
MASK.N0000,2016-08-08,8.1,8.1,8.1,8.1,23490.0,2900,3
MASK.N0000,2016-08-09,8.3,8.4,8.3,8.3,138160.5,16630,13
