ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
MDL.N0000,2021-12-27,21.5,25.2,19.5,22.0,172874045.2,7820445,5050
MDL.N0000,2021-12-28,22.9,23.0,21.4,22.2,14664556.4,661533,459
MDL.N0000,2021-12-29,22.4,30.0,21.8,26.7,79607650.3,3151565,1394
MDL.N0000,2021-12-30,29.9,29.9,25.9,26.7,22240153.1,811000,502
MDL.N0000,2022-01-02,27.0,29.0,26.4,26.6,18749960.8,685673,296
MDL.N0000,2022-01-03,26.5,28.4,25.3,25.7,7962425.8,301813,228
MDL.N0000,2022-01-04,26.8,26.8,24.0,24.4,4983405.3,200251,195
MDL.N0000,2022-01-05,24.0,24.5,23.5,24.0,2611679.2,109260,109
MDL.N0000,2022-01-06,23.5,24.0,22.1,23.3,5195577.2,225337,134
MDL.N0000,2022-01-09,24.5,24.9,21.0,22.0,4766867.4,211765,141
MDL.N0000,2022-01-10,22.9,25.9,21.7,24.8,11673704.4,503558,290
MDL.N0000,2022-01-11,24.5,24.5,22.5,22.6,4835565.3,206741,71
MDL.N0000,2022-01-12,22.4,25.8,22.4,23.6,6378074.7,270371,106
MDL.N0000,2022-01-17,23.0,24.8,22.5,22.9,3949233.0,172418,108
MDL.N0000,2022-01-18,22.5,23.5,22.5,23.3,1289798.4,56858,67
MDL.N0000,2022-01-19,23.8,23.8,22.5,23.0,755434.5,32888,28
MDL.N0000,2022-01-20,23.0,23.0,22.3,22.5,1540528.6,68375,59
MDL.N0000,2022-01-23,22.9,23.0,22.0,22.0,824792.0,37285,55
MDL.N0000,2022-01-24,23.5,23.5,20.5,21.2,6217413.0,298083,133
MDL.N0000,2022-01-25,21.5,23.4,20.8,21.0,893228.1,41189,89
MDL.N0000,2022-01-26,21.1,22.4,20.1,20.7,853228.0,40942,68
MDL.N0000,2022-01-27,20.7,21.9,20.0,21.6,1684389.4,82148,74
MDL.N0000,2022-01-30,21.1,22.2,20.5,20.9,3722745.5,178808,66
MDL.N0000,2022-01-31,21.0,26.1,21.0,24.6,14330628.7,587174,336
MDL.N0000,2022-02-01,25.0,25.4,23.3,24.1,5185911.4,212501,98
MDL.N0000,2022-02-02,23.3,25.0,23.1,24.4,4084007.1,165477,86
MDL.N0000,2022-02-06,25.0,25.0,24.2,24.5,1949145.6,78718,59
MDL.N0000,2022-02-07,24.0,24.9,23.1,24.0,1650198.5,69732,55
MDL.N0000,2022-02-08,24.5,24.9,22.8,22.9,2362183.9,101590,61
MDL.N0000,2022-02-09,22.9,24.6,22.6,23.1,1407710.1,61362,26
MDL.N0000,2022-02-10,24.5,24.7,22.8,23.1,2477942.8,103923,38
MDL.N0000,2022-02-13,23.0,24.6,22.7,23.1,3640974.4,155747,85
MDL.N0000,2022-02-14,24.0,24.0,22.6,23.7,1352827.1,56870,36
MDL.N0000,2022-02-16,22.6,23.5,21.7,22.1,407257.0,18339,32
MDL.N0000,2022-02-17,21.5,21.5,20.7,21.0,1003955.1,47660,33
MDL.N0000,2022-02-20,20.6,21.5,20.0,20.8,1982044.4,96466,72
MDL.N0000,2022-02-21,20.0,20.9,20.0,20.1,341159.2,16775,22
MDL.N0000,2022-02-22,20.0,20.9,18.0,19.3,1689154.7,91228,50
MDL.N0000,2022-02-23,18.3,19.7,17.0,17.4,689372.2,38613,25
MDL.N0000,2022-02-24,17.0,19.9,17.0,17.8,3413448.9,193621,104
MDL.N0000,2022-02-27,18.0,19.8,17.5,19.1,3013917.2,163698,53
MDL.N0000,2022-03-01,19.0,19.0,18.7,18.7,21806.0,1166,5
MDL.N0000,2022-03-02,18.1,18.1,17.5,17.8,566030.4,31806,21
MDL.N0000,2022-03-03,17.5,17.5,17.0,17.5,86722.5,5018,17
MDL.N0000,2022-03-06,18.7,18.7,16.2,16.4,224533.3,13309,17
MDL.N0000,2022-03-07,16.2,17.5,14.1,15.3,700373.1,46160,53
MDL.N0000,2022-03-08,15.5,15.5,14.0,14.1,155126.0,11002,12
MDL.N0000,2022-03-09,14.0,17.5,14.0,15.8,256445.5,16555,24
MDL.N0000,2022-03-10,18.0,18.0,15.9,16.2,933329.0,57425,35
MDL.N0000,2022-03-13,16.0,17.5,15.0,16.0,90997.5,5911,13
MDL.N0000,2022-03-14,16.0,17.5,15.1,15.8,49002.6,3002,13
MDL.N0000,2022-03-15,15.1,16.4,15.0,15.7,232715.2,15016,17
MDL.N0000,2022-03-17,16.4,16.9,15.3,16.3,48030.0,3105,9
MDL.N0000,2022-03-20,16.0,16.0,15.5,16.0,883100.0,55200,9
MDL.N0000,2022-03-21,15.5,16.8,15.4,16.4,219819.8,14107,14
MDL.N0000,2022-03-22,16.4,16.4,16.4,16.4,41000.0,2500,3
MDL.N0000,2022-03-23,16.5,16.5,16.4,16.5,164500.0,10000,6
MDL.N0000,2022-03-24,16.3,16.3,15.0,15.0,180190.4,11870,14
MDL.N0000,2022-03-27,15.5,15.5,13.0,13.2,297292.2,22046,38
MDL.N0000,2022-03-28,13.1,15.3,11.5,11.7,628826.8,52726,24
MDL.N0000,2022-03-29,13.5,13.5,13.5,13.5,6750.0,500,6
MDL.N0000,2022-03-30,13.0,13.2,10.7,11.0,166075.2,15164,19
MDL.N0000,2022-04-03,11.0,13.0,11.0,13.0,558645.0,43050,4
MDL.N0000,2022-04-04,10.1,13.0,10.1,12.9,11815.1,916,5
MDL.N0000,2022-04-05,13.6,14.5,13.0,13.5,3859.0,286,4
MDL.N0000,2022-04-06,12.5,13.8,12.0,12.5,17924.2,1434,6
MDL.N0000,2022-04-07,12.0,13.8,10.4,11.4,43443.3,3757,17
MDL.N0000,2022-04-24,10.2,10.2,10.2,10.2,53040.0,5200,4
MDL.N0000,2022-04-25,10.0,10.0,10.0,10.0,1000.0,100,1
MDL.N0000,2022-04-26,8.6,8.6,7.8,8.1,1430184.6,176749,27
MDL.N0000,2022-04-27,8.1,12.4,8.1,10.0,239195.4,24896,14
MDL.N0000,2022-04-28,11.0,12.3,9.1,10.2,48724.7,4589,10
MDL.N0000,2022-05-03,9.5,9.5,9.5,9.5,1719.5,181,4
MDL.N0000,2022-05-04,10.9,10.9,10.8,10.8,1731.0,160,3
MDL.N0000,2022-05-05,9.4,10.0,9.4,9.8,23525.6,2400,5
MDL.N0000,2022-05-08,10.9,12.0,10.8,11.3,793620.0,66250,17
MDL.N0000,2022-05-11,12.0,12.3,12.0,12.3,112137.0,9120,4
MDL.N0000,2022-05-12,11.5,12.9,11.5,12.5,125212.9,10627,20
MDL.N0000,2022-05-16,12.8,13.0,12.5,12.6,757247.5,60461,12
MDL.N0000,2022-05-17,12.6,12.6,11.5,12.0,959349.4,80852,23
MDL.N0000,2022-05-18,11.1,11.8,11.1,11.1,1121.8,101,3
MDL.N0000,2022-05-19,11.5,11.5,11.2,11.1,832.6,73,3
