ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
MEL.N0000,2016-01-03,5.1,5.1,4.9,4.9,6033.0,1230,5
MEL.N0000,2016-01-04,5.1,5.1,4.8,4.8,7388.2,1512,6
MEL.N0000,2016-01-05,5.0,5.0,5.0,5.0,5000.0,1000,1
MEL.N0000,2016-01-06,5.1,5.1,5.1,5.0,504.9,99,1
MEL.N0000,2016-01-07,5.0,5.0,5.0,5.0,3000.0,600,1
MEL.N0000,2016-01-10,4.9,4.9,4.8,4.8,11055.2,2299,3
MEL.N0000,2016-01-11,4.8,4.8,4.5,4.5,61564.8,13301,7
MEL.N0000,2016-01-12,4.5,4.8,4.5,4.7,488797.0,104210,7
MEL.N0000,2016-01-13,4.7,4.7,4.5,4.5,10809.2,2402,2
MEL.N0000,2016-01-17,4.5,4.5,4.5,4.5,34195.5,7599,3
MEL.N0000,2016-01-18,4.5,4.5,4.5,4.5,1755.0,390,1
MEL.N0000,2016-01-19,4.5,4.7,4.2,4.4,48414.9,10881,14
MEL.N0000,2016-01-20,5.0,5.0,5.0,4.4,50.0,10,1
MEL.N0000,2016-01-26,4.3,4.3,4.3,4.3,4300.0,1000,1
MEL.N0000,2016-01-27,4.5,4.5,4.5,4.5,4500.0,1000,1
MEL.N0000,2016-01-28,4.5,4.5,4.5,4.5,4500.0,1000,2
MEL.N0000,2016-01-31,4.9,4.9,4.9,4.5,4.9,1,1
MEL.N0000,2016-02-01,4.9,4.9,4.9,4.5,4.9,1,1
MEL.N0000,2016-02-02,4.4,4.9,4.4,4.4,52804.9,12001,5
MEL.N0000,2016-02-04,4.5,4.5,4.5,4.5,450.0,100,1
MEL.N0000,2016-02-07,4.5,4.5,4.5,4.5,4.5,1,1
MEL.N0000,2016-02-09,4.4,4.4,4.3,4.4,1187.0,270,4
MEL.N0000,2016-02-10,4.5,4.5,4.0,4.4,112977.7,25704,6
MEL.N0000,2016-02-11,4.4,4.4,4.4,4.4,4.4,1,1
MEL.N0000,2016-02-14,4.4,4.4,4.4,4.4,4.4,1,1
MEL.N0000,2016-02-15,4.2,4.3,4.0,4.0,40184.3,10033,6
MEL.N0000,2016-02-16,4.0,4.4,3.9,3.9,7873.7,2001,6
MEL.N0000,2016-02-17,4.3,4.3,4.3,3.9,4.3,1,1
MEL.N0000,2016-02-18,4.3,4.3,3.8,3.8,319337.0,82394,11
MEL.N0000,2016-02-22,3.7,4.1,3.6,3.7,247448.0,67202,14
MEL.N0000,2016-02-23,3.6,3.7,3.5,3.5,139779.0,39619,16
MEL.N0000,2016-02-24,3.5,3.5,3.5,3.5,8578.5,2451,1
MEL.N0000,2016-02-25,3.5,3.9,3.5,3.7,48939.0,13410,6
MEL.N0000,2016-02-28,3.8,3.8,3.5,3.5,180350.0,51000,9
MEL.N0000,2016-02-29,3.6,3.6,3.5,3.5,35003.6,10001,2
MEL.N0000,2016-03-01,3.5,3.5,3.4,3.4,52000.0,15000,2
MEL.N0000,2016-03-02,3.3,3.3,3.3,3.3,33000.0,10000,1
MEL.N0000,2016-03-03,3.3,3.3,3.3,3.3,49500.0,15000,2
MEL.N0000,2016-03-07,3.2,3.2,3.0,3.0,14280.0,4680,4
MEL.N0000,2016-03-08,3.0,3.0,2.9,3.0,111324.0,37208,10
MEL.N0000,2016-03-09,3.0,3.2,3.0,3.0,451193.1,149191,65
MEL.N0000,2016-03-10,3.1,3.4,2.9,3.0,803427.5,262250,105
MEL.N0000,2016-03-13,3.0,3.0,2.9,3.0,173599.0,57883,9
MEL.N0000,2016-03-15,3.0,3.2,3.0,3.1,255954.5,82825,27
MEL.N0000,2016-03-17,3.0,3.1,3.0,3.1,82060.0,27350,6
MEL.N0000,2016-03-20,2.9,2.9,2.9,2.9,72500.0,25000,3
MEL.N0000,2016-03-22,3.0,3.0,3.0,3.0,30900.0,10300,3
MEL.N0000,2016-03-23,3.0,3.0,3.0,3.0,151500.0,50500,6
MEL.N0000,2016-03-27,3.0,3.0,2.9,2.9,95100.0,32600,9
MEL.N0000,2016-03-28,2.8,3.0,2.8,3.0,217170.0,72900,8
MEL.N0000,2016-03-29,2.9,2.9,2.8,2.9,75300.0,26000,11
MEL.N0000,2016-03-30,2.8,2.8,2.8,2.8,108472.0,38740,14
MEL.N0000,2016-03-31,3.0,3.1,3.0,3.1,11160.0,3700,8
MEL.N0000,2016-04-03,3.1,3.1,3.1,3.1,2325.0,750,2
MEL.N0000,2016-04-04,3.0,3.1,3.0,3.0,162915.5,54305,11
MEL.N0000,2016-04-05,3.0,3.1,3.0,3.0,162410.0,54100,12
MEL.N0000,2016-04-06,3.0,3.2,3.0,3.0,251652.3,83304,34
MEL.N0000,2016-04-07,3.1,3.4,3.1,3.1,190770.0,59900,29
MEL.N0000,2016-04-10,3.0,3.2,3.0,3.1,181016.2,60002,10
MEL.N0000,2016-04-11,3.2,3.4,3.2,3.4,57022.3,16921,13
MEL.N0000,2016-04-14,3.4,3.4,3.4,3.4,4926.6,1449,3
MEL.N0000,2016-04-17,3.4,3.4,3.2,3.2,23156.4,7111,6
MEL.N0000,2016-04-18,3.4,3.5,3.3,3.4,480998.3,144408,32
