ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
MELS.N0000,2016-12-29,65.0,65.0,59.0,59.3,43044795.1,716175,383
MELS.N0000,2017-01-01,59.5,59.5,57.7,58.0,1941547.8,33029,79
MELS.N0000,2017-01-02,58.0,58.0,54.9,55.0,3136247.9,56624,97
MELS.N0000,2017-01-03,55.0,55.9,55.0,55.5,4380519.0,79437,55
MELS.N0000,2017-01-04,56.0,57.5,56.0,57.3,1078905.2,19094,22
MELS.N0000,2017-01-05,56.2,58.4,56.0,58.2,522187.4,9088,25
MELS.N0000,2017-01-08,58.5,58.5,57.0,57.8,1627452.0,28412,31
MELS.N0000,2017-01-09,58.2,62.5,58.2,60.9,19043002.9,317422,86
MELS.N0000,2017-01-10,60.2,65.5,60.2,65.1,18795952.8,290766,241
MELS.N0000,2017-01-12,65.5,69.5,65.0,68.8,108873208.9,1606235,398
MELS.N0000,2017-01-15,68.5,68.5,66.5,67.0,3436331.5,51082,104
MELS.N0000,2017-01-16,66.6,67.0,65.0,65.2,3163036.8,48284,56
MELS.N0000,2017-01-17,65.1,66.5,64.8,65.5,11161395.9,171451,74
MELS.N0000,2017-01-18,66.8,67.9,65.0,65.6,5015097.7,75262,102
MELS.N0000,2017-01-19,65.6,66.8,65.5,65.8,355093.9,5386,11
MELS.N0000,2017-01-22,65.0,66.7,65.0,65.0,94419969.8,1452604,64
MELS.N0000,2017-01-23,65.4,66.0,65.0,65.1,9260644.6,142348,27
MELS.N0000,2017-01-24,66.0,66.0,65.0,65.0,2583006.1,39710,32
MELS.N0000,2017-01-25,65.1,65.4,65.0,65.0,8888815.0,136714,43
MELS.N0000,2017-01-26,65.1,66.0,65.0,65.2,26028180.1,397970,67
MELS.N0000,2017-01-29,65.5,65.9,65.2,65.5,2339954.6,35742,39
MELS.N0000,2017-01-30,65.5,65.8,65.0,65.4,14605120.0,224250,63
MELS.N0000,2017-01-31,65.5,65.9,65.5,65.6,1120495.2,17087,22
MELS.N0000,2017-02-01,65.5,68.0,65.5,66.0,559489986.5,8231371,113
MELS.N0000,2017-02-02,67.0,68.0,65.6,67.9,74900361.0,1104553,61
MELS.N0000,2017-02-05,68.0,68.0,65.0,65.0,16484198.5,253450,49
MELS.N0000,2017-02-06,65.7,66.0,65.0,65.0,703570.2,10806,18
MELS.N0000,2017-02-07,65.9,65.9,65.0,65.0,12256997.2,188515,32
MELS.N0000,2017-02-08,65.1,65.1,65.0,65.0,159351.0,2450,5
MELS.N0000,2017-02-12,65.0,66.1,65.0,66.0,912411.4,13835,23
MELS.N0000,2017-02-13,65.2,65.2,65.1,65.1,169360.0,2600,4
MELS.N0000,2017-02-14,65.8,65.8,65.0,65.0,8570464.5,131838,39
MELS.N0000,2017-02-15,65.0,66.0,65.0,65.0,3001820.8,46172,12
MELS.N0000,2017-02-16,65.0,66.0,65.0,65.0,3651045.0,56165,26
MELS.N0000,2017-02-19,65.0,65.5,64.5,65.1,2723707.5,41914,32
MELS.N0000,2017-02-20,65.0,65.2,65.0,65.0,2562140.0,39416,20
