ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
MFPE.N0000,2024-07-25,5.1,5.5,5.0,5.2,18221228.1,3542214,582
MFPE.N0000,2024-07-28,5.2,5.2,5.1,5.1,3783606.0,737585,103
MFPE.N0000,2024-07-29,5.2,5.2,5.0,5.0,6245881.0,1231810,127
MFPE.N0000,2024-07-30,5.2,5.2,5.0,5.1,3364285.9,659773,74
MFPE.N0000,2024-07-31,5.1,5.2,5.1,5.1,158835.8,31138,10
MFPE.N0000,2024-08-01,5.1,5.2,5.1,5.1,860956.0,168222,25
MFPE.N0000,2024-08-04,5.2,5.2,5.1,5.2,1072514.8,209896,27
MFPE.N0000,2024-08-05,5.1,5.2,5.1,5.1,820910.5,160943,22
MFPE.N0000,2024-08-06,5.1,5.2,5.1,5.1,239376.7,46934,10
MFPE.N0000,2024-08-07,5.2,5.2,5.1,5.1,97119.6,18844,13
MFPE.N0000,2024-08-08,5.2,5.2,5.1,5.1,11532.4,2237,10
MFPE.N0000,2024-08-11,5.1,5.2,5.1,5.2,661879.4,128442,25
MFPE.N0000,2024-08-12,5.2,5.2,5.1,5.2,98841.6,19308,14
MFPE.N0000,2024-08-13,5.2,5.2,5.1,5.1,217725.8,42644,21
MFPE.N0000,2024-08-14,5.1,5.2,5.1,5.1,114452.1,22436,24
MFPE.N0000,2024-08-15,5.2,5.2,5.1,5.2,421837.2,81161,24
MFPE.N0000,2024-08-19,5.2,5.2,5.1,5.1,37712.4,7302,20
MFPE.N0000,2024-08-20,5.1,5.2,5.1,5.1,44090.6,8628,11
MFPE.N0000,2024-08-21,5.1,5.2,5.1,5.1,132712.2,26018,6
MFPE.N0000,2024-08-22,5.2,5.2,5.0,5.1,767318.0,150454,32
MFPE.N0000,2024-08-25,5.1,5.1,5.0,5.0,16606261.6,3321242,41
MFPE.N0000,2024-08-26,5.1,5.1,5.0,5.0,234234.0,46840,7
MFPE.N0000,2024-08-27,5.1,5.1,5.0,5.0,100729.3,20143,4
MFPE.N0000,2024-08-28,5.1,5.1,5.0,5.0,51441.1,10286,9
MFPE.N0000,2024-08-29,5.1,5.1,5.0,5.0,27866.6,5566,15
MFPE.N0000,2024-09-01,5.1,5.1,5.0,5.0,166823.1,33350,13
