ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
MRH.N0000,2016-01-03,22.3,22.3,22.3,22.3,33450.0,1500,2
MRH.N0000,2016-01-04,22.4,23.7,22.1,22.7,11372.0,500,9
MRH.N0000,2016-01-05,24.6,24.6,24.1,24.2,12100.0,500,5
MRH.N0000,2016-01-10,22.0,23.8,22.0,22.0,11023.8,501,3
MRH.N0000,2016-01-11,21.0,21.0,21.0,21.0,4200.0,200,1
MRH.N0000,2016-01-13,23.8,23.8,18.5,22.7,117274.2,6046,14
MRH.N0000,2016-01-17,22.9,22.9,19.5,22.9,162250.0,7100,4
MRH.N0000,2016-01-18,22.0,22.0,21.0,21.0,19222.0,901,3
MRH.N0000,2016-01-19,22.0,22.0,22.0,21.0,22.0,1,1
MRH.N0000,2016-01-20,21.8,22.0,21.8,22.0,239044.6,10875,8
MRH.N0000,2016-01-21,22.0,22.0,22.0,22.0,83622.0,3801,4
MRH.N0000,2016-01-24,22.0,22.0,22.0,22.0,22.0,1,1
MRH.N0000,2016-01-25,22.8,22.8,22.1,22.3,140990.0,6200,7
MRH.N0000,2016-01-26,22.2,22.2,22.1,22.2,8860.0,400,2
MRH.N0000,2016-01-27,22.2,22.6,22.1,22.2,922885.8,41598,7
MRH.N0000,2016-02-04,23.0,23.0,22.2,22.2,4463.0,201,2
MRH.N0000,2016-02-08,22.2,22.2,22.2,22.2,4440.0,200,1
MRH.N0000,2016-02-09,22.4,22.4,22.4,22.2,22.4,1,1
MRH.N0000,2016-02-10,22.4,22.5,22.4,22.5,12342.6,549,3
MRH.N0000,2016-02-11,22.2,22.2,22.0,22.0,48440.0,2200,2
MRH.N0000,2016-02-14,22.5,22.5,21.7,22.5,22717.0,1010,6
MRH.N0000,2016-02-15,21.8,22.7,21.8,22.7,28655.4,1302,5
MRH.N0000,2016-02-17,22.5,22.5,22.5,22.5,2250.0,100,1
MRH.N0000,2016-02-18,21.7,22.5,21.7,22.5,5917.3,269,2
MRH.N0000,2016-02-22,21.0,21.0,21.0,21.0,2100.0,100,4
MRH.N0000,2016-02-23,21.5,21.5,21.5,21.5,3311.0,154,4
MRH.N0000,2016-02-24,21.1,21.1,21.0,21.1,4241.0,201,2
MRH.N0000,2016-02-25,20.5,20.5,20.5,21.1,205.0,10,1
MRH.N0000,2016-02-28,22.0,22.0,21.0,21.0,42066.0,2003,3
MRH.N0000,2016-02-29,20.6,21.8,20.0,21.8,105674.2,5000,8
MRH.N0000,2016-03-02,20.9,20.9,20.9,20.9,20900.0,1000,1
MRH.N0000,2016-03-03,20.5,20.5,20.5,20.5,4100.0,200,2
MRH.N0000,2016-03-08,20.8,20.8,20.8,20.5,104.0,5,1
MRH.N0000,2016-03-15,21.9,21.9,21.9,20.5,21.9,1,1
MRH.N0000,2016-03-16,21.9,21.9,21.9,21.9,6548.1,299,2
MRH.N0000,2016-03-17,21.5,21.5,21.5,21.5,21500.0,1000,1
MRH.N0000,2016-03-22,21.1,22.7,21.0,22.7,95632.0,4472,8
MRH.N0000,2016-03-28,21.5,21.5,21.5,21.5,4128.0,192,2
MRH.N0000,2016-03-29,22.7,22.7,21.6,21.9,10695.0,490,5
MRH.N0000,2016-03-30,22.6,22.6,22.6,22.6,10011.8,443,2
MRH.N0000,2016-03-31,21.7,22.0,21.7,22.0,10999.7,500,2
MRH.N0000,2016-04-03,22.0,22.6,22.0,22.6,9976.0,448,2
MRH.N0000,2016-04-04,20.6,22.5,20.6,21.6,27181.5,1301,6
MRH.N0000,2016-04-05,21.0,21.0,21.0,21.6,1680.0,80,3
MRH.N0000,2016-04-06,21.5,22.3,21.5,21.5,26919.6,1252,3
MRH.N0000,2016-04-10,21.0,21.0,21.0,21.5,630.0,30,1
MRH.N0000,2016-04-11,20.8,20.8,20.8,21.5,208.0,10,1
MRH.N0000,2016-04-17,21.5,21.5,21.5,21.5,430.0,20,1
MRH.N0000,2016-04-19,22.4,22.9,22.0,22.8,75489.6,3336,17
MRH.N0000,2016-04-24,22.8,22.8,22.7,22.7,3501.6,154,2
MRH.N0000,2016-04-25,21.2,21.2,21.2,21.2,21327.2,1006,3
MRH.N0000,2016-04-27,22.9,22.9,22.9,22.9,14885.0,650,4
MRH.N0000,2016-04-28,22.0,22.0,22.0,22.0,2200.0,100,1
MRH.N0000,2016-05-02,23.0,23.0,21.8,22.0,412.8,18,2
MRH.N0000,2016-05-03,22.5,22.5,22.0,22.1,52452.5,2339,4
MRH.N0000,2016-05-04,23.0,23.0,21.9,21.9,7895.0,360,4
MRH.N0000,2016-05-05,21.7,21.7,21.6,21.7,5748.5,265,3
MRH.N0000,2016-05-11,21.7,21.7,21.0,21.1,33792.0,1600,5
MRH.N0000,2016-05-12,22.9,23.0,22.9,23.0,172835.0,7515,14
MRH.N0000,2016-05-15,23.2,23.2,23.2,23.0,232.0,10,1
MRH.N0000,2016-05-19,22.2,22.2,22.2,22.2,20912.4,942,4
MRH.N0000,2016-05-26,22.0,22.0,22.0,22.0,88000.0,4000,5
MRH.N0000,2016-05-29,21.3,21.3,21.3,22.0,21.3,1,1
MRH.N0000,2016-06-05,21.5,21.5,21.4,21.4,10701.0,500,4
MRH.N0000,2016-06-06,21.2,21.2,21.0,21.0,42032.1,2000,4
MRH.N0000,2016-06-07,23.0,23.0,23.0,21.0,460.0,20,3
MRH.N0000,2016-06-08,21.6,22.9,21.3,22.8,226933.1,10600,8
MRH.N0000,2016-06-09,22.7,22.7,22.6,22.7,27466.0,1210,4
MRH.N0000,2016-06-12,22.6,22.6,22.0,22.0,6720.0,300,2
MRH.N0000,2016-06-19,22.5,22.5,22.5,22.0,2002.5,89,1
MRH.N0000,2016-06-20,23.7,23.7,23.7,23.7,2370.0,100,1
MRH.N0000,2016-06-22,22.4,22.5,22.4,22.5,5237.5,233,2
MRH.N0000,2016-06-23,21.5,22.5,21.5,22.5,15152.5,700,7
MRH.N0000,2016-06-29,22.5,22.5,22.5,22.5,1147.5,51,2
MRH.N0000,2016-06-30,22.4,22.4,22.4,22.5,1120.0,50,1
MRH.N0000,2016-07-03,20.6,22.4,20.6,22.5,220.4,10,4
MRH.N0000,2016-07-04,21.0,22.5,21.0,21.5,10770.0,500,4
MRH.N0000,2016-07-10,22.0,22.0,22.0,22.0,40678.0,1849,1
MRH.N0000,2016-07-11,22.5,23.0,21.3,22.7,54057.7,2393,9
MRH.N0000,2016-07-12,24.5,25.0,22.0,22.2,290970.4,11769,10
MRH.N0000,2016-07-14,23.5,23.5,23.5,22.2,235.0,10,1
MRH.N0000,2016-07-17,22.5,22.5,22.0,22.0,22047.5,1000,4
MRH.N0000,2016-07-20,23.0,23.0,23.0,23.0,4600.0,200,1
MRH.N0000,2016-07-21,21.2,21.2,21.2,21.2,21200.0,1000,2
MRH.N0000,2016-07-24,22.0,22.0,21.0,21.3,87386.6,4102,12
MRH.N0000,2016-07-25,21.2,21.2,21.2,21.2,2120.0,100,1
MRH.N0000,2016-07-26,22.0,22.6,22.0,22.0,550022.6,25001,3
MRH.N0000,2016-07-27,21.3,21.3,21.1,21.2,4240.6,200,4
MRH.N0000,2016-07-28,21.5,21.5,21.5,21.2,537.5,25,1
MRH.N0000,2016-07-31,22.6,22.6,22.5,21.2,1174.0,52,4
MRH.N0000,2016-08-03,22.4,22.4,22.4,21.2,44.8,2,2
MRH.N0000,2016-08-04,22.5,22.5,21.9,22.4,13266.3,592,5
MRH.N0000,2016-08-07,22.4,22.5,22.4,22.5,266750.0,11860,5
MRH.N0000,2016-08-08,22.1,22.1,22.1,22.1,2210.0,100,1
MRH.N0000,2016-08-10,22.1,22.1,22.0,22.1,5960.0,270,3
MRH.N0000,2016-08-11,21.9,22.1,21.6,21.8,6604.2,302,6
MRH.N0000,2016-08-14,21.7,21.8,21.7,21.7,6237.9,287,3
MRH.N0000,2016-08-15,21.8,21.8,21.8,21.8,2180.0,100,1
MRH.N0000,2016-08-17,21.7,21.7,21.0,21.0,115620.0,5500,6
MRH.N0000,2016-08-18,21.0,21.9,21.0,21.3,106621.9,5001,4
MRH.N0000,2016-08-22,21.1,21.1,21.0,21.0,15246.5,726,5
MRH.N0000,2016-08-24,22.0,22.0,21.9,22.0,15838.0,720,2
MRH.N0000,2016-08-25,21.9,22.0,21.9,21.9,21506.0,982,6
MRH.N0000,2016-08-29,21.9,21.9,21.9,21.9,4270.5,195,3
MRH.N0000,2016-08-30,21.9,21.9,21.9,21.9,9876.9,451,3
MRH.N0000,2016-08-31,21.5,21.5,21.1,21.3,4260.0,200,3
MRH.N0000,2016-09-01,21.9,22.0,21.9,21.9,43822.0,2001,2
MRH.N0000,2016-09-04,22.0,22.0,22.0,22.0,13200.0,600,3
MRH.N0000,2016-09-05,22.0,23.0,22.0,22.0,62114.0,2822,3
MRH.N0000,2016-09-06,23.0,23.0,22.2,22.7,18833.5,830,9
MRH.N0000,2016-09-12,22.9,23.0,22.9,23.0,6896.0,300,4
MRH.N0000,2016-09-13,22.9,23.0,22.9,22.9,26511.0,1157,4
MRH.N0000,2016-09-14,22.9,22.9,22.9,22.9,229.0,10,1
MRH.N0000,2016-09-18,22.9,22.9,22.9,22.9,22900.0,1000,2
MRH.N0000,2016-09-19,22.9,22.9,21.4,22.9,625.4,28,10
MRH.N0000,2016-09-20,21.4,22.8,21.4,21.4,64385.2,3008,7
MRH.N0000,2016-09-21,21.2,21.2,20.0,20.0,627410.0,31351,10
MRH.N0000,2016-09-25,20.4,20.4,20.2,20.0,1623.5,80,4
MRH.N0000,2016-09-26,21.0,21.5,21.0,21.5,52956.0,2499,4
MRH.N0000,2016-09-27,21.0,21.0,21.0,21.0,6300.0,300,1
MRH.N0000,2016-09-28,21.0,21.0,20.7,20.7,33030.0,1580,5
MRH.N0000,2016-10-02,20.7,20.7,20.7,20.7,6210.0,300,1
MRH.N0000,2016-10-04,21.0,21.0,20.7,20.9,4170.0,200,4
MRH.N0000,2016-10-06,21.9,22.4,20.9,21.3,316292.7,14498,18
MRH.N0000,2016-10-10,21.9,22.0,21.0,21.0,201056.0,9248,7
MRH.N0000,2016-10-11,21.0,21.0,21.0,21.0,2100.0,100,1
MRH.N0000,2016-10-12,21.1,21.9,21.0,21.1,122510.0,5820,5
MRH.N0000,2016-10-13,21.1,21.1,21.1,21.1,3587.0,170,1
MRH.N0000,2016-10-18,21.5,21.5,21.5,21.5,96750.0,4500,6
MRH.N0000,2016-10-20,21.5,23.0,21.5,23.0,474149.0,20683,5
MRH.N0000,2016-10-27,23.0,23.0,23.0,23.0,46.0,2,1
MRH.N0000,2016-10-30,23.0,23.0,23.0,23.0,230.0,10,2
MRH.N0000,2016-10-31,22.9,22.9,20.3,20.3,5980.9,284,7
MRH.N0000,2016-11-06,22.0,22.0,22.0,20.3,22.0,1,1
MRH.N0000,2016-11-08,20.3,20.3,20.3,20.3,52780.0,2600,6
MRH.N0000,2016-11-09,20.5,20.5,20.5,20.3,1004.5,49,1
MRH.N0000,2016-11-10,21.8,21.8,21.8,21.8,52320.0,2400,2
MRH.N0000,2016-11-14,20.5,20.5,20.5,20.5,6150.0,300,1
MRH.N0000,2016-11-15,20.5,20.5,20.0,20.3,67907.0,3350,7
MRH.N0000,2016-11-16,20.1,20.1,20.1,20.1,8844.0,440,4
MRH.N0000,2016-11-20,20.5,20.5,20.5,20.5,30750.0,1500,1
MRH.N0000,2016-11-21,20.5,20.5,20.5,20.5,22550.0,1100,2
MRH.N0000,2016-11-22,20.5,20.5,20.5,20.5,2173.0,106,2
MRH.N0000,2016-11-24,20.5,20.5,20.5,20.5,47027.0,2294,3
MRH.N0000,2016-11-27,20.5,20.5,20.0,20.0,20123.0,1006,5
MRH.N0000,2016-11-28,19.5,19.5,19.5,20.0,975.0,50,1
MRH.N0000,2016-11-30,21.0,21.0,21.0,21.0,10500.0,500,1
MRH.N0000,2016-12-05,21.0,21.0,20.0,20.0,8229.0,406,4
MRH.N0000,2016-12-07,21.0,21.0,21.0,21.0,12432.0,592,7
MRH.N0000,2016-12-14,20.0,21.0,20.0,20.8,25000.0,1200,5
MRH.N0000,2016-12-21,19.0,19.0,19.0,20.8,38.0,2,2
MRH.N0000,2016-12-27,20.8,20.8,20.8,20.8,4160.0,200,1
MRH.N0000,2017-01-02,20.0,20.0,20.0,20.0,20000.0,1000,1
MRH.N0000,2017-01-03,20.5,21.5,20.5,21.0,539925.0,25730,12
MRH.N0000,2017-01-04,22.0,22.0,22.0,22.0,66000.0,3000,2
MRH.N0000,2017-01-05,21.0,21.0,21.0,21.0,4200.0,200,1
MRH.N0000,2017-01-09,21.3,21.3,21.0,21.0,23109.9,1100,2
MRH.N0000,2017-01-10,21.1,21.1,21.1,21.0,844.0,40,2
MRH.N0000,2017-01-16,20.0,20.0,19.5,19.5,13669.8,700,10
MRH.N0000,2017-01-17,20.0,20.0,20.0,20.0,824180.0,41209,10
MRH.N0000,2017-01-18,20.0,20.0,20.0,20.0,19200.0,960,2
MRH.N0000,2017-01-19,20.0,20.0,20.0,20.0,580.0,29,5
MRH.N0000,2017-01-22,20.0,20.0,20.0,20.0,1176220.0,58811,11
MRH.N0000,2017-01-23,20.0,20.0,20.0,20.0,180.0,9,3
MRH.N0000,2017-01-24,19.9,19.9,19.0,19.0,1003799.8,52789,16
MRH.N0000,2017-01-25,19.0,21.0,19.0,21.0,1296901.2,62095,8
MRH.N0000,2017-01-30,20.7,20.7,20.7,21.0,41.4,2,1
MRH.N0000,2017-01-31,20.0,20.0,20.0,20.0,104000.0,5200,4
MRH.N0000,2017-02-05,19.8,19.8,19.7,19.7,6038.8,306,5
MRH.N0000,2017-02-06,19.1,19.1,19.1,19.7,1604.4,84,2
MRH.N0000,2017-02-12,19.6,19.6,19.6,19.6,1960.0,100,1
MRH.N0000,2017-02-13,20.0,20.0,20.0,20.0,4000.0,200,1
MRH.N0000,2017-02-14,19.6,19.6,19.6,19.6,98000.0,5000,5
MRH.N0000,2017-02-15,19.9,19.9,19.5,19.5,14275.0,730,5
MRH.N0000,2017-02-16,19.3,19.3,19.3,19.3,12834.5,665,3
MRH.N0000,2017-02-19,19.1,19.1,19.1,19.1,1910.0,100,2
MRH.N0000,2017-02-21,19.5,19.5,19.0,19.1,1932.0,101,6
MRH.N0000,2017-02-26,19.5,19.5,19.5,19.5,3900.0,200,1
MRH.N0000,2017-02-27,19.1,19.5,19.0,19.0,33151.7,1743,8
MRH.N0000,2017-02-28,19.4,19.4,19.4,19.4,1940.0,100,1
MRH.N0000,2017-03-01,19.2,19.2,19.1,19.4,861.5,45,2
MRH.N0000,2017-03-02,19.4,19.4,19.4,19.4,7507.8,387,6
MRH.N0000,2017-03-05,19.1,19.1,18.8,18.8,12657.2,669,8
MRH.N0000,2017-03-08,18.9,19.0,18.9,19.0,24946.9,1313,6
MRH.N0000,2017-03-09,18.8,18.8,18.7,18.7,17785.0,950,9
MRH.N0000,2017-03-12,18.7,18.7,18.5,18.5,14063.6,758,5
MRH.N0000,2017-03-13,18.5,18.7,18.5,18.6,76302.0,4092,3
MRH.N0000,2017-03-14,19.0,19.0,18.5,19.0,38050.0,2050,7
MRH.N0000,2017-03-15,19.0,19.0,18.5,18.5,7088.0,383,5
MRH.N0000,2017-03-20,19.0,19.0,19.0,19.0,4750.0,250,1
MRH.N0000,2017-03-21,19.8,19.8,19.8,19.0,39.6,2,2
MRH.N0000,2017-03-23,18.6,18.6,18.0,18.5,16289.2,894,9
MRH.N0000,2017-03-26,19.0,19.0,18.5,18.5,8240.0,440,4
MRH.N0000,2017-03-27,18.5,18.5,18.5,18.5,2035.0,110,1
MRH.N0000,2017-03-28,18.9,18.9,18.9,18.9,18900.0,1000,1
MRH.N0000,2017-03-29,18.7,18.9,18.7,18.9,17995.2,960,7
MRH.N0000,2017-03-30,19.0,19.0,19.0,19.0,38209.0,2011,7
MRH.N0000,2017-04-02,19.0,19.0,19.0,19.0,3800.0,200,2
MRH.N0000,2017-04-04,19.8,20.0,19.1,20.0,61143.5,3100,11
MRH.N0000,2017-04-06,20.7,20.7,20.7,20.0,82.8,4,3
MRH.N0000,2017-04-10,20.6,20.6,20.6,20.0,123.6,6,2
MRH.N0000,2017-04-11,19.6,20.4,19.6,19.6,4001.6,204,6
MRH.N0000,2017-04-16,19.3,19.3,19.0,19.2,3838.0,200,3
