ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
MSL.N0000,2016-01-03,96.0,96.0,91.0,91.2,347180.0,3805,16
MSL.N0000,2016-01-06,93.0,93.1,93.0,93.0,27906.0,300,5
MSL.N0000,2016-01-19,95.3,95.3,95.3,93.0,95.3,1,1
MSL.N0000,2016-01-26,86.2,86.2,86.2,93.0,862.0,10,1
MSL.N0000,2016-02-04,95.9,95.9,95.9,93.0,95.9,1,1
MSL.N0000,2016-02-09,93.9,93.9,93.9,93.0,93.9,1,1
MSL.N0000,2016-02-16,93.0,93.0,93.0,93.0,2511.0,27,1
MSL.N0000,2016-02-23,84.7,84.7,84.7,84.7,8554.7,101,2
MSL.N0000,2016-03-03,94.8,94.8,94.8,84.7,758.4,8,1
MSL.N0000,2016-03-08,84.0,84.0,82.5,84.7,2917.5,35,3
MSL.N0000,2016-03-09,82.5,82.5,82.5,84.7,4125.0,50,1
MSL.N0000,2016-03-17,105.0,105.0,105.0,84.7,105.0,1,1
MSL.N0000,2016-04-17,83.0,83.0,83.0,84.7,913.0,11,1
MSL.N0000,2016-04-18,103.0,103.0,103.0,84.7,1030.0,10,1
MSL.N0000,2016-04-24,90.0,90.0,90.0,84.7,3690.0,41,1
MSL.N0000,2016-04-27,85.0,85.0,84.5,84.6,21997.5,260,4
MSL.N0000,2016-04-28,85.0,85.1,85.0,84.6,340.2,4,3
MSL.N0000,2016-05-03,87.0,87.0,84.0,84.7,12787.0,151,4
MSL.N0000,2016-05-05,83.5,83.5,83.5,84.7,417.5,5,1
MSL.N0000,2016-05-12,85.0,85.0,85.0,84.7,85.0,1,1
MSL.N0000,2016-05-15,86.0,86.0,85.0,84.7,2126.0,25,3
MSL.N0000,2016-05-17,85.0,85.0,85.0,85.0,8500.0,100,3
MSL.N0000,2016-05-26,100.0,100.0,100.0,85.0,500.0,5,1
MSL.N0000,2016-06-01,99.0,100.0,99.0,85.0,4994.5,50,3
MSL.N0000,2016-06-02,100.1,100.1,100.1,85.0,100.1,1,1
MSL.N0000,2016-06-12,85.8,95.0,85.8,85.0,180.8,2,2
MSL.N0000,2016-06-14,95.0,95.0,95.0,85.0,95.0,1,1
MSL.N0000,2016-06-23,85.0,85.0,85.0,85.0,425.0,5,1
MSL.N0000,2016-06-28,85.1,85.1,85.1,85.0,425.5,5,1
MSL.N0000,2016-06-29,80.0,80.0,80.0,85.0,1920.0,24,2
MSL.N0000,2016-06-30,100.0,100.0,100.0,85.0,200.0,2,2
MSL.N0000,2016-07-04,76.1,76.1,76.1,85.0,532.7,7,1
MSL.N0000,2016-07-10,80.2,80.2,76.5,77.2,15045.1,195,11
MSL.N0000,2016-07-12,87.0,87.0,87.0,77.2,870.0,10,1
