ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
MULL.N0000,2016-01-04,1.4,1.4,1.3,1.3,5782.4,4414,5
MULL.N0000,2016-01-05,1.3,1.4,1.3,1.4,6810.0,4900,7
MULL.N0000,2016-01-07,1.3,1.3,1.3,1.3,39000.0,30000,2
MULL.N0000,2016-01-10,1.3,1.3,1.3,1.3,130341.9,100263,7
MULL.N0000,2016-01-11,1.3,1.3,1.2,1.2,16801.3,14001,4
MULL.N0000,2016-01-12,1.2,1.3,1.2,1.3,299908.1,232237,9
MULL.N0000,2016-01-13,1.2,1.2,1.2,1.2,76200.0,63500,7
MULL.N0000,2016-01-17,1.2,1.2,1.2,1.2,130791.6,108993,4
MULL.N0000,2016-01-18,1.2,1.4,1.2,1.3,1177696.0,961200,14
MULL.N0000,2016-01-19,1.4,1.4,1.3,1.3,268826.0,192090,12
MULL.N0000,2016-01-20,1.4,1.4,1.3,1.4,111286.5,84705,20
MULL.N0000,2016-01-21,1.4,1.4,1.3,1.3,5810.0,4400,5
MULL.N0000,2016-01-24,1.3,1.4,1.3,1.3,65070.0,50050,5
MULL.N0000,2016-01-25,1.4,1.4,1.3,1.3,19100.0,14500,5
MULL.N0000,2016-01-26,1.2,1.2,1.2,1.2,8100.0,6750,1
MULL.N0000,2016-01-27,1.3,1.3,1.3,1.3,1430.0,1100,3
MULL.N0000,2016-01-28,1.3,1.3,1.3,1.3,91.0,70,2
MULL.N0000,2016-01-31,1.3,1.3,1.3,1.3,84501.3,65001,5
MULL.N0000,2016-02-01,1.3,1.4,1.3,1.4,12403.9,9503,5
MULL.N0000,2016-02-02,1.4,1.4,1.3,1.4,18918.4,13514,8
MULL.N0000,2016-02-04,1.3,1.3,1.3,1.4,1.3,1,1
MULL.N0000,2016-02-07,1.3,1.4,1.3,1.3,94602.6,68002,10
MULL.N0000,2016-02-08,1.3,1.4,1.3,1.4,5712.6,4202,6
MULL.N0000,2016-02-09,1.3,1.4,1.3,1.3,20200.0,15500,4
MULL.N0000,2016-02-10,1.3,1.3,1.3,1.3,65000.0,50000,8
MULL.N0000,2016-02-11,1.3,1.3,1.3,1.3,261.3,201,2
MULL.N0000,2016-02-14,1.3,1.4,1.3,1.3,16.7,12,3
MULL.N0000,2016-02-15,1.3,1.3,1.2,1.2,367171.1,301846,21
MULL.N0000,2016-02-16,1.2,1.3,1.2,1.3,787887.0,632990,13
MULL.N0000,2016-02-17,1.4,1.4,1.2,1.2,13612.6,11009,4
MULL.N0000,2016-02-18,1.3,1.3,1.3,1.3,476161.4,366278,3
MULL.N0000,2016-02-22,1.3,1.3,1.3,1.3,51641.2,39724,1
MULL.N0000,2016-02-23,1.3,1.3,1.3,1.3,65000.0,50000,1
MULL.N0000,2016-02-24,1.3,1.3,1.3,1.3,143968.5,110745,6
MULL.N0000,2016-02-25,1.3,1.4,1.3,1.3,432367.5,332590,10
MULL.N0000,2016-02-28,1.4,1.4,1.3,1.4,35910.4,26008,13
MULL.N0000,2016-02-29,1.4,1.5,1.4,1.5,1750461.0,1193115,20
MULL.N0000,2016-03-01,1.4,1.5,1.3,1.5,3090733.5,2076342,40
MULL.N0000,2016-03-03,1.3,1.3,1.3,1.3,20930.0,16100,2
MULL.N0000,2016-03-07,1.3,1.3,1.3,1.3,65325.0,50250,4
MULL.N0000,2016-03-08,1.3,1.3,1.3,1.3,160355.0,123350,8
MULL.N0000,2016-03-09,1.3,1.3,1.3,1.3,46800.0,36000,5
MULL.N0000,2016-03-10,1.3,1.3,1.3,1.3,105950.0,81500,4
MULL.N0000,2016-03-13,1.4,1.4,1.4,1.3,14.0,10,1
MULL.N0000,2016-03-15,1.4,1.4,1.3,1.3,2628.0,2020,2
MULL.N0000,2016-03-16,1.3,1.3,1.3,1.3,585.0,450,4
MULL.N0000,2016-03-17,1.3,1.3,1.3,1.3,19500.0,15000,1
MULL.N0000,2016-03-27,1.2,1.3,1.2,1.2,72004.9,60004,10
