ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
NAMU.N0000,2016-01-04,65.0,65.0,65.0,60.5,5850.0,90,2
NAMU.N0000,2016-01-05,60.3,60.4,60.3,60.5,5612.9,93,3
NAMU.N0000,2016-01-06,60.4,64.0,60.0,60.2,43635.7,724,9
NAMU.N0000,2016-01-11,59.0,59.0,59.0,59.0,1180000.0,20000,6
NAMU.N0000,2016-01-12,60.0,60.0,60.0,59.0,600.0,10,1
NAMU.N0000,2016-01-17,57.6,57.6,57.5,57.5,20126.0,350,2
NAMU.N0000,2016-01-18,57.0,57.0,57.0,57.0,285000.0,5000,1
NAMU.N0000,2016-01-19,56.7,56.7,56.7,57.0,3402.0,60,2
NAMU.N0000,2016-01-21,60.0,60.0,60.0,60.0,19200.0,320,2
NAMU.N0000,2016-01-25,58.1,58.1,58.1,60.0,58.1,1,1
NAMU.N0000,2016-01-27,58.1,58.1,58.1,60.0,232.4,4,1
NAMU.N0000,2016-01-28,59.9,59.9,59.9,60.0,299.5,5,1
NAMU.N0000,2016-01-31,60.0,60.0,58.0,60.0,4857.2,82,5
NAMU.N0000,2016-02-01,58.0,72.0,58.0,58.1,6916.0,119,2
NAMU.N0000,2016-02-08,58.1,58.1,57.2,58.1,172.5,3,2
NAMU.N0000,2016-02-09,60.0,60.0,60.0,58.1,1200.0,20,1
NAMU.N0000,2016-02-10,57.5,57.5,57.2,58.1,4307.4,75,5
NAMU.N0000,2016-02-14,57.0,57.0,52.0,58.1,3222.8,61,6
NAMU.N0000,2016-02-15,57.0,57.0,57.0,58.1,399.0,7,2
NAMU.N0000,2016-02-16,56.1,57.0,56.0,57.0,36592.0,646,4
NAMU.N0000,2016-02-17,55.0,55.0,55.0,57.0,55.0,1,1
NAMU.N0000,2016-02-22,57.0,57.0,57.0,57.0,5700.0,100,1
NAMU.N0000,2016-02-23,57.0,57.0,57.0,57.0,39957.0,701,2
