ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
NAVF.U0000,2016-01-03,99.9,99.9,99.9,93.6,5994.0,60,2
NAVF.U0000,2016-01-04,94.1,94.1,93.0,93.6,37450.4,400,10
NAVF.U0000,2016-01-10,93.0,93.0,93.0,93.0,37200.0,400,1
NAVF.U0000,2016-01-11,90.0,90.0,90.0,90.0,900000.0,10000,2
NAVF.U0000,2016-01-13,90.0,90.0,90.0,90.0,27000.0,300,1
NAVF.U0000,2016-01-17,90.0,90.0,90.0,90.0,27000.0,300,1
NAVF.U0000,2016-01-18,86.0,86.0,85.0,85.0,870856.5,10245,9
NAVF.U0000,2016-01-19,84.0,84.0,84.0,84.0,420000.0,5000,1
NAVF.U0000,2016-01-21,92.0,92.0,89.9,91.5,52091.0,571,7
NAVF.U0000,2016-01-25,86.0,86.0,86.0,86.0,43000.0,500,1
NAVF.U0000,2016-01-26,83.1,87.5,81.1,86.9,404602.5,4750,11
NAVF.U0000,2016-02-02,85.0,85.0,85.0,85.0,43350.0,510,2
NAVF.U0000,2016-02-07,85.1,85.1,85.0,85.0,43351.0,510,2
NAVF.U0000,2016-02-10,85.0,85.0,82.7,83.0,356519.5,4295,4
NAVF.U0000,2016-02-15,89.5,90.0,89.0,89.4,313000.0,3500,4
NAVF.U0000,2016-02-16,83.1,85.0,83.1,85.0,44933.5,535,2
NAVF.U0000,2016-02-17,85.0,85.0,85.0,85.0,212500.0,2500,1
NAVF.U0000,2016-02-25,85.0,85.0,85.0,85.0,14875.0,175,1
NAVF.U0000,2016-03-02,85.0,85.0,85.0,85.0,502350.0,5910,3
NAVF.U0000,2016-03-07,85.0,85.0,83.6,83.6,539000.0,6350,4
NAVF.U0000,2016-03-09,85.0,85.0,83.6,83.7,452140.0,5400,3
NAVF.U0000,2016-03-15,81.1,81.1,80.2,80.6,129742.0,1610,9
NAVF.U0000,2016-03-20,85.0,85.0,80.0,80.0,685694.9,8506,27
NAVF.U0000,2016-03-22,80.0,80.0,80.0,80.0,600000.0,7500,3
NAVF.U0000,2016-03-23,80.0,80.0,80.0,80.0,283040.0,3538,5
NAVF.U0000,2016-03-27,80.0,80.0,79.0,79.0,555105.0,7019,9
NAVF.U0000,2016-03-30,80.0,80.0,78.0,78.0,7977607.2,102253,10
NAVF.U0000,2016-04-04,80.0,81.0,80.0,80.1,88870.0,1110,8
NAVF.U0000,2016-04-10,80.1,80.1,80.0,80.0,164900.0,2060,7
NAVF.U0000,2016-04-11,82.0,83.0,82.0,82.8,103500.0,1250,2
NAVF.U0000,2016-04-17,83.0,83.0,80.0,80.1,60033209.0,747893,79
NAVF.U0000,2016-04-18,82.0,82.0,82.0,82.0,8200.0,100,1
NAVF.U0000,2016-04-19,82.0,82.0,82.0,82.0,2460.0,30,1
NAVF.U0000,2016-04-21,81.1,81.1,81.1,81.1,8110.0,100,1
NAVF.U0000,2016-04-24,81.3,81.3,81.3,81.1,3902.4,48,2
NAVF.U0000,2016-04-25,83.0,83.0,83.0,81.1,1577.0,19,1
NAVF.U0000,2016-04-26,82.9,83.0,82.9,83.0,229966.0,2771,7
NAVF.U0000,2016-04-27,85.0,85.0,84.0,84.0,471245.0,5550,4
NAVF.U0000,2016-04-28,84.9,84.9,84.5,84.5,841155.0,9950,4
NAVF.U0000,2016-05-02,84.9,85.0,84.4,84.5,10024397.3,118166,21
NAVF.U0000,2016-05-03,86.0,86.0,84.2,84.2,83414.0,985,10
NAVF.U0000,2016-05-04,87.4,87.4,87.4,84.2,437.0,5,1
NAVF.U0000,2016-05-05,87.5,87.5,87.5,84.2,437.5,5,1
NAVF.U0000,2016-05-08,87.0,87.0,87.0,87.0,43500.0,500,2
NAVF.U0000,2016-05-09,93.0,93.0,93.0,93.0,9300.0,100,1
NAVF.U0000,2016-05-10,89.9,89.9,89.9,93.0,4495.0,50,1
NAVF.U0000,2016-05-11,84.1,84.1,84.1,84.1,85782.0,1020,4
NAVF.U0000,2016-05-15,86.0,86.6,86.0,86.4,30250.0,350,3
NAVF.U0000,2016-05-16,83.0,83.0,83.0,83.0,8300.0,100,1
NAVF.U0000,2016-05-18,86.0,86.0,86.0,86.0,1978000.0,23000,1
NAVF.U0000,2016-06-01,83.0,83.0,83.0,83.0,11039.0,133,4
NAVF.U0000,2016-06-02,85.0,85.0,83.0,83.7,633261.0,7567,3
NAVF.U0000,2016-06-05,83.0,83.0,83.0,83.0,415000.0,5000,1
NAVF.U0000,2016-06-09,83.0,83.0,83.0,83.0,423300.0,5100,2
NAVF.U0000,2016-06-13,83.0,83.0,83.0,83.0,1203500.0,14500,2
NAVF.U0000,2016-06-15,84.7,84.7,84.7,84.7,313390.0,3700,1
NAVF.U0000,2016-06-19,84.5,85.0,84.5,84.7,713146.5,8418,6
NAVF.U0000,2016-06-22,82.5,82.5,82.0,82.0,12305.0,150,4
NAVF.U0000,2016-06-23,81.6,81.6,81.6,82.0,4080.0,50,1
NAVF.U0000,2016-06-29,79.0,79.0,79.0,82.0,4029.0,51,1
NAVF.U0000,2016-07-07,84.9,84.9,84.9,82.0,424.5,5,1
NAVF.U0000,2016-07-11,80.1,80.1,80.1,82.0,1602.0,20,1
NAVF.U0000,2016-07-14,80.1,80.6,80.1,80.2,106683.0,1330,9
NAVF.U0000,2016-07-17,80.2,80.3,80.2,80.3,465210.0,5800,2
NAVF.U0000,2016-07-19,80.3,80.3,80.3,80.3,80300.0,1000,2
NAVF.U0000,2016-07-20,80.5,80.5,80.5,80.3,1610.0,20,1
NAVF.U0000,2016-07-24,81.0,81.0,81.0,81.0,405000.0,5000,5
NAVF.U0000,2016-07-28,82.4,82.4,82.4,82.4,9640.8,117,2
NAVF.U0000,2016-08-02,83.1,83.2,83.0,83.0,456650.0,5500,4
NAVF.U0000,2016-08-04,82.5,82.5,82.5,83.0,825.0,10,1
NAVF.U0000,2016-08-08,84.0,84.0,83.0,83.5,35080.0,420,3
NAVF.U0000,2016-08-10,85.0,85.0,85.0,85.0,29750.0,350,2
NAVF.U0000,2016-08-14,85.0,85.0,84.0,84.0,87830.0,1045,3
NAVF.U0000,2016-08-17,83.5,83.5,83.4,83.5,8347.5,100,2
NAVF.U0000,2016-08-21,83.4,86.5,83.0,86.2,755642.0,8835,11
NAVF.U0000,2016-08-24,87.0,87.0,87.0,86.2,870.0,10,1
NAVF.U0000,2016-08-28,86.1,86.1,86.1,86.2,2152.5,25,1
NAVF.U0000,2016-09-01,88.0,88.0,88.0,88.0,8800.0,100,1
NAVF.U0000,2016-09-04,87.0,87.0,87.0,88.0,87.0,1,1
NAVF.U0000,2016-09-13,88.0,88.0,88.0,88.0,264000.0,3000,2
NAVF.U0000,2016-09-14,88.0,88.0,88.0,88.0,264000.0,3000,1
NAVF.U0000,2016-09-18,88.0,88.0,88.0,88.0,5280.0,60,1
NAVF.U0000,2016-09-19,85.0,86.1,85.0,86.1,24170.2,282,2
NAVF.U0000,2016-09-20,88.0,90.0,88.0,90.0,3165799.5,35683,17
NAVF.U0000,2016-09-21,88.2,88.2,88.0,88.0,1191800.0,13525,10
NAVF.U0000,2016-09-25,88.0,88.0,88.0,88.0,880000.0,10000,3
NAVF.U0000,2016-09-26,88.0,88.0,88.0,88.0,536800.0,6100,2
NAVF.U0000,2016-09-27,88.0,88.0,88.0,88.0,483736.0,5497,2
NAVF.U0000,2016-09-28,85.5,85.5,85.5,85.5,8550.0,100,1
NAVF.U0000,2016-09-29,85.2,85.2,85.2,85.2,21300.0,250,2
NAVF.U0000,2016-10-02,88.0,88.0,88.0,88.0,8800.0,100,1
NAVF.U0000,2016-10-03,88.0,88.1,88.0,88.1,370501.0,4210,2
NAVF.U0000,2016-10-04,91.0,91.0,90.0,90.0,99491.0,1101,5
NAVF.U0000,2016-10-05,90.0,90.0,89.5,89.8,99845.0,1110,7
NAVF.U0000,2016-10-06,90.0,92.0,90.0,92.0,443718.8,4851,10
NAVF.U0000,2016-10-09,89.2,93.9,89.2,90.5,13570.0,150,3
NAVF.U0000,2016-10-10,93.8,93.8,93.8,90.5,93.8,1,1
NAVF.U0000,2016-10-12,89.5,89.5,89.5,89.5,49404.0,552,1
NAVF.U0000,2016-10-16,91.0,92.0,91.0,91.9,1144355.0,12445,7
NAVF.U0000,2016-10-20,91.0,91.0,91.0,91.9,182.0,2,1
NAVF.U0000,2016-10-23,91.0,92.0,91.0,92.0,1021445.0,11104,5
NAVF.U0000,2016-10-24,85.1,85.1,85.1,85.1,26466.1,311,2
NAVF.U0000,2016-10-25,88.0,88.0,88.0,88.0,21560.0,245,3
NAVF.U0000,2016-10-26,88.0,88.0,88.0,88.0,15400.0,175,2
NAVF.U0000,2016-10-27,88.0,88.0,88.0,88.0,149600.0,1700,4
NAVF.U0000,2016-11-02,88.0,89.4,88.0,88.0,7990.0,90,2
NAVF.U0000,2016-11-06,86.0,86.0,86.0,86.0,86000.0,1000,3
NAVF.U0000,2016-11-09,86.0,86.0,86.0,86.0,1720.0,20,1
NAVF.U0000,2016-11-10,86.0,86.0,86.0,86.0,17200.0,200,1
NAVF.U0000,2016-11-15,85.0,85.0,85.0,86.0,1700.0,20,1
NAVF.U0000,2016-11-20,86.0,86.0,86.0,86.0,172000.0,2000,2
NAVF.U0000,2016-11-22,87.6,87.6,87.6,86.0,4380.0,50,1
NAVF.U0000,2016-11-23,86.0,86.0,86.0,86.0,156692.0,1822,2
NAVF.U0000,2016-11-24,85.6,85.6,85.6,85.6,17120.0,200,1
NAVF.U0000,2016-11-30,87.1,87.1,87.1,85.6,435.5,5,1
NAVF.U0000,2016-12-07,87.6,96.5,87.6,90.1,291527.0,3115,12
NAVF.U0000,2016-12-08,90.0,90.0,90.0,90.0,45450.0,505,3
NAVF.U0000,2017-01-02,89.9,89.9,89.9,89.9,8990.0,100,1
NAVF.U0000,2017-01-04,86.0,86.0,85.0,85.0,89287.5,1050,3
NAVF.U0000,2017-01-12,85.0,85.0,85.0,85.0,170.0,2,2
NAVF.U0000,2017-01-19,84.0,84.0,84.0,84.0,16800.0,200,1
NAVF.U0000,2017-01-25,85.0,85.0,85.0,85.0,87125.0,1025,4
NAVF.U0000,2017-01-31,90.0,90.0,89.1,89.9,53154.9,591,3
NAVF.U0000,2017-02-05,88.0,88.0,88.0,88.0,13816.0,157,1
NAVF.U0000,2017-02-12,88.0,88.0,88.0,88.0,44000.0,500,1
NAVF.U0000,2017-02-13,85.0,85.0,85.0,88.0,6800.0,80,1
NAVF.U0000,2017-02-21,87.9,87.9,87.9,88.0,175.8,2,1
NAVF.U0000,2017-02-26,88.5,90.0,88.0,88.0,4604.0,52,3
NAVF.U0000,2017-02-27,85.0,85.0,85.0,88.0,170.0,2,1
NAVF.U0000,2017-02-28,90.0,90.0,87.0,87.0,12453.0,143,2
NAVF.U0000,2017-03-01,85.0,90.0,82.0,85.9,15374.0,179,5
NAVF.U0000,2017-03-05,90.0,90.0,82.3,86.0,18182.3,211,3
NAVF.U0000,2017-03-06,82.2,82.2,82.2,86.0,82.2,1,1
NAVF.U0000,2017-03-07,90.0,90.0,90.0,86.0,90.0,1,1
NAVF.U0000,2017-03-09,82.4,86.0,82.4,86.0,9198.4,107,2
NAVF.U0000,2017-03-12,82.1,82.1,82.1,86.0,82.1,1,1
NAVF.U0000,2017-03-13,82.1,82.1,82.1,86.0,82.1,1,1
NAVF.U0000,2017-03-14,82.2,82.2,82.0,82.0,819618.8,9995,8
NAVF.U0000,2017-03-15,81.5,81.5,81.5,82.0,81.5,1,1
NAVF.U0000,2017-03-16,89.9,89.9,89.9,89.9,8990.0,100,1
NAVF.U0000,2017-03-20,87.0,87.0,87.0,87.0,8700.0,100,1
NAVF.U0000,2017-03-21,81.5,81.5,81.5,87.0,81.5,1,1
NAVF.U0000,2017-03-22,83.0,83.0,83.0,83.0,22244.0,268,1
NAVF.U0000,2017-03-30,81.6,81.6,81.6,83.0,81.6,1,1
NAVF.U0000,2017-04-04,83.0,83.0,83.0,83.0,20750.0,250,1
NAVF.U0000,2017-04-06,83.6,83.6,83.6,83.0,83.6,1,1
NAVF.U0000,2017-04-10,89.5,89.5,89.5,83.0,1879.5,21,4
NAVF.U0000,2017-04-17,90.0,90.5,90.0,90.0,865800.5,9620,3
NAVF.U0000,2017-04-19,90.0,90.0,90.0,90.0,174060.0,1934,4
NAVF.U0000,2017-04-20,86.0,87.0,86.0,86.6,180207.9,2081,8
NAVF.U0000,2017-04-27,90.5,90.6,90.5,90.6,18110.0,200,2
NAVF.U0000,2017-05-01,91.0,91.0,91.0,91.0,9100.0,100,1
NAVF.U0000,2017-05-02,91.0,91.0,91.0,91.0,45500.0,500,1
NAVF.U0000,2017-05-03,91.6,95.0,91.6,95.0,265545.5,2808,13
NAVF.U0000,2017-05-08,94.5,94.5,94.5,94.5,373464.0,3952,4
NAVF.U0000,2017-05-11,98.9,100.0,98.9,99.8,482400.0,4835,7
NAVF.U0000,2017-05-22,99.9,100.0,99.9,100.0,52487.5,525,5
NAVF.U0000,2017-05-23,91.0,100.0,91.0,91.0,182700.0,2007,2
NAVF.U0000,2017-05-24,92.1,93.5,92.0,92.1,29480.0,320,3
