ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
ODEL.N0000,2016-01-03,22.2,22.2,21.5,21.5,19372.2,901,2
ODEL.N0000,2016-01-04,21.5,21.5,21.0,21.2,7249.6,340,3
ODEL.N0000,2016-01-05,20.7,20.7,20.7,21.2,1035.0,50,1
ODEL.N0000,2016-01-06,21.6,21.6,20.8,20.8,4354.4,209,3
ODEL.N0000,2016-01-07,20.7,20.7,20.5,20.5,227903.5,11063,8
ODEL.N0000,2016-01-10,20.5,20.5,20.4,20.4,184820.2,9050,6
ODEL.N0000,2016-01-11,20.5,20.5,19.1,19.2,535370.0,27340,19
ODEL.N0000,2016-01-12,19.2,19.9,19.1,19.1,1439152.5,75335,26
ODEL.N0000,2016-01-13,20.0,20.0,19.1,19.2,486462.4,25020,13
ODEL.N0000,2016-01-17,19.1,19.1,19.0,19.1,245890.4,12887,13
ODEL.N0000,2016-01-18,19.0,19.3,18.3,18.6,599175.3,32244,15
ODEL.N0000,2016-01-19,19.4,19.4,18.2,19.3,500849.4,26001,8
ODEL.N0000,2016-01-20,19.2,19.7,19.2,19.5,58178.3,2988,12
ODEL.N0000,2016-01-21,19.5,19.5,19.5,19.5,19519.5,1001,3
ODEL.N0000,2016-01-24,18.7,18.7,18.7,18.7,9350.0,500,3
ODEL.N0000,2016-01-25,18.7,19.0,18.7,19.0,60200.0,3200,2
ODEL.N0000,2016-01-26,18.8,19.8,18.7,18.7,250949.6,13402,11
ODEL.N0000,2016-01-28,19.5,19.5,19.0,19.0,1432429.5,75391,7
ODEL.N0000,2016-01-31,19.7,19.7,19.7,19.0,19.7,1,1
ODEL.N0000,2016-02-01,19.8,20.0,19.1,19.2,63455.5,3266,16
ODEL.N0000,2016-02-02,20.3,20.3,19.1,19.1,19731.0,1030,8
ODEL.N0000,2016-02-04,20.2,20.2,20.2,20.2,2020.0,100,1
ODEL.N0000,2016-02-07,19.7,19.7,19.7,19.7,1970.0,100,1
ODEL.N0000,2016-02-08,20.0,20.0,19.5,19.6,904655.5,46352,10
ODEL.N0000,2016-02-09,19.5,20.0,19.3,19.4,107265.0,5551,6
ODEL.N0000,2016-02-10,19.2,19.9,19.2,19.4,68230.0,3550,6
ODEL.N0000,2016-02-11,19.1,19.5,19.0,19.5,96975.0,5100,6
ODEL.N0000,2016-02-14,19.5,19.9,19.0,19.0,181492.5,9535,11
ODEL.N0000,2016-02-15,19.7,19.7,19.1,19.1,23539.7,1201,3
ODEL.N0000,2016-02-16,19.1,19.4,19.0,19.4,353613.0,18589,13
ODEL.N0000,2016-02-17,19.4,19.4,18.9,18.9,13430.0,700,2
ODEL.N0000,2016-02-18,19.5,19.5,19.5,19.5,2184.0,112,2
