ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
OFEQ.N0000,2016-01-03,2210.5,2210.5,2210.0,2328.7,28734.5,13,2
OFEQ.N0000,2016-01-04,2100.0,2100.0,2000.0,2328.7,71508.4,35,11
OFEQ.N0000,2016-01-05,2099.8,2099.8,2007.0,2328.7,22448.2,11,6
OFEQ.N0000,2016-01-06,2001.0,2001.0,2000.0,2328.7,4001.0,2,2
OFEQ.N0000,2016-01-07,1925.0,1925.0,1920.0,2328.7,115400.0,60,5
OFEQ.N0000,2016-01-10,1900.0,1900.0,1900.0,2328.7,38000.0,20,7
OFEQ.N0000,2016-01-12,1805.0,2044.0,1800.0,1881.9,227705.6,121,15
OFEQ.N0000,2016-01-19,1850.0,1850.0,1850.0,1881.9,11100.0,6,2
OFEQ.N0000,2016-01-20,1850.0,1850.0,1850.0,1881.9,1850.0,1,1
OFEQ.N0000,2016-01-21,1900.0,1900.0,1900.0,1881.9,28500.0,15,5
OFEQ.N0000,2016-01-24,1800.0,1800.0,1800.0,1881.9,3600.0,2,1
OFEQ.N0000,2016-01-26,1900.0,1900.0,1800.0,1881.9,19900.0,11,2
OFEQ.N0000,2016-01-27,1800.0,1800.0,1800.0,1881.9,9000.0,5,1
OFEQ.N0000,2016-01-28,1900.0,1900.0,1900.0,1881.9,19000.0,10,2
OFEQ.N0000,2016-01-31,1875.0,1875.0,1800.0,1881.9,10875.0,6,2
OFEQ.N0000,2016-02-01,1869.9,1869.9,1800.0,1881.9,45699.0,25,4
OFEQ.N0000,2016-02-02,1770.0,1770.0,1770.0,1881.9,35400.0,20,2
OFEQ.N0000,2016-02-04,1850.0,1860.0,1850.0,1881.9,24150.0,13,3
OFEQ.N0000,2016-02-07,1710.0,1710.0,1710.0,1881.9,6840.0,4,1
OFEQ.N0000,2016-02-09,1750.2,1750.2,1750.0,1881.9,56000.3,32,3
OFEQ.N0000,2016-02-14,1710.0,1710.0,1710.0,1881.9,59850.0,35,8
OFEQ.N0000,2016-02-15,1849.0,1849.9,1849.0,1881.9,5547.9,3,3
OFEQ.N0000,2016-02-24,188.0,188.0,188.0,188.19,188.0,1,1
OFEQ.N0000,2016-02-28,185.0,195.0,185.0,193.9,19391.0,100,4
OFEQ.N0000,2016-03-01,189.0,189.0,189.0,189.0,18900.0,100,4
OFEQ.N0000,2016-03-03,186.9,186.9,186.9,189.0,186.9,1,1
OFEQ.N0000,2016-03-08,150.0,160.0,150.0,160.0,16150.0,101,2
OFEQ.N0000,2016-03-16,140.0,150.0,135.0,160.0,4250.0,31,5
OFEQ.N0000,2016-03-17,135.0,135.0,135.0,135.0,14175.0,105,2
OFEQ.N0000,2016-03-20,130.0,130.0,126.0,135.0,638.0,5,2
OFEQ.N0000,2016-03-22,140.1,140.1,140.0,140.0,70280.2,502,6
OFEQ.N0000,2016-03-23,135.0,135.0,135.0,135.0,13500.0,100,1
OFEQ.N0000,2016-03-27,150.0,150.0,130.0,130.9,53731.2,409,12
OFEQ.N0000,2016-03-28,130.0,130.0,112.5,112.5,116848.3,943,7
OFEQ.N0000,2016-03-29,125.0,128.9,115.0,116.7,375210.1,3156,9
OFEQ.N0000,2016-03-30,112.7,112.7,110.0,111.0,225711.0,2033,6
OFEQ.N0000,2016-03-31,112.0,120.0,110.0,114.3,1136516.0,10187,32
OFEQ.N0000,2016-04-03,118.8,118.8,110.0,114.3,2318.8,21,3
OFEQ.N0000,2016-04-04,105.0,115.0,105.0,114.3,7823.5,72,10
OFEQ.N0000,2016-04-05,114.9,114.9,106.0,114.3,8282.4,78,4
OFEQ.N0000,2016-04-06,112.0,118.0,106.0,106.8,106960.3,977,39
OFEQ.N0000,2016-04-07,106.0,106.0,103.6,105.5,139218.6,1321,16
OFEQ.N0000,2016-04-11,106.3,106.3,103.7,106.0,21318.7,201,3
OFEQ.N0000,2016-04-14,105.0,105.0,103.6,104.5,11178.1,107,5
OFEQ.N0000,2016-04-17,105.0,105.0,105.0,105.0,14595.0,139,3
OFEQ.N0000,2016-04-18,101.0,109.8,100.0,105.0,2228.2,22,4
OFEQ.N0000,2016-04-19,105.8,105.8,105.8,105.0,211.6,2,2
OFEQ.N0000,2016-04-21,105.5,107.1,105.5,105.0,9655.7,91,9
OFEQ.N0000,2016-04-26,106.0,106.0,106.0,105.0,530.0,5,1
OFEQ.N0000,2016-04-28,113.9,113.9,111.9,112.0,17025.8,152,8
OFEQ.N0000,2016-05-02,114.0,115.0,106.0,113.1,59539.1,526,30
OFEQ.N0000,2016-05-03,106.1,109.9,105.1,106.3,35832.7,333,10
OFEQ.N0000,2016-05-04,99.9,113.9,99.9,99.9,842753.7,8353,56
OFEQ.N0000,2016-05-05,104.9,104.9,104.9,104.9,11958.6,114,7
OFEQ.N0000,2016-05-08,100.0,100.0,100.0,100.0,30000.0,300,4
OFEQ.N0000,2016-05-11,104.0,104.0,104.0,100.0,520.0,5,1
OFEQ.N0000,2016-05-12,104.9,104.9,104.9,100.0,1678.4,16,3
OFEQ.N0000,2016-05-16,100.0,104.5,100.0,104.4,41994.4,411,4
OFEQ.N0000,2016-05-17,104.9,104.9,99.1,99.1,30822.3,310,10
OFEQ.N0000,2016-05-18,99.0,99.0,93.0,95.2,53795.0,565,7
OFEQ.N0000,2016-05-19,95.3,95.3,93.5,94.8,22190.9,234,6
OFEQ.N0000,2016-05-24,94.0,94.0,90.0,92.7,43776.5,472,6
OFEQ.N0000,2016-05-25,90.0,90.0,90.0,92.7,3600.0,40,2
OFEQ.N0000,2016-05-26,90.0,92.0,90.0,90.6,14488.0,160,5
OFEQ.N0000,2016-05-30,89.0,89.0,89.0,90.6,2225.0,25,1
OFEQ.N0000,2016-05-31,96.0,96.0,95.9,90.6,959.5,10,3
OFEQ.N0000,2016-06-01,95.8,96.0,95.8,96.0,9597.0,100,4
OFEQ.N0000,2016-06-05,95.9,95.9,95.8,96.0,862.6,9,2
OFEQ.N0000,2016-06-07,92.0,95.9,92.0,92.1,76881.5,835,7
OFEQ.N0000,2016-06-08,93.0,93.0,92.0,92.0,51780.0,560,5
OFEQ.N0000,2016-06-09,92.0,95.8,92.0,93.1,12846.6,138,8
OFEQ.N0000,2016-06-16,92.4,100.0,92.4,99.4,60641.0,631,12
OFEQ.N0000,2016-06-19,87.1,100.0,87.0,95.0,284825.4,3143,17
OFEQ.N0000,2016-06-20,90.0,94.0,90.0,93.4,117929.0,1270,11
OFEQ.N0000,2016-06-21,91.0,91.0,91.0,93.4,7462.0,82,2
OFEQ.N0000,2016-06-23,93.9,93.9,93.9,93.4,7042.5,75,3
OFEQ.N0000,2016-06-27,85.0,86.4,85.0,86.1,17804.5,207,12
OFEQ.N0000,2016-06-28,85.1,85.1,85.1,86.1,2638.1,31,1
OFEQ.N0000,2016-07-04,92.0,92.0,92.0,86.1,2760.0,30,1
OFEQ.N0000,2016-07-06,85.3,85.3,85.3,86.1,767.7,9,1
OFEQ.N0000,2016-07-07,94.9,94.9,94.9,86.1,474.5,5,1
OFEQ.N0000,2016-07-14,94.9,94.9,94.9,86.1,949.0,10,1
OFEQ.N0000,2016-07-17,94.9,94.9,90.0,86.1,5007.0,54,2
OFEQ.N0000,2016-07-24,90.0,90.0,90.0,86.1,6840.0,76,1
OFEQ.N0000,2016-07-31,90.0,90.0,86.0,86.0,44624.0,518,4
OFEQ.N0000,2016-08-04,89.9,95.0,89.9,91.4,25452.0,280,7
OFEQ.N0000,2016-08-07,94.8,94.8,94.8,91.4,1896.0,20,1
OFEQ.N0000,2016-08-11,89.9,90.0,89.9,89.9,8994.9,100,2
OFEQ.N0000,2016-08-14,89.9,89.9,89.9,89.9,899.0,10,1
OFEQ.N0000,2016-08-15,89.9,89.9,89.9,89.9,1798.0,20,2
OFEQ.N0000,2016-08-18,89.9,90.0,89.9,90.0,29423.0,327,6
OFEQ.N0000,2016-08-25,86.2,86.2,86.2,90.0,862.0,10,1
OFEQ.N0000,2016-08-28,87.0,87.0,86.1,86.2,31466.7,365,8
OFEQ.N0000,2016-08-31,87.0,87.0,86.1,86.1,25316.1,294,3
OFEQ.N0000,2016-09-06,90.0,90.0,83.0,83.0,62903.0,741,6
OFEQ.N0000,2016-09-07,82.1,82.2,82.0,82.1,21758.0,265,4
OFEQ.N0000,2016-09-13,82.0,82.0,82.0,82.0,8200.0,100,1
OFEQ.N0000,2016-09-20,79.9,79.9,79.0,79.4,19840.0,250,2
OFEQ.N0000,2016-09-22,80.0,80.0,80.0,79.4,960.0,12,1
OFEQ.N0000,2016-09-26,80.0,80.0,80.0,80.0,24800.0,310,6
OFEQ.N0000,2016-09-27,80.0,80.0,80.0,80.0,5760.0,72,1
OFEQ.N0000,2016-09-29,80.1,85.0,80.0,81.1,37310.0,460,3
OFEQ.N0000,2016-10-03,82.0,82.0,82.0,81.1,1804.0,22,1
OFEQ.N0000,2016-10-04,88.0,88.0,88.0,81.1,1584.0,18,1
OFEQ.N0000,2016-10-05,88.0,88.0,87.9,88.0,35195.0,400,7
OFEQ.N0000,2016-10-06,89.9,89.9,82.1,82.9,60575.2,716,21
OFEQ.N0000,2016-10-09,89.9,89.9,89.0,89.8,13747.9,153,4
OFEQ.N0000,2016-10-10,89.9,89.9,83.0,83.0,72612.6,859,31
OFEQ.N0000,2016-10-11,89.0,89.0,83.0,83.1,52389.8,625,7
OFEQ.N0000,2016-10-12,83.0,83.0,83.0,83.0,22410.0,270,4
OFEQ.N0000,2016-10-13,85.0,85.0,82.0,82.3,8395.0,102,7
OFEQ.N0000,2016-10-16,84.9,84.9,84.9,82.3,339.6,4,1
OFEQ.N0000,2016-10-17,84.0,84.0,82.1,82.3,5011.9,61,4
OFEQ.N0000,2016-10-19,84.5,84.5,84.5,82.3,422.5,5,1
OFEQ.N0000,2016-10-20,82.3,82.3,70.1,82.3,4169.8,52,2
OFEQ.N0000,2016-10-23,84.2,84.2,84.2,82.3,84.2,1,1
OFEQ.N0000,2016-10-24,84.1,84.1,84.1,82.3,252.3,3,2
OFEQ.N0000,2016-10-27,84.0,84.0,84.0,82.3,588.0,7,2
OFEQ.N0000,2016-11-02,82.3,82.3,82.3,82.3,823.0,10,1
