ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
OSEA.N0000,2016-01-03,23.3,23.6,23.3,23.5,5307403.4,225856,33
OSEA.N0000,2016-01-04,23.5,23.5,23.3,23.4,3136950.0,133500,13
OSEA.N0000,2016-01-05,23.3,23.5,23.3,23.3,342247.5,14679,16
OSEA.N0000,2016-01-06,23.3,23.3,23.1,23.1,2633738.1,114009,49
OSEA.N0000,2016-01-07,23.1,23.1,23.0,23.0,16718058.0,726846,103
OSEA.N0000,2016-01-10,23.0,23.2,23.0,23.0,34157167.0,1485069,134
OSEA.N0000,2016-01-11,23.0,23.1,23.0,23.0,13460041.0,585197,85
OSEA.N0000,2016-01-12,22.9,23.2,22.9,23.0,49592582.6,2156147,50
OSEA.N0000,2016-01-13,23.0,23.0,22.7,23.0,10215652.8,445603,29
OSEA.N0000,2016-01-17,22.7,23.0,22.6,23.0,21199474.8,931779,102
OSEA.N0000,2016-01-18,22.5,22.8,22.4,22.6,7709034.4,342403,54
OSEA.N0000,2016-01-19,22.7,23.0,22.6,22.8,6189247.8,271554,22
OSEA.N0000,2016-01-20,23.0,23.0,22.6,22.9,2319407.0,100920,31
OSEA.N0000,2016-01-21,23.0,23.2,23.0,23.0,333119.5,14478,15
OSEA.N0000,2016-01-24,22.9,23.2,22.7,23.2,4019860.0,173500,9
OSEA.N0000,2016-01-25,22.7,23.2,22.7,22.8,83011.0,3655,8
OSEA.N0000,2016-01-26,23.2,23.2,23.0,23.0,159251.0,6917,8
OSEA.N0000,2016-01-27,22.8,23.2,22.8,23.1,917312.0,39825,8
OSEA.N0000,2016-01-28,22.7,23.5,22.7,23.2,372725.8,16041,12
OSEA.N0000,2016-01-31,23.1,23.2,23.1,23.2,357341.7,15458,15
OSEA.N0000,2016-02-01,23.3,23.6,23.3,23.4,441959.0,18820,18
OSEA.N0000,2016-02-02,23.5,23.7,23.2,23.3,1792371.0,76950,27
OSEA.N0000,2016-02-04,23.2,23.2,23.2,23.2,201886.4,8702,5
OSEA.N0000,2016-02-07,23.2,23.3,23.2,23.2,163773.8,7059,9
OSEA.N0000,2016-02-08,23.0,23.1,23.0,23.1,2704488.4,117566,44
OSEA.N0000,2016-02-09,23.2,23.8,23.0,23.6,1243593.5,53189,40
OSEA.N0000,2016-02-10,23.7,23.7,23.4,23.4,2333484.1,99668,14
OSEA.N0000,2016-02-11,23.5,23.5,23.4,23.5,3840521.5,163469,27
OSEA.N0000,2016-02-14,23.4,23.4,23.0,23.0,816032.0,35464,16
OSEA.N0000,2016-02-15,23.0,23.1,23.0,23.0,818843.0,35601,15
OSEA.N0000,2016-02-16,23.0,23.0,23.0,23.0,1486260.0,64620,22
OSEA.N0000,2016-02-17,23.0,23.0,22.7,22.7,2731019.1,120290,24
OSEA.N0000,2016-02-18,22.7,22.7,22.7,22.7,102150.0,4500,2
OSEA.N0000,2016-02-22,22.8,22.8,22.6,22.6,199541.0,8785,6
OSEA.N0000,2016-02-23,22.6,22.6,22.6,22.6,589453.2,26082,6
OSEA.N0000,2016-02-24,23.0,23.0,22.8,22.8,2939240.0,127800,5
OSEA.N0000,2016-02-25,23.0,23.8,23.0,23.0,822277.8,35243,35
OSEA.N0000,2016-02-28,23.1,23.1,23.0,23.0,706492.0,30684,21
OSEA.N0000,2016-02-29,23.0,23.4,22.8,23.4,2573371.8,110206,24
OSEA.N0000,2016-03-01,22.8,23.2,22.8,23.0,1006932.6,43781,37
OSEA.N0000,2016-03-02,23.0,23.4,23.0,23.1,2728325.3,118613,59
OSEA.N0000,2016-03-03,23.3,23.3,23.1,23.2,254764.0,10980,33
OSEA.N0000,2016-03-07,23.2,23.2,22.5,22.6,12421596.5,540753,94
OSEA.N0000,2016-03-08,22.6,23.3,22.3,23.1,415949140.7,16683431,130
OSEA.N0000,2016-03-09,23.2,23.5,23.2,23.4,873481.2,37307,24
OSEA.N0000,2016-03-10,23.6,23.8,23.5,23.5,264292.4,11244,22
OSEA.N0000,2016-03-13,23.5,23.5,23.0,23.0,2334889.4,101513,19
OSEA.N0000,2016-03-14,23.1,23.1,23.0,23.0,186820.5,8120,14
OSEA.N0000,2016-03-15,23.1,23.3,23.0,23.0,1694940.5,73692,18
OSEA.N0000,2016-03-16,23.3,23.5,23.3,23.0,1776.0,76,8
OSEA.N0000,2016-03-17,23.5,23.5,23.2,23.5,15626.9,665,11
OSEA.N0000,2016-03-20,23.5,23.5,23.4,23.5,7299.5,311,9
OSEA.N0000,2016-03-22,23.4,23.5,23.4,23.4,110354.0,4710,19
OSEA.N0000,2016-03-23,23.5,23.5,23.2,23.4,1897446.9,81473,26
OSEA.N0000,2016-03-27,23.4,23.5,23.1,23.3,176976.5,7610,19
OSEA.N0000,2016-03-28,23.5,23.5,23.2,23.2,759234.2,32722,24
OSEA.N0000,2016-03-29,23.5,23.5,23.2,23.3,1512907.5,64568,21
OSEA.N0000,2016-03-30,23.4,23.5,23.2,23.4,2531555.8,107784,15
OSEA.N0000,2016-03-31,23.7,23.7,23.4,23.4,7399.7,316,6
OSEA.N0000,2016-04-03,23.7,24.4,23.7,24.0,2452550.0,102257,19
OSEA.N0000,2016-04-04,24.1,24.8,24.0,24.3,6812601.6,278590,54
OSEA.N0000,2016-04-05,24.5,24.5,24.0,24.1,244127.6,10020,21
OSEA.N0000,2016-04-06,24.3,24.4,24.3,24.3,165366.1,6801,16
OSEA.N0000,2016-04-07,24.4,24.6,24.3,24.5,7589108.0,309776,59
OSEA.N0000,2016-04-10,24.6,24.7,24.5,24.7,1032682.4,41909,15
OSEA.N0000,2016-04-11,24.7,25.2,24.5,25.0,6345802.0,254627,61
OSEA.N0000,2016-04-14,25.3,25.4,25.2,25.3,2165256.5,85589,80
OSEA.N0000,2016-04-17,25.3,25.8,25.1,25.6,5303564.5,209359,75
OSEA.N0000,2016-04-18,25.9,25.9,25.5,25.8,249040.1,9706,19
OSEA.N0000,2016-04-19,25.8,25.9,25.7,25.7,2987906.1,115927,41
OSEA.N0000,2016-04-21,25.4,25.9,25.4,25.9,1183319.3,45860,69
OSEA.N0000,2016-04-24,25.6,26.1,25.6,26.0,14876937.5,572703,116
OSEA.N0000,2016-04-25,25.0,25.0,24.3,24.5,2641387.0,107462,75
OSEA.N0000,2016-04-26,24.2,24.7,24.1,24.5,7018000.2,286627,50
OSEA.N0000,2016-04-27,24.4,24.9,24.4,24.7,12682125.6,512369,53
OSEA.N0000,2016-04-28,24.5,24.9,24.5,24.7,67445682.6,2719609,102
OSEA.N0000,2016-05-02,24.8,24.9,24.5,24.7,7545314.6,304410,56
OSEA.N0000,2016-05-03,24.8,24.9,24.5,24.5,3368777.8,136673,34
OSEA.N0000,2016-05-04,24.4,24.7,24.3,24.5,6618340.3,270189,37
OSEA.N0000,2016-05-05,24.3,24.3,24.2,24.2,10490900.0,431750,20
OSEA.N0000,2016-05-08,24.2,24.2,23.7,23.7,5343117.4,222742,24
OSEA.N0000,2016-05-09,23.8,24.0,23.6,23.9,3093049.0,129514,34
OSEA.N0000,2016-05-10,24.0,24.1,23.8,24.0,695842.9,29016,9
OSEA.N0000,2016-05-11,24.0,24.3,24.0,24.2,312686.0,12960,8
