ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
PABC.N0000,2016-01-03,27.0,27.4,27.0,27.0,221724.1,8210,10
PABC.N0000,2016-01-04,27.0,27.0,26.9,27.0,221952.5,8225,15
PABC.N0000,2016-01-05,27.0,27.0,26.7,26.8,557784.5,20765,20
PABC.N0000,2016-01-06,26.6,26.6,26.6,26.6,71820.0,2700,2
PABC.N0000,2016-01-07,26.6,26.6,26.3,26.3,294433.2,11164,16
PABC.N0000,2016-01-10,26.4,26.4,26.2,26.2,338989.2,12916,15
PABC.N0000,2016-01-11,26.1,26.1,25.0,25.1,626303.0,24495,44
PABC.N0000,2016-01-12,25.7,25.8,25.7,25.7,74580.0,2900,7
PABC.N0000,2016-01-13,25.3,25.3,24.8,25.0,580438.2,23244,21
PABC.N0000,2016-01-17,24.9,24.9,23.2,23.4,813611.4,33928,43
PABC.N0000,2016-01-18,23.5,23.6,22.4,23.0,2891691.9,127670,52
PABC.N0000,2016-01-19,22.9,24.0,22.5,22.5,872242.5,38486,33
PABC.N0000,2016-01-20,22.5,24.0,22.5,24.0,961602.8,40961,17
PABC.N0000,2016-01-21,24.5,24.8,24.3,24.5,1503959.4,61393,27
PABC.N0000,2016-01-24,24.5,24.5,24.5,24.5,183750.0,7500,7
PABC.N0000,2016-01-25,24.5,24.5,24.5,24.5,75950.0,3100,4
PABC.N0000,2016-01-26,24.5,25.0,24.0,25.0,305518.0,12300,4
PABC.N0000,2016-01-27,25.0,25.0,25.0,25.0,150375.0,6015,7
PABC.N0000,2016-01-28,25.3,25.8,25.0,25.1,404894.2,16016,25
PABC.N0000,2016-01-31,25.9,25.9,25.0,25.5,106938.4,4256,10
PABC.N0000,2016-02-01,25.0,25.8,25.0,25.5,608250.5,23990,14
PABC.N0000,2016-02-02,25.8,25.8,25.5,25.5,31960.0,1250,6
PABC.N0000,2016-02-04,25.5,25.7,25.5,25.7,9255.7,361,5
PABC.N0000,2016-02-07,25.6,25.6,25.3,25.3,144343.5,5654,10
PABC.N0000,2016-02-08,25.3,25.3,25.0,25.0,532768.3,21263,18
