ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
PACK.N0000,2021-11-09,16.0,25.0,15.1,17.6,1397074876.4,75834757,14746
PACK.N0000,2021-11-10,18.0,19.2,17.3,17.4,144970486.3,8142514,2010
PACK.N0000,2021-11-11,17.4,17.5,16.4,16.9,93291388.8,5546143,1427
PACK.N0000,2021-11-14,16.7,17.9,16.1,16.6,53420135.4,3154111,1026
PACK.N0000,2021-11-15,16.6,16.8,16.0,16.1,52928369.5,3250158,828
PACK.N0000,2021-11-16,16.1,16.1,15.0,15.5,49830232.2,3222413,998
PACK.N0000,2021-11-18,15.9,17.3,15.7,16.1,76262779.4,4652154,1021
PACK.N0000,2021-11-21,16.5,17.4,16.3,16.8,57614663.9,3374965,871
PACK.N0000,2021-11-22,16.5,17.2,16.5,16.7,31747241.8,1889377,455
PACK.N0000,2021-11-23,17.0,17.0,16.4,16.6,29555548.8,1775777,295
PACK.N0000,2021-11-24,16.6,16.7,16.2,16.3,28554186.4,1738899,408
PACK.N0000,2021-11-25,16.4,18.1,16.0,17.6,76218032.8,4398999,1169
PACK.N0000,2021-11-28,22.7,24.0,18.3,22.9,933548511.0,43347297,8441
PACK.N0000,2021-11-29,24.0,25.4,22.9,23.4,411119075.3,17145320,4179
PACK.N0000,2021-11-30,23.9,24.7,22.4,23.1,196889209.5,8397852,2026
PACK.N0000,2021-12-01,23.0,23.3,22.0,22.6,73756195.2,3236111,906
PACK.N0000,2021-12-02,22.5,22.6,21.4,22.2,81057374.3,3682478,890
PACK.N0000,2021-12-05,22.0,23.2,21.9,22.2,62389661.1,2806162,735
PACK.N0000,2021-12-06,22.5,23.0,22.2,22.3,22296529.9,983049,403
PACK.N0000,2021-12-07,22.5,22.9,22.1,22.3,43625570.2,1949946,487
PACK.N0000,2021-12-08,23.0,24.4,22.7,23.6,175646411.8,7420891,1969
PACK.N0000,2021-12-09,24.2,24.6,23.4,23.8,58086674.8,2432199,963
PACK.N0000,2021-12-12,23.8,24.0,22.7,23.2,29162875.3,1246677,593
PACK.N0000,2021-12-13,23.0,23.4,22.5,22.7,39964816.3,1756338,655
PACK.N0000,2021-12-14,22.8,23.0,22.0,22.4,24823859.5,1109031,453
PACK.N0000,2021-12-15,22.3,22.4,21.9,22.1,20550141.6,930012,417
PACK.N0000,2021-12-16,22.0,22.0,20.9,21.2,44276547.6,2073655,619
PACK.N0000,2021-12-19,21.0,21.9,20.6,20.8,19333016.1,922362,385
PACK.N0000,2021-12-20,21.0,21.2,19.5,20.6,17185121.2,851058,303
PACK.N0000,2021-12-21,21.0,21.4,20.0,20.2,15766806.9,765669,410
PACK.N0000,2021-12-22,20.1,21.8,20.0,21.1,24417538.1,1177514,525
PACK.N0000,2021-12-23,21.7,22.5,20.6,22.0,35759446.5,1637689,351
PACK.N0000,2021-12-26,22.9,23.2,21.6,21.8,44267165.9,1989749,563
PACK.N0000,2021-12-27,22.4,22.4,21.2,21.6,12372550.2,569850,266
PACK.N0000,2021-12-28,21.5,22.3,21.3,22.1,28678760.5,1304500,361
PACK.N0000,2021-12-29,21.9,22.5,21.7,21.8,12512367.4,569712,249
PACK.N0000,2021-12-30,21.9,22.0,21.0,21.7,13280710.8,616355,303
PACK.N0000,2022-01-02,22.0,22.0,20.9,21.1,41031212.0,1937692,716
PACK.N0000,2022-01-03,21.5,22.8,20.9,21.8,58234835.6,2685311,752
PACK.N0000,2022-01-04,22.0,23.0,21.6,22.0,36996900.3,1660365,464
PACK.N0000,2022-01-05,22.0,22.4,21.5,21.8,21656838.8,987122,275
PACK.N0000,2022-01-06,22.0,22.1,21.0,21.5,18628411.6,861394,384
PACK.N0000,2022-01-09,21.5,22.1,20.9,21.1,22750409.9,1064598,313
PACK.N0000,2022-01-10,20.9,21.2,20.7,20.8,11643745.7,557123,302
PACK.N0000,2022-01-11,20.9,21.5,20.0,20.2,18571525.5,905445,390
PACK.N0000,2022-01-12,20.2,21.3,20.0,20.5,23412883.4,1138453,365
PACK.N0000,2022-01-17,20.8,21.0,20.1,20.4,12961023.5,634560,275
PACK.N0000,2022-01-18,20.5,20.8,20.0,20.6,11669286.1,573042,235
PACK.N0000,2022-01-19,20.5,22.7,20.0,22.0,61361690.5,2825940,807
PACK.N0000,2022-01-20,22.6,23.9,22.4,22.5,162558664.9,7005350,1718
PACK.N0000,2022-01-23,22.5,22.5,21.0,21.4,22103399.6,1024197,445
PACK.N0000,2022-01-24,22.0,22.0,20.5,20.7,11828733.4,568311,361
PACK.N0000,2022-01-25,20.6,20.9,19.9,20.3,22870226.8,1133500,400
PACK.N0000,2022-01-26,20.4,20.7,19.1,19.8,33013589.2,1653239,590
PACK.N0000,2022-01-27,19.7,20.5,19.1,19.9,20789919.8,1056848,365
PACK.N0000,2022-01-30,20.2,20.4,19.6,19.8,10237689.9,515665,291
PACK.N0000,2022-01-31,19.8,20.3,19.8,19.9,6920264.9,345715,202
PACK.N0000,2022-02-01,20.0,20.2,18.8,19.2,13271850.5,684115,404
PACK.N0000,2022-02-02,18.8,20.0,18.5,19.1,14682499.8,772975,365
PACK.N0000,2022-02-06,19.9,19.9,18.9,19.0,7647411.3,400316,178
PACK.N0000,2022-02-07,19.1,19.2,17.4,18.8,5823899.3,315387,220
PACK.N0000,2022-02-08,19.0,19.2,17.5,18.1,9517840.1,531899,252
PACK.N0000,2022-02-09,18.4,18.6,17.5,17.8,8471561.8,473187,237
PACK.N0000,2022-02-10,18.0,18.8,18.0,18.5,5528155.3,300246,162
PACK.N0000,2022-02-13,18.8,18.9,18.0,18.1,5599677.2,306318,126
PACK.N0000,2022-02-14,18.8,18.8,17.5,17.7,6017293.6,339399,232
PACK.N0000,2022-02-16,18.0,18.0,17.4,17.6,2849271.3,162659,117
PACK.N0000,2022-02-17,17.5,17.8,16.4,16.7,5712210.4,338299,259
PACK.N0000,2022-02-20,16.5,16.6,15.0,15.1,7355441.6,470293,351
PACK.N0000,2022-02-21,15.4,16.4,15.0,15.6,4554099.5,290259,213
PACK.N0000,2022-02-22,15.5,15.5,13.5,14.8,10509176.7,723073,377
PACK.N0000,2022-02-23,14.8,15.1,13.0,13.3,7419593.3,547926,374
PACK.N0000,2022-02-24,13.8,14.8,12.9,14.5,7665984.4,555286,275
PACK.N0000,2022-02-27,15.0,16.0,14.5,15.8,7719747.3,494846,226
PACK.N0000,2022-03-01,15.7,15.9,15.0,15.3,1740964.6,113827,127
PACK.N0000,2022-03-02,15.3,15.3,14.4,14.6,2479190.4,166760,143
PACK.N0000,2022-03-03,14.4,14.9,14.3,14.3,5262414.5,366190,101
PACK.N0000,2022-03-06,14.5,15.0,13.5,13.6,5616172.9,401403,291
PACK.N0000,2022-03-07,14.0,15.1,12.3,12.7,7750951.4,575555,250
PACK.N0000,2022-03-08,13.2,13.2,11.8,11.9,5399681.2,448588,253
PACK.N0000,2022-03-09,12.2,14.0,11.9,13.9,6093289.9,466295,301
PACK.N0000,2022-03-10,14.4,14.5,13.2,13.7,2907709.2,210178,116
PACK.N0000,2022-03-13,13.7,14.3,13.0,13.2,2016420.6,150043,147
PACK.N0000,2022-03-14,13.5,13.5,12.6,12.9,1538532.0,118886,77
PACK.N0000,2022-03-15,13.0,13.0,12.3,12.5,2013757.1,160972,149
PACK.N0000,2022-03-17,12.7,13.5,12.4,13.0,1351270.8,105589,76
PACK.N0000,2022-03-20,13.3,13.3,12.8,13.0,1540900.6,118491,47
PACK.N0000,2022-03-21,13.3,13.7,12.9,13.0,3772919.2,285434,110
PACK.N0000,2022-03-22,12.8,13.1,12.7,12.8,1677456.9,131280,78
PACK.N0000,2022-03-23,12.8,13.0,12.5,12.6,1733717.7,136353,82
PACK.N0000,2022-03-24,12.6,13.0,12.5,12.7,1629036.6,129093,66
PACK.N0000,2022-03-27,13.0,13.0,12.3,12.3,5191297.1,415143,174
PACK.N0000,2022-03-28,12.7,12.7,11.2,11.4,7416723.1,617880,270
PACK.N0000,2022-03-29,11.2,11.2,9.1,10.0,8351575.3,837656,274
PACK.N0000,2022-03-30,10.0,10.2,9.0,9.9,1837260.3,188746,89
PACK.N0000,2022-03-31,9.0,9.2,9.0,9.0,1057295.0,117456,21
PACK.N0000,2022-04-03,8.8,9.1,8.0,8.6,2706140.3,313546,151
PACK.N0000,2022-04-04,9.0,9.9,9.0,9.7,1833780.4,193882,119
PACK.N0000,2022-04-05,9.9,9.9,9.6,9.6,2013148.0,206399,90
PACK.N0000,2022-04-06,9.6,9.8,9.2,9.2,747291.3,79228,47
PACK.N0000,2022-04-07,9.3,9.4,8.8,8.9,1490711.1,167153,106
PACK.N0000,2022-04-24,8.0,8.0,7.0,7.8,531333.4,67848,56
PACK.N0000,2022-04-25,7.0,7.5,7.0,7.0,709332.5,101194,26
PACK.N0000,2022-04-26,7.0,8.7,7.0,7.9,2905454.4,374377,129
PACK.N0000,2022-04-27,8.0,8.6,7.9,8.4,2920328.2,355235,114
PACK.N0000,2022-04-28,8.7,9.2,8.6,8.9,3774044.0,427450,98
PACK.N0000,2022-05-03,8.8,9.4,8.6,8.8,581456.4,65911,51
PACK.N0000,2022-05-04,9.3,9.3,8.5,8.7,290058.9,33002,31
PACK.N0000,2022-05-05,8.6,8.7,8.0,8.2,2284570.9,272833,78
PACK.N0000,2022-05-08,8.5,9.1,8.5,8.7,386640.8,44042,37
PACK.N0000,2022-05-11,8.8,9.0,8.8,8.9,1243914.1,139390,72
PACK.N0000,2022-05-12,9.1,10.5,9.1,10.1,5567453.6,561742,179
PACK.N0000,2022-05-16,10.9,12.3,10.5,12.1,9388588.5,796702,195
PACK.N0000,2022-05-17,12.5,13.8,12.4,12.9,17417428.8,1334268,256
PACK.N0000,2022-05-18,13.0,13.0,12.0,12.2,2727962.3,222128,57
PACK.N0000,2022-05-19,12.2,12.3,12.0,12.2,534815.0,43769,25
PACK.N0000,2022-05-22,12.3,12.3,11.8,12.2,628911.9,52043,44
PACK.N0000,2022-05-23,12.3,12.3,11.8,11.9,1627542.6,136806,48
PACK.N0000,2022-05-24,12.0,12.0,11.7,11.9,1125722.5,95191,69
PACK.N0000,2022-05-25,12.0,12.0,11.9,11.9,657683.7,55073,22
PACK.N0000,2022-05-26,11.9,12.0,11.8,11.9,1150447.5,96680,44
PACK.N0000,2022-05-29,11.8,12.3,11.7,12.2,2783829.9,229756,46
PACK.N0000,2022-05-30,12.1,12.1,11.6,11.8,1353672.3,114821,86
PACK.N0000,2022-05-31,11.9,12.0,11.5,11.7,3904667.4,333787,78
PACK.N0000,2022-06-01,11.8,11.8,11.6,11.7,1232821.9,105364,33
PACK.N0000,2022-06-02,11.8,11.8,11.2,11.5,2844216.6,247011,111
PACK.N0000,2022-06-05,11.1,12.0,10.2,10.8,1490434.4,136634,92
PACK.N0000,2022-06-06,10.8,10.8,10.0,10.2,2286760.2,224230,83
PACK.N0000,2022-06-07,10.8,11.0,10.6,10.8,1409195.9,130054,62
PACK.N0000,2022-06-08,10.8,11.1,10.5,11.0,2714476.7,247757,48
PACK.N0000,2022-06-09,10.9,10.9,10.5,10.6,521494.3,49026,32
PACK.N0000,2022-06-12,10.9,10.9,10.5,10.7,826716.3,77302,17
PACK.N0000,2022-06-14,10.9,10.9,10.4,10.4,1006655.5,96432,40
PACK.N0000,2022-06-15,10.5,10.5,10.0,10.1,1989097.0,195513,58
PACK.N0000,2022-06-16,10.1,10.7,9.7,9.8,3759112.4,379950,92
PACK.N0000,2022-06-19,9.6,9.9,9.4,9.7,1821752.0,190135,78
PACK.N0000,2022-06-20,9.7,9.9,9.7,9.8,1559025.2,159618,34
PACK.N0000,2022-06-21,9.8,10.6,9.5,9.6,2340779.9,239010,75
PACK.N0000,2022-06-22,9.9,10.0,9.4,9.6,460042.4,47788,31
PACK.N0000,2022-06-23,10.0,10.0,9.7,9.8,2279899.9,231012,55
PACK.N0000,2022-06-26,9.9,9.9,9.1,9.3,2276185.6,243769,62
PACK.N0000,2022-06-27,9.1,9.3,9.1,9.2,831083.9,91029,42
PACK.N0000,2022-06-28,9.8,9.8,9.1,9.3,2707664.7,291274,108
PACK.N0000,2022-06-29,9.7,9.7,9.0,9.2,4272730.3,462949,132
PACK.N0000,2022-06-30,9.3,9.8,9.1,9.4,4597395.8,490907,113
PACK.N0000,2022-07-03,9.8,10.3,9.6,9.8,1364318.3,137803,125
PACK.N0000,2022-07-04,9.6,10.0,9.6,9.7,2074103.5,211375,93
PACK.N0000,2022-07-05,9.6,9.7,9.4,9.5,843073.1,88661,89
PACK.N0000,2022-07-06,9.3,9.5,8.9,9.3,2779016.1,301724,78
PACK.N0000,2022-07-07,9.4,9.5,9.2,9.4,256580.0,27380,20
PACK.N0000,2022-07-10,9.4,9.6,9.2,9.4,599069.7,63895,50
PACK.N0000,2022-07-11,9.2,9.7,9.2,9.7,1852218.3,192214,46
PACK.N0000,2022-07-13,9.3,9.8,9.2,9.3,663942.2,71006,44
PACK.N0000,2022-07-14,9.5,9.9,9.4,9.9,1247826.6,129845,40
PACK.N0000,2022-07-17,9.9,10.1,9.9,10.0,1816602.0,181537,39
PACK.N0000,2022-07-18,10.1,10.3,9.8,10.0,2512187.9,250584,51
PACK.N0000,2022-07-19,10.0,10.3,9.8,10.0,7572609.9,759675,99
PACK.N0000,2022-07-20,10.4,10.4,10.0,10.1,2352494.2,230927,65
PACK.N0000,2022-07-21,10.1,10.1,9.9,10.0,1416571.6,141787,56
PACK.N0000,2022-07-25,10.1,10.1,9.8,9.8,450234.3,45787,36
PACK.N0000,2022-07-25,10.3,10.3,9.8,9.9,319125.6,32103,40
PACK.N0000,2022-07-26,9.8,10.0,9.7,9.7,292171.9,29945,48
PACK.N0000,2022-07-26,9.8,10.0,9.7,9.7,292171.9,29945,48
PACK.N0000,2022-07-27,9.8,10.0,9.7,10.0,1101178.7,110732,32
PACK.N0000,2022-07-28,10.0,10.0,9.8,9.9,1288549.3,129024,43
PACK.N0000,2022-07-31,10.0,10.2,9.9,9.9,629600.2,63148,34
PACK.N0000,2022-08-01,10.5,14.5,10.5,13.2,36387820.3,2827179,861
PACK.N0000,2022-08-02,14.5,14.5,13.3,13.5,22909510.8,1643075,388
PACK.N0000,2022-08-03,14.0,14.0,12.8,12.9,5707982.1,439451,202
PACK.N0000,2022-08-04,13.0,13.0,12.0,12.1,3125886.5,255289,159
PACK.N0000,2022-08-07,12.3,12.8,12.1,12.3,2465444.4,200712,112
PACK.N0000,2022-08-08,12.1,12.7,12.1,12.2,3912788.9,320150,90
PACK.N0000,2022-08-09,12.2,12.4,11.8,12.2,6793169.1,562506,180
PACK.N0000,2022-08-11,12.3,12.7,12.2,12.6,4634268.6,371165,137
PACK.N0000,2022-08-14,12.7,14.0,12.4,13.3,18965836.0,1448784,317
PACK.N0000,2022-08-15,14.2,15.5,13.9,15.0,41831967.5,2815959,817
PACK.N0000,2022-08-16,15.9,16.5,15.4,15.6,41787994.5,2643044,722
PACK.N0000,2022-08-17,15.8,16.4,15.4,16.1,19284691.9,1201595,411
PACK.N0000,2022-08-18,16.3,16.7,15.8,16.0,16033953.3,989641,287
PACK.N0000,2022-08-21,16.0,16.4,15.5,15.6,6749519.6,430615,155
PACK.N0000,2022-08-22,15.6,16.1,15.5,15.8,6522560.9,415164,105
PACK.N0000,2022-08-23,15.8,16.0,15.4,15.4,4785890.4,308901,126
PACK.N0000,2022-08-24,15.4,15.8,14.1,14.6,14059596.7,951601,207
PACK.N0000,2022-08-25,14.6,15.7,14.0,14.2,19650888.1,1339734,217
PACK.N0000,2022-08-28,14.6,15.6,14.2,14.3,14566066.6,969481,178
PACK.N0000,2022-08-29,14.5,14.5,13.1,13.7,12315860.5,898562,184
PACK.N0000,2022-08-30,14.5,15.4,14.5,15.1,13664206.4,904979,188
PACK.N0000,2022-08-31,15.3,15.6,14.9,15.1,6496191.4,427348,221
PACK.N0000,2022-09-01,14.9,15.5,14.9,15.1,2364262.5,156389,79
PACK.N0000,2022-09-04,15.3,15.4,14.6,14.8,2980088.1,200287,99
PACK.N0000,2022-09-05,15.1,15.1,14.5,14.8,7192452.9,487261,83
PACK.N0000,2022-09-06,14.8,15.1,14.6,14.8,3998772.3,270744,132
PACK.N0000,2022-09-07,14.9,15.3,14.1,14.6,13756815.0,941351,196
