ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
PALM.N0000,2016-01-03,38.2,40.0,38.2,40.0,4038.2,101,2
PALM.N0000,2016-01-07,38.6,38.6,38.6,38.6,15440.0,400,1
PALM.N0000,2016-01-10,40.7,40.7,38.6,38.7,24177.5,625,4
PALM.N0000,2016-01-11,35.2,35.2,35.2,38.7,35.2,1,1
PALM.N0000,2016-01-12,35.5,35.5,35.5,38.7,35.5,1,1
PALM.N0000,2016-01-18,38.0,38.7,38.0,38.3,50130.0,1310,3
PALM.N0000,2016-01-19,36.0,38.0,35.8,38.0,289365.8,7644,5
PALM.N0000,2016-01-20,39.5,39.5,39.5,38.0,118.5,3,1
PALM.N0000,2016-01-21,35.1,35.1,35.1,38.0,1755.0,50,1
PALM.N0000,2016-01-25,35.5,35.5,35.5,35.5,7100.0,200,1
PALM.N0000,2016-01-27,35.3,35.3,35.0,35.0,247187.3,7057,11
PALM.N0000,2016-01-28,34.1,37.0,34.0,35.2,31711.8,902,9
PALM.N0000,2016-01-31,35.1,36.0,35.0,35.0,17726.0,506,3
PALM.N0000,2016-02-04,36.9,37.0,35.0,36.9,249613.1,7125,6
PALM.N0000,2016-02-07,35.0,35.0,35.0,35.0,101500.0,2900,1
PALM.N0000,2016-02-11,35.0,35.0,35.0,35.0,280.0,8,1
PALM.N0000,2016-02-14,35.0,35.0,34.0,34.0,61177.1,1794,4
PALM.N0000,2016-02-17,32.2,32.4,32.2,32.3,30066.3,931,3
PALM.N0000,2016-02-18,35.9,35.9,35.9,32.3,825.7,23,1
PALM.N0000,2016-02-24,33.0,33.0,32.0,32.0,16010.3,500,3
PALM.N0000,2016-02-25,32.0,32.0,31.0,31.1,39732.2,1276,6
PALM.N0000,2016-02-28,31.1,31.1,31.1,31.1,622.0,20,1
PALM.N0000,2016-02-29,31.0,31.0,31.0,31.0,18135.0,585,3
PALM.N0000,2016-03-01,31.1,31.1,30.0,30.0,63630.0,2100,9
PALM.N0000,2016-03-02,33.6,34.0,33.6,33.9,21341.0,630,6
PALM.N0000,2016-03-03,33.0,33.0,30.0,30.2,27583.0,904,5
PALM.N0000,2016-03-07,30.0,30.0,23.2,30.2,803.2,27,2
PALM.N0000,2016-03-08,23.6,30.2,23.6,30.0,36233.6,1201,4
PALM.N0000,2016-03-10,28.0,30.6,28.0,30.0,12548.6,431,5
PALM.N0000,2016-03-13,28.2,28.2,28.1,28.2,14089.9,500,5
PALM.N0000,2016-03-14,28.1,28.1,28.1,28.1,42150.0,1500,2
PALM.N0000,2016-03-15,28.1,28.1,28.0,28.1,19650.0,700,3
PALM.N0000,2016-03-17,28.2,28.5,28.2,28.4,66149.4,2333,10
PALM.N0000,2016-03-22,29.0,29.0,28.0,28.0,14200.0,500,3
PALM.N0000,2016-03-23,28.0,28.0,28.0,28.0,19040.0,680,9
PALM.N0000,2016-03-27,28.2,28.2,28.0,28.1,59812.0,2129,5
PALM.N0000,2016-03-28,28.2,28.2,28.2,28.2,8460.0,300,1
PALM.N0000,2016-03-29,28.2,28.2,28.0,28.0,115465.8,4119,4
PALM.N0000,2016-03-30,27.5,29.9,27.5,29.9,6592.5,231,2
PALM.N0000,2016-03-31,29.9,29.9,29.9,29.9,299.0,10,1
PALM.N0000,2016-04-03,30.0,30.0,30.0,30.0,30000.0,1000,1
PALM.N0000,2016-04-04,30.0,30.0,30.0,30.0,291600.0,9720,10
PALM.N0000,2016-04-05,30.0,30.0,30.0,30.0,306300.0,10210,7
PALM.N0000,2016-04-06,29.5,30.0,29.5,29.5,261250.0,8850,4
PALM.N0000,2016-04-07,31.0,34.5,31.0,33.4,537962.1,16099,25
PALM.N0000,2016-04-11,32.0,34.0,32.0,33.4,2959.6,90,4
PALM.N0000,2016-04-14,33.9,34.0,33.9,33.4,2716.6,80,5
PALM.N0000,2016-04-17,33.9,33.9,32.0,33.4,337.1,10,2
PALM.N0000,2016-04-18,30.5,33.0,30.5,32.6,74210.0,2281,14
PALM.N0000,2016-04-19,31.0,32.9,31.0,32.6,360.0,11,2
PALM.N0000,2016-04-21,31.0,32.7,31.0,32.6,1370.1,42,4
PALM.N0000,2016-04-24,31.2,31.2,31.2,31.2,31231.2,1001,7
PALM.N0000,2016-04-25,31.5,32.9,31.5,31.5,18211.1,578,6
PALM.N0000,2016-04-26,31.2,31.2,31.1,31.2,4895.6,157,4
PALM.N0000,2016-04-27,31.3,31.3,31.2,31.2,6241.3,200,3
PALM.N0000,2016-04-28,32.5,32.5,32.0,32.0,401216.0,12523,7
