ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
PARA.N0000,2016-01-03,987.9,987.9,960.0,975.1,12638.6,13,5
PARA.N0000,2016-01-04,900.4,901.0,856.0,975.1,75383.0,84,13
PARA.N0000,2016-01-05,855.1,891.0,855.1,975.1,8586.9,10,2
PARA.N0000,2016-01-10,870.0,870.0,870.0,975.1,4350.0,5,1
PARA.N0000,2016-01-11,870.0,870.0,870.0,975.1,6960.0,8,3
PARA.N0000,2016-01-12,949.9,949.9,949.9,975.1,949.9,1,1
PARA.N0000,2016-01-13,802.0,802.0,802.0,975.1,12030.0,15,2
PARA.N0000,2016-01-18,899.9,899.9,899.9,975.1,5399.4,6,2
PARA.N0000,2016-01-19,948.4,948.5,948.4,975.1,5690.9,6,2
PARA.N0000,2016-01-20,947.8,948.0,947.8,975.1,9478.6,10,4
PARA.N0000,2016-01-28,810.0,810.0,810.0,975.1,7290.0,9,1
PARA.N0000,2016-02-01,940.0,940.0,940.0,975.1,9400.0,10,1
PARA.N0000,2016-02-02,910.1,910.1,905.0,975.1,9965.1,11,4
PARA.N0000,2016-02-04,905.0,905.1,905.0,975.1,2715.1,3,3
PARA.N0000,2016-02-07,905.0,905.0,905.0,975.1,3620.0,4,2
PARA.N0000,2016-02-08,900.0,900.0,875.0,975.1,37827.0,43,8
PARA.N0000,2016-02-09,890.0,900.0,890.0,975.1,10790.0,12,4
PARA.N0000,2016-02-11,900.0,900.0,900.0,975.1,8100.0,9,4
PARA.N0000,2016-02-14,939.0,939.0,895.0,975.1,8114.0,9,3
PARA.N0000,2016-02-15,930.0,947.0,900.0,975.1,13994.0,15,8
PARA.N0000,2016-02-16,900.0,900.0,895.0,975.1,7175.0,8,2
PARA.N0000,2016-02-17,900.0,902.0,900.0,975.1,13522.0,15,9
PARA.N0000,2016-02-24,93.9,100.0,92.5,94.0,94612.5,1001,4
PARA.N0000,2016-02-25,80.2,80.2,73.0,73.0,66088.0,884,14
PARA.N0000,2016-02-28,72.2,73.0,72.0,73.0,15832.0,217,11
PARA.N0000,2016-02-29,71.0,71.0,70.0,73.0,702.0,10,3
PARA.N0000,2016-03-08,75.0,75.0,75.0,75.0,676500.0,9020,5
PARA.N0000,2016-03-10,61.1,61.1,61.1,75.0,3055.0,50,1
PARA.N0000,2016-03-13,65.0,65.0,65.0,75.0,650.0,10,1
PARA.N0000,2016-03-16,71.9,71.9,71.9,75.0,6542.9,91,3
PARA.N0000,2016-03-23,61.5,61.5,61.5,61.5,208485.0,3390,1
PARA.N0000,2016-03-27,61.3,61.3,61.2,61.3,52095.0,850,7
PARA.N0000,2016-03-29,56.1,56.1,56.1,61.3,4207.5,75,1
PARA.N0000,2016-03-30,56.2,64.9,56.0,57.9,21977.5,380,7
PARA.N0000,2016-04-03,65.0,65.0,65.0,57.9,65.0,1,1
PARA.N0000,2016-04-06,50.0,64.9,50.0,50.1,10564.9,211,2
PARA.N0000,2016-04-07,60.0,60.0,60.0,50.1,60.0,1,1
PARA.N0000,2016-04-11,59.0,59.0,59.0,59.0,26550.0,450,1
PARA.N0000,2016-04-17,69.9,69.9,69.9,59.0,139.8,2,1
PARA.N0000,2016-04-25,65.0,73.5,65.0,69.5,10072.5,145,5
PARA.N0000,2016-05-11,60.0,60.0,60.0,60.0,7800.0,130,6
PARA.N0000,2016-05-12,67.2,67.2,59.0,59.1,11823.2,200,8
PARA.N0000,2016-05-16,59.0,59.0,53.0,54.7,7542.0,138,2
PARA.N0000,2016-05-23,60.0,60.0,60.0,54.7,3000.0,50,1
PARA.N0000,2016-06-05,60.0,60.0,60.0,54.7,4200.0,70,1
PARA.N0000,2016-06-07,53.6,53.6,53.6,54.7,1179.2,22,1
PARA.N0000,2016-06-08,59.0,59.0,59.0,54.7,59.0,1,1
PARA.N0000,2016-06-09,55.0,59.9,55.0,54.7,1642.9,28,2
PARA.N0000,2016-06-14,62.0,65.0,53.1,53.1,8198.2,154,4
PARA.N0000,2016-06-15,53.1,53.1,53.0,53.0,10079.0,190,4
PARA.N0000,2016-06-22,58.0,58.0,58.0,58.0,11600.0,200,1
PARA.N0000,2016-06-29,49.1,49.1,49.1,58.0,4419.0,90,1
PARA.N0000,2016-06-30,46.2,46.2,46.0,46.1,11485.0,249,3
PARA.N0000,2016-07-14,51.0,51.0,51.0,51.0,10200.0,200,1
PARA.N0000,2016-07-21,47.0,47.1,47.0,51.0,94.1,2,2
PARA.N0000,2016-07-25,48.0,48.0,47.1,51.0,1907.1,40,4
PARA.N0000,2016-08-14,63.0,63.0,63.0,51.0,1575.0,25,4
