ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
PARQ.N0000,2016-01-03,61.5,62.4,61.5,62.0,3221420.9,52000,50
PARQ.N0000,2016-01-04,62.0,62.3,61.0,61.4,1035310.0,16800,17
PARQ.N0000,2016-01-05,61.8,61.8,60.6,61.1,232924.3,3777,8
PARQ.N0000,2016-01-06,60.5,61.8,59.6,59.8,4570255.1,76193,67
PARQ.N0000,2016-01-07,59.6,59.6,58.9,58.9,223997.2,3785,12
PARQ.N0000,2016-01-10,58.2,58.2,57.0,57.3,1590094.7,27548,42
PARQ.N0000,2016-01-11,57.2,58.5,55.2,55.9,10620159.8,187611,83
PARQ.N0000,2016-01-12,57.0,57.3,56.3,57.0,3573003.6,62631,33
PARQ.N0000,2016-01-13,58.2,58.2,54.0,55.2,1899435.2,34366,36
PARQ.N0000,2016-01-17,55.0,55.0,50.0,51.8,7152390.0,136701,76
PARQ.N0000,2016-01-18,50.0,52.9,45.7,52.3,5206784.3,102759,78
PARQ.N0000,2016-01-19,52.9,52.9,50.1,50.5,1319435.0,26050,19
PARQ.N0000,2016-01-20,52.5,54.3,52.5,53.9,12963556.6,241709,118
PARQ.N0000,2016-01-21,54.8,55.5,53.5,54.3,7893336.0,144551,78
PARQ.N0000,2016-01-24,54.3,55.3,53.7,54.6,3806740.2,70270,43
PARQ.N0000,2016-01-25,54.2,56.9,54.2,54.6,827021.8,14905,24
PARQ.N0000,2016-01-26,56.5,56.5,54.7,56.0,4783203.3,85665,55
PARQ.N0000,2016-01-27,56.3,56.5,55.9,56.3,2348179.6,41754,43
PARQ.N0000,2016-01-28,56.5,57.5,56.5,57.0,2029504.5,35604,43
PARQ.N0000,2016-01-31,57.5,58.0,57.0,57.5,744579.5,13010,11
PARQ.N0000,2016-02-01,58.0,59.0,57.9,58.0,6381562.0,109648,82
PARQ.N0000,2016-02-02,58.1,59.0,58.0,58.1,5471629.3,93965,80
PARQ.N0000,2016-02-04,58.5,60.8,58.5,60.7,24220381.4,403683,236
PARQ.N0000,2016-02-07,61.2,62.5,60.0,60.9,23860814.9,391892,259
PARQ.N0000,2016-02-08,61.0,61.0,58.7,59.0,7977965.1,135002,68
PARQ.N0000,2016-02-09,59.4,59.4,58.4,58.5,2622707.5,44808,20
PARQ.N0000,2016-02-10,59.0,59.2,57.2,57.9,5711137.7,98695,54
PARQ.N0000,2016-02-11,58.5,58.5,57.0,57.0,405235.5,7105,28
PARQ.N0000,2016-02-14,58.0,58.0,56.0,56.1,507851.9,9053,28
