ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
PINS.N0000,2016-01-11,15.6,15.6,14.7,14.9,22829077.0,1521604,389
PINS.N0000,2016-01-12,14.9,15.5,14.9,15.3,12562973.7,822778,165
PINS.N0000,2016-01-13,15.4,15.4,15.1,15.1,3166457.5,208583,61
PINS.N0000,2016-01-17,15.0,15.2,14.9,14.9,2898279.3,192112,65
PINS.N0000,2016-01-18,14.9,15.0,14.8,15.0,5222765.0,349900,60
PINS.N0000,2016-01-19,15.1,15.1,14.9,15.0,710025.0,47295,32
PINS.N0000,2016-01-20,15.0,15.1,15.0,15.1,2011950.0,134049,20
PINS.N0000,2016-01-21,15.1,15.2,15.1,15.1,1102420.0,72990,34
PINS.N0000,2016-01-24,15.2,16.2,15.2,16.0,12904300.6,820049,210
PINS.N0000,2016-01-25,16.0,16.2,16.0,16.1,2891276.3,179642,50
PINS.N0000,2016-01-26,16.0,16.5,15.9,16.3,2596950.9,160558,65
PINS.N0000,2016-01-27,16.5,17.2,16.4,17.0,23231495.7,1378095,315
PINS.N0000,2016-01-28,17.1,17.4,17.0,17.3,15973361.9,933177,155
PINS.N0000,2016-01-31,17.5,17.5,16.9,17.0,4886887.3,283171,115
PINS.N0000,2016-02-01,17.0,17.2,16.8,16.8,7361241.1,432961,90
PINS.N0000,2016-02-02,17.0,17.0,16.7,16.8,881979.5,52639,47
PINS.N0000,2016-02-04,16.8,16.9,16.7,16.7,492158.7,29301,27
PINS.N0000,2016-02-07,16.7,16.7,16.5,16.5,1673010.1,100883,67
PINS.N0000,2016-02-08,16.5,16.7,16.5,16.6,5460795.7,330076,72
PINS.N0000,2016-02-09,16.5,16.6,16.5,16.5,1156124.2,70056,33
PINS.N0000,2016-02-10,16.6,16.6,16.5,16.5,2568310.2,155646,69
PINS.N0000,2016-02-11,16.5,16.5,16.2,16.3,556609.0,33992,21
PINS.N0000,2016-02-14,16.4,16.4,16.2,16.2,686282.0,42180,32
PINS.N0000,2016-02-15,16.3,16.4,16.3,16.3,860853.0,52813,28
PINS.N0000,2016-02-16,16.2,16.3,16.1,16.3,1598856.1,98300,30
PINS.N0000,2016-02-17,16.4,16.6,16.3,16.5,21266938.3,1288673,53
PINS.N0000,2016-02-18,16.8,17.0,16.7,16.9,6611538.0,391600,92
PINS.N0000,2016-02-22,16.9,16.9,16.7,16.8,294908.7,17548,16
PINS.N0000,2016-02-23,16.7,16.8,16.5,16.6,2019566.7,122310,38
PINS.N0000,2016-02-24,16.6,16.7,16.5,16.6,327163.4,19721,15
PINS.N0000,2016-02-25,16.6,16.7,16.6,16.6,1707027.2,102832,17
PINS.N0000,2016-02-28,16.7,16.7,16.5,16.5,33765.6,2046,5
PINS.N0000,2016-02-29,16.5,16.6,16.5,16.5,10508152.4,636791,113
PINS.N0000,2016-03-01,16.5,16.7,16.5,16.7,2870082.0,173938,23
PINS.N0000,2016-03-02,16.7,16.7,16.5,16.7,406794.0,24420,12
PINS.N0000,2016-03-03,16.6,16.7,16.5,16.6,236803.4,14302,14
PINS.N0000,2016-03-07,16.5,16.5,16.2,16.2,1979030.3,121016,50
PINS.N0000,2016-03-08,16.0,16.3,16.0,16.3,2340462.7,145808,43
PINS.N0000,2016-03-09,16.4,16.7,16.3,16.7,2169047.5,131489,12
PINS.N0000,2016-03-10,16.7,16.8,16.6,16.7,2727423.6,162369,30
PINS.N0000,2016-03-13,16.5,16.7,16.5,16.5,307647.5,18645,13
PINS.N0000,2016-03-14,16.5,16.6,16.4,16.6,187890.0,11400,11
PINS.N0000,2016-03-15,16.5,16.8,16.5,16.5,165184.8,10011,4
PINS.N0000,2016-03-16,16.8,16.9,16.6,16.6,58592.1,3490,7
