ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
RAL.N0000,2016-01-03,4.1,4.1,4.0,4.1,275548.5,67216,13
RAL.N0000,2016-01-04,4.0,4.1,4.0,4.1,294433.5,72532,8
RAL.N0000,2016-01-05,4.1,4.1,3.9,4.0,1260222.4,315044,36
RAL.N0000,2016-01-06,4.0,4.0,4.0,4.0,104004.0,26001,11
RAL.N0000,2016-01-07,4.0,4.0,3.9,4.0,392260.0,98190,27
RAL.N0000,2016-01-10,3.9,4.0,3.8,3.9,728997.6,187936,48
RAL.N0000,2016-01-11,3.9,3.9,3.6,3.7,1726503.5,467485,44
RAL.N0000,2016-01-12,3.6,3.8,3.6,3.7,1162028.4,313238,36
RAL.N0000,2016-01-13,3.9,3.9,3.6,3.6,8047028.0,2167305,20
RAL.N0000,2016-01-17,3.6,3.6,3.5,3.6,564519.0,158914,39
RAL.N0000,2016-01-18,3.5,3.5,3.3,3.4,498949.1,145932,37
RAL.N0000,2016-01-19,3.5,3.5,3.3,3.4,311774.0,92000,13
RAL.N0000,2016-01-20,3.4,3.6,3.4,3.5,693745.0,199850,36
RAL.N0000,2016-01-21,3.6,3.6,3.5,3.6,139588739.6,34913816,49
RAL.N0000,2016-01-24,3.6,3.6,3.5,3.5,32207.1,9102,10
RAL.N0000,2016-01-25,3.5,3.5,3.4,3.4,696303.0,204745,23
RAL.N0000,2016-01-26,3.5,3.5,3.5,3.5,7686.0,2196,3
RAL.N0000,2016-01-27,3.5,3.5,3.5,3.5,709411.5,202689,23
RAL.N0000,2016-01-28,3.6,3.6,3.5,3.6,447735.0,127150,18
RAL.N0000,2016-01-31,3.6,3.6,3.6,3.6,330166.8,91713,11
RAL.N0000,2016-02-01,3.7,3.9,3.7,3.7,543086.7,144591,34
RAL.N0000,2016-02-02,3.8,3.9,3.7,3.8,280545.0,74430,17
RAL.N0000,2016-02-04,3.8,3.8,3.7,3.7,84055.5,22715,14
RAL.N0000,2016-02-07,3.7,3.8,3.7,3.7,1109852.0,299940,24
RAL.N0000,2016-02-08,3.7,3.8,3.7,3.7,791565.8,213934,20
RAL.N0000,2016-02-09,3.8,3.8,3.7,3.8,3293499.1,890050,22
RAL.N0000,2016-02-10,3.8,3.8,3.6,3.7,1220152.1,329833,22
RAL.N0000,2016-02-11,3.6,3.7,3.6,3.7,247834.0,67150,17
RAL.N0000,2016-02-14,3.7,3.7,3.6,3.7,1099858.4,297619,24
RAL.N0000,2016-02-15,3.6,3.6,3.6,3.6,1386360.0,385100,9
RAL.N0000,2016-02-16,3.6,3.7,3.5,3.6,778861.5,216364,16
RAL.N0000,2016-02-17,3.6,3.6,3.5,3.5,77060.7,21703,8
RAL.N0000,2016-02-18,3.5,3.5,3.5,3.5,38038.0,10868,5
RAL.N0000,2016-02-22,3.5,3.6,3.5,3.5,222974.4,63704,12
RAL.N0000,2016-02-23,3.5,3.5,3.4,3.4,86984.2,25100,17
RAL.N0000,2016-02-24,3.4,3.5,3.3,3.3,46865.0,13810,8
RAL.N0000,2016-02-25,3.4,3.5,3.4,3.4,608296.0,178910,18
RAL.N0000,2016-02-28,3.4,3.4,3.4,3.4,240720.0,70800,5
RAL.N0000,2016-03-01,3.3,3.4,3.2,3.2,395234.0,121010,23
RAL.N0000,2016-03-02,3.2,3.2,3.1,3.2,143863.2,45221,15
RAL.N0000,2016-03-03,3.3,3.3,3.2,3.2,77392.5,24025,9
RAL.N0000,2016-03-07,3.2,3.2,3.0,3.0,320810.0,101300,18
RAL.N0000,2016-03-08,3.0,3.0,2.7,2.9,217442.0,75210,27
RAL.N0000,2016-03-09,3.0,3.1,3.0,3.1,82050.0,26800,10
RAL.N0000,2016-03-10,3.1,3.1,3.1,3.1,266631.0,86010,9
RAL.N0000,2016-03-13,3.2,3.2,3.0,3.1,89335.2,28811,10
RAL.N0000,2016-03-14,3.1,3.1,3.1,3.1,7750.0,2500,1
RAL.N0000,2016-03-15,3.1,3.1,3.1,3.1,656642.0,211820,19
RAL.N0000,2016-03-16,3.1,3.3,3.1,3.3,465700.8,147094,15
RAL.N0000,2016-03-17,3.2,3.3,3.2,3.2,13130.0,4100,9
RAL.N0000,2016-03-20,3.2,3.3,3.1,3.2,95237.5,29760,10
RAL.N0000,2016-03-22,3.2,3.2,3.1,3.2,160136.0,51605,5
RAL.N0000,2016-03-23,3.1,3.2,3.1,3.2,837920.0,270000,36
RAL.N0000,2016-03-27,3.2,3.2,3.0,3.0,1901405.5,629806,64
RAL.N0000,2016-03-28,3.0,3.1,3.0,3.0,26865.0,8900,14
RAL.N0000,2016-03-29,3.0,3.0,3.0,3.0,54492.0,18164,6
RAL.N0000,2016-03-30,3.0,3.1,3.0,3.1,633137.2,209702,32
RAL.N0000,2016-03-31,3.0,3.2,3.0,3.1,765640.0,250200,11
RAL.N0000,2016-04-04,3.2,3.3,3.2,3.3,2122898.4,655899,45
RAL.N0000,2016-04-05,3.3,3.4,3.3,3.3,801779.4,241448,22
RAL.N0000,2016-04-06,3.3,3.4,3.3,3.3,583421.5,176794,32
RAL.N0000,2016-04-07,3.4,3.4,3.3,3.3,883880.6,260548,29
RAL.N0000,2016-04-10,3.3,3.4,3.3,3.4,304205.0,92150,10
RAL.N0000,2016-04-11,3.4,3.7,3.4,3.6,4611231.4,1307010,80
RAL.N0000,2016-04-14,3.7,3.8,3.7,3.7,3826377.6,1034075,62
RAL.N0000,2016-04-17,3.8,3.8,3.5,3.5,54885.0,15300,11
RAL.N0000,2016-04-18,3.6,3.7,3.5,3.5,780950.0,222600,43
RAL.N0000,2016-04-19,3.6,3.6,3.5,3.6,991520.2,279947,33
RAL.N0000,2016-04-21,3.5,3.7,3.5,3.6,472001.3,131114,33
RAL.N0000,2016-04-24,3.6,3.6,3.5,3.5,666212.3,188353,27
