ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
RCH.N0000,2017-11-20,151.0,250.0,151.0,168.8,69494782.8,409849,80
RCH.N0000,2017-11-21,184.9,184.9,162.5,167.4,155390.2,939,14
RCH.N0000,2017-11-22,167.8,170.0,156.0,160.0,23678156.3,147969,20
RCH.N0000,2017-11-23,160.0,160.0,150.0,159.0,241399.1,1548,13
RCH.N0000,2017-11-26,150.0,150.0,150.0,150.0,120300.0,802,4
RCH.N0000,2017-11-27,140.0,140.0,140.0,150.0,1680.0,12,3
RCH.N0000,2017-11-28,150.0,150.0,150.0,150.0,15000.0,100,1
RCH.N0000,2017-12-03,150.0,150.0,150.0,150.0,750.0,5,1
RCH.N0000,2017-12-04,150.0,150.0,150.0,150.0,300.0,2,1
RCH.N0000,2017-12-05,150.0,150.0,150.0,150.0,1500.0,10,1
RCH.N0000,2017-12-06,135.0,135.0,123.0,130.0,243915.0,1878,25
RCH.N0000,2017-12-07,126.6,128.0,126.0,126.6,44947.0,355,7
RCH.N0000,2017-12-11,123.0,123.0,115.0,116.7,15790.0,135,4
RCH.N0000,2017-12-13,119.9,129.9,119.9,120.0,28197.5,235,4
RCH.N0000,2017-12-17,120.0,120.0,115.0,120.0,816.1,7,3
RCH.N0000,2017-12-19,115.0,115.0,115.0,120.0,575.0,5,1
RCH.N0000,2017-12-21,115.0,115.0,115.0,115.0,139725.0,1215,5
RCH.N0000,2018-01-04,125.0,125.0,100.0,115.0,6325.0,63,6
RCH.N0000,2018-01-15,95.1,95.1,95.0,95.0,157797.0,1661,4
RCH.N0000,2018-01-21,105.0,105.0,105.0,105.0,24150.0,230,4
RCH.N0000,2018-01-22,105.0,105.0,105.0,105.0,7980.0,76,3
RCH.N0000,2018-01-25,102.0,102.0,102.0,105.0,510.0,5,1
RCH.N0000,2018-01-28,95.4,95.4,95.0,95.0,544770.1,5734,3
RCH.N0000,2018-01-31,102.0,102.0,102.0,95.0,1224.0,12,1
RCH.N0000,2018-02-05,102.0,102.0,102.0,95.0,4998.0,49,1
