ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
RENU.N0000,2016-01-03,375.0,375.0,370.0,370.8,40786.0,110,7
RENU.N0000,2016-01-04,365.0,370.0,365.0,370.8,1835.0,5,3
RENU.N0000,2016-01-05,370.0,375.0,365.0,370.0,265595.0,718,10
RENU.N0000,2016-01-06,365.0,365.0,361.0,361.0,77675.0,215,5
RENU.N0000,2016-01-07,361.0,361.0,360.1,360.9,42586.5,118,5
RENU.N0000,2016-01-10,355.0,355.0,350.0,351.6,177552.1,505,12
RENU.N0000,2016-01-11,345.2,345.2,340.0,342.4,221844.0,648,21
RENU.N0000,2016-01-12,342.0,342.0,342.0,342.0,34200.0,100,2
RENU.N0000,2016-01-13,342.0,342.0,340.2,340.5,110698.6,325,15
RENU.N0000,2016-01-17,340.3,341.0,340.2,340.4,852901.4,2506,18
RENU.N0000,2016-01-18,350.0,350.0,330.1,340.4,33814.0,99,10
RENU.N0000,2016-01-19,333.1,333.1,333.0,333.0,171496.0,515,4
RENU.N0000,2016-01-20,331.1,335.0,331.0,331.2,448667.3,1355,27
RENU.N0000,2016-01-21,335.0,335.0,330.1,334.1,164340.4,491,21
RENU.N0000,2016-01-24,330.1,330.1,330.0,330.0,62705.1,190,6
RENU.N0000,2016-01-25,330.0,330.0,330.0,330.0,36300.0,110,3
RENU.N0000,2016-01-26,330.0,330.0,329.0,330.0,14187.0,43,5
RENU.N0000,2016-01-28,325.1,325.1,325.1,330.0,2925.9,9,2
RENU.N0000,2016-01-31,335.1,335.1,335.0,330.0,11055.3,33,3
RENU.N0000,2016-02-01,350.0,350.0,335.0,335.4,86550.0,258,6
RENU.N0000,2016-02-02,335.0,335.0,335.0,335.0,43550.0,130,3
RENU.N0000,2016-02-07,335.0,335.0,334.0,334.1,204832.0,613,9
RENU.N0000,2016-02-11,334.0,334.0,330.1,334.1,8999.0,27,5
RENU.N0000,2016-02-14,330.1,330.1,330.1,334.1,660.2,2,1
RENU.N0000,2016-02-15,330.1,330.1,320.0,334.1,18110.3,55,4
RENU.N0000,2016-02-16,315.0,329.1,315.0,317.6,61288.5,193,3
RENU.N0000,2016-02-17,315.0,320.0,300.0,300.6,383859.6,1271,32
RENU.N0000,2016-02-18,301.2,320.0,300.0,300.6,631610.2,2101,15
RENU.N0000,2016-02-23,329.1,329.1,329.1,329.1,32910.0,100,1
RENU.N0000,2016-02-24,325.0,330.0,325.0,329.1,17150.0,52,3
RENU.N0000,2016-02-25,305.0,330.0,305.0,329.9,82120.8,249,16
RENU.N0000,2016-02-28,305.0,315.0,305.0,315.0,47555.0,151,4
RENU.N0000,2016-03-01,306.1,318.0,306.1,306.2,30928.0,101,4
RENU.N0000,2016-03-02,318.0,319.9,318.0,319.0,38914.0,122,3
RENU.N0000,2016-03-07,315.0,315.0,315.0,319.0,17325.0,55,2
RENU.N0000,2016-03-08,314.8,314.8,310.1,319.0,2499.6,8,2
RENU.N0000,2016-03-09,314.9,314.9,310.0,312.5,31245.0,100,3
RENU.N0000,2016-03-10,314.9,314.9,300.1,300.2,126296.4,406,5
RENU.N0000,2016-03-13,300.0,300.0,300.0,300.2,900.0,3,1
RENU.N0000,2016-03-14,301.0,301.0,301.0,300.2,15050.0,50,1
RENU.N0000,2016-03-15,314.9,314.9,314.9,300.2,314.9,1,1
RENU.N0000,2016-03-16,300.1,309.9,300.1,300.1,302220.3,1007,3
RENU.N0000,2016-03-17,315.0,315.0,300.0,300.1,41367.0,137,11
RENU.N0000,2016-03-20,315.0,319.8,315.0,316.2,49581.6,157,19
RENU.N0000,2016-03-22,319.0,330.0,319.0,320.5,178545.1,554,17
RENU.N0000,2016-03-23,329.0,329.0,329.0,320.5,3290.0,10,2
RENU.N0000,2016-03-27,325.0,325.0,325.0,325.0,32500.0,100,1
RENU.N0000,2016-03-29,320.0,348.1,320.0,334.0,535019.3,1606,4
RENU.N0000,2016-03-30,324.4,324.4,324.4,324.4,32440.0,100,1
RENU.N0000,2016-03-31,324.0,325.0,324.0,324.4,58075.0,179,2
RENU.N0000,2016-04-03,320.0,325.0,320.0,324.4,7470.0,23,4
RENU.N0000,2016-04-04,323.0,325.0,323.0,324.4,15878.0,49,5
RENU.N0000,2016-04-07,350.0,350.0,350.0,324.4,350.0,1,1
RENU.N0000,2016-04-11,310.0,348.0,310.0,330.2,261033.4,792,26
RENU.N0000,2016-04-14,348.1,348.1,339.8,330.2,33317.0,98,4
RENU.N0000,2016-04-17,325.0,339.9,325.0,330.2,664.9,2,2
RENU.N0000,2016-04-18,339.9,339.9,339.9,330.2,339.9,1,1
RENU.N0000,2016-04-19,330.0,340.0,330.0,335.4,73117.8,218,13
RENU.N0000,2016-04-21,339.8,339.8,316.5,339.0,38883.7,115,7
RENU.N0000,2016-04-24,339.7,339.7,339.7,339.0,679.4,2,2
