ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
REXP.N0000,2016-01-03,298.9,298.9,298.0,298.8,3580.9,12,3
REXP.N0000,2016-01-04,297.0,297.0,292.0,298.8,2366.0,8,2
REXP.N0000,2016-01-05,296.9,296.9,292.1,298.8,15207.7,52,4
REXP.N0000,2016-01-06,296.5,296.5,290.0,294.7,1539242.2,5246,23
REXP.N0000,2016-01-07,286.1,292.5,285.0,290.6,641095.9,2214,21
REXP.N0000,2016-01-10,280.0,290.0,280.0,289.7,1444115.6,5069,16
REXP.N0000,2016-01-11,285.0,285.0,270.1,280.8,2897792.4,10327,26
REXP.N0000,2016-01-12,285.0,285.0,282.9,282.9,342937.7,1212,6
REXP.N0000,2016-01-13,281.9,281.9,277.9,281.2,3457353.0,12270,12
REXP.N0000,2016-01-17,271.1,282.9,260.0,270.0,1406120.1,5258,27
REXP.N0000,2016-01-18,270.0,273.9,267.0,269.2,325805.2,1210,16
REXP.N0000,2016-01-19,269.7,269.7,261.6,267.9,486137.5,1830,15
REXP.N0000,2016-01-20,268.0,268.0,260.0,266.3,479025.2,1799,28
REXP.N0000,2016-01-21,267.0,270.0,263.0,268.7,5203732.9,19318,53
REXP.N0000,2016-01-24,262.2,269.0,262.2,268.1,685360.8,2556,14
REXP.N0000,2016-01-25,270.0,270.0,260.1,265.0,677644.1,2565,10
REXP.N0000,2016-01-26,265.0,265.0,256.2,262.9,658769.1,2520,32
REXP.N0000,2016-01-27,260.0,260.0,257.0,262.9,13257.0,51,3
REXP.N0000,2016-01-28,260.0,266.0,259.9,260.0,2437566.0,9376,22
REXP.N0000,2016-01-31,262.0,262.0,260.0,261.1,718500.0,2750,9
REXP.N0000,2016-02-01,265.0,267.0,260.0,265.1,3609656.0,13715,79
REXP.N0000,2016-02-02,270.0,270.0,265.0,265.0,890516.2,3356,29
REXP.N0000,2016-02-04,267.0,269.0,265.0,268.7,556566.8,2093,25
REXP.N0000,2016-02-07,270.0,270.0,260.0,261.3,2074880.5,7932,21
