ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
RGEM.N0000,2016-01-03,39.1,39.2,39.1,39.1,144739.1,3701,11
RGEM.N0000,2016-01-04,39.1,39.1,39.1,39.1,938.4,24,1
RGEM.N0000,2016-01-05,39.0,39.0,38.0,38.8,19264.0,500,8
RGEM.N0000,2016-01-06,38.3,38.3,38.0,38.0,99007.5,2605,4
RGEM.N0000,2016-01-07,38.0,38.0,37.5,37.5,161078.3,4294,16
RGEM.N0000,2016-01-10,37.0,37.0,37.0,37.0,55500.0,1500,3
RGEM.N0000,2016-01-11,36.1,38.0,35.1,35.3,77858.0,2201,6
RGEM.N0000,2016-01-12,38.5,39.8,38.5,35.3,1287.8,33,4
RGEM.N0000,2016-01-13,36.1,39.5,35.0,36.2,192671.0,5340,17
RGEM.N0000,2016-01-17,35.1,38.8,34.0,34.1,229158.9,6673,13
RGEM.N0000,2016-01-18,33.1,34.5,33.0,33.0,50314.0,1523,9
RGEM.N0000,2016-01-19,34.5,34.9,31.5,34.8,178216.5,5283,14
RGEM.N0000,2016-01-20,35.0,36.5,32.5,36.5,154712.5,4440,16
RGEM.N0000,2016-01-21,37.0,37.0,37.0,37.0,14800.0,400,3
RGEM.N0000,2016-01-24,33.5,33.5,33.1,33.1,4638.0,140,2
RGEM.N0000,2016-01-25,33.5,33.5,33.0,33.2,192680.0,5810,12
RGEM.N0000,2016-01-26,32.1,35.6,32.0,35.6,302500.0,9000,6
RGEM.N0000,2016-01-27,32.3,32.6,32.3,32.5,90677.0,2790,6
RGEM.N0000,2016-01-28,32.5,34.0,32.3,33.0,241675.0,7310,12
RGEM.N0000,2016-01-31,33.0,33.0,33.0,33.0,99000.0,3000,3
RGEM.N0000,2016-02-01,33.6,34.0,33.6,34.0,243180.8,7153,5
RGEM.N0000,2016-02-02,33.5,33.5,33.0,33.0,174453.0,5241,4
RGEM.N0000,2016-02-04,35.0,35.0,35.0,33.0,35.0,1,1
RGEM.N0000,2016-02-08,32.8,34.5,32.5,32.9,52804.1,1603,9
RGEM.N0000,2016-02-10,33.0,33.0,33.0,33.0,4950.0,150,1
RGEM.N0000,2016-02-11,34.0,34.0,34.0,33.0,34.0,1,1
RGEM.N0000,2016-02-14,35.0,35.0,30.6,31.0,3719.7,120,7
RGEM.N0000,2016-02-15,35.0,35.0,35.0,35.0,175000.0,5000,2
RGEM.N0000,2016-02-16,33.5,33.5,33.5,35.0,1708.5,51,2
RGEM.N0000,2016-02-17,30.6,33.9,30.6,30.7,3188.3,104,5
RGEM.N0000,2016-02-18,30.7,33.9,30.6,30.8,45685.0,1481,9
RGEM.N0000,2016-02-22,33.3,33.9,30.6,32.5,97399.2,3057,8
RGEM.N0000,2016-02-23,31.2,31.2,30.0,30.0,108339.8,3518,5
RGEM.N0000,2016-02-24,30.0,30.0,28.6,28.9,79041.0,2706,10
RGEM.N0000,2016-02-25,29.0,30.0,28.1,28.1,38610.0,1360,9
RGEM.N0000,2016-02-28,28.5,28.5,28.5,28.1,28.5,1,1
RGEM.N0000,2016-02-29,29.0,29.5,29.0,29.0,49829.0,1718,6
RGEM.N0000,2016-03-01,28.6,28.6,28.1,28.3,11330.0,400,3
RGEM.N0000,2016-03-02,27.2,27.3,27.2,27.2,16325.0,600,3
RGEM.N0000,2016-03-03,25.8,25.8,25.0,25.7,17995.0,699,4
RGEM.N0000,2016-03-07,25.2,28.5,20.2,24.9,234757.3,9731,22
RGEM.N0000,2016-03-08,22.6,25.0,21.0,24.8,92373.1,3866,12
RGEM.N0000,2016-03-09,25.0,27.5,25.0,27.0,121013.5,4564,19
RGEM.N0000,2016-03-10,27.8,28.3,27.8,28.2,26590.0,945,9
RGEM.N0000,2016-03-13,28.0,28.5,28.0,28.3,91460.0,3236,6
RGEM.N0000,2016-03-15,28.3,30.0,28.3,29.4,249820.6,8502,23
RGEM.N0000,2016-03-16,31.0,31.0,25.2,27.0,29140.0,1140,3
RGEM.N0000,2016-03-17,29.8,29.8,29.8,29.8,29800.0,1000,1
RGEM.N0000,2016-03-20,27.5,27.5,27.5,27.5,70125.0,2550,3
RGEM.N0000,2016-03-22,30.5,30.5,28.0,28.0,70915.0,2530,3
RGEM.N0000,2016-03-23,28.1,29.9,28.0,28.4,192794.0,6858,9
RGEM.N0000,2016-03-28,28.4,28.4,28.0,28.0,207143.2,7375,11
RGEM.N0000,2016-03-29,28.0,28.3,28.0,28.3,168150.0,6000,6
RGEM.N0000,2016-03-30,28.1,28.1,27.6,27.9,76805.0,2750,7
RGEM.N0000,2016-03-31,28.0,31.0,28.0,30.2,333259.5,11190,58
RGEM.N0000,2016-04-03,31.0,31.0,29.7,30.0,102327.0,3347,14
RGEM.N0000,2016-04-04,30.9,31.2,30.0,30.0,56137.0,1830,8
RGEM.N0000,2016-04-05,31.3,31.4,30.0,30.0,167070.0,5500,12
RGEM.N0000,2016-04-06,30.2,30.5,30.0,30.4,96455.0,3198,7
RGEM.N0000,2016-04-07,31.6,32.0,30.7,31.4,57734.0,1830,11
RGEM.N0000,2016-04-10,30.6,32.0,30.4,31.8,96560.0,3100,12
