ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
RPBH.N0000,2016-01-17,27.2,27.2,27.2,27.2,2801.6,103,1
RPBH.N0000,2016-01-19,32.3,32.3,32.3,27.2,32.3,1,1
RPBH.N0000,2016-01-25,28.0,28.0,28.0,28.0,5600.0,200,1
RPBH.N0000,2016-01-27,32.0,32.0,25.3,28.0,409.3,13,2
RPBH.N0000,2016-02-04,30.0,30.0,30.0,28.0,30.0,1,1
RPBH.N0000,2016-02-07,29.1,29.1,29.0,29.0,18098.4,624,8
RPBH.N0000,2016-02-14,29.0,29.0,27.5,27.5,3164.0,115,3
RPBH.N0000,2016-02-15,28.0,28.0,28.0,28.0,2800.0,100,1
RPBH.N0000,2016-02-16,28.1,28.5,28.0,28.5,31103.0,1109,4
RPBH.N0000,2016-02-18,27.2,27.2,22.6,23.4,2926.4,125,3
RPBH.N0000,2016-02-23,25.0,25.0,25.0,23.4,75.0,3,3
RPBH.N0000,2016-02-28,26.0,26.0,26.0,26.0,2600.0,100,1
RPBH.N0000,2016-03-01,28.0,28.0,28.0,26.0,252.0,9,1
RPBH.N0000,2016-03-03,24.0,24.0,24.0,26.0,120.0,5,1
RPBH.N0000,2016-03-09,26.0,26.0,26.0,26.0,13000.0,500,2
RPBH.N0000,2016-03-10,26.4,26.5,26.0,26.4,58156.0,2206,6
RPBH.N0000,2016-03-13,26.0,26.0,26.0,26.4,1820.0,70,2
RPBH.N0000,2016-03-23,29.5,29.5,29.5,26.4,29.5,1,1
RPBH.N0000,2016-03-27,29.2,29.2,29.2,29.2,29200.0,1000,3
RPBH.N0000,2016-03-28,27.2,27.2,27.2,27.2,3400.0,125,1
RPBH.N0000,2016-03-30,30.5,30.5,30.5,30.5,3050.0,100,1
RPBH.N0000,2016-04-06,28.0,28.0,28.0,30.5,140.0,5,1
RPBH.N0000,2016-04-07,29.9,29.9,29.9,29.9,11541.4,386,3
RPBH.N0000,2016-04-14,30.0,30.0,30.0,29.9,600.0,20,2
RPBH.N0000,2016-04-25,28.8,28.8,28.8,28.8,2880.0,100,1
RPBH.N0000,2016-04-28,29.0,33.0,29.0,30.8,16138.0,530,5
RPBH.N0000,2016-05-02,28.8,32.8,28.8,30.8,616.6,20,4
RPBH.N0000,2016-05-04,31.0,31.0,31.0,30.8,155.0,5,1
RPBH.N0000,2016-05-08,30.5,32.8,30.5,30.7,77492.8,2521,4
RPBH.N0000,2016-05-09,32.7,32.7,32.7,30.7,327.0,10,1
RPBH.N0000,2016-05-10,32.0,32.0,32.0,32.0,16544.0,517,5
RPBH.N0000,2016-05-11,31.0,31.0,29.2,29.3,74320.2,2530,10
RPBH.N0000,2016-05-12,31.0,31.0,31.0,29.3,1240.0,40,2
RPBH.N0000,2016-05-15,32.0,33.9,32.0,33.9,5579.3,168,10
RPBH.N0000,2016-05-16,33.7,33.7,33.7,33.9,505.5,15,1
RPBH.N0000,2016-05-17,33.9,33.9,33.9,33.9,33.9,1,1
RPBH.N0000,2016-05-19,30.0,30.0,30.0,30.0,3000.0,100,1
RPBH.N0000,2016-05-24,30.1,30.1,30.1,30.0,1234.1,41,2
RPBH.N0000,2016-05-25,30.1,30.1,30.1,30.0,240.8,8,3
RPBH.N0000,2016-05-26,33.0,33.0,33.0,33.0,31416.0,952,2
RPBH.N0000,2016-05-29,32.5,32.5,32.4,32.5,6889.8,212,4
RPBH.N0000,2016-05-30,32.4,32.4,32.4,32.5,453.6,14,2
RPBH.N0000,2016-06-05,32.0,32.0,32.0,32.5,800.0,25,1
RPBH.N0000,2016-06-07,31.5,31.5,31.5,32.5,1575.0,50,1
RPBH.N0000,2016-06-13,30.3,30.3,30.3,32.5,303.0,10,1
RPBH.N0000,2016-06-14,32.9,32.9,32.9,32.5,32.9,1,1
RPBH.N0000,2016-06-15,30.5,30.5,30.5,32.5,884.5,29,1
RPBH.N0000,2016-06-19,32.8,32.8,32.8,32.8,3280.0,100,2
RPBH.N0000,2016-06-20,30.5,32.5,30.5,30.7,3375.0,110,3
RPBH.N0000,2016-06-29,31.5,31.5,31.5,30.7,31.5,1,1
RPBH.N0000,2016-06-30,31.5,31.5,31.4,30.7,125.7,4,4
RPBH.N0000,2016-07-06,34.0,34.0,34.0,30.7,68.0,2,2
RPBH.N0000,2016-07-14,30.7,31.0,28.0,28.1,19971.4,712,6
RPBH.N0000,2016-07-17,31.0,31.0,31.0,28.1,1550.0,50,1
RPBH.N0000,2016-07-20,31.5,31.5,31.5,31.5,3150.0,100,2
RPBH.N0000,2016-07-21,31.5,31.5,31.5,31.5,945.0,30,3
RPBH.N0000,2016-07-28,30.0,30.0,28.1,28.6,10418.4,364,3
RPBH.N0000,2016-07-31,34.4,34.4,34.4,28.6,1376.0,40,2
RPBH.N0000,2016-08-01,33.0,33.0,33.0,33.0,16566.0,502,4
RPBH.N0000,2016-08-02,33.5,33.5,33.5,33.5,3350.0,100,1
RPBH.N0000,2016-08-03,30.0,30.0,29.2,33.5,1176.8,40,3
RPBH.N0000,2016-08-07,30.0,30.0,30.0,30.0,17760.0,592,6
RPBH.N0000,2016-08-09,30.0,30.0,30.0,30.0,30000.0,1000,5
RPBH.N0000,2016-08-10,32.0,32.9,32.0,30.0,1065.0,33,4
RPBH.N0000,2016-08-14,33.2,33.2,33.2,30.0,33.2,1,1
RPBH.N0000,2016-08-15,31.5,31.5,30.0,30.1,3315.0,110,4
RPBH.N0000,2016-08-17,31.5,31.5,31.5,30.1,346.5,11,2
RPBH.N0000,2016-08-18,31.0,31.5,31.0,31.5,10743.5,344,9
RPBH.N0000,2016-08-21,31.5,31.5,31.5,31.5,346.5,11,2
RPBH.N0000,2016-08-22,31.5,31.5,31.5,31.5,724.5,23,1
RPBH.N0000,2016-08-24,32.5,32.6,32.2,31.5,1330.2,41,4
RPBH.N0000,2016-08-25,32.2,32.2,32.2,32.2,3220.0,100,1
RPBH.N0000,2016-08-28,32.5,32.5,32.4,32.4,4865.0,150,2
RPBH.N0000,2016-08-30,32.5,32.5,32.4,32.4,714.8,22,2
RPBH.N0000,2016-08-31,32.4,32.4,30.0,30.1,66364.6,2200,9
RPBH.N0000,2016-09-01,30.0,32.0,30.0,30.1,62.0,2,2
RPBH.N0000,2016-09-05,32.2,32.3,32.2,30.1,968.9,30,2
RPBH.N0000,2016-09-07,32.3,32.3,32.3,30.1,32.3,1,1
RPBH.N0000,2016-09-12,30.1,30.1,30.0,30.0,7629.4,254,3
RPBH.N0000,2016-09-14,30.0,30.0,30.0,30.0,1470.0,49,1
RPBH.N0000,2016-09-19,32.0,32.0,30.0,30.1,4664.0,155,9
RPBH.N0000,2016-09-21,30.0,30.0,30.0,30.1,600.0,20,1
RPBH.N0000,2016-09-22,32.0,32.0,32.0,30.1,32.0,1,1
RPBH.N0000,2016-09-25,32.0,32.0,31.8,30.1,255.8,8,4
RPBH.N0000,2016-09-27,31.8,32.0,31.8,31.8,12068.0,379,7
RPBH.N0000,2016-09-28,30.0,30.0,28.0,28.1,13248.4,472,4
RPBH.N0000,2016-09-29,31.9,32.0,31.9,28.1,319.9,10,2
RPBH.N0000,2016-10-03,32.0,32.0,31.9,28.1,639.0,20,2
RPBH.N0000,2016-10-04,31.7,31.7,31.7,28.1,570.6,18,2
RPBH.N0000,2016-10-05,29.0,29.0,29.0,29.0,29000.0,1000,2
RPBH.N0000,2016-10-06,28.8,28.8,28.6,28.6,57210.0,2000,2
RPBH.N0000,2016-10-10,31.7,31.7,31.7,28.6,3106.6,98,2
RPBH.N0000,2016-10-12,31.7,31.7,31.7,28.6,95.1,3,2
RPBH.N0000,2016-10-16,29.2,29.2,29.2,29.2,438000.0,15000,1
RPBH.N0000,2016-10-17,31.7,31.7,31.7,29.2,63.4,2,1
RPBH.N0000,2016-10-18,30.9,30.9,30.9,29.2,61.8,2,1
RPBH.N0000,2016-10-20,28.7,28.7,28.7,28.7,2870.0,100,1
RPBH.N0000,2016-10-25,28.8,28.8,28.8,28.8,2880.0,100,2
RPBH.N0000,2016-10-27,29.8,29.8,29.8,28.8,59.6,2,1
RPBH.N0000,2016-11-01,28.0,28.0,28.0,28.8,1148.0,41,2
RPBH.N0000,2016-11-03,27.0,27.0,26.8,26.8,28445.0,1055,7
RPBH.N0000,2016-11-06,27.0,27.0,27.0,27.0,2700.0,100,1
RPBH.N0000,2016-11-07,26.2,26.2,25.7,25.9,51060.0,1965,15
RPBH.N0000,2016-11-08,25.7,26.0,25.7,25.8,3350.0,130,2
RPBH.N0000,2016-11-09,26.0,26.0,26.0,26.0,6266.0,241,3
RPBH.N0000,2016-11-14,25.8,27.0,25.8,25.8,110389.2,4271,4
RPBH.N0000,2016-11-15,27.7,27.7,25.8,25.8,2858.0,110,3
RPBH.N0000,2016-11-20,26.0,26.0,25.0,25.3,7600.0,300,3
RPBH.N0000,2016-11-22,25.0,25.0,25.0,25.0,11500.0,460,5
RPBH.N0000,2016-11-24,25.0,25.0,25.0,25.0,27500.0,1100,2
RPBH.N0000,2016-11-28,23.2,23.2,21.1,22.1,31806.3,1437,13
RPBH.N0000,2016-11-29,22.0,24.9,22.0,23.1,37427.5,1630,8
RPBH.N0000,2016-11-30,24.5,24.5,24.5,24.5,2450.0,100,1
RPBH.N0000,2016-12-05,24.7,24.7,24.5,24.5,6130.0,250,3
RPBH.N0000,2016-12-08,24.5,24.5,24.5,24.5,3675.0,150,2
RPBH.N0000,2016-12-14,23.5,23.5,23.5,23.5,2350.0,100,2
RPBH.N0000,2016-12-19,26.9,26.9,26.9,23.5,269.0,10,1
RPBH.N0000,2016-12-21,23.0,23.0,23.0,23.5,46.0,2,2
RPBH.N0000,2016-12-26,24.0,24.0,23.0,23.1,23100.0,1000,4
RPBH.N0000,2017-01-01,23.5,23.5,23.5,23.5,137757.0,5862,2
RPBH.N0000,2017-01-02,23.5,23.5,23.5,23.5,4465.0,190,2
RPBH.N0000,2017-01-04,23.0,23.0,23.0,23.0,11500.0,500,4
RPBH.N0000,2017-01-10,26.5,26.5,26.5,23.0,265.0,10,1
RPBH.N0000,2017-01-16,23.2,23.2,23.2,23.0,1160.0,50,1
RPBH.N0000,2017-01-17,26.3,26.3,26.3,23.0,52.6,2,2
RPBH.N0000,2017-01-25,22.0,22.0,22.0,23.0,44.0,2,1
RPBH.N0000,2017-01-29,23.0,23.0,23.0,23.0,230.0,10,2
RPBH.N0000,2017-02-07,25.0,25.0,25.0,23.0,100.0,4,1
RPBH.N0000,2017-02-08,24.9,24.9,24.9,23.0,24.9,1,1
RPBH.N0000,2017-02-13,23.1,23.1,23.1,23.0,600.6,26,1
RPBH.N0000,2017-02-14,23.1,23.1,23.1,23.0,1709.4,74,3
RPBH.N0000,2017-02-21,21.1,22.1,21.1,23.0,64.3,3,2
RPBH.N0000,2017-02-26,22.0,24.0,22.0,23.0,686.0,31,2
RPBH.N0000,2017-02-27,22.5,23.0,22.5,22.6,2710.0,120,2
RPBH.N0000,2017-03-01,23.8,23.8,23.8,22.6,1428.0,60,2
RPBH.N0000,2017-03-02,23.8,23.8,22.0,22.1,590438.3,25133,6
RPBH.N0000,2017-03-06,21.0,21.0,20.1,20.3,20287.8,1000,9
RPBH.N0000,2017-03-08,21.9,21.9,21.9,20.3,197.1,9,1
RPBH.N0000,2017-03-14,21.1,21.1,21.0,21.0,4685.3,223,3
RPBH.N0000,2017-03-16,21.0,21.0,21.0,21.0,2940.0,140,2
RPBH.N0000,2017-03-19,21.0,21.0,21.0,21.0,210.0,10,1
RPBH.N0000,2017-03-20,21.0,21.0,21.0,21.0,189.0,9,1
RPBH.N0000,2017-03-21,20.5,20.5,20.0,20.0,139620.0,6977,5
RPBH.N0000,2017-03-22,20.0,20.0,20.0,20.0,180.0,9,1
RPBH.N0000,2017-03-23,22.9,22.9,22.8,22.9,2335.6,102,3
RPBH.N0000,2017-03-27,19.6,19.6,19.6,19.6,1960.0,100,3
RPBH.N0000,2017-03-29,22.0,22.0,22.0,22.0,2244.0,102,4
RPBH.N0000,2017-03-30,22.0,22.0,20.5,21.9,4539.0,207,6
RPBH.N0000,2017-04-04,24.3,24.3,24.3,21.9,24.3,1,1
RPBH.N0000,2017-04-05,24.0,24.0,24.0,21.9,240.0,10,1
RPBH.N0000,2017-04-16,21.6,21.6,21.6,21.6,2160.0,100,2
RPBH.N0000,2017-04-18,24.8,24.9,22.1,22.5,185199.0,8290,17
RPBH.N0000,2017-04-20,22.3,22.3,22.0,22.1,21024.2,952,6
RPBH.N0000,2017-04-26,23.9,23.9,22.5,22.7,16607.0,730,6
RPBH.N0000,2017-04-27,22.4,23.7,22.4,22.6,262969.2,11622,11
RPBH.N0000,2017-05-01,22.5,22.5,22.5,22.5,4500.0,200,1
RPBH.N0000,2017-05-02,22.4,22.4,22.4,22.4,4480.0,200,2
RPBH.N0000,2017-05-03,23.0,23.9,23.0,23.0,6325.9,275,3
RPBH.N0000,2017-05-04,23.9,24.4,23.9,24.0,6469.0,270,4
RPBH.N0000,2017-05-07,24.0,24.4,24.0,24.0,8952.7,373,3
RPBH.N0000,2017-05-08,24.3,24.3,24.3,24.3,3888.0,160,1
