ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
RWSL.N0000,2016-01-03,2.7,2.7,2.7,2.7,189.0,70,2
RWSL.N0000,2016-01-04,2.7,2.7,2.6,2.6,31747.0,12210,5
RWSL.N0000,2016-01-05,2.5,2.5,2.5,2.5,13875.0,5550,2
RWSL.N0000,2016-01-06,2.5,2.5,2.5,2.5,25000.0,10000,9
RWSL.N0000,2016-01-07,2.5,2.5,2.5,2.5,13375.0,5350,5
RWSL.N0000,2016-01-10,2.4,2.4,2.4,2.4,32400.0,13500,7
RWSL.N0000,2016-01-11,2.4,2.4,2.3,2.3,154889.8,67126,12
RWSL.N0000,2016-01-12,2.3,2.4,2.3,2.4,3780.0,1600,2
RWSL.N0000,2016-01-13,2.3,2.3,2.3,2.3,17539.8,7626,4
RWSL.N0000,2016-01-17,2.3,2.3,2.1,2.2,81733.0,37810,10
RWSL.N0000,2016-01-18,2.1,2.2,2.1,2.1,21117.9,10056,5
RWSL.N0000,2016-01-19,2.4,2.4,2.1,2.1,103366.7,48801,15
RWSL.N0000,2016-01-20,2.2,2.3,2.1,2.3,75410.0,33700,10
RWSL.N0000,2016-01-21,2.3,2.3,2.3,2.3,141215.4,61398,4
RWSL.N0000,2016-01-24,2.3,2.4,2.3,2.4,184992.2,79114,11
RWSL.N0000,2016-01-25,2.3,2.3,2.3,2.3,349.6,152,2
RWSL.N0000,2016-01-26,2.3,2.4,2.3,2.3,115390.0,49300,8
RWSL.N0000,2016-01-27,2.3,2.3,2.3,2.3,2300.0,1000,1
RWSL.N0000,2016-01-28,2.3,2.3,2.3,2.3,9896.9,4303,4
RWSL.N0000,2016-02-02,2.6,2.6,2.5,2.5,8385.0,3350,3
RWSL.N0000,2016-02-07,2.4,2.4,2.4,2.4,136046.4,56686,4
RWSL.N0000,2016-02-08,2.3,2.3,2.3,2.3,8781.4,3818,2
RWSL.N0000,2016-02-10,2.4,2.4,2.4,2.4,4800.0,2000,2
RWSL.N0000,2016-02-14,2.3,2.3,2.2,2.3,73709.6,32052,9
RWSL.N0000,2016-02-15,2.3,2.3,2.2,2.3,2302.2,1001,2
RWSL.N0000,2016-02-16,2.2,2.2,2.2,2.2,38060.0,17300,9
RWSL.N0000,2016-02-17,2.2,2.2,2.1,2.1,7944.4,3702,5
RWSL.N0000,2016-02-18,2.1,2.3,2.1,2.3,22900.0,10500,4
RWSL.N0000,2016-02-23,2.2,2.2,2.2,2.2,1298.0,590,2
RWSL.N0000,2016-02-25,2.2,2.2,2.2,2.2,968.0,440,2
