ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
SDF.N0000,2021-12-13,25.5,26.0,19.5,21.5,54123171.5,2436475,1336
SDF.N0000,2021-12-14,21.9,21.9,19.0,20.0,6805834.5,342461,266
SDF.N0000,2021-12-15,21.0,22.0,19.9,20.6,5783004.3,278191,155
SDF.N0000,2021-12-16,21.4,21.4,19.6,20.4,377866.6,18557,55
SDF.N0000,2021-12-19,20.8,20.8,19.6,19.6,226882.0,11421,35
SDF.N0000,2021-12-20,19.6,19.6,19.0,19.0,805321.9,42148,94
SDF.N0000,2021-12-21,19.2,20.2,19.0,19.5,2338284.8,120892,122
SDF.N0000,2021-12-22,19.2,19.4,18.5,18.8,1132449.9,60159,61
SDF.N0000,2021-12-23,18.8,18.9,18.7,18.8,262248.6,13965,25
SDF.N0000,2021-12-26,18.8,18.9,18.5,18.6,679345.7,36424,46
SDF.N0000,2021-12-27,18.8,18.8,17.8,17.9,1622097.0,89417,93
SDF.N0000,2021-12-28,18.0,19.0,17.7,18.9,2125033.2,115315,72
SDF.N0000,2021-12-29,18.6,20.0,18.6,19.6,1352277.6,69162,93
SDF.N0000,2021-12-30,20.0,20.0,18.7,19.4,654904.7,34470,58
SDF.N0000,2022-01-02,18.8,19.9,18.7,19.5,1114670.8,58320,83
SDF.N0000,2022-01-03,19.8,19.8,19.0,19.1,1153143.5,59598,53
SDF.N0000,2022-01-04,19.0,19.2,18.6,18.7,2316013.3,123257,73
SDF.N0000,2022-01-05,19.0,19.0,18.6,18.7,649337.9,34680,49
SDF.N0000,2022-01-06,18.7,21.6,18.6,20.2,6882855.6,342683,184
SDF.N0000,2022-01-09,19.9,20.5,19.1,19.9,1788226.0,88020,17
SDF.N0000,2022-01-10,19.5,19.9,19.0,19.0,202062.9,10536,36
SDF.N0000,2022-01-11,19.0,19.0,18.6,18.6,347936.9,18474,29
SDF.N0000,2022-01-12,18.7,18.7,18.6,18.6,257726.2,13850,17
SDF.N0000,2022-01-17,18.7,18.7,18.6,18.6,219072.3,11772,21
SDF.N0000,2022-01-18,18.6,18.6,18.2,18.6,175438.7,9477,31
SDF.N0000,2022-01-19,18.9,18.9,18.7,18.9,123810.9,6551,9
SDF.N0000,2022-01-20,19.0,19.5,18.8,19.5,44983.3,2315,8
SDF.N0000,2022-01-23,18.7,19.4,18.2,18.8,272439.9,14460,29
SDF.N0000,2022-01-24,18.7,19.3,18.2,18.5,240465.8,13023,37
SDF.N0000,2022-01-25,19.0,19.0,18.0,18.1,468270.5,25850,32
SDF.N0000,2022-01-26,19.0,19.5,19.0,19.0,3137314.0,164594,67
SDF.N0000,2022-01-27,19.0,19.0,18.1,18.8,419892.5,22725,18
SDF.N0000,2022-01-30,19.0,19.5,19.0,19.0,449601.6,23640,15
SDF.N0000,2022-01-31,18.5,19.0,18.1,18.5,340716.6,18650,42
SDF.N0000,2022-02-01,18.9,20.0,18.5,19.0,1087209.1,56025,47
SDF.N0000,2022-02-02,18.6,19.2,18.0,19.0,11652399.5,619008,78
SDF.N0000,2022-02-06,18.5,19.0,18.5,18.9,536416.6,28344,8
SDF.N0000,2022-02-07,19.0,19.0,18.0,18.3,3793793.0,210602,42
SDF.N0000,2022-02-08,18.4,18.5,18.1,18.4,14896766.5,807151,41
SDF.N0000,2022-02-09,18.3,18.8,18.0,18.3,7175382.3,381876,18
SDF.N0000,2022-02-10,18.3,18.6,18.3,18.4,91900.0,5000,14
SDF.N0000,2022-02-13,18.4,18.8,18.2,18.2,959503.8,52718,18
SDF.N0000,2022-02-14,18.2,18.4,18.1,18.2,1929360.0,106000,11
SDF.N0000,2022-02-16,18.4,18.4,17.5,17.8,1519280.2,84800,25
SDF.N0000,2022-02-17,17.6,18.1,17.6,17.7,23905.0,1350,3
SDF.N0000,2022-02-20,17.7,17.7,17.4,17.5,143953.0,8208,14
SDF.N0000,2022-02-21,18.1,18.1,18.0,18.1,2386.7,132,5
SDF.N0000,2022-02-22,17.4,17.4,17.0,17.2,222887.0,12890,13
SDF.N0000,2022-02-23,17.3,17.3,16.7,17.0,219207.0,12891,15
SDF.N0000,2022-02-24,17.5,17.5,16.0,16.5,1071511.1,65022,32
SDF.N0000,2022-02-27,16.8,16.9,16.5,16.5,394991.6,23712,14
SDF.N0000,2022-03-01,16.5,19.0,16.5,18.3,63998.0,3650,12
SDF.N0000,2022-03-02,18.0,18.0,16.9,17.0,42365.1,2489,18
SDF.N0000,2022-03-03,17.0,17.0,17.0,17.0,374.0,22,2
SDF.N0000,2022-03-06,16.5,16.7,16.0,16.3,459177.6,27920,38
SDF.N0000,2022-03-07,16.0,16.7,15.9,16.0,558733.6,34911,16
SDF.N0000,2022-03-08,15.8,15.8,15.0,15.1,730215.0,48050,18
SDF.N0000,2022-03-09,15.1,15.2,15.1,15.2,136022.5,8975,6
SDF.N0000,2022-03-10,15.4,16.0,15.1,16.0,32695.0,2090,9
SDF.N0000,2022-03-13,15.5,15.5,15.2,15.3,13755.5,901,5
SDF.N0000,2022-03-14,15.2,15.9,15.1,15.4,225545.0,14900,10
SDF.N0000,2022-03-15,15.2,16.0,15.0,15.9,179483.4,11800,15
SDF.N0000,2022-03-17,15.8,15.8,15.1,15.5,27970.0,1800,4
SDF.N0000,2022-03-20,15.2,15.2,15.2,15.5,121.6,8,1
SDF.N0000,2022-03-21,16.0,16.0,15.3,15.5,20858.0,1348,19
SDF.N0000,2022-03-22,15.3,15.3,15.1,15.1,15089.8,998,5
SDF.N0000,2022-03-24,15.5,15.5,15.2,15.2,34055.5,2201,4
SDF.N0000,2022-03-27,15.5,15.5,14.8,14.9,127367.4,8440,18
SDF.N0000,2022-03-28,14.6,15.0,14.0,14.4,219511.0,15200,14
SDF.N0000,2022-03-29,11.7,15.1,11.7,12.0,67884.3,5679,6
SDF.N0000,2022-03-30,12.5,12.5,12.5,12.5,358150.0,28652,6
SDF.N0000,2022-04-03,12.2,12.2,12.2,12.2,6100.0,500,1
SDF.N0000,2022-04-04,14.0,15.0,14.0,14.3,10000.0,700,2
SDF.N0000,2022-04-05,14.3,15.0,14.3,14.7,49550.0,3400,5
SDF.N0000,2022-04-06,14.9,14.9,14.8,14.8,1643.9,111,3
SDF.N0000,2022-04-07,9.2,13.0,9.2,12.0,139038.8,14946,20
SDF.N0000,2022-04-24,11.0,11.0,11.0,11.0,7150.0,650,5
SDF.N0000,2022-04-25,9.0,9.0,9.0,9.0,95364.0,10596,8
SDF.N0000,2022-04-26,10.6,10.6,10.6,10.6,1060.0,100,1
SDF.N0000,2022-04-27,12.0,12.0,12.0,12.0,66000.0,5500,5
SDF.N0000,2022-04-28,12.0,13.2,12.0,12.0,61855.0,5135,7
SDF.N0000,2022-05-03,13.7,13.7,12.5,12.5,32293.7,2581,7
SDF.N0000,2022-05-04,12.0,12.0,11.5,11.5,9011.0,773,6
SDF.N0000,2022-05-05,10.6,12.5,10.5,10.7,96399.5,8939,20
SDF.N0000,2022-05-08,12.2,12.2,10.7,10.7,852.5,70,3
SDF.N0000,2022-05-11,10.7,11.5,10.7,11.2,33825.0,3040,13
SDF.N0000,2022-05-12,11.2,11.5,11.2,11.4,12530.0,1100,4
SDF.N0000,2022-05-16,11.5,12.0,11.0,11.5,21813.5,1905,18
SDF.N0000,2022-05-17,11.5,11.5,11.5,11.5,56810.0,4940,6
SDF.N0000,2022-05-18,11.0,11.0,10.9,11.0,6663.0,606,9
SDF.N0000,2022-05-19,10.9,10.9,10.9,10.9,5995.0,550,2
SDF.N0000,2022-05-22,11.0,12.7,11.0,11.4,127210.5,11471,10
SDF.N0000,2022-05-23,11.4,11.4,11.2,11.2,1881720.8,168009,13
SDF.N0000,2022-05-24,11.0,12.2,11.0,12.0,650085.0,54200,15
SDF.N0000,2022-05-25,12.1,12.3,12.1,12.1,60680.0,5000,3
SDF.N0000,2022-05-29,12.3,12.3,12.3,12.3,430500.0,35000,4
SDF.N0000,2022-05-30,12.2,12.2,12.2,12.2,18300.0,1500,2
SDF.N0000,2022-05-31,12.2,12.2,12.2,12.2,30500.0,2500,2
SDF.N0000,2022-06-02,12.3,12.3,12.3,12.2,627.3,51,1
SDF.N0000,2022-06-05,12.0,12.0,12.0,12.0,1200.0,100,1
SDF.N0000,2022-06-06,11.5,11.5,11.3,11.4,12530.0,1100,4
SDF.N0000,2022-06-08,12.0,12.0,12.0,12.0,1200.0,100,1
SDF.N0000,2022-06-09,12.0,12.0,11.1,12.0,103267.5,8609,9
SDF.N0000,2022-06-14,12.0,12.0,12.0,12.0,60.0,5,1
SDF.N0000,2022-06-15,11.2,11.2,10.6,10.8,54145.0,5000,8
SDF.N0000,2022-06-16,11.0,11.0,10.7,10.7,35920.0,3350,6
SDF.N0000,2022-06-19,11.5,12.0,11.5,11.5,11870.3,1031,11
SDF.N0000,2022-06-20,11.5,11.5,11.5,11.5,356.5,31,2
SDF.N0000,2022-06-21,11.0,11.8,11.0,11.5,4069.0,355,5
SDF.N0000,2022-06-23,11.5,11.5,11.5,11.5,1725.0,150,1
SDF.N0000,2022-06-26,12.2,12.2,12.0,11.5,73.0,6,2
SDF.N0000,2022-06-27,11.0,11.0,10.0,10.5,13980.0,1300,11
SDF.N0000,2022-06-28,10.8,10.8,10.8,10.8,2160.0,200,5
SDF.N0000,2022-06-29,10.8,10.8,9.2,9.6,19520.0,2015,21
SDF.N0000,2022-06-30,10.5,10.5,10.5,9.6,105.0,10,1
SDF.N0000,2022-07-03,9.7,10.3,9.7,10.2,3575.0,350,7
SDF.N0000,2022-07-05,9.8,9.8,9.8,9.8,5880.0,600,3
SDF.N0000,2022-07-06,9.6,10.3,9.6,10.3,8703.7,879,6
