ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
SERV.N0000,2016-01-03,17.6,17.6,17.6,17.6,10560.0,600,5
SERV.N0000,2016-01-04,17.3,17.9,17.2,17.6,171002.9,9801,10
SERV.N0000,2016-01-05,17.2,17.5,17.0,17.2,2026622.5,115997,10
SERV.N0000,2016-01-06,17.0,17.0,17.0,17.0,216750.0,12750,3
SERV.N0000,2016-01-07,16.9,17.0,16.9,17.0,203890.0,12000,5
SERV.N0000,2016-01-10,16.6,16.6,16.5,16.5,16510.0,1000,2
SERV.N0000,2016-01-11,16.5,16.5,16.5,16.5,1459854.0,88476,9
SERV.N0000,2016-01-12,16.3,16.5,16.3,16.5,118737.0,7198,2
SERV.N0000,2016-01-13,16.6,16.6,16.5,16.5,584935.0,35450,8
SERV.N0000,2016-01-17,16.5,16.5,16.3,16.5,592640.0,36200,20
SERV.N0000,2016-01-18,16.6,17.0,16.1,17.0,4038250.0,238520,18
SERV.N0000,2016-01-19,16.5,16.5,16.5,16.5,253522.5,15365,6
SERV.N0000,2016-01-20,16.5,16.5,16.5,16.5,4950.0,300,2
SERV.N0000,2016-01-21,17.0,17.0,16.5,16.5,43946.0,2663,3
SERV.N0000,2016-01-24,16.5,16.5,16.2,16.2,70625.0,4350,7
SERV.N0000,2016-01-25,16.2,16.2,16.2,16.2,46737.0,2885,5
SERV.N0000,2016-01-26,16.1,17.0,16.1,16.7,23310.0,1400,3
SERV.N0000,2016-01-27,16.2,16.8,16.1,16.5,18110.0,1100,3
SERV.N0000,2016-01-28,16.3,16.3,16.3,16.3,81500.0,5000,2
SERV.N0000,2016-01-31,16.5,16.5,16.3,16.4,3622.5,221,4
SERV.N0000,2016-02-01,16.5,16.9,16.5,16.9,68033.5,4099,4
SERV.N0000,2016-02-02,16.9,16.9,16.6,16.6,8316.9,501,3
SERV.N0000,2016-02-04,16.5,16.5,16.5,16.5,16500.0,1000,1
SERV.N0000,2016-02-08,16.9,16.9,16.2,16.9,90810.0,5500,6
SERV.N0000,2016-02-10,16.9,16.9,16.9,16.9,47083.4,2786,2
SERV.N0000,2016-02-11,16.9,16.9,16.7,16.8,272316.6,16214,10
SERV.N0000,2016-02-14,16.5,16.5,16.5,16.8,165.0,10,1
SERV.N0000,2016-02-15,16.5,16.5,16.5,16.5,41250.0,2500,2
SERV.N0000,2016-02-16,16.5,16.5,16.5,16.5,3300.0,200,2
SERV.N0000,2016-02-17,16.5,16.5,16.5,16.5,130894.5,7933,7
