ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
SEYB.N0000,2016-01-03,95.0,95.0,94.5,94.5,1301911.5,13707,8
SEYB.N0000,2016-01-04,94.5,94.5,94.1,94.5,4845296.5,51273,5
SEYB.N0000,2016-01-05,94.5,94.5,94.2,94.2,28500820.0,301600,18
SEYB.N0000,2016-01-06,94.1,94.1,94.0,94.0,74639.5,794,9
SEYB.N0000,2016-01-07,93.0,93.0,90.1,90.1,126283.1,1401,5
SEYB.N0000,2016-01-10,90.1,90.1,88.5,89.7,1149020.1,12791,11
SEYB.N0000,2016-01-11,88.5,88.5,87.0,87.0,5237416.5,60200,16
SEYB.N0000,2016-01-12,89.9,90.0,87.0,87.1,2468020.0,28100,12
SEYB.N0000,2016-01-13,88.0,88.0,86.5,86.6,385147.8,4447,7
SEYB.N0000,2016-01-17,86.5,86.5,80.1,80.9,975971.6,11602,20
SEYB.N0000,2016-01-18,84.0,84.0,81.0,83.0,9044074.0,108583,16
SEYB.N0000,2016-01-19,82.0,83.0,82.0,83.0,400688.0,4836,9
SEYB.N0000,2016-01-20,84.0,84.0,84.0,84.0,428568.0,5102,6
SEYB.N0000,2016-01-21,85.0,90.0,85.0,85.0,932276.0,10931,23
SEYB.N0000,2016-01-24,86.0,88.0,86.0,88.0,106366.0,1231,4
SEYB.N0000,2016-01-25,86.5,86.5,86.5,86.5,79839.5,923,3
SEYB.N0000,2016-01-26,86.0,87.0,86.0,87.0,395208.0,4578,11
SEYB.N0000,2016-01-27,87.0,87.0,85.0,85.1,751146.0,8749,14
SEYB.N0000,2016-01-28,86.5,90.0,86.5,87.0,541840.0,6236,11
SEYB.N0000,2016-01-31,88.1,88.1,85.0,87.6,250821.0,2865,8
SEYB.N0000,2016-02-01,88.0,90.0,88.0,90.0,313260.0,3494,8
SEYB.N0000,2016-02-02,91.9,91.9,89.0,90.0,153941.9,1711,6
SEYB.N0000,2016-02-04,87.0,87.0,87.0,87.0,329730.0,3790,2
SEYB.N0000,2016-02-07,93.0,93.0,87.3,87.5,2237349.5,25552,10
SEYB.N0000,2016-02-08,87.5,88.4,87.3,87.5,15024824.6,171721,33
SEYB.N0000,2016-02-09,87.1,87.5,87.1,87.5,10004797.5,114341,31
SEYB.N0000,2016-02-10,87.4,88.0,87.4,87.5,102685.5,1174,5
SEYB.N0000,2016-02-11,87.0,88.0,87.0,88.0,325537.5,3701,7
SEYB.N0000,2016-02-14,86.9,88.4,86.9,88.1,54618.0,620,4
SEYB.N0000,2016-02-15,86.4,86.5,86.4,86.5,34676.5,401,3
SEYB.N0000,2016-02-16,86.3,90.0,86.0,86.0,6946771.0,80776,11
SEYB.N0000,2016-02-17,85.5,85.5,84.0,84.0,101770.0,1200,3
SEYB.N0000,2016-02-18,85.0,85.0,85.0,85.0,110500.0,1300,3
SEYB.N0000,2016-02-22,86.0,90.0,86.0,87.1,85759.5,986,7
SEYB.N0000,2016-02-23,84.0,84.0,82.5,82.9,62612.5,755,7
SEYB.N0000,2016-02-24,85.0,85.0,85.0,85.0,42500.0,500,1
SEYB.N0000,2016-02-25,85.0,87.4,85.0,87.4,99395.0,1151,5
SEYB.N0000,2016-02-28,84.0,84.0,84.0,84.0,25704.0,306,2
SEYB.N0000,2016-02-29,84.0,85.0,83.5,83.9,1489627.5,17790,18
SEYB.N0000,2016-03-01,83.7,84.0,83.7,84.0,8578881.0,102130,7
SEYB.N0000,2016-03-02,83.6,83.6,81.0,82.0,2252522.4,27469,9
SEYB.N0000,2016-03-07,80.2,80.2,78.0,79.5,869489.0,10910,21
SEYB.N0000,2016-03-08,79.0,80.8,77.0,80.0,1556300.0,19737,12
SEYB.N0000,2016-03-09,81.0,81.0,79.0,79.0,7285079.0,92201,4
SEYB.N0000,2016-03-10,82.8,84.0,82.0,82.8,283928.0,3429,7
SEYB.N0000,2016-03-13,85.0,85.0,82.0,82.0,203467.0,2466,8
SEYB.N0000,2016-03-14,81.2,82.0,81.2,81.5,735136.0,9020,7
SEYB.N0000,2016-03-15,81.5,83.0,81.5,82.5,28103381.4,344179,45
SEYB.N0000,2016-03-16,84.0,84.0,82.6,83.0,4685589.4,56378,22
SEYB.N0000,2016-03-17,84.0,84.0,82.7,82.9,930721.0,11209,12
SEYB.N0000,2016-03-20,83.3,83.3,83.3,82.9,249.9,3,2
SEYB.N0000,2016-03-22,83.3,85.0,83.3,84.9,1227990.5,14598,10
SEYB.N0000,2016-03-23,84.0,87.0,84.0,85.0,4367463.0,51609,29
SEYB.N0000,2016-03-27,84.3,85.0,84.3,85.0,4117822.0,48449,13
SEYB.N0000,2016-03-28,85.0,87.0,85.0,87.0,864409.0,10155,5
SEYB.N0000,2016-03-29,88.0,90.0,85.0,85.0,326620.0,3840,7
SEYB.N0000,2016-03-30,85.1,87.0,85.0,86.0,2967299.6,34875,11
SEYB.N0000,2016-03-31,84.1,85.0,83.0,83.5,138257.0,1652,8
SEYB.N0000,2016-04-04,83.5,88.0,83.5,85.0,8530956.0,100367,8
SEYB.N0000,2016-04-05,86.0,87.0,86.0,86.0,2029875.0,23600,12
SEYB.N0000,2016-04-06,86.0,90.0,85.0,89.8,1001659.0,11343,13
SEYB.N0000,2016-04-07,89.0,89.0,86.5,87.5,17680828.5,202089,7
SEYB.N0000,2016-04-10,86.3,87.0,86.3,87.0,304704.1,3507,3
SEYB.N0000,2016-04-11,88.0,93.9,88.0,92.0,195416078.4,2124476,57
SEYB.N0000,2016-04-14,93.9,94.0,92.0,93.4,5321143.3,57029,20
SEYB.N0000,2016-04-17,94.0,94.0,93.0,93.0,5545870.0,59590,45
SEYB.N0000,2016-04-18,94.8,95.5,93.0,95.0,207529.5,2215,8
SEYB.N0000,2016-04-19,94.9,95.0,93.0,95.0,143855.0,1515,13
SEYB.N0000,2016-04-21,94.0,96.9,94.0,95.1,32492685.0,342013,21
SEYB.N0000,2016-04-24,95.1,96.9,95.1,95.2,1470840.0,15310,18
SEYB.N0000,2016-04-25,95.1,96.5,95.1,95.3,165849.1,1741,7
SEYB.N0000,2016-04-26,95.0,95.0,93.0,93.0,513151.0,5440,5
SEYB.N0000,2016-04-27,93.5,93.5,92.5,93.0,1692494.5,18204,12
SEYB.N0000,2016-04-28,92.9,96.0,92.9,95.0,7240971.0,76429,23
SEYB.N0000,2016-05-02,96.0,96.0,96.0,96.0,1083360.0,11285,5
SEYB.N0000,2016-05-03,97.8,97.8,96.5,96.5,11606.0,120,3
SEYB.N0000,2016-05-04,96.4,96.4,94.1,95.0,696394.1,7329,8
SEYB.N0000,2016-05-05,96.0,96.0,94.4,95.0,130814.4,1377,7
SEYB.N0000,2016-05-08,94.9,95.0,94.0,95.0,1855567.9,19586,25
SEYB.N0000,2016-05-09,94.0,95.1,94.0,95.0,484420.0,5100,7
SEYB.N0000,2016-05-10,94.7,95.6,93.1,93.7,307561.9,3257,11
SEYB.N0000,2016-05-11,93.7,95.0,93.7,95.0,98518.9,1050,4
SEYB.N0000,2016-05-12,95.0,95.0,95.0,95.0,1761965.0,18547,9
SEYB.N0000,2016-05-15,95.0,95.0,95.0,95.0,496660.0,5228,7
SEYB.N0000,2016-05-16,93.5,93.5,93.1,93.1,391620.0,4200,4
SEYB.N0000,2016-05-17,93.1,93.5,93.0,93.1,2037210.0,21876,19
SEYB.N0000,2016-05-18,93.1,93.1,93.1,93.1,7936868.1,85251,5
SEYB.N0000,2016-05-19,93.2,93.2,93.0,93.0,716144.0,7700,8
SEYB.N0000,2016-05-23,93.0,93.0,92.0,92.0,36992.0,401,4
SEYB.N0000,2016-05-24,92.0,94.0,92.0,92.0,682870.0,7404,11
SEYB.N0000,2016-05-25,92.1,92.1,92.1,92.1,92100.0,1000,1
SEYB.N0000,2016-05-26,94.0,94.0,92.0,92.0,1497958.0,16279,16
SEYB.N0000,2016-05-29,92.0,92.9,92.0,92.0,2533377.0,27521,23
SEYB.N0000,2016-05-30,94.0,95.0,92.0,92.0,1030137.0,11183,4
SEYB.N0000,2016-06-01,90.5,90.5,90.5,92.0,90.5,1,1
SEYB.N0000,2016-06-02,91.5,91.5,91.0,91.5,1837735.0,20085,2
SEYB.N0000,2016-06-06,91.0,91.0,91.0,91.0,2927470.0,32170,13
SEYB.N0000,2016-06-07,91.0,92.0,91.0,91.1,4226318.0,46425,13
SEYB.N0000,2016-06-08,91.1,91.1,91.1,91.1,911.0,10,1
